Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
02000029,256953,,7.6,8.6,,7.75,8,N1,6.25,8,
02000019,256952,,6.2,8.8,,7.25,8,N1,7.75,8.25,
02000023,261122,5.25,6.2,,3.25,5.75,,,,,4.75
02000012,260719,,6.8,10,,6.5,8.5,N1,9.25,8.5,
02000022,260721,7.5,7.2,,8.25,5.75,,,,,6.25
02000024,260722,5.75,8,6.6,7.5,6.75,,N1,,,6.5
02000020,256158,9.25,8.8,9.4,9.75,5.25,,N1,,,5.75
02000014,260720,,7.4,9,,6.5,7,N1,8.25,8.25,
02000005,235123,,7.8,9,,6.5,5,N1,4.5,8.75,
02000025,256957,,7,9,,7.25,7.25,N1,6.75,8.75,
02000008,256156,8,7.6,7,8.25,4.5,,N1,,,3.75
02000033,234275,5.25,8.6,,7.25,6.75,,,,,7
02000003,261118,8,9.2,9.8,9,7.75,,N1,,,8.5
02000021,237347,7.25,8,9,8.75,8.25,,N1,,,4.75
02000032,260724,7,7.4,7.6,6.75,6.5,,N1,,,4.75
02000028,258666,4.5,7.6,6.8,7,4,,N1,,,1.25
02000015,261121,5.25,8,8.2,3.75,5.5,,N1,,,7.25
02000013,261120,8.5,9.2,8.6,9.5,7.5,,N1,,,5.75
02000002,256951,,6,6.6,,7.25,5.75,N1,6.75,7.25,
02000009,261119,,4.4,,,8,7,,5.25,8.5,
02000016,256157,,6.6,7.8,,6,7,N1,6.75,8.75,
02000007,260718,,7.6,9.6,,8.25,8.25,N1,7.75,7.75,
02000031,258672,5.5,7.8,,8.75,7,,,,,8
02000027,238576,,6.8,7.8,,8.75,7.75,N1,7.75,7.75,
02000017,258669,5,8.4,9.6,6,8.25,,N1,,,7.5
02000018,258670,8.75,8.6,6.6,8.5,7.25,,N1,,,2.75
02000010,258665,7.25,7.8,9.4,6.5,6.5,,N1,,,7.25
02000004,260717,,8.2,9.4,,7.5,7.25,N1,7.25,8.5,
02000001,258667,5.25,8,8.2,7.75,7,,N1,,,7.25
02000011,258668,5.75,7.2,8.8,7.5,7.5,,N1,,,7.25
02000006,235124,6,7.4,8.4,5.5,7.25,,N1,,,7.25
02000026,261123,6,8.4,8.8,5.25,4.5,,N1,,,8
02000030,260723,7.75,8.8,7.8,9.25,7.25,,N1,,,4.75
02000034,261124,,7.8,8.8,,7,6.75,N1,5,8,
02000037,235549,7.25,6.8,,8,7.25,,,,,4
02000036,258671,4.75,5.8,,5,5.75,,,,,3.75
02000038,261125,6.75,7.8,8.4,6,7.25,,N1,,,6.25
02000039,260725,,7,,,7.25,8,,8.5,7.75,
02000035,258753,7.5,8.2,8.6,9,7,,N1,,,5.75
02000043,256954,,7,9.2,,8.5,8.75,N1,8.25,9,
02000041,235550,,8.6,9.4,,7.25,8.25,N1,8.25,9.75,
02000040,259080,6.25,7.2,8.8,7.25,5.75,,N1,,,4.75
02000042,261126,4.75,8,8.6,4,4,,N1,,,7.25
02000045,260726,,5.2,7.8,,7.75,6.5,N1,7.75,8.5,
02000044,256955,,7,8.2,,7,7.5,N1,7.25,9.5,
02000046,259077,4.75,7,6.4,7.5,5.75,,N1,,,6.75
02000047,260727,,8,,,6.75,8,,7.75,8.25,
02000049,236863,5.5,7,9.2,4.5,7.25,,N1,,,7
02000050,236864,5.25,8.2,9,7.5,7.25,,N1,,,8.75
02000048,256159,7.25,8.4,7,8.25,7.5,,N1,,,5.25
02000053,256956,,6.2,7.2,,6.75,7.75,N1,5.75,8.5,
02000052,260728,4.5,5.4,3.6,4.25,8,,N1,,,3
02000051,261127,,8,9.4,,8.5,6,N1,8.75,9.5,
02000055,259081,6,8.2,,6.25,5.5,,,,,7.75
02000054,260729,6.5,8.4,9,9,8,,N1,,,5.75
02000056,260765,,8,8.4,,8,7.5,N1,6.5,7.75,
02000057,238174,,6.6,8,,7.75,6.25,N1,7.25,8.25,
02000058,240297,6.75,8.2,,5,7.25,,,,,5
02000059,258754,6.5,6.8,9.4,6.25,7.5,,N1,,,4.75
02000060,259078,8.75,8.6,9.6,8.5,8.25,,N1,,,3.75
02000062,260766,4,4.2,3.8,3.5,5.75,,N1,,,2.5
02000061,256160,,7,7.2,,6,6.5,N1,7.5,8.25,
02000063,240298,8.25,9.2,9.6,9.25,8.5,,N1,,,8.25
02000064,259076,6.75,7.8,8.6,7.5,7.5,,N1,,,7
02000066,261128,,6,5.8,,5.25,0,N1,8,0,
02000065,260767,7.25,8,9.2,5.25,6.5,,N1,,,7.75
02000067,234705,,8.6,8.8,,7,8.75,N1,7,8.5,
02000068,234706,6.25,7.8,7.8,8.25,7,,N1,,,7
02000069,235129,7.5,7.4,8.4,6.5,7.5,,N1,,,7.25
02000070,260768,5,7.8,7.8,3.5,6.5,,N1,,,7
02000073,260769,3.25,4.8,4,4.5,7,,N1,,,3.75
02000072,259083,5.5,8.2,8.8,8,6.75,,N1,,,6.75
02000071,259082,5.75,8.6,9,8.25,6.5,,N1,,,8
02000074,261129,,7,8.6,,8,8.5,N1,8.25,9,
02000075,236042,,5.4,4,,5.25,7,N1,6.75,8.5,
02000076,259079,6.75,9.2,8.8,7.5,7.25,,N1,,,9
02000078,237282,,7.8,7.8,,6.75,5.5,N1,7,7,
02000077,256161,,6.8,9.2,,8.25,8,N1,8.5,9.5,
02000080,256615,4.5,9,7.6,4.75,7,,N1,,,2.5
02000079,260770,5.25,7.2,7,5.5,7,,N1,,,5.5
02000081,260771,,6.8,9.2,,8,7.25,N6,6.75,8.25,
02000083,237351,7,6.8,6,7.25,6.5,,N1,,,3.5
02000082,261130,,5.8,8.4,,7,8,N1,6.25,8.25,
02000084,237352,,7.8,8.4,,8,7.5,N1,7.25,9,
02000085,257424,,8.2,9.8,,7.5,8,N1,8,9,
