Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
03000007,483207,,5.6,3,,7.5,6.25,N1,6.25,8.75,
03000002,484817,,6.6,8.4,,9.25,7.5,N1,7.75,9.25,
03000005,481474,,3,3.2,,9.25,7.25,N1,5.75,6.75,
03000001,484816,,6.8,4.4,,8.5,9,N1,7.75,8.5,
03000003,484818,,8,8.4,,9.5,9,N1,8,9,
03000006,484820,6,8,7.2,6,8.25,,N1,,,5.25
03000013,481475,,6.4,6.2,,8.25,8.5,N1,5.5,7.5,
03000014,484822,,6.6,,,8.25,7.5,,8.5,,
03000010,484821,6.25,8.8,6.4,8.25,7.75,,N1,,,9
03000016,483165,5.5,7.4,4.8,7,9,,N1,,,7.5
03000012,596013,,7,5.8,,7.5,7,N1,6.5,9.5,
03000011,596012,,7.6,8.8,,9.5,,N1,,,
03000017,481476,7.75,8.6,8.6,6.75,8,,N1,,,9.25
03000018,484823,,8.4,4.6,,9,8.75,N1,8,9.25,
03000022,484824,,5.8,7.4,,8.5,7.75,N1,7.25,9.25,
03000024,596388,,8.6,7.6,,9,8,N1,7,9.25,
03000023,483209,,7,9.2,,8.5,7.5,N1,8,9.5,
03000025,481478,,8.2,8.2,,8.5,,N1,,,
03000026,482720,,7.8,6.8,,9,9,N1,7.5,9.25,
03000027,485239,,5.8,7,,8.25,7.75,N1,6.25,8.5,
03000029,481809,,6,3.8,,9.25,5.25,N1,5.25,7.5,
03000030,483569,,7.4,6.4,,9.5,7.75,N1,7.75,8.5,
03000009,483171,6,7.4,8.6,5.25,9.5,,N1,,,6
03000004,484819,7.5,8.4,5.4,7,8.75,,N1,,,8.25
03000008,483168,5.25,8.2,6.4,8.5,8.5,,N1,,,7.75
03000028,483210,,8.4,6,,9.25,9,N1,9.5,9,
03000019,482719,,8.6,8.6,,8.75,9.25,N1,8.75,9.5,
03000015,483208,,5.2,4.2,,9,7.75,N1,6.5,8.75,
03000020,596363,,7.8,6.8,,8.5,7.75,N1,7.75,9.25,
03000021,481477,,8,6.4,,9.25,8.5,N1,8.75,10,
03000031,485240,,4.2,8,,8.75,8,N1,8.5,9,
03000032,483570,,6,4.8,,8.75,6,N1,5.75,8,
03000037,483575,,7.6,7,,8.75,8.5,N1,7.25,9.5,
03000035,485241,,4.8,1.6,,7.5,6.25,N1,5,7,
03000040,482721,,7.4,7.8,,8.5,7,N1,8.75,9.5,
03000036,483572,,6.6,6,,9.25,8.5,N1,7.25,9,
03000038,481811,,7.8,8.2,,9.5,8,N1,9,9.75,
