Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
04000001,737601,,5.6,2.4,,6.25,8.5,N1,5.75,8.5,
04000005,738860,3.75,8.6,7.8,6,7.25,,N1,,,8.5
04000006,737602,,8.2,7.8,,8,7.25,N1,5.75,8.5,
04000007,739784,6,7.2,6,6,5.5,,N1,,,6.75
04000003,737222,,4.4,5,,6.5,6.25,N1,5,8.25,
04000002,738953,5.5,8,6.6,4.25,6,,N1,,,8.25
04000009,737603,,8.2,7.2,,6.5,7.75,N1,6.75,6.75,
04000008,737223,,6.6,2.8,,5,6.5,N1,6,8.5,
04000004,739324,5.5,7.4,6.8,7.5,6.25,,N1,,,7
04000010,738954,5.5,7.4,9,4,6.25,,N1,,,6
04000011,731846,,5.8,5.4,,6,8.5,N1,7.75,8.5,
04000016,737605,,7.8,6.4,,7.25,7.5,N1,8,7.5,
04000013,738861,9,8.2,6.2,9.5,7.25,,N1,,,8
04000019,731876,,7.4,6.8,,7.5,9.25,N1,7.5,9.25,
04000015,739325,5.5,8.6,5.6,6.75,7,,N1,,,7.5
04000017,738862,,8.2,7.8,,8,7.25,N1,6.25,9.75,
04000018,737225,,7.2,3.6,,7.5,8.75,N1,9,8.5,
04000014,737224,,7.4,6.2,,8.5,7.5,N1,8.25,8.25,
04000012,737604,,6.4,2.6,,8,8.75,N1,8,7.75,
04000020,737666,,5.4,3.4,,5.5,3.75,N1,5.5,5.75,
04000021,737597,,6.2,8.2,,7.5,6.5,N1,5.25,8,
04000022,739785,,5,4.2,,6.5,5.75,N1,5.25,6.75,
04000024,737598,,4.4,6.6,,8.75,7.25,N1,9,9,
04000023,737226,4.5,7.4,4.8,7.5,7.5,,N1,,,7
04000026,737227,,3.2,2.4,,2.75,3,N1,3.25,5.25,
04000027,737599,,8.2,8.8,,9.25,7.75,N1,7.25,8.75,
04000029,737600,,9,8.4,,8.25,7.75,N1,6.5,8.5,
04000025,738863,6,7.8,8.6,7.5,9,,N1,,,8
04000028,731927,,6.6,6,,8.75,8.75,N1,9.25,8,
04000030,731926,,7.8,7.6,,8.5,6.5,N1,6.5,8.75,
04000031,737667,,6.6,6.2,,6.75,7.5,N1,5.5,7.25,
04000032,737606,,6.2,3.8,,5,6.5,N1,6,8.75,
04000033,737228,4.75,7.6,5.4,4.5,6.25,,N1,,,6
04000036,739326,8.75,7.8,6.6,8,8,,N1,,,5
04000034,737668,,6.8,6.8,,7,7.5,N1,5,7.25,
04000038,732279,,5,7.6,,7.25,5.75,N1,5.25,8.75,
04000037,737229,,7,3.6,,6.25,7.25,N1,6.75,8.75,
04000040,737998,,7.2,7.6,,8,6.25,N1,5.75,8.75,
04000041,737230,,7.8,7.6,,8.25,7.5,N1,6,8.25,
04000035,737997,,5.8,4.6,,6.5,7.75,N1,6.25,7.5,
04000039,737669,,6,4.6,,8.5,6,N1,6.75,8,
04000042,732280,,6.2,6.6,,7.5,7.25,N1,6.75,7,
04000043,738893,5.25,7.4,8.4,4,7,,N1,,,7.5
04000044,739786,5.25,8.6,5.6,7,7.25,,N1,,,7.75
04000045,737231,,5,6.2,,8.25,8.75,N1,7.25,9,
04000046,737999,,7.6,5.8,,7.25,7,N1,5.25,7.5,
04000047,738003,,8.2,8.4,,7.5,7.75,N1,6.5,8.75,
04000048,738955,6,8,7.2,4.75,7,,N1,,,7.75
04000049,737232,,7.2,4.4,,6,6.25,N1,8,8,
04000050,737995,,5.4,6.2,,5.5,7.25,N1,7.5,9,
04000051,738894,6,5,4.2,6,5.75,,N1,,,2
04000052,738000,,6,7.4,,6.25,8,N1,7,7.75,
04000054,738004,,6,4.8,,7.75,7.25,N1,5.25,7.25,
04000053,737233,5,8,8.4,5,6.5,,N1,,,8
04000055,738895,3.25,8.2,7.8,3.5,6.5,,N1,,,8.5
04000057,738005,,3.4,4,,7.5,6.75,N1,4.75,7.75,
04000056,739322,4.75,6.8,6.4,5.5,7.75,,N1,,,6.25
