Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
05000002,490795,,,,,6.25,6.75,,6,,
05000003,468367,,,,,7.25,,,,,
05000004,467555,8,8.4,7.8,5.5,7.5,,N1,,,5.75
05000009,467903,,7.6,7.8,,7.5,6.25,N1,7.75,9.25,
05000001,468366,,,,,6.25,8,,8.25,,
05000005,467556,7.5,8,8.8,6,6.25,,N1,,,6.5
05000007,467550,7,8.4,6.8,7,4.75,,N1,,,4.5
05000006,467557,7.75,7.8,8.6,7.25,8.5,,N1,,,5
05000008,468368,,,,,7.75,7.75,,9,,
05000010,467558,8.75,7.8,8.8,7.5,7,,N1,,,5
05000018,490818,,5.4,8.4,,7.75,6.5,N1,5.5,7.5,
05000016,467906,7,7.8,5.8,7.75,5.5,,N1,,,7.75
05000015,467559,7.5,7.2,6.4,7.25,7,,N1,,,5
05000013,467952,,7.8,7.8,,8.5,7,N1,6.75,8.5,
05000019,467907,,7.6,7.2,,7.75,7.25,N1,5.5,7.75,
05000014,467905,,7.8,8.2,,9.25,8.75,N1,7.75,8.5,
05000011,468369,,7.6,5.2,,8.25,7.75,N1,7.5,8.25,
05000017,467551,7.25,8.6,8.4,8,6.75,,N1,,,7.75
05000012,467904,,6.8,7,,6.25,5.5,N1,4.75,7.5,
05000020,467899,8.25,8,8.6,6.25,5.5,,N1,,,4.25
05000022,467908,5.25,8,9.2,5,7.75,,N1,,,7
05000029,467910,6.25,7.6,9.2,6.5,7.75,,N1,,,7.5
05000021,468005,,8.6,8.8,,8.5,6.75,N1,6,6.5,
05000023,468443,,7.4,7.2,,7.5,8.25,N1,8.75,7.5,
05000025,468441,,7.2,8.8,,9,8.25,N1,7.25,7.5,
05000026,468006,7.25,8,9.4,6.25,8.5,,N1,,,8.75
05000024,467909,,7.6,8.2,,8.5,7.25,N1,8.5,7.5,
05000027,467552,6.75,8.2,8.8,6.25,6.25,,N1,,,6.25
05000028,467902,6.5,8.8,8.2,6,7.75,,N1,,,8
05000030,492539,,8.6,7.8,,,,N1,,,7
05000031,467953,7,6,6.6,8,7.5,,N1,,,3.5
05000033,467553,7.25,7.6,9,5.25,7.75,,N1,,,6.75
05000032,467911,,8.4,9.2,,9,8.25,N1,7.5,7.25,
05000037,467912,,7.4,8.6,,9.25,7.75,N1,7,6.25,
