Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
06000001,87078,,3.4,2.2,,2.25,4,N1,5.5,5.25,
06000004,86632,,5.2,3.2,,5.75,6.75,N1,6.25,7,
06000002,86630,,5.8,2.8,,3.25,7.75,N1,8.25,9.75,
06000006,86622,,2.8,2.4,,4.5,7,N1,5.5,8.5,
06000003,86631,,5.4,2.6,,2.5,5.25,N1,6.25,6,
06000007,86633,,5,3.6,,6.75,7.25,N1,8.25,8.5,
06000009,87073,,5,4.2,,7.5,8.75,N1,8.75,9,
06000005,88741,,,,,1.5,4.5,,6.25,,
06000008,86623,,4.4,3.6,,4.5,6.75,N1,7.75,7.75,
06000010,86624,,,,,5.5,8.25,,8.5,,
06000011,86625,,4.6,,,6.5,8,,7.5,,
06000013,83487,,8.2,7.4,,,,N1,,,8.5
06000016,88754,,5.2,3,,6.75,5.5,N1,4.5,7.5,
06000015,86626,,2.8,1.8,,7.25,7,N1,7.5,8,
06000018,86634,,3.2,3.2,,4.75,4.75,N1,4.5,7.25,
06000014,87074,,4,4.6,,6.25,7.75,N1,6.75,7.5,
06000017,86627,,4.2,3.2,,5.25,4.75,N1,7.25,6.5,
06000019,88367,,2.4,3,,5.25,4,N1,4,6.25,
06000012,83486,,3.6,,5.25,,,,,,3.75
06000020,86637,,3.6,2,,7,9,N1,9.5,8.5,
06000021,83514,,,,,4.5,5.75,,6.75,,
06000024,88368,,2.8,2.2,,4,5.25,N1,3.25,5.75,
06000022,86635,,3.4,3.2,,2.75,2,N1,4.25,2.5,
06000023,86636,,3.2,3.6,,2.5,6.75,N1,2.75,5.25,
06000025,86628,,2.2,2,,4,5.25,N1,5,5.5,
06000028,86645,,3,2.4,,5.5,5.75,N1,7,8.75,
06000026,86629,,3.6,3.8,,3.75,4.5,N1,3,5.75,
06000027,87974,,2.2,2.8,,4,2.75,N1,4.25,6.75,
06000030,86646,,3,3.2,,4.5,6,N1,4.75,7.25,
06000029,86651,,6,3.2,,5,7.75,N1,9.5,8,
06000031,86647,,5,3,,4.5,7.25,N1,5.75,5.75,
06000032,88369,,4.8,4,,5.75,6.5,N1,4.75,7.75,
06000034,86648,,5.2,2.2,,4.75,6,N1,4.75,6.5,
06000033,86638,,7,3.8,,6.75,8.25,N1,8.25,8.5,
06000036,86639,,3,2.4,,4,6.25,N1,6,6.5,
06000037,83905,,3.2,,,4.25,7,,4.75,,
06000040,83906,,,,,2,6,,4,,
06000035,87075,,3.6,3.4,,5.5,5.25,N1,5,6,
06000039,86641,,,,,3.75,6.25,,5.25,,
06000041,86642,,2.6,3.8,,6,5.75,N1,5.5,6.75,
06000038,86640,,6.4,2.8,,5.5,6.25,N1,5.5,8,
