Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
07000003,649802,7.25,8.2,,7.5,,,,,,7.75
07000004,650715,,7.6,9,,8.75,8.75,N1,7.25,9,
07000002,649439,,6,4.8,,8.5,7.5,N1,6.75,8.75,
07000008,650716,,8.2,9.4,,8,8.25,N1,7.75,10,
07000005,649440,,3.8,4.6,,8,5.75,N1,8.25,7,
07000006,651609,,,,,8,9,,9.5,8,
07000001,651190,6.5,6.6,4.6,5.5,6.75,,N1,,,4.75
07000007,651606,,6.2,6.6,,8.5,8.5,N1,6.75,6.5,
07000009,649799,5.25,7.8,9.2,6,7.5,,N1,,,5.75
07000010,649834,,5.2,5.6,,7,8,N1,8.25,8.5,
07000017,649836,,5.4,4.8,,7.5,7,N1,7.25,7.5,
07000018,651192,,4.8,4.2,,8,6.75,N1,6.25,7.5,
07000013,651607,,,,,4,6.25,,4.5,,
07000014,651608,,7.8,7.4,,8.75,8,N1,6.75,9,
07000019,646090,,,,,5,7,,4.5,,
07000016,650718,4.75,6.2,5.2,3,7.25,,N1,,,6.25
07000015,649835,,4.4,4.2,,9,10,N1,9,7.5,
07000012,650717,,,,,2,6.75,,5.5,,
07000011,651191,,4.8,6.2,,8.5,7,N1,4.75,7.5,
07000021,649837,,7.4,7.8,,8.75,8.5,N1,7,8,
07000025,651194,,6.8,4.6,,7.5,7.5,N1,6.25,8.5,
07000026,649838,,2.8,3,,6.75,7,N1,5.5,7,
07000028,650721,,7.4,7.8,,8.5,8.75,N1,6.5,8.75,
07000020,650719,,4.6,4,,8,7.5,N1,8,7.75,
07000027,651195,,8.2,9.2,,9,8.75,N1,9,9.75,
07000029,649839,,6.2,6.8,,9,9.5,N1,9.25,8.75,
07000022,651193,,5.8,3.6,,5.5,7.25,N1,4.25,5.5,
07000024,650720,,7.8,7.2,,8.25,6.5,N1,4.25,8,
07000023,649793,7.75,7.2,9.2,4.75,6.25,,N1,,,5.75
07000030,649800,5.25,8.8,9.2,6.25,7.75,,N1,,,8.75
07000031,649840,,4.8,3.6,,8.75,9.25,N1,6.75,7.75,
07000033,646113,8.75,8,,7.75,,,,,,6.5
07000032,650722,,3.2,3.2,,9.25,9.5,N1,9,7.75,
07000034,649794,6.25,8.2,4.8,8.75,6,,N1,,,8.5
07000035,649801,5.75,8.8,4.8,7.75,6.5,,N1,,,8.25
07000037,650723,,5.8,4,,7.5,7.5,N1,6,7.75,
07000039,649841,6.75,7.4,5.6,8.75,6.25,,N1,,,6.75
07000036,646114,,,,,6,7.5,,8,,
07000038,646115,,,,,5.5,7,,6.75,,
07000040,649795,,7.6,8.8,,,,N1,,,6.75
07000041,649842,,5.4,4.4,,7.75,6.25,N1,5.5,7,
07000042,650724,,5.2,4,,7,7,N1,6.5,6.5,
07000044,649803,5.25,6.6,3.6,7,5.5,,N1,,,2.75
07000045,649843,6.25,7.6,8.8,6.5,6.75,,N1,,,7.5
07000048,651616,,6.6,3.6,,6.75,8.25,N1,8,8.25,
07000043,651617,,,,,6.5,8.25,,7.75,,
07000046,650725,,7.8,8.8,,8.5,8.25,N1,7.5,8.5,
07000049,649844,,4.2,3.4,,5.75,7,N1,5.5,5.75,
07000047,651196,,8,5.4,,7.25,8,N1,7.25,8.5,
07000050,649796,6.5,8.6,6.6,3.75,6.5,,N1,,,7.5
07000051,646110,,6.4,4.8,,7.5,6.25,N1,6.5,6,
07000053,650727,,,,,6.5,7.75,,6.75,,
07000052,650726,,,,,6,7.75,,7.5,,
07000054,650728,,,,,5,7.5,,6.5,,
07000056,646112,5.25,6.8,7.6,4.25,5.75,,N1,,,7.25
07000055,646111,,6,4.4,,6.75,6.75,N1,7.25,8.5,
07000057,649797,8.5,7.6,7.6,8.75,5.75,,N1,,,5.25
07000058,646122,,6.8,4,,7,8.5,N1,8.25,7,
07000059,651620,,,,,5.25,8.25,,6.75,,
07000060,649804,6.75,7.8,5.4,6,6.5,,N1,,,7.25
07000061,649845,,8.2,8.4,,8.75,8.5,N1,8.25,8.75,
07000063,651618,,,,,6.75,8,,7.25,,
07000065,649805,6.5,8.2,7.2,9.5,7.25,,N1,,,4
07000064,649798,6.5,8,4.8,7,7,,N1,,,7.25
07000062,645717,9,8.8,9,9.5,7,,N1,,,6.5
07000067,649846,,7.2,7,,7.25,6.25,N1,5,8,
07000068,650729,4.5,7.8,9.4,5.5,5.75,,N1,,,8
07000069,649865,5.25,8.8,7.8,6.5,7.75,,N1,,,8
07000066,645718,6.25,8.4,8.8,8.5,7.5,,N1,,,3.75
07000070,646076,,6.2,4.8,,6.5,8,N1,6.5,8.5,
07000071,649847,4.75,7.6,3.2,7.5,5.5,,N1,,,6.75
07000072,650730,,8.6,5,,7,9,N1,8,9,
07000073,651216,6,8,9.2,4.75,6.5,,N1,,,8.5
07000074,649868,6.25,8.4,5.8,5.5,6,,N1,,,7.25
07000075,649806,8,8,5.2,7,7,,N1,,,3.25
07000078,651619,,7.6,4.4,,7.25,8.25,N1,7,9.25,
07000079,651217,,6.6,5.6,,6,7.25,N1,8.5,8.25,
07000076,650731,,6.6,5.2,,8.5,9.75,N1,10,8.25,
07000077,646089,,6.8,6.4,,8.5,8.75,N1,9.5,8.5,
07000080,649848,5,7.8,6,4,8.25,,N1,,,7.5
07000081,649866,8.75,8.6,6.2,8.5,7.5,,N1,,,3
07000082,651621,,5.6,4.2,,8.25,6.75,N1,6.75,8.5,
07000084,650732,,8.4,,,9,8.75,,9.5,,
07000083,649849,,4.8,4.2,,7.75,9,N1,8.25,8.5,
07000086,646100,,8,8.8,,8.25,7.5,N1,6.25,7.5,
07000085,646099,5,8,8.6,3.75,6.25,,N1,,,8
07000087,651218,,6.4,3.8,,5.5,6.5,N1,6.5,6.75,
07000088,649850,,3,,2.75,,,,,,2.5
07000089,649807,5.5,7.6,6.6,4,6.75,,N1,,,7.25
07000090,650733,,4.6,6,,6,7.5,N1,7.5,7.75,
07000091,651219,7.75,7,5.4,6,5.75,,N1,,,7
07000092,651622,,8.6,8.8,,9.25,7.5,N1,6.75,8.25,
07000093,649851,5.75,8.2,5.2,4.5,6.25,,N1,,,7
07000094,649808,8,9.2,9.4,9,7.75,,N1,,,9
07000098,649864,,6.6,,7.5,,,,,,8.5
07000096,649867,6,8,5,4.5,5.75,,N1,,,7
07000095,649869,8.5,7.6,5.8,8.75,7.5,,N1,,,7
07000097,649852,7.75,8.4,4.8,8.5,5,,N1,,,4.75
07000099,650734,,,,,7,9.75,,9.25,,
07000100,646123,,5.2,3.4,,5.5,6.25,N1,6.25,7.75,
07000101,650735,,,,,2.25,7.5,,4.5,,
07000102,646124,,5.2,8.2,,7.5,5.75,N1,6.75,7.25,
07000103,651220,,8.4,9.2,,8.5,8,N1,6.5,9.25,
07000104,650736,,6.6,8.6,,8.5,7,N1,6.5,9.25,
07000107,651625,,5.6,4.6,,6,7.25,N1,4.75,7.25,
07000105,649870,4.5,7.6,5.6,8,7.25,,N1,,,8
07000109,649854,,5.8,5.4,,5.5,7.5,N1,6.75,7.5,
07000108,646117,,5.6,4,,6.25,8.25,N1,7.25,8.75,
07000106,649853,,6,3.8,,5.5,7,N1,6.5,8.5,
