Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
08000002,693140,,7.2,6.8,,8.25,7,N1,6.75,8.5,
08000006,806667,,6,3.4,,8,7,N1,5.5,8,
08000007,693474,,6.4,5,,7,7.5,N1,6.25,8.5,
08000003,693472,,8.4,5.6,,8.5,9.75,N1,9,8.75,
08000008,693533,,5.6,4.8,,7.5,7.75,N1,6.75,8.75,
08000009,693475,,6.8,4.6,,8.5,9.25,N1,9,9.25,
08000005,693473,,6.6,3,,8.25,7,N1,5.75,7.75,
08000004,692699,,7.2,6,,7.25,8,N1,8.25,9.25,
08000001,693139,,5.8,3.6,,9,6.5,N1,4,7.75,
08000010,806687,,2.8,2.8,,6.25,6,N1,3,5.25,
08000012,693032,,7.8,3.6,,8.5,8.25,N1,6.25,9.25,
08000011,687455,7,6.6,5,8.25,5.25,,N1,,,1.75
08000013,693538,,8.6,6.6,,8.5,8.25,N4,7,8.5,
08000014,693975,7.25,8.8,4.2,6.25,7,,N1,,,5
08000019,693478,,6,4.8,,5.75,7.25,N1,5.75,8.25,
08000017,693477,,5,3.4,,8,7.5,N1,7.5,8.5,
08000016,693033,,7.2,6.6,,8.25,10,N1,9.75,9.75,
08000015,693476,,7.8,3.6,,8.75,9,N1,7.75,9.25,
08000018,693539,,5.6,4.2,,7.5,8.5,N1,8,9.5,
08000020,693034,,7.2,5.2,,8.5,9.75,N1,8.25,9.25,
08000022,693976,8,8,4.2,6.5,5.5,,N1,,,6.75
08000021,693536,,5.8,5.2,,7.75,7.5,N1,7.5,9.25,
08000023,807048,,6,6.6,,9,9,N1,9,9.5,
08000028,693534,6.75,6.8,5.4,7.75,7.75,,N1,,,7.5
08000027,693537,,6.6,5,,8.5,9.25,N1,8,9.75,
08000030,693977,7.75,9,5.8,8.25,8.75,,N1,,,8.5
08000024,693035,,7,5.4,,8.5,9.25,N1,9.75,9.5,
08000025,807049,9,8,4.8,5,8.25,,N1,,,8.5
08000031,807068,,4.4,3.6,,8,8.75,N1,8,8.5,
08000033,807069,5.5,8.4,9,4.5,8,,N1,,,6.25
08000032,693036,,7.2,4.4,,8.75,7,N1,8,8.75,
08000026,807050,,4.6,3.8,,8.75,8,N1,6.5,8.5,
08000029,687456,8.25,8,8.6,4.5,8.25,,N1,,,6
08000036,693037,6.5,8.2,5,7.5,7.75,,N1,,,7
08000039,687460,6,8,4,7,7.75,,N1,,,7.25
08000040,693038,,7,4.6,,7.75,7.5,N1,7.75,8.5,
08000041,806157,7.5,8.2,5.6,8.5,7.75,,N1,,,8
08000034,693541,,7,5,,9,8.75,N1,7.5,9.25,
08000038,693978,,4.6,2,,7,7.25,N1,5.5,8,
08000035,687453,5.75,7.4,5.2,4.25,8.75,,N1,,,3.75
08000042,687457,6.25,7.2,5.4,5,8.75,,N1,,,4
08000037,693544,,7,3,,8.5,9,N1,8,9.25,
08000043,693979,8.5,8.2,6.6,6.75,8.25,,N1,,,5.75
08000044,693039,6.75,7,6.8,4.5,8.75,,N1,,,5.25
08000045,806178,8,8.4,6.2,8,8,,N1,,,8.5
08000046,693542,,7.2,5.6,,7.25,8.5,N1,8.5,8.5,
08000047,693040,7.25,7,5,7,7.75,,N1,,,7.5
08000051,693043,,6.8,3.4,,7,8.5,N1,6.5,9.75,
08000052,693044,,4.6,3.8,,6.25,8,N1,7.5,9,
08000049,693042,,6.6,3.8,,8,9.5,N1,9.25,9.5,
08000048,693041,5,8.4,5.4,7.75,7.75,,N1,,,4.75
08000053,693535,,7.6,5.4,,8.5,8,N1,8,9.25,
08000055,693540,,5.2,7.4,,8.75,9,N1,8.5,8.75,
08000054,806246,,6.6,4.6,,8.75,9,N1,8,9,
08000056,693045,,7.8,8.6,,9.25,8.75,N1,9.5,9.5,
08000057,693545,,7,4.4,,8.5,8.5,N1,7.5,8.75,
08000059,687454,7.75,8.6,5.4,6.75,7.5,,N1,,,8.25
08000064,693047,8.25,8.4,5.4,7.5,7,,N1,,,7.75
08000062,806588,,3.2,,,5.5,4.25,,4.25,,
08000060,693046,,7,3.8,,9.25,9.25,N1,9.25,9,
08000065,693552,6.25,8,8.6,5.25,6.25,,N1,,,6
08000066,693547,,7,5.2,,8,7.5,N1,8.5,8.75,
08000061,693546,,6.4,3.6,,6.5,8.5,N1,8.25,9,
08000058,806587,,7.6,3.8,,7.75,7.75,N1,8.25,8.25,
08000067,692666,6,7.8,5,8.25,7.25,,N1,,,8.25
08000063,693543,,5,5,,7.75,7.25,N1,6,6.75,
08000069,693553,,6.6,5.4,,6.42,8.5,N1,6.5,7.75,
08000072,693049,,8,6,,9,9.25,N1,8.5,9.5,
08000073,693554,,7.2,4.6,,8.25,9.25,N1,8.25,7.25,
08000076,692667,,7.2,4,,7.75,8.25,N1,7.5,9.25,
08000068,693048,,4.2,,,7,7.75,,6.5,,
08000070,806601,,5.6,3.4,,7.25,7.25,N1,6.75,8,
08000077,693548,,5.4,4.4,,7,8,N1,7,7.75,
08000071,806623,,4.6,3.6,,5.75,5,N1,4.75,6.5,
08000075,806624,,7,5.4,,8.5,9.5,N1,9,9.25,
08000074,693551,,7.4,5.8,,7.75,9.75,N1,9.25,9.5,
08000081,693960,,8.4,5.4,,9.25,9.5,N1,8.25,9.25,
08000080,692668,,6.2,3.6,,7.25,7,N1,7.75,8,
08000079,687458,7.25,7.4,5.4,7.5,7.25,,N1,,,3.5
08000082,687459,7,8,7.6,7.25,6.5,,N1,,,6
08000078,693959,,4,4.8,,7.5,8.25,N1,7,6.75,
08000084,693050,,6,6.2,,6.75,6.75,N1,6.75,7,
08000086,806652,,7,6,,6.5,9.5,N1,9,9.5,
08000085,692669,,6.2,4.2,,7.75,7.25,N1,7,6.25,
08000087,693961,,6.2,6,,6.75,8,N1,7.5,8.5,
08000083,806638,6.75,7.2,6.4,4.5,6.5,,N1,,,7.5
08000089,693555,,6.4,4.6,,7.25,9.5,N1,9,9.5,
08000088,692670,,5.6,3.6,,6,7.25,N1,7.5,8,
08000090,806653,,4.4,3.2,,7,6.25,N1,5.25,5.75,
08000092,693051,6.5,7.4,7.2,4.75,8.25,,N1,,,7
08000091,693962,,7.6,5.2,,9,7,N1,7.5,8.25,
08000093,692671,,5.6,3.6,,6.75,5.75,N1,7.75,7.75,
08000095,692673,6.25,6.6,6.4,4.75,8.25,,N1,,,5
08000096,692674,7.75,8,9.2,8.75,8.25,,N1,,,4.5
08000094,692672,6,7.6,7.2,5,9,,N1,,,3.25
