Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
09000002,97011,6.5,7.8,9.4,4.5,5.75,,N1,,,4.75
09000009,98364,,6,,,4,8,,7.5,,
09000001,110227,7.75,7.4,10,5.75,7,,N1,,,4.5
09000005,98031,,6.8,9.4,,7.75,8,N1,9,9.25,
09000006,97104,,8.2,9.8,,8.25,9.25,N1,9.25,9,
09000007,97578,8,8.8,9.2,7.75,5.5,,N1,,,4.25
09000004,98363,,7.4,,,6,9.25,,7,,
09000003,97577,,7.4,9.8,,7.5,8.25,N1,7.25,9.75,
09000008,110253,7,8,9.2,7,6.75,,N1,,,5
09000012,97991,,7.8,9.2,,7.25,8.75,N1,8.75,9.5,
09000011,97579,,6.8,9.6,,7,8.5,N1,8,8.5,
09000010,97004,7.75,7.4,9.8,7.75,6.5,,N1,,,7.5
09000014,97105,,7.6,7.8,,8,8.75,N1,8.75,7.5,
09000013,98032,,8,6.8,,8.5,9.5,N1,9.75,9.25,
09000016,110279,,6.2,,,6.25,7.5,,6.75,,
09000015,97580,,7.8,9.4,,8.75,8.75,N1,8.75,8.25,
09000017,97992,,8.4,10,,7.5,9.25,N1,9.5,9.75,
09000018,97012,6.25,7.8,8.6,7.75,6,,N1,,,7.25
09000019,97106,,8,9.4,,8,9.25,N1,8.5,8,
09000022,97015,7.5,8.6,8.8,7.25,8.5,,N1,,,8
09000020,110280,,6,,,5.5,8.5,,8.25,,
09000021,98394,,8.4,7,,7.5,9.75,N1,9.25,9,
09000023,97107,7.25,8.2,8.6,8.25,7.75,,N1,,,8.25
09000024,98360,,6.8,9,,8,9.5,N1,9.75,9.25,
09000028,98395,,7,,,3.25,6.75,,6,,
09000029,98361,,7.6,6.8,,5.75,7.25,N1,9,7.75,
09000027,97108,,8,8.8,,6,7.5,N1,9.25,8.5,
09000026,97993,,7,7.8,,8,9.25,N1,8.25,9,
