Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
10000005,45193,,6.2,7.6,,8.75,7.75,N1,7,7.5,
10000002,51772,,3.8,,,5,6.25,,6.25,,
10000009,45195,,7.6,9,,8.25,6.5,N4,6.25,8,
10000006,51775,,7.8,8.8,,8.5,8,N1,6,8,
10000001,46112,7,8,8.4,9.25,7.75,,N1,,,6.75
10000004,51774,8,8.4,7.4,8.25,8,,N1,,,1.75
10000003,51773,,2.8,,,6.5,7,,7.5,,
10000008,45194,,8.2,7.6,,8.75,8,N1,7,9,
10000007,51776,,8.6,9.6,,8.5,8.25,N1,8.25,9,
10000010,50023,,7,7,,8.75,6.75,N1,6.5,8.5,
10000012,45197,5.5,8.4,7,9,6.25,,N1,,,8.75
10000013,45198,,2.8,,,1.5,5.75,,4.5,,
10000011,45196,,6.8,,,6.75,7.75,,7,7.25,
10000014,45669,,3.4,,,4.75,7,,4.75,,
10000016,46113,5.5,8.6,6.8,9.25,6.75,,N1,,,7.5
10000015,45621,7.75,8.4,9,8,7.25,,N1,,,7.75
10000017,45199,7,8.2,8.6,5.25,7.5,,N1,,,8.25
10000019,45622,,7,5,,8.75,9,N1,7,7.5,
10000018,46483,,7.6,6.8,,8.75,6.75,N1,5.75,8.5,
10000020,46106,6.75,8.2,9.2,7.25,8.5,,N1,,,8.25
10000022,45200,,8.4,8.6,,8.5,8,N1,7.75,8.75,
10000023,45623,9.25,8,7.8,9.5,8,,N1,,,5.5
10000024,45670,,9,9.4,,8.25,9.25,N1,9.25,9,
10000021,46109,5.5,8,7.8,7.75,8.25,,N1,,,5.25
10000025,50370,,2.2,,,2.5,5.5,,4,,
10000028,45624,,7.8,7.6,,9.5,7.75,N1,6.25,9,
10000026,45201,9,8.8,7.6,8.5,9,,N1,,,3
10000027,46107,8.5,8.2,8.2,8.75,8.5,,N1,,,7.75
10000029,46484,,4.8,,,8,8.25,,8.25,,
10000030,45202,,8,7.4,,8.75,9.25,N1,7.5,9.25,
10000031,51520,,8,9.6,,8,9,N4,9,9.5,
10000032,46110,5.75,8.8,8.6,5,7.75,,N1,,,8
10000034,45203,,3.4,,,5.25,5,,5.25,,
