Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
11000009,64728,,3,3.6,,7.5,7,N1,5.5,8,
11000006,64736,,6.2,3.8,,8.25,8.5,N1,8.25,8.75,
11000001,64726,,6.2,3,,7.25,8.5,N1,5.5,8.25,
11000003,64727,,5.6,7.8,,8,10,N1,9.75,8,
11000008,65624,,3.6,4,,7.5,7,N1,8,7.25,
11000002,65586,7.25,7,7,6,7.25,,N1,,,7
11000007,61262,,4.8,3.4,,7,7,N1,3.25,8.25,
11000004,65623,,3.6,3,,6.25,6.5,N1,5.5,7.75,
11000005,65601,,3.4,4,,4.5,6.5,N1,5.75,8,
11000010,64737,,7.8,5.8,,8.5,8,N1,6.5,9,
11000011,64738,,8,4.6,,7.5,7.5,N1,8.75,9.5,
11000012,64729,,2.2,3.2,,5,6.5,N1,6.5,9.25,
11000013,64732,,4.6,2.8,,5,8.25,N1,7.75,8.5,
11000015,65625,,1.8,2,,3.83,6.75,N1,5.25,8,
11000014,64733,,4.6,,,4,5.75,,6.5,,
11000018,61269,,3.4,1.8,,3.5,7.75,N1,7,8,
11000016,64734,,2.8,2.2,,4,6.5,N1,4,8,
11000017,64730,,3.4,,,3.5,4.25,,3.5,,
11000019,64735,,6.8,4.8,,7.5,7.75,N1,7.75,7.75,
11000021,64740,,7,4.6,,7,7,N1,7.75,7.5,
11000020,64739,,5.4,4,,8.25,8.5,N1,8.25,9.25,
11000023,65083,,5,3.2,,6.25,7.5,N1,6,8.5,
11000022,67390,,5.2,3.4,,5.5,8.5,N1,6,8.25,
11000025,64731,,6.2,4.6,,5.75,7.75,N1,5.5,8.5,
11000024,65602,,5.8,,,6,6.75,,6.25,,
11000026,65626,,4.6,5,,6.75,8.25,N1,7.75,9,
11000027,65084,,3.8,2.4,,4,6,N1,3.5,5.75,
11000028,67391,,2.8,,,5.25,4.25,,5,,
11000029,65085,,3.2,2.8,,5.75,6.75,N1,4.25,8,
11000030,65086,,4.4,3.4,,6,6.75,N1,5.5,7.75,
11000031,67412,,,,,8.25,10,,10,,
11000032,65587,6.5,7.8,3.6,4.5,6.75,,N1,,,6.75
11000033,65087,,7,3.8,,8.25,8,N1,7.5,8.75,
11000034,65088,,7,4.8,,8.75,8.75,N1,8.25,9.75,
11000036,67413,,3.8,4.4,,6.5,6.25,N1,4.75,7.5,
11000035,65097,,4.8,3.4,,7.75,9.25,N1,7.25,9.75,
11000037,65089,,7.2,3.8,,7.25,8.5,N1,7.5,8.75,
11000038,65090,,4,3.8,,8,8.25,N1,8.25,9,
11000039,67414,,5.8,4.4,,8.5,8.25,N1,8.25,9,
11000040,65098,,3.8,3,,6.25,7.25,N1,7,8,
11000041,61174,,4.8,2,,7,7.5,N1,7.25,9,
11000042,65092,,7.6,6,,7.75,9,N1,9.5,9.5,
11000043,65588,6.5,6.8,5.2,7.25,5,,N1,,,6.25
11000044,65093,,6.2,4.6,,6,8.25,N1,9,9.25,
11000045,65603,,1.6,3.4,,2.5,4.75,N1,4.5,5.75,
11000046,65091,,4.2,4.6,,7.5,6.75,N1,6.75,8.75,
11000047,65094,,5.8,3,,7.5,8.25,N1,7.5,7.5,
11000048,65095,,4,4.6,,5.75,7.5,N1,6,6.25,
11000049,61176,,7,3.6,,5.75,8,N1,7,8.5,
11000050,65604,7.5,8.2,8,7.75,8,,N1,,,7.5
11000051,65627,,6,,,6.75,5.25,,5,,
11000052,65096,,4,3.2,,8.5,7.25,N1,8,7.5,
11000054,61177,,5,3.2,,7.5,7.75,N1,6.75,7.5,
11000053,65109,,4,1.8,,7.75,7.75,N1,5.5,9,
11000055,65605,,6.4,5,,7,8.25,N1,7.5,8.75,
11000056,67415,,4.6,1.8,,5,5.25,N1,6.25,6,
11000057,65104,,5.4,3.8,,5.5,7.75,N1,4.5,8.75,
11000059,65099,,5.4,,,5.25,7.25,,6.75,,
11000058,65105,,4.2,3,,6.5,6.25,N1,4.75,8.5,
11000060,65106,,6,3,,7.5,7.5,N1,6.5,9,
11000061,65583,5.75,6.6,3.2,5.5,5.5,,N1,,,7
11000062,65110,,3.4,3.2,,3.25,6.75,N1,4.75,6.5,
11000064,67416,,6.8,4.6,,8,9.75,N1,7.25,9.5,
11000063,65111,,5.4,5.6,,8.75,9.75,N1,9.5,8,
11000065,65989,7,7,6.6,5.75,6.5,,N1,,,7.75
11000067,65100,,6.4,5.6,,8.75,9,N1,8.5,9,
11000068,65112,,4.2,2.6,,6.25,7,N1,7,7.75,
11000069,65606,,3,,,2.5,3.5,,3,,
11000070,65101,,4.2,3.4,,5.25,6.75,N1,4.75,8,
11000071,61248,,4,,,4.75,7.25,,7,,
11000072,65107,,2.6,,,2.75,4.25,,2.75,,
11000073,61249,,5.2,3.2,,6,5.75,N1,6.25,7.75,
11000074,65102,,,,,8.75,9.75,,9.5,,
11000075,65108,,6,4.2,,7,7.75,N1,6.25,9.5,
11000076,61255,,5.8,4.2,,,,N1,,,3.75
11000077,65990,,5.8,5,,8.5,8.75,N1,8.25,9.5,
11000079,65589,6.5,7,8.6,6.75,6.25,,N1,,,7.5
11000078,65103,,4.6,4.4,,7.5,6.25,N1,7.25,8,
11000080,65113,,6,6,,7.5,6.75,N1,6.5,8.5,
11000081,65628,,8,3.8,,7,9,N1,7.25,8.75,
11000082,65590,6,7.8,5.6,6.75,5.5,,N1,,,7.5
11000083,67436,7.75,8,6.6,8.5,7,,N1,,,8
11000084,65584,7.25,8.6,5.2,7,7.5,,N1,,,7.5
11000085,65114,,3.6,3.8,,5,5.75,N1,5.25,7.25,
11000086,65115,,5.6,5.6,,6.5,7.25,N1,6,8.25,
11000087,61261,,3.6,,,4.5,5.5,,4,,
11000088,65116,,2.8,3.2,,4.25,5.5,N1,4,6,
11000090,65127,,3,3,,5.25,7,N1,4.5,8,
11000089,65117,,3.2,4,,6.25,7.25,N1,6,8.75,
11000091,67437,,4.2,3,,6.75,8.5,N1,6.5,8,
11000092,65118,,6.4,5,,6.5,8,N1,9.25,9.75,
11000095,67439,,7.2,2,6.25,,,N1,,,6
11000096,65629,,,,,7.25,9,,9.75,,
11000093,67438,,8,7.2,,9,,N1,,,
11000094,65123,,3.6,,,5.25,5.5,,5,,
11000097,67440,,2.8,2.6,,5.5,5.75,N1,5.5,7,
11000098,65124,,4.4,4,,5,6.5,N1,6.75,6.5,
11000099,65607,,3.6,2.2,,5.5,5.75,N1,5.75,7.5,
11000101,65120,,3.6,3.6,,6,6.75,N1,6.75,7.25,
11000100,65119,,5.2,4.8,,7.5,7,N1,3.75,6.75,
11000102,65128,,6,4.2,,8,7,N1,7.5,9.25,
11000103,65608,,3.8,3.4,,8,8,N1,9,8.75,
11000104,65125,,4.2,2.4,,6.5,5.5,N1,6.25,7.25,
11000107,65122,,4.6,2,,5.5,7.25,N1,4.5,8,
11000108,65126,,,,,8,10,,,,
11000105,67441,,4.8,,,5.5,6.75,,6.25,,
11000106,65121,,7.2,6,,8.25,9,N1,9,8,
11000109,67442,,7,5.6,,7.25,9.25,N1,7.75,9.25,
11000110,61247,,4.2,4.2,,5.25,7.75,N1,6,8.25,
11000111,65129,,6.2,6.2,,8.25,8,N1,6.5,8.25,
11000112,65609,,5.2,4.6,,6,7.75,N1,6.5,8.5,
11000113,65130,,5.2,4.2,,7,7,N1,5.75,8.25,
11000114,67460,,4.4,2.8,,6.25,7.75,N1,7.5,8.75,
11000115,65591,5.5,3.6,3,5,4.5,,N1,,,5.75
11000116,65136,,,,,3.25,6,,3.75,,
11000117,61229,,2.4,,,5.5,6.75,,5.5,,
11000118,65131,,3.2,,,4.75,5.5,,4.75,,
11000119,65610,,4,2.8,,3.75,6.5,N1,6.5,8,
11000123,65132,,4,,,4.5,6.25,,4,,
11000122,65137,,5,,,5.5,6,,6,,
11000124,65138,,4.2,2.6,,5,6.25,N1,5.25,7.25,
11000121,65630,6.75,7,4,5.25,7.75,,N1,,,5.25
11000120,65592,7.25,6,7,5,4.5,,N1,,,6.5
11000125,61230,,2.8,,,5,5.25,,4.5,,
11000126,65585,5,7,5.2,5.5,7.25,,N1,,,8.25
