Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
12000006,50073,,7.4,6,,7.5,6.25,N1,6,7.75,
12000001,50064,,6.2,5.6,,8.75,6.75,N1,6.25,7.5,
12000007,50076,,7.2,8.6,,8.25,7.25,N1,7.25,8.75,
12000002,50065,,7.4,4.8,,8,8,N1,6.25,8.25,
12000003,51856,,5.6,4.4,,6.75,5.25,N1,4.25,9,
12000008,61347,,3.6,8.6,,8.5,7,N1,8.75,8.5,
12000009,50067,,8,6.4,,9,7.25,N1,4.75,8.25,
12000005,50066,,4.4,5.2,,8.25,6.75,N1,4.75,7.25,
12000004,51428,6.5,7.2,6,7.75,6.75,,N1,,,6
12000010,50074,,4.6,5.6,,6.5,5.5,N1,6.25,8.5,
12000015,51405,,6.8,4.6,,7.25,5.75,N1,5.5,8.25,
12000014,51425,5.25,6.8,7.4,6.5,7.75,,N1,,,5.5
12000018,50078,,7.2,4.4,,9,7.5,N1,8.5,8.5,
12000013,61363,5.25,7,4.6,7,7.25,,N1,,,6
12000012,51433,7,8.4,6.2,8.5,7.5,,N1,,,5.5
12000017,50075,,6.2,3.4,,7.25,7.25,N1,6,9,
12000011,50077,,6.6,5.4,,7.5,8,N1,7.25,9,
12000016,51900,,6.2,2.8,,6,7.75,N1,7.5,8,
12000019,51406,,3.8,4.8,,7.75,7.5,N1,7.25,7.75,
12000020,50068,,4,4.8,,6.5,7,N1,5.5,7.25,
12000022,50069,,4.6,5.2,,6.75,6,N1,6,8.75,
12000026,61729,,5.2,4,,8.25,10,N1,9.5,8.25,
12000024,50070,,2.2,3,,8,6.5,N1,6,8,
12000021,61379,,8.2,4.2,,7.25,6.5,N1,6.75,8.75,
12000023,51407,,6,4.2,,8.5,6,N1,3.75,7.5,
12000025,51429,4.75,6,4.6,4.5,7,,N1,,,4
12000028,51901,,6,4,,8.5,7.75,N1,7.5,8.25,
12000029,50072,,6.2,6,,7.5,7,N1,6.75,7.75,
12000027,50071,,7.8,4.8,,8,7.75,N1,6.25,9,
12000030,51434,6.5,6.4,4.6,5.5,7.5,,N1,,,5.5
12000031,50107,,8.2,4.2,,5.5,7.5,N1,7,7.75,
12000035,50108,,6.6,7.6,,7.75,6,N1,4.5,7,
12000036,50115,,5.2,4.2,,4.25,5.25,N1,5.25,7,
12000034,61741,,8.8,5.8,,8.75,6.5,N1,3.25,7.25,
12000038,61751,7.25,8.2,4.6,8.25,8.5,,N1,,,8
12000037,61742,6.75,8.4,4.8,7.5,8.25,,N1,,,7.5
12000033,50120,,4.6,4.2,,8.5,7.25,N1,6.5,7.75,
12000040,51902,,5.6,3.8,,9,8.25,N1,9,9,
12000032,50114,,5.4,3,,7.75,8.25,N1,7.5,8.5,
12000039,50121,,4.6,3.4,,8,7,N1,4.75,8.5,
12000041,50109,,5.8,4.8,,8.75,8.25,N1,9.5,9.5,
12000042,50122,,4.8,3.4,,8,6.5,N1,6.25,7.25,
12000043,50123,,6,3.2,,7.5,5.25,N1,6.5,8.75,
12000046,50116,,7,6.8,,9,8,N1,8,9.25,
12000047,51409,7.25,8.4,8,6.75,8.25,,N1,,,8
12000044,51408,,6.6,3.4,,5.5,7.5,N1,7,8,
12000045,50110,,4.8,3.2,,6.5,5,N1,2.5,8.25,
12000048,50111,,6,4.4,,9,9.5,N1,9.5,8.5,
12000051,51426,5.5,8,4,7.25,8,,N1,,,8
12000049,50112,,5.6,4,,8.75,10,N1,10,9,
12000050,50117,,8.4,8.4,,8.75,9,N1,9.5,9.5,
12000052,50124,,6.4,4.6,,8.75,9,N1,9.75,9,
12000053,61791,,6.4,5.6,,7.75,6,N1,6.25,8.5,
12000054,68021,6.5,7.6,5.8,7.5,8.25,,N1,,,8.5
12000058,50118,,7.4,2.8,,6.75,6.5,N1,5.75,8,
12000059,50125,,3.2,2.2,,6.5,6.25,N1,3,7,
12000056,51410,6.25,8.4,5,7,7.5,,N1,,,6.25
12000060,61311,,5,3.6,,7,8.25,N1,9.25,9,
12000061,50119,,4.6,5.8,,7.75,7.75,N1,9.5,7.75,
12000055,51427,5.75,7.8,7.8,5.5,7.5,,N1,,,8.75
12000057,50113,,5.4,5.6,,8.25,9.5,N1,8.5,9,
12000062,50126,,4.4,2.2,,7.75,6.25,N1,6.5,7.25,
12000063,51430,6.75,7.2,5.8,6.5,8.5,,N1,,,6.25
12000064,61312,,6,3,,7,6.5,N1,6,6.5,
12000066,51903,,4.8,5.2,,8.75,7.5,N1,8,9.5,
12000067,61322,,7.8,8.8,,8.75,9.5,N1,8.25,9.5,
12000065,50127,,4.6,3.8,,8,8.25,N1,5.5,7.5,
12000068,61323,6.25,7.6,3.6,7,8.25,,N1,,,6.5
12000069,51411,,3.6,3.2,,8,6.75,N1,7,8.5,
12000072,61337,6.25,7.8,3.6,6.25,6.75,,N1,,,7
12000070,51435,6,8.2,5.6,7.25,7.75,,N1,,,8.5
12000073,51412,6.25,8.4,3.6,9,7,,N1,,,8
12000074,50505,,5,3.4,,6.5,6.25,N1,7,7.25,
12000071,50128,,6.2,5.4,,9,10,N1,8.75,9.5,
12000075,51431,5.25,7.4,2.6,7.75,7,,N1,,,7.25
12000079,51437,5,7.6,6,8,6.25,,N1,,,7.75
12000077,51413,4,6.4,5.8,3.5,6.5,,N1,,,6.75
12000076,51436,5.5,8.8,3.8,8,7.5,,N1,,,8
12000078,51432,6.25,7,4,6.5,7.25,,N1,,,5
12000084,50508,,7,3.6,,8.75,9.5,N1,9.25,8.5,
12000080,50506,,6.2,3.2,,6,6,N1,5.5,7.5,
12000083,50130,,6.6,4.6,,7,6.75,N1,4.5,6.75,
12000082,50507,,7.4,4.6,,7.75,5.25,N1,5.75,8.25,
12000081,50129,,8.2,4.4,,7,5.5,N1,5.5,6.25,
12000085,51914,8.5,7.6,6,8.5,8.25,,N1,,,7
12000086,50131,,7.4,6.8,,8.75,9.25,N1,8.5,9,
12000087,51915,,6.2,7.2,,7.25,7,N1,6.75,8,
12000088,50132,,7.2,5.8,,6,7.75,N1,7,8.5,
12000089,51916,,4.8,4.4,,7.75,8,N1,7.75,9,
12000090,50133,,5,4.6,,9,9.25,N1,9.75,8.75,
12000092,50134,,7.4,3,,6,5.5,N1,7,7.75,
12000094,50135,,6.4,4.4,,8.75,9.5,N1,9.5,9.25,
12000093,51917,,7.6,4.6,,8.5,7.25,N1,6,8.75,
12000091,61295,,7.2,2.6,,7.5,5.75,N1,6,7.25,
12000095,61296,,5.4,4.8,,6.5,6.75,N1,6.5,8.25,
12000096,50136,,4.6,4,,6,6,N1,5.25,7,
12000097,51918,,3.6,3.4,,6.5,4.75,N1,4.75,6.75,
12000098,50519,,7.8,7.4,,9,8.75,N1,9.25,8.75,
12000101,51919,,5.2,3.8,,9,10,N1,10,9.5,
12000104,61314,,6,4,,7,6.25,N1,7,8.5,
12000099,51414,5.75,7.6,5.4,4.75,8,,N1,,,5
12000102,50514,,3.6,3,,8,7.5,N1,7,7.25,
12000105,51920,7.75,7.2,4.4,8.5,7.5,,N1,,,8.25
12000106,51415,4.75,6.6,6,6,6.75,,N1,,,5.5
12000100,61313,,5.4,3.6,,7.75,5.25,N1,6.5,6.75,
12000107,61324,7.75,7.2,4,7.25,6.75,,N1,,,8
12000103,50520,,7.8,4.2,,9,6.75,N1,6,9,
12000108,50509,,6.6,6.2,,7,7,N1,8,9,
12000109,50515,,6.8,4.2,,7.75,10,N1,9.5,9,
12000115,50522,,4.8,3.2,,8.5,9,N1,9,9.5,
12000116,51865,,3,3.2,,7.5,5,N1,5,7.5,
12000117,50511,,5.4,5,,8,8.5,N1,7,9,
12000110,50521,,5.6,5.2,,7,5.75,N1,5.25,8.25,
12000114,50516,,4.6,6,,7.25,7,N1,6.5,9.5,
12000111,51416,,7.4,5.4,,8,6.75,N1,6,8.25,
12000113,50510,,6.8,7,,7.25,6.75,N1,7.75,8,
12000112,51458,6,8.6,8.4,7.25,8,,N1,,,9
12000118,50517,,4.8,5.6,,9.25,9.75,N1,8.5,9.5,
12000119,50523,,7.2,3.8,,8.75,8,N1,8,9.25,
12000120,51866,,5,5,,8.75,8.5,N1,7.25,9.5,
12000121,50512,,7.4,5.2,,8.75,5,N1,6,9.25,
12000122,50518,,6.6,5.8,,8.75,9.75,N1,8.25,9.5,
12000123,50524,,7.6,8.4,,9,8.5,N1,8,9,
12000128,50528,,5.4,4.8,,9.25,7,N1,6.75,8.75,
12000125,51921,7.75,7.8,7.6,6.5,8.25,,N1,,,8
12000126,50513,,6.2,5.6,,8.75,7,N1,6.75,8.75,
12000129,50566,,5.8,4.6,,8.75,8.5,N1,7.5,7.75,
12000127,61348,7.75,7.6,7.8,8.25,8,,N1,,,7.25
12000124,51867,,7.2,6,,6,6.75,N1,5,6.5,
12000130,50529,,7,3,,7.75,7.5,N1,6.5,9,
12000131,61364,,4.8,4.2,,7,6.25,N1,7.5,8.25,
12000132,51459,5.25,7.4,3.6,8.25,8,,N1,,,6
12000133,50530,,5.6,4.8,,5.75,6.5,N1,5,7,
12000134,50567,,7.4,4.6,,6.5,6.75,N1,6.75,7.75,
12000135,50531,,8.8,7.6,,8.75,7.5,N1,7.5,8,
12000139,51438,7.25,7.2,7.6,6.75,8.25,,N1,,,7.5
12000137,51868,,7.6,4.8,,8,6.25,N1,5.5,7,
12000138,50532,,8.2,4.6,,7.5,6.25,N1,6.5,9.75,
12000136,61380,5.75,8.8,9,9.75,6.75,,N1,,,5
12000140,50562,,6.4,4.8,,9.25,9.25,N1,9.5,8.75,
12000141,61381,,8.2,4.2,,8.5,8.5,N1,8.5,9,
12000142,51455,7.75,8.6,4.6,8.5,8,,N1,,,8.75
12000143,50563,,5.2,4.4,,7.5,6.25,N1,4.75,7,
12000144,50568,,6.2,3,,5.5,7.25,N1,5.25,8.75,
12000146,50565,,7,4.8,,9.25,10,N1,9.75,9.25,
12000145,50564,,2.4,4.2,,7,7.25,N1,5.75,8.75,
12000147,50525,,6.2,7.2,,9,7.75,N1,6.75,8.25,
12000149,51439,,4.4,4.2,,6,7.75,N1,7,6.75,
12000150,50570,,5.8,4,,7,6.5,N1,7.5,8.5,
12000148,50569,,7,3,,8,8.75,N1,8,8.75,
12000151,50526,,5.4,3.8,,6.75,5.25,N1,5.25,6.25,
12000152,50571,,7,4.6,,8,10,N1,9.75,8.75,
12000153,51440,,4.8,3.4,,4.75,7.5,N1,5.75,8,
12000154,50572,,6.2,5.8,,6.5,7,N1,6.25,8.5,
12000155,50527,,6,7.6,,8,6,N1,7.5,9,
12000156,50577,,7,6.6,,5,6,N1,5.75,8.25,
12000159,51452,7,8.4,5.8,8.25,8.5,,N1,,,8.25
12000158,50573,,6,4.8,,8.75,9.5,N1,8,9.5,
12000157,68022,5,7.6,6.8,4.5,7.75,,N1,,,8.5
