Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
13000007,735579,,8,8.8,,9,5.5,N1,8.25,8,
13000001,699505,9,7.6,5.6,8.75,7.75,,N1,,,8
13000002,735577,,8.8,9.6,,8.25,7.75,N1,7.75,9.5,
13000009,734232,8.75,8.4,4.4,9.5,8,,N1,,,4
13000003,699506,,8.2,8.2,,8.5,7.5,N1,5.75,8.5,
13000004,735578,3.75,8.4,7.2,9.25,8.25,,N1,,,6.75
13000005,730004,,8,9,,8.25,6.5,N1,7.75,8.5,
13000008,729615,,8.2,9.2,,8.5,7.75,N1,7.75,9,
13000006,729166,,9.2,9,,9,8,N1,7.25,8.75,
13000010,734233,5.5,8.4,8.4,8.25,7.75,,N1,,,8.75
13000012,735580,5.5,8.2,9.2,9.25,8,,N1,,,8.75
13000011,729167,,7.6,7.4,,8.25,9.75,N1,9.25,8.5,
13000013,729616,,6.6,7.4,,9,9.5,N1,9,9,
13000015,734225,4.75,8.4,8.4,5.5,8.75,,N1,,,5
13000014,729168,,7.6,8.8,,9.25,6.25,N1,6.25,8,
13000016,734226,8.75,8,8.6,9.5,6.25,,N1,,,6
13000019,735582,,6.4,7,,9,8,N1,8,8.5,
13000018,730005,,8.4,9.4,,8.75,9,N1,8.75,10,
13000017,735581,,9.2,9.6,,9,9,N1,9,9.25,
13000020,730007,,8.6,8.8,,9.25,8,N1,7.25,7.5,
13000021,729169,,8.4,9,,9,7.5,N1,7.25,9,
13000022,734234,8,8.8,8.2,8.75,8.25,,N1,,,5
13000024,730006,,8.4,9.2,,9,8,N1,7.75,9.5,
13000023,729617,6.75,8.6,9,6.5,9,,N1,,,8.25
13000027,734235,8.25,7.6,6.6,8.5,7.5,,N1,,,4.5
13000028,734236,7.5,8.4,8.2,8.75,7,,N1,,,7
13000029,734237,8.25,8.8,9,9.75,8.25,,N1,,,8
13000025,735583,,8.8,9,,8.75,6.25,N1,7.25,8,
13000026,734227,6.25,7.8,8.8,4,7,,N1,,,7.25
13000030,730001,,8.4,8.2,,8,8.75,N1,7.75,8.25,
13000031,699507,7.5,8.2,9.8,6.5,9.25,,N1,,,9
13000034,730008,,7.8,8.6,,9.25,7.25,N1,7,9.25,
13000032,734228,6.5,8.2,8.4,6.25,7,,N1,,,9.75
13000038,734238,2,8,8.8,5.75,5.75,,N1,,,7.5
13000033,730002,,6.4,8.8,,9.5,8,N1,8.5,9.25,
13000037,730009,,8.6,9.4,,9,8.5,N1,7.5,8.75,
13000040,734239,8.25,8,8,8.75,7.75,,N1,,,5
13000039,735584,,8.8,9.4,,9,8.5,N1,9,9,
13000036,734230,6,9.2,8.6,9.5,9,,N1,,,7.75
13000035,734229,9,8.6,5.6,8,8,,N1,,,3.5
13000041,699566,8.5,8.4,9.2,7.75,7.25,,N1,,,8.75
13000043,730003,,7.4,9.2,,9,7.25,N1,7,8.75,
13000042,699567,5,8.2,8.6,8,7.75,,N1,,,8.75
13000045,729170,6,7.4,8.4,5.25,7,,N1,,,5.5
13000048,729171,5.5,8.4,9.2,4.5,7.25,,N1,,,8.5
13000047,730011,,8.8,9.6,,9,10,N1,8.5,9.75,
13000044,734231,5.25,8.4,9.2,5.75,7,,N1,,,8.5
13000051,734251,5.5,8.6,8,10,8,,N1,,,8.75
13000046,730010,,8.6,9.4,,8,8.25,N1,7.25,10,
13000050,734244,7.5,8.8,9,8.25,7.5,,N1,,,9
13000049,735585,,6,7.6,,8.25,9.75,N1,9.5,9,
13000053,729525,,7,9.2,,8.5,9.75,N1,9,8.75,
13000052,735586,7.5,7.8,7.2,8.25,7.5,,N1,,,7.25
13000054,734240,7.5,8.6,9.2,9.5,7.75,,N1,,,5
13000056,734252,8,8.8,8.2,7.5,9.25,,N1,,,7
13000055,734241,7.25,8.4,8.8,7,7.5,,N1,,,8.25
13000057,699568,7.75,7.4,6.8,9.75,8.25,,N1,,,7
13000058,734245,5.75,8.2,6,9.5,8.5,,N1,,,6.75
13000061,735587,,8.8,8,,9.25,9.5,N1,8.75,8.75,
13000059,729526,,8,9.4,,9.25,7.25,N1,7,8.25,
13000060,730041,,9.4,9.4,,9.25,8.25,N1,7.5,9,
13000063,734254,7.25,8.2,5.8,9.25,7.75,,N1,,,6.75
13000062,734253,6.25,8.2,8.6,9,6.75,,N1,,,6.5
13000064,735588,,7.8,9.4,,9.5,8.5,N1,7.75,9,
13000065,699569,6.25,9,8.6,6.75,7.25,,N1,,,9
13000070,734242,7.5,8.2,8.4,6.25,7.25,,N1,,,8
