Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
14000002,659601,,6.6,5,,7,8.5,N1,9,8.25,
14000006,659609,,6.2,6.2,,6,6.25,N1,6,8,
14000004,659596,,7.4,4.6,,8,8.5,N1,9.25,8.25,
14000001,659608,,7,5.2,,5.5,6.25,N1,8,8.25,
14000005,665376,,4.8,3.4,,5.5,7.5,N1,5.5,7.25,
14000003,660032,5.5,6.8,3.6,6.5,6.25,,N1,,,2.75
14000009,659597,,7.2,,,5,7,,5.25,,
14000007,685420,,6,,,6.25,7.25,,8.5,,
14000008,659602,,5.6,7.2,,6.75,6.75,N1,3.5,7,
14000010,659603,,2.8,2.4,,5.5,5.5,N1,6,7.25,
14000012,659598,,6.8,5.4,,7,6,N1,6.75,8.5,
14000019,659599,,5.8,5,,7,6.75,N1,7,8.25,
14000014,659604,,6.4,4.8,,7.25,5.5,N1,5,8.25,
14000013,665377,,3.4,3.6,,5,4.25,N1,3.75,6,
14000016,683310,,,,,5.25,6.5,,7,,
14000018,660033,,7.2,6.4,,7.5,7.75,N1,7,9,
14000011,664944,7.5,7,4.8,7.5,7.25,,N1,,,5.75
14000015,659605,,4.8,6.2,,6.25,5.75,N1,6.25,7,
14000017,664945,6,8.6,6.8,8,5.5,,N1,,,6.75
14000020,659610,,5,8.6,,6.25,9,N1,8.75,9.5,
14000021,660034,,4,3.2,,5.25,7,N1,5.75,8,
14000024,660035,,3.6,4.2,,5.75,7.5,N1,6,8.5,
14000023,659606,,5.2,4.4,,6.75,5.75,N1,5,7.25,
14000022,665378,,5.4,4.4,,7.25,7.75,N1,7,9.5,
14000026,659600,,,,,6.5,9.25,,8.25,8,
14000028,660036,,5.2,,,5.5,7.5,,6,,
14000029,665379,,8,9,,7,8.75,N1,9.5,9.25,
14000027,659607,,7.8,6.2,,7.5,7.75,N1,9,9,
14000030,660037,,4.8,4.2,,6.5,5.5,N1,6,6.75,
14000025,683311,,6.8,3.6,,6,8.75,N1,8.75,9.5,
14000031,659611,,9,7.6,,8.25,7.75,N1,6.25,7.5,
14000032,665380,,7.2,6.2,,8.25,8.5,N1,9,8.5,
14000033,659616,,5.6,4.2,,6,7.5,N1,6.5,9,
14000035,683313,5,7,4.2,6.5,5.75,,N1,,,7
14000040,659612,,5,4.6,,7.75,7.25,N1,5.25,8.75,
14000038,659618,,5,3.8,,7.75,6.75,N1,9,9,
14000039,660962,,6.8,,,5.75,7.25,,6.5,,
14000037,665381,,7.2,5,,6.75,7,N1,8,8,
14000034,683312,,7.2,7,,7.75,8.25,N1,6,9.25,
14000041,659645,,6.6,6.6,,6.5,9,N1,8.5,9.5,
14000036,659617,,6.8,,,5.25,8.25,,7.5,,
14000042,683314,,6,4.2,,6.75,6,N1,5,8.25,
14000043,659613,,6.2,7.2,,7.5,6.75,N1,7.25,8.25,
14000044,659644,,8,8.4,,8.5,7,N1,7.5,9.5,
14000045,685788,,5.8,6.8,,7.75,6.25,N1,6,8.5,
14000046,685793,,7.6,,7.75,,,,,,5.75
14000051,683317,,7.8,6,,,,N1,,,6.5
14000048,665382,,5.8,6,,5.75,7,N1,6,7.5,
14000047,683315,,5.6,,,5,8.75,,6.25,,
14000050,683316,,6.4,5.2,,6,,N1,7.75,,
14000052,659646,,5.2,4,,6,7.75,N1,6.5,7.75,
14000053,665383,,4.6,3.2,,5.75,8.25,N1,7,8.75,
14000049,659614,,5,4.4,,5.25,7.75,N1,8,8.75,
14000054,659615,,5,3.8,,5.5,5.75,N1,5.5,7.5,
14000056,665384,,6,3.6,,7.25,6.5,N1,4.75,7,
14000062,659648,,6.2,,,5.25,6.5,,8,,
14000058,665385,,7.6,8.2,,7.75,7.5,N1,5.25,7.25,
14000059,659652,,6.8,4.2,,4.5,5.75,N1,4.75,6.75,
14000057,659656,,6.2,4.6,,5.5,7.25,N1,7,7,
14000055,659647,,6.4,4.8,,7,8.25,N1,8.75,8.25,
14000063,664951,6.75,7.4,6.4,5.75,6.25,,N1,,,7
14000064,664952,7,7,4.8,5.75,6.5,,N1,,,8.5
14000060,660963,,6.4,7.4,,6.75,6.75,N1,6.5,8.25,
14000061,664950,5,7.4,4.8,6,7.25,,N1,,,7.5
14000065,659653,,3.6,4,,6.5,6.5,N1,5.5,7,
14000066,665386,,4,2.6,,6.75,6.75,N1,3.75,5.25,
14000069,660964,,4.8,,,5.5,6.75,,7,,
14000073,682912,,4.8,4,,6,5,N1,5.25,8.5,
14000067,659649,,,,,4.5,5.75,,5.75,,
14000074,665388,,5.2,4.2,,6,7.25,N1,4.75,8,
14000068,664953,5.5,6.2,2.8,8,5.5,,N1,,,5.75
14000071,665387,,6,5.4,,5.75,8.5,N1,7.25,8.25,
14000072,664946,6.5,7,7,7.25,6.25,,N1,,,5.5
14000070,659650,,,,,5.5,5.5,,5,,
14000075,659657,,3,4.4,,3.5,6.25,N1,7.75,9.25,
14000076,659658,,5,3.2,,6.75,8.5,N1,7,9,
14000077,685407,,,,,7.5,8.5,,8.5,,
14000078,665389,,6,4.8,,8.25,9,N1,9.75,8.75,
14000079,659654,,7.8,8.2,,8.25,7,N1,8,9.25,
14000081,665390,6.75,7.8,4.2,6,6.75,,N1,,,5.25
14000080,685408,,,,,5.75,8.75,,7.75,9,
14000085,682913,,,,,5.25,4.25,,3.75,,
14000082,659651,,6.4,,,5.75,8.25,,5.75,,
14000083,659655,,4.8,,,6.75,8.25,,8.5,,
14000084,660965,,,,,2.5,4.25,,5,,
14000086,685409,,,,,6,6.75,,7,,
14000087,685410,,,,,5.25,7.25,,8,,
14000088,685419,,,,,5,7.75,,5.75,8.75,
14000089,659659,,4.6,,,5.75,6.25,,5,,
14000090,664947,5.25,6.4,4.6,5.25,5,,N1,,,5.25
14000093,660966,,7.4,5.6,,7,9,N1,9.75,9.75,
14000092,660077,,7,,,7.5,,,8.25,,
14000094,664948,5.75,8.4,8.6,4,,,N1,,,8.25
14000095,665391,,4.4,2.6,,5.5,5.75,N1,6,7,
14000091,659665,,,,,5,6.75,,4.25,,
14000097,659660,,3.6,4.6,,5.75,6.25,N1,6,8.5,
14000096,664956,5.25,6.6,5.8,5.5,6.75,,N1,,,6.75
14000098,665392,,4.8,5.4,,7.5,7.75,N1,6.75,9.25,
14000099,659661,,5.4,4.6,,5.5,5,N1,6,7.25,
14000102,660038,,6.4,4.4,,7.25,8.25,N1,8.5,8.5,
14000101,659662,,6.8,5.2,,8.25,7.5,N1,5.75,8.5,
14000100,665393,,5.4,3.4,,9,9.25,N1,8.5,10,
14000103,660039,,6.4,3.2,,5.75,7.25,N1,7.75,9.5,
14000104,665394,,3.4,4,,6.5,7.75,N1,4.25,8.5,
14000106,664957,8.25,7.6,6.4,8,7.25,,N1,,,8.25
14000107,665395,,4.8,6.2,,7,6.25,N1,8.5,8.75,
14000108,660040,,4.6,2.4,,5.75,6,N1,4.25,6.75,
14000105,659663,,7,4.2,,8.5,8.75,N1,7.25,9.5,
14000109,659664,,5.6,5.4,,6,5.75,N1,7,7.75,
14000110,665830,,4.6,2.8,,6,6.75,N1,6.75,8.5,
14000112,664958,6.5,6,5.2,4.75,5.5,,N1,,,6.5
14000111,664954,7.5,7.4,4,7.5,4,,N1,,,7.5
14000113,685846,,3.6,4.4,,5,5.75,N1,4.75,6,
14000116,665831,,8.2,4,,6.5,7,N1,8.75,9,
14000115,660042,,6.4,,,5.5,8,,6.75,,
14000117,661010,,6,5,,5.75,7,N1,6,8.5,
14000114,660041,,6.8,6.8,,7.5,7.75,N1,6,8.25,
14000118,665832,,4.6,3.4,,4.75,5.75,N1,5.75,6.75,
14000119,683307,7.5,8,,5.75,,,,,,
14000120,683308,,4.6,4.8,,6.25,6.25,N1,5.75,7.25,
14000121,661011,,,,,4.5,7,,6.75,,
14000122,660043,,3.6,3.6,,7.5,7.75,N1,7,8,
14000123,660052,,,,,4.5,6.5,,5,6.25,
14000124,665833,,6.6,4.6,,7,7,N1,6.75,8.25,
14000127,660047,,5.2,3.2,,4.75,6.75,N1,6,7.5,
14000125,683309,,6.8,5.8,,7.25,8,N1,8,10,
14000128,660053,,4.4,6.4,,6.25,7.25,N1,6.5,9.25,
14000126,660044,,6.8,4.6,,6.25,8.25,N1,8,8.5,
14000129,665834,,5.8,5.2,,5.75,6.5,N1,6.25,9,
14000130,660048,,4.8,6,,6.25,7.25,N1,5.5,9.25,
14000131,660049,,3.6,7.8,,6,5.75,N1,6,7,
14000132,665835,,6.2,7.6,,6.5,7.25,N1,5.25,6.5,
14000133,660045,,3.4,4.2,,5,6.5,N1,4.75,8.25,
14000134,665836,,6,5.6,,6.75,8,N1,7.75,8.75,
14000139,661012,,8.2,,,6.5,,,9.5,,
14000138,660046,,5.4,,,5.25,7.5,,7.5,,
14000135,664959,6.5,6.4,5.2,3.5,7.5,,N1,,,7
14000136,660050,,3.4,,,5,5.5,,4.25,,
14000137,683318,,4.4,3.4,,6,5,N1,4.25,8,
14000140,660051,,6.6,,,5.75,7.75,,6.25,,
14000141,665837,,4.2,2,,6.75,6.75,N1,5,6.75,
14000143,664960,6.5,7.4,6.8,4,6.75,,N1,,,8.25
14000142,660087,,4.2,4,,6.75,6.5,N1,7,9,
14000144,665838,,4.4,6.2,,6.75,5.75,N1,7.75,7.5,
14000146,665839,,2.8,6.8,,6.5,5.5,N1,5.75,7.25,
14000145,660057,,5.2,8.4,,7.25,7.25,N1,7.75,9.25,
14000148,660054,,,,,3,3.75,,3.75,,
14000149,660058,,4.8,5.8,,5.25,6.75,N1,5.75,7.5,
14000151,660059,,3.6,4.4,,7,6.25,N1,5.75,8.25,
14000150,683319,,3.4,,,5.25,4.75,,5,,
14000147,685847,,4.6,9,,6.5,8.25,N1,7.75,8.75,
14000153,683320,7.25,8.6,6,8.75,7.25,,N1,,,9.25
14000154,660088,,3.2,6.8,,4.75,5.5,N1,5.25,7.5,
14000152,665840,,3.2,2.2,,5.75,4.25,N1,3.75,4.5,
14000155,665841,,7.2,8.6,,7.5,7.5,N1,6.5,8.5,
14000159,683321,,6.6,4.4,,6.25,7,N1,6.75,8,
14000162,661014,,6,,,5,6.25,,6.75,,
14000157,660055,,4.4,,,5.75,,,6,,
14000163,664955,,6,,6.5,,,,,,5.5
14000161,683322,,6.6,6.4,,7,5.75,N1,4.5,8.25,
14000164,660078,,3,3.8,,4,4.75,N1,4.75,6,
14000160,664949,3.25,7.8,,7.75,,,,,,8.25
14000156,661013,,3.4,4.4,,5.5,5.25,N1,6.5,7.5,
14000158,660085,,4,4.2,,5.5,7,N1,6.25,6.25,
14000165,683323,,7.8,7,,6.5,6.25,N1,5.5,8,
14000166,665842,,5.2,6,,6.75,7,N1,6.5,8.5,
14000167,660079,7.25,7.2,5.8,7.5,6.5,,N1,,,7.25
14000168,660086,,,,,5.75,8.25,,8,8.25,
14000172,660089,,7.2,5.2,,6.5,7,N1,7.25,9.25,
14000169,660056,,6.8,5.4,,7,9,N1,7.75,9.75,
14000170,660093,,7,5.2,,8,7.5,N1,7,8.75,
14000171,665843,,6.4,5.2,,8.25,9.75,N1,9.5,8.25,
14000174,660094,,6.8,4.6,,6.5,8.25,N1,8,9.5,
14000173,665399,6.25,8.2,4.8,7.25,5.25,,N1,,,7.5
14000175,685821,,3.2,,,3,,,3.75,,
14000176,660080,,4.2,4.2,,5.75,7.25,N1,6,8.5,
14000177,683324,,6.8,6.2,,7.25,9,N1,7.75,9.25,
14000178,665844,,7.4,7.6,,7.5,7.75,N1,7.5,8.75,
14000183,660090,,,,,6.25,5,,7,,
14000184,683325,,5.2,4.2,,6.5,5.5,N1,4.75,6.25,
14000181,665845,,6.2,4.2,,6.5,7.5,N1,7,8,
14000179,660095,,3.2,6.2,,5.5,7,N1,6,8.25,
14000185,660081,,5.2,3.8,,3.75,5.25,N1,4.75,7.75,
14000182,685830,,5.8,4.4,,6.5,7,N1,4.25,8,
14000180,660096,,4.2,4.4,,5,7.25,N1,4.75,7.5,
14000186,661015,7,5.6,4.6,6.75,6.5,,N1,,,6
14000187,665846,,3.4,4.8,,3.75,5.5,N1,5,6,
14000188,660097,,6,6.4,,6.5,7.5,N1,5.5,8.5,
14000189,683326,,7,6.8,,8,8.75,N1,9,9.25,
14000192,660091,,3.6,2.4,,7.25,7,N1,8.25,8.5,
14000190,660082,,7,5.4,,6.25,8,N1,8.25,9.5,
14000191,664961,7.25,7.6,7,6,5.25,,N1,,,6.75
14000193,660083,,3.6,3.8,,7,6.25,N1,5.5,8,
14000195,660092,,5.4,,,7.25,6,,5.75,,
14000194,665847,,6.8,4.8,,7.5,7.25,N1,5,7.5,
14000197,664962,8.25,7.6,4.6,6,8,,N1,,,6.5
14000196,660084,,7,7.4,,8,8,N1,8,9.25,
14000199,683327,,6.4,5.2,,5.75,6.5,N1,7.25,7.75,
14000201,660098,,6.6,7.2,,7.25,8.25,N1,7.5,8.75,
14000200,660119,,3.4,3,,5,7.25,N1,5.75,8.25,
14000206,660485,,,,,4.5,6.5,,6.5,,
14000202,685810,,,,,6,6.25,,6,,
14000203,665396,7.75,7.4,6.6,5.5,7,,N1,,,8.5
14000204,665400,7,6.2,4.4,5.75,6.25,,N1,,,7.25
14000209,683328,7.75,6,5.2,6.5,8.25,,N1,,,6.25
14000207,665848,,3.4,3.8,,6.5,8.5,N1,8.25,8.5,
14000205,665401,5.75,7.6,3.8,5.5,5,,N1,,,5.5
14000208,664963,6.75,6.2,4.4,6,7.25,,N1,,,7.5
14000211,660120,,4.4,5,,7.5,6,N1,5,7.75,
14000212,660486,,4.6,8.4,,6.5,5.75,N1,6.5,7.5,
14000213,683329,,6,,4.5,,,,,,4.75
14000215,685817,,2.8,,,6.25,6.5,,7.75,,
14000214,660099,,,,,7.25,8.5,,7.5,8.25,
14000218,660490,,5.2,4,,6.5,7.75,N1,6,7.75,
14000217,665402,4.75,8.2,5.4,8.5,6.5,,N1,,,8.25
14000216,660121,,5.8,6.4,,5,7,N1,8.75,8,
14000219,660122,,6.6,4.8,,6.5,8.25,N1,7.5,8,
14000220,660100,,3.2,4.2,,3.5,6.25,N1,3.75,7,
14000221,665849,,6.2,3,,6.5,9.75,N1,8.5,9.5,
14000222,660487,,5,4.4,,6.25,7.75,N1,5,8.75,
14000223,660101,,6,,,5.5,5.5,,6.25,,
14000224,660488,,,,,6.5,7.5,,6.25,,
14000226,660102,,7,4,,5.5,7.5,N1,8.5,8.25,
14000225,660123,,7.6,5.2,,6.25,8.75,N1,9.25,8.75,
14000227,660489,,7.2,5.4,,6,7.5,N1,6.75,8.5,
14000229,683330,,,,,5.5,7,,6,,
14000228,660124,,6.8,7.6,,6.5,7.75,N1,7.5,7.75,
14000230,661016,,7,,,6,7.25,,6.5,,
14000231,665850,,6.2,5,,6.25,6.5,N1,7,9.25,
14000232,685811,,6.6,7.2,,6,,N1,,,
14000233,660494,,4.6,1.8,,5.5,3.5,N1,3.75,6,
14000234,685812,,,,,6,6.75,,6,,
14000235,660125,4.75,7,6.4,4.25,6.25,,N1,,,6.5
14000236,665851,,5.6,4.4,,5,4.5,N1,5.5,5.25,
14000238,661017,,2.4,,,3.75,3.25,,2.25,,
14000239,664964,4,7.8,4,4.75,6,,N1,,,8
14000237,665397,6.25,7.8,5.8,5.5,7,,N1,,,8.5
14000240,683331,3.25,7.8,3.4,6.75,6,,N1,,,6.5
14000241,685818,,4.8,,,5,6.75,,4.5,,
14000242,661018,,,,,7.75,9.75,,9.75,,
14000243,660491,,5,,,6.5,,,6.75,,
14000244,660126,1.75,7.2,,6.75,,,,,,8.75
14000245,683332,,3.2,,,4.25,5.25,,3.25,,
14000246,665852,,7.6,4.8,,6.25,7.5,N1,9.25,6.25,
14000247,661401,,5.8,3.2,,6.25,7.25,N1,8.5,7.75,
14000249,664965,4.75,7,5.2,7,6.75,,N1,,,7.5
14000248,660127,,5.4,3.6,,5.25,6.25,N1,7.5,7,
14000251,660492,,7.8,5.6,,8.25,9,N1,8.5,9.75,
14000250,665853,,3,2.8,,4.75,6,N1,4.75,6.75,
14000253,660493,,6,4.2,,7.75,9.5,N1,9.25,9,
14000254,665854,,6.8,7,,8.5,7.75,N1,7,9.25,
14000255,660495,,6.4,7,,8,8,N1,7,7.5,
14000252,661402,,,,,7.25,8,,6,,
14000256,685822,,7,5.2,,7.5,8.25,N1,7.25,6.75,
14000257,660128,,8,6.2,,7.75,10,N1,8.75,8.25,
14000259,665855,,2.8,4.8,,7.75,6.25,N1,7.5,6.25,
