Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
15000004,666462,6.75,7.8,8,4.75,7.5,,N1,,,8.5
15000008,671479,,7.2,8.8,,7.75,6.75,N1,7,8.75,
15000007,670374,,8.2,9.6,,9.25,9.25,N1,9,8.25,
15000006,670707,,9.2,8.6,,8.75,7.75,N1,7.25,8.5,
15000001,670742,9.5,9,8.2,9,8,,N1,,,4
15000003,670706,6.5,7,6.2,7.5,7.75,,N1,,,2.75
15000002,670743,3.25,7.8,5.8,9.5,7.5,,N1,,,8.75
15000005,666463,,6,,,9,10,,9,9.75,
15000009,669030,,8.2,9.4,,9.25,8,N1,8,8.75,
15000010,671480,,7.6,9.6,,9,8,N1,7.75,9,
15000011,669173,,8,8.6,,8.5,6.75,N1,5.5,6.75,
15000012,670744,7.25,7.6,9.2,6.5,7.75,,N1,,,6
15000013,671481,,8.2,9.6,,9.5,9.5,N1,9,8.75,
15000016,671482,,5.8,6.8,,9.25,10,N1,10,9,
15000019,669175,,7.6,8.8,,8.25,8.25,N1,8.75,8.25,
15000014,670745,5.75,8.4,6.8,10,8.5,,N1,,,7.25
15000018,670708,,8,9.6,,8,9.25,N1,9.75,9.5,
15000017,669031,,8.2,9.6,,9,8.5,N1,7.75,8.75,
15000015,669174,,7,9.6,,8.25,9.75,N1,8,7.75,
15000020,670748,7.25,8.8,6.2,9.75,8.25,,N1,,,8.5
15000021,671483,,8.8,9.8,,8,8.25,N1,9.75,8.25,
15000022,670709,5.25,7.4,9.2,4.75,8.5,,N1,,,7.75
15000024,669176,,8.4,9.6,,9.25,8.5,N1,7.5,9.25,
15000023,670740,5.25,8.8,5.8,9,8.25,,N1,,,8
15000027,671638,6.75,7.2,8,9.25,7,,N1,,,6.75
15000028,671484,,7.8,8.8,,7.25,8.5,N1,9,8,
15000025,670746,8.75,9.2,8.6,10,8.75,,N1,,,8.5
15000026,671476,,6.4,7.4,,8.75,10,N1,9.5,7.5,
15000029,670747,9.5,8,8,9,8.25,,N1,,,6
15000030,670710,8.5,8,7.6,9,7.25,,N1,,,5.5
15000031,669178,,8.4,9.2,,8,7.25,N1,8,8.5,
15000032,669179,8.5,8.8,8.4,9.25,8,,N1,,,6
15000034,671474,,8,8.2,,9.25,6.25,N1,6,8,
15000033,667290,8.75,8.6,8.2,9.25,8.25,,N1,,,5.25
15000039,671478,,7,7.8,,7.25,7,N1,7,5.75,
15000036,671485,,5.8,7.6,,8.75,8.75,N1,10,8,
15000038,671475,,8,8.6,,9.5,7,N1,7.75,8.75,
15000035,671477,,7.8,8.6,,9,8.25,N1,8,8.75,
15000037,667291,,8,8.8,,9.5,8.25,N1,6.5,8.25,
15000040,670741,6.25,9,7.2,8.5,7.5,,N1,,,9
15000041,670711,8,8.6,8,9.75,8.25,,N1,,,8.75
15000042,671486,,6,5.8,,8.75,9.75,N1,9.5,8.25,
15000044,671487,,8.6,9.6,,9.5,9,N1,8.75,8.75,
15000048,671488,,5.4,7,,9.5,9.75,N1,10,9.25,
15000045,670712,6,8.4,9.4,6.5,8.75,,N1,,,9.25
15000046,670713,9.25,7.2,6.6,9,8.25,,N1,,,5.25
15000049,670715,5.25,8.6,9.4,2.75,8.75,,N1,,,5.75
15000047,670714,,6.4,6.8,,9,9.75,N1,9.75,8.5,
15000050,671494,,5.2,7.8,,9,8.25,N1,8,8,
15000051,671499,,5.2,7.8,,9.5,9.25,N1,10,7.5,
15000052,670716,,8.2,9,,9.5,7.5,N1,7.75,8.5,
15000054,670717,8,8,9.2,5.75,8.75,,N1,,,8.75
15000053,669153,9,8.6,7.2,8.75,8.5,,N1,,,3.5
15000055,669164,7.75,7.4,7.6,8.25,9,,N1,,,8.25
15000056,671639,4.5,8.2,8.2,5.75,8.5,,N1,,,7
15000057,669165,,7.4,8.2,,8.75,5.5,N1,5.25,7,
15000059,671489,,5.8,6.6,,9,10,N1,9.5,7.5,
15000058,670718,6.25,8.4,6.8,5.75,7.75,,N1,,,7.25
15000060,671980,6.75,8,9.2,4.5,8.5,,N1,,,8.75
15000062,671495,,7.6,9.6,,9,8.75,N3,8.25,9.25,
15000061,669169,5.75,9,8.2,8.5,9,,N1,,,9.5
15000063,671500,,7,9.8,,9.25,10,N1,10,9.5,
15000064,667292,,7.8,9.6,,9,8,N1,8,8.25,
15000065,671490,,7.2,7,,9.5,8.5,N1,9,9.25,
15000066,671496,,8,9.4,,9,8.25,N1,6.5,8.75,
15000069,671645,6.5,8.2,9.8,5.25,8.25,,N1,,,7
15000067,671640,5.25,7.8,9,7,8.5,,N1,,,4.75
15000068,671501,,8,9.8,,9.5,9,N1,7.75,9.25,
15000071,669170,9.25,9,8.8,9.5,6.5,,N1,,,4.25
15000070,670719,6.5,8.8,8.2,4,8.25,,N1,,,9.75
15000073,671977,5.75,8.6,10,5.25,7.75,,N1,,,7.75
15000072,671641,7.25,9,7.4,8.75,8.75,,N1,,,8.5
15000074,671491,,7.2,7.2,,8.25,7.5,N1,5.5,7.25,
15000075,670720,6.25,8,9.8,4.25,8.75,,N1,,,5.75
15000076,669156,7.5,8,7.6,8,7,,N1,,,7.5
15000077,671642,8.25,8.8,9.6,5.5,8,,N1,,,6.5
15000078,671978,6.5,7.2,8.6,8.25,7.25,,N1,,,4.5
15000079,671497,,8.2,9,,9.5,9,N1,8.25,7.75,
15000082,669483,6.75,9,8.2,8,9,,N1,,,9
15000083,670721,5.5,7.2,8.8,8.75,7.5,,N1,,,6
15000080,671502,,4.2,9.2,,6.75,7.5,N1,8,8,
15000081,671981,8.25,8.6,9.4,7.75,9,,N1,,,8
15000084,669158,,8.4,9.2,,9,7.25,N1,7.25,7,
15000085,671492,,6.6,6.2,,9.5,10,N1,9.75,9.25,
15000087,671498,,8.4,9.4,,9.5,7.5,N1,7.5,9,
15000086,671979,7.5,8.4,9.2,6.75,8.5,,N1,,,8.25
15000088,671503,,8,9.2,,9.25,6.75,N1,7.5,8,
15000089,667293,8.25,8.4,9,4.75,7.5,,N1,,,7.75
15000091,670722,9.75,9,9,9.5,8,,N1,,,6
15000093,667294,9.25,9.2,7.6,9,8.25,,N1,,,6.5
15000092,671982,7.75,8.4,8.4,8.5,6.25,,N1,,,6
15000090,671643,7.5,8.8,8.8,8,9.25,,N1,,,6
15000094,671644,6.75,8.2,8.6,5.25,8,,N1,,,6.5
15000095,670723,6,8.4,7.2,7,8,,N1,,,6.25
15000097,672848,7.25,8.8,8.6,7.25,8.25,,N1,,,8.75
15000096,669161,,8.6,9.4,,8.5,10,N1,9.75,9.5,
15000098,672849,5.5,8.6,6,9,5.75,,N1,,,7.5
15000099,671493,,8,8.6,,8.5,7.75,N1,7.75,7.5,
15000100,672850,6.25,8.2,5,9.5,7.25,,N1,,,9.25
15000101,670724,6.75,8,8.2,8.75,7.5,,N1,,,6.5
15000103,671983,5.5,8.4,7.4,7.75,8.25,,N1,,,8.25
15000102,669166,7.25,9,8.6,4.25,7.75,,N1,,,9.5
15000104,672851,4.25,8.4,6.2,9.25,8,,N1,,,9.5
15000105,670725,2.5,7.4,8,6.25,8,,N1,,,9
15000109,670726,7.5,8.2,6.8,8.75,7.25,,N1,,,9.25
15000108,671984,6.5,8.4,8.8,4.5,8.75,,N1,,,6.75
15000106,669167,,7.8,8.4,,8.75,7.5,N1,7.25,8.5,
15000107,669168,7,8.8,9,5,3.5,,N1,,,9
15000112,672830,,4.6,7.6,,5.75,6.75,N1,5.5,7.25,
15000110,668137,,7.4,9.2,,9,7.25,N4,7.25,9,
15000111,672823,,8.6,8.8,,9,9.5,N1,9,9.25,
15000114,671987,6.5,7.6,9.6,3.75,7.25,,N1,,,6.25
