Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
16000002,706664,,8.8,9.4,,9,9.5,N1,8.75,9.25,
16000008,707144,,8.8,9.4,,9.25,9.25,N1,8.25,10,
16000007,706683,,7.8,9,,8.25,9,N1,8.25,9.25,
16000004,706666,,5.6,4.2,,8.75,9.5,N1,8.25,9.5,
16000001,706663,8,8,8.2,9.5,9,,N1,,,7.5
16000009,706684,,8.4,5.8,,9.25,8.25,N1,7.5,9.5,
16000006,706668,8.5,8.8,7,9.25,8.75,,N1,,,9.25
16000005,706667,,6.8,8.4,,9,9,N4,9.25,9.25,
16000003,706665,,7.6,8.8,,9.25,9.75,N1,9,10,
16000010,707139,,7.8,9.2,,9.25,9.25,N1,9.25,9.5,
16000011,706669,8.75,8.8,7,9,8.25,,N1,,,8.5
16000016,706686,,7,5.6,,9,10,N1,9.75,9.75,
16000013,706685,,8.4,8.6,,9.25,9,N1,7.75,9,
16000017,707141,,8.8,6.4,,8.5,10,N1,9.75,9,
16000012,707140,,8.4,8.6,,8.75,9,N1,7,9.5,
16000018,707145,,5.6,9,,9,8.75,N1,8.75,9,
16000014,715772,,8.6,8.8,,9.25,9.25,N1,9,9.5,
16000015,706670,7.75,8.4,6,8.25,8.25,,N1,,,6.25
16000019,715800,,8,8.8,,9.25,8,N1,8.5,9.75,
16000020,721810,,8,6.8,,8.5,9,N1,9,9,
16000021,706687,7.75,8.2,8,9.25,8.5,,N1,,,7.75
16000024,721811,,7.4,7.2,,8.75,9.75,N1,8.75,9.25,
16000026,706672,7.5,7.8,6.2,6.75,8.25,,N1,,,7.5
16000023,706671,,7.8,8.4,,9.25,8.25,N1,8,8.75,
16000025,706688,7.75,8,8.2,9,7.75,,N1,,,8.5
16000027,707143,,8.6,9.8,,8,9.25,N1,9,9.75,
16000022,707142,,7.8,9.6,,9.25,9.5,N1,8.5,10,
16000029,706689,9.75,7.2,9.2,7.5,9,,N1,,,7
16000028,706764,,7.6,9,,8.5,7.75,N1,8.75,9.75,
16000031,715263,7.5,8.8,6.6,7.5,9.5,,N1,,,6.75
