Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
17000006,11308,,1.8,5,,6.75,4,N1,5.25,5.5,
17000007,20945,,3.6,,,7.5,6.5,,5.25,,
17000001,11307,,6.6,9.2,,8.75,7.75,N1,7,8.25,
17000003,12193,,4,5.8,,7.5,6.75,N1,5.5,6,
17000004,11505,,4,,,6.75,6,,3,6.75,
17000002,1000156,,2.8,2.2,,5.75,6.5,N4,5.5,6.5,
17000008,1000183,,5.6,,,6.25,5.25,,7.5,,
17000009,1000184,,2.2,,,5.5,5.75,,5.75,,
17000005,11506,,5.8,7.4,,9,8,N1,8,8.5,
17000010,11507,,2.6,,,5.75,5.5,,7,,
17000011,20946,,7,4.2,,7.25,6.75,N4,5,7,
17000012,10018,,4.4,5.8,,6.75,6.5,N1,6.25,7.25,
17000013,1000185,,6.4,,,6.5,7,,7.75,8.75,
17000018,10019,,6.6,,,7.5,8,,8.25,,
17000016,1000186,7,5.4,8.2,6,8.25,,N1,,,2.5
17000014,11508,,5.2,6,,5,4.5,N1,6,7,
17000015,20947,,2.4,,,5.75,4.5,,6,,
17000017,11309,,7,3,,5.25,6.75,N1,7.75,7.25,
17000019,20948,,5,7.8,,7.75,6.25,N1,5.25,8.5,
17000020,10017,,5.8,5.4,,4,4.5,N1,3.25,6.5,
17000021,10020,,5.6,,,4.75,7.5,,6.25,,
17000022,1001832,,3.2,5.6,,5,5,N4,5.75,6,
17000023,20949,,4,4,,4.75,3,N4,3.75,5,
17000024,10021,,6.4,,,8,7.75,,8.5,,
17000027,20950,,6.6,5.6,,5.5,4.5,N1,7.75,5.75,
17000026,1001852,8,6.2,6.6,7.25,7.5,,N1,,,4
17000028,10025,,8,6.4,,7.5,8.5,N1,9.25,7.25,
17000025,1001851,,5.4,5.6,,7,6.5,N4,6,7.25,
17000029,10029,,6,7.2,,7.25,7.25,N4,5.75,8.25,
17000030,1001853,,3.2,5,,4.5,5,N4,6,5.5,
17000031,20951,,4,,,6.25,5.25,,5.5,,
17000032,10030,,3.6,,,7,7.75,,8.25,6.5,
17000033,12400,,2.8,5.8,,7,6.25,N4,6,7,
17000034,10022,,6.8,5.8,,7.25,7.5,N1,6,9.75,
17000035,20952,,8,,,7,8.75,,9.25,7,
17000036,10031,,4.4,5.8,,6,6,N1,3.75,4.75,
17000039,20953,,4.6,,,8.25,7,,7.25,,
17000038,10026,,5,6.4,,6,7.25,N4,7,7,
17000040,10023,,6,3.8,,7,7,N1,8,7.75,
17000037,1001879,,3.8,,,5.75,3.75,,2.5,,
17000042,10032,,2.8,5.2,,6.25,5.75,N1,3.5,5.5,
17000041,10027,,4.2,8.2,,6,5.75,N1,5.5,8,
17000043,20954,,3,,,4,3,,4.75,,
17000044,10028,,5.4,,,7,7,,6.5,6.5,
17000045,1001897,,4.6,8.2,,5,6.25,N1,5.25,7,
17000046,1001898,,4.8,,,7.25,6.5,,5.75,,
17000047,20955,,7.4,5.8,,9,7.5,N1,7.25,9,
17000049,996656,,5,5,,5.5,6,N1,5,7.5,
17000048,10033,,6,7.2,,8.25,7.5,N1,8,8.25,
17000050,10024,,4.6,5.4,,4.75,5.25,N1,4.25,6.75,
17000051,20956,,4.2,2.8,,7.5,6,N1,7.75,7.25,
17000052,20957,,6.6,6.4,,7.5,6.25,N1,7.5,7.5,
17000053,20958,,5.4,,,4.75,5.75,,4.75,,
17000054,10034,,5,,,8.25,6,,7,8.75,
17000055,20959,,7.6,7.8,,8.5,6.5,N1,7,7.25,
17000056,20960,,5.6,4.6,,7.75,8,N4,6.25,8.25,
17000057,20961,,5.6,7.2,,6.75,5,N1,6,8.25,
17000058,11310,,1.4,5.6,,5.5,6,N1,6,8,
17000059,11311,,4.6,5.8,,6.5,6,N1,8.75,8,
17000061,12194,,2.6,,,4.41,5.75,,5.25,,
17000060,11312,,5.4,6,,7.75,5.25,N1,7.5,7.75,
17000064,10188,,4.8,4.8,,6,6.75,N1,5.25,7.25,
17000062,10191,,4.8,6.4,,6.25,6,N1,4.5,7.75,
17000063,998377,,6,6.8,,5.75,6.25,N1,7.25,6.25,
17000066,998462,,6.2,7.2,,7.25,5.5,N1,5.25,7.5,
17000065,20962,,5.8,5.8,,6.75,7.25,N1,6.75,8,
17000067,10190,,2.8,,,6,7,,6.25,,
17000068,20963,,4.2,6.2,,6.5,6.25,N1,5.25,8.5,
17000069,11313,,6.8,7,,6.75,6,N1,5.25,6.25,
17000070,10189,,7,5.8,,8.25,6.5,N1,5,8.25,
17000071,12195,,5.4,6.4,,7,5.25,N1,4.75,6.5,
17000072,20964,,6,,,6.75,7.25,,7,6.75,
17000075,12196,,5.8,,,6,5.25,,3.25,,
17000076,20965,,4.8,,,7,6.75,,4.75,7,
17000073,1000104,,4.8,,,6.25,7.5,,4.75,,
17000074,12224,5.25,7.2,8,5.25,7.5,,N1,,,5
17000077,10192,,3.8,,,3.5,6.75,,6,,
17000078,1000130,,6.4,6.4,,6.5,4.5,N1,5.75,5.5,
17000079,12197,,5.6,3.2,,5.25,5.25,N1,5,5,
17000080,20966,,3,,,5.5,5,,6.75,,
17000081,1000131,,3.2,,,4.75,3,,4.25,,
17000084,20967,,4.6,,,5.75,6,,8,,
17000086,10194,,4.4,,,7.75,7,,7.25,,
17000082,10193,,6.6,,,7,9.5,,9.25,,
17000087,12199,,6.4,,,7.25,8.75,,6.5,,
17000085,1000132,,4.4,,,7.5,8.25,,6.75,,
17000089,10196,,7.4,5.6,,7.5,7,N1,5.25,6.75,
17000088,20968,7.25,7.8,6.4,7.75,6.75,,N1,,,5
17000083,12198,,3.4,,,6,6.5,,5.25,,
17000090,10197,,6,7.8,,7.25,7.75,N1,6.5,7.75,
17000091,998403,,2.6,6.2,,5,5.75,N1,5.5,7,
17000092,12200,,8.2,5.4,,5.5,7.75,N1,7.25,9.25,
17000093,20969,,6,6.6,,7.5,7,N1,6,7.75,
17000094,10198,,6.4,7,,6.75,5.25,N1,6,7.75,
17000098,998433,,7.2,,,7.5,8.5,,7.5,7.75,
17000095,998404,,4,,,7.25,7.25,,6.25,,
17000096,12201,,3,4.6,,6,4.25,N4,5.75,7,
17000097,21308,,6.4,4.8,,6,6,N4,5,7,
17000099,10195,,5,,,6,5.75,,6.75,,
17000100,12202,,4,5.6,,5.75,6.5,N4,6.25,7.25,
17000101,22113,,6.2,4.8,,7,8.25,N4,7.5,7,
17000102,22107,,3,3.2,,4.75,4.75,N1,4.25,5.75,
17000103,22108,,5,3.6,,3,1.75,N4,5.25,7.25,
17000104,12203,,3.8,,,6.75,8,,7.25,,
17000105,21309,,3.2,6.6,,6.25,6.5,N1,5,6.5,
17000106,22109,,4.8,,,6.75,6.5,,6,8.25,
17000109,21310,,5,,,5,5.5,,7,,
17000108,22110,,5.4,3.8,,5.25,7.75,N1,7,8.75,
17000111,11315,,3.2,3.8,,5.75,7.5,N1,6.75,9,
17000110,22114,,4,3.2,,5.75,5.25,N1,4.25,6,
17000107,11314,,7,6.6,,3.25,4,N1,6,6,
17000112,1000078,,5,,,8.75,9,,7.25,,
17000113,22111,,4.8,,,4.5,5.75,,4.75,,
17000114,21311,,4.2,4.8,,4.5,4,N1,4,5,
17000115,22103,,6.8,6,,8,6.25,N1,6.25,8.25,
17000116,22112,,5.8,,,4.25,3.75,,5.75,6,
17000117,1000105,,3.4,,,5.75,6.5,,5.75,,
17000118,22104,,6.4,,,7,9.25,,9.25,,
17000120,1000106,,5.6,4,,7.5,5.25,N4,6.75,7,
17000121,22105,,6,7,,8,5,N1,5,6.25,
17000122,21312,,3.8,,,6,5.5,,6.25,,
17000119,22115,,6.4,4.8,,6.5,6.25,N1,6.75,8.25,
17000123,1000107,,4.2,5.2,,5.75,6.25,N1,5,6.25,
17000125,22127,,2.8,3.8,,6,5.75,N1,5,5.75,
17000124,22106,,5.2,,,7.75,7.5,,8,,
17000126,21313,,7.2,5.8,,7,7.25,N1,5.5,6,
17000127,22116,,6,5.2,,4.5,8.5,N4,5.75,8.5,
17000129,12393,,3.2,,,5.75,7.75,,5.5,,
17000128,22122,,2.2,,,6.25,6,,4,7.5,
17000130,22117,,6.4,,,5.75,8.25,,6.25,7.75,
17000133,12394,,3.8,4.6,,7.25,4.5,N1,3.75,6.75,
17000131,22123,,6,5.8,,6.5,6,N1,6.5,8.25,
17000132,22266,,5.8,,,5.75,8,,6,8.25,
17000134,22124,,2.2,,,5.5,4.25,,2.75,,
17000135,22128,,3.4,4.4,,4.75,5,N4,4,5.75,
17000136,22267,,4.4,6.8,,5.75,6.5,N1,5.5,9,
17000137,22118,,5.8,,,6.25,7,,6.5,,
17000138,22129,,2.8,5,,6.25,5.5,N1,4.25,7.25,
17000139,12401,,4,5.4,,5.25,5,N4,3.75,6.75,
17000140,22119,,3.6,,,7.75,6.75,,6,,
17000141,12395,,4.2,,,7.25,8.75,,6.25,,
17000142,22120,,3.2,3.4,,5.75,5.75,N4,5.5,7.75,
17000143,22125,,5.6,6.8,,7,8.25,N1,6.25,7.75,
17000145,22268,,4.4,5.2,,7.75,6.25,N1,8.25,8,
17000144,22130,,3.2,4.6,,5,4.75,N1,4.75,6,
17000146,22121,,4.2,4,,5.25,5.25,N1,4.25,6.25,
17000147,22126,,6,5.2,,7.25,5.25,N1,5,8.75,
17000148,22131,,6.4,4.4,,6,6.25,N4,6.5,8,
17000149,12396,,3.2,5,,4.5,3.75,N1,3.25,6.75,
17000150,1001833,,4.2,4.6,,6.25,6.5,N4,6,7.5,
17000151,12402,,3.8,5,,6.25,6,N4,7.25,8.75,
17000153,22132,,3.4,2.4,,4.5,5.75,N4,4.75,6.5,
17000152,22269,,2.2,,,7.25,5.75,,4.5,,
17000154,12397,,4.2,3.6,,5.75,6.75,N1,4.25,7,
17000155,23881,,6,,,4.5,4.75,,4.75,6,
17000156,22133,,1.6,5.6,,7,5.5,N1,4.25,7.25,
17000157,23882,,7.2,4.2,,8,6,N1,5.25,7.75,
17000158,1001854,,3.2,5.6,,5.5,5,N4,5.25,5.75,
17000159,23883,,4.4,3.4,,4.25,3.75,N4,6.25,6.5,
17000160,23886,,3.2,3.4,,3.25,4.75,N1,4.75,4,
17000161,23876,,2.2,2.6,,4.75,4.25,N4,3.75,5.25,
17000162,23877,,4.4,3.6,,6.5,5,N4,4.5,9,
17000163,22270,,3.8,,,6.5,7.5,,6,,
17000164,23878,,3.4,,,7.75,6,,6.5,8.5,
17000167,996657,,5.8,4.4,,6.5,6.5,N1,6.25,7.25,
17000166,23887,,4.2,3.2,,6,4,N1,4.5,7.5,
17000165,23884,,2.2,4.4,,5.5,7.25,N4,7,7.75,
17000168,23879,,5,5.6,,6,6.75,N1,5.5,7.25,
17000169,23885,,5.4,2.6,,6.25,5.5,N4,5.25,6.5,
17000170,23888,,6.2,3.4,,5.5,6,N1,7,7.25,
17000171,996679,,6,3.4,,7,6.25,N4,5,7.25,
