Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
18000003,758667,,6,4.8,,6.5,7,N1,6.75,7.5,
18000001,758666,,5.8,,,7.75,8.25,,6.25,,
18000005,696548,,6,2.2,,5.75,8,N1,5.5,9,
18000002,696060,4,7.8,5.2,7.5,7,,N1,,,7.75
18000004,763594,4.5,8.2,4,7.75,6.5,,N1,,,8.5
18000006,696061,,5,2.8,,8.25,9.5,N1,8.5,8.5,
18000009,758682,,3.4,3.2,,4.25,6.25,N1,5,8,
18000007,758681,8,9,4.8,9,7,,N1,,,9
18000008,766405,,6.6,3,,9,10,N1,8.5,8.25,
18000014,696063,,6.2,3.2,,6.25,6.75,N1,6.75,8,
18000010,696062,,5.8,4.2,,6.5,7,N1,6.25,8.25,
18000018,696550,,5.6,4.2,,7.5,7,N1,7.5,8.75,
18000012,758683,7.75,6.6,8.4,7.25,5.75,,N1,,,5.75
18000011,766402,,7.4,5.6,,7.25,8.25,N1,7.5,8.5,
18000016,765332,4.5,5.4,2.2,5,5.5,,N1,,,3
18000019,696064,,3.6,,,6.25,7.75,,5.75,,
18000015,766399,,5.4,4.8,,7.25,6.25,N1,6,8.75,
18000013,696549,,2,3.8,,6.25,6.25,N1,4,8,
18000017,696565,,6.2,3,,6.5,6.25,N1,5.25,7.25,
18000020,766403,,7.6,4.2,,5.5,6.75,N1,6.75,8.75,
18000021,696566,,5.4,3.6,,5.75,8.25,N1,7.5,8.75,
18000023,766400,,4.4,3.2,,8.5,6.75,N1,6,8,
18000029,696551,,5,2.2,,6.75,6.25,N1,5,7.25,
18000022,696065,,7,2,,7,7.5,N1,7.75,9.75,
18000025,696567,,4.6,,,6.25,6.25,,6.25,,
18000027,696066,,3.6,2,,8.5,9.5,N1,10,7.5,
18000028,757715,,6.8,,,6.5,7.25,,7.75,,
18000024,766404,,5.6,4.8,,8.75,9.25,N1,9.5,9.25,
18000026,766401,,3.8,,,5.5,6,,5.75,,
18000030,696067,,6.2,3,,5,8.5,N1,6.75,8,
18000031,757739,5.5,7.8,5.2,7.5,5,,N1,,,8.25
18000032,766406,,5.2,4,,6,6.25,N1,4.25,8.5,
18000035,757740,,8.6,6.6,,9,9.75,N1,9.5,9.75,
18000034,696068,,5.8,4,,7.25,9,N1,8.25,8.5,
18000033,696552,,4.2,2.6,,5.5,8,N1,5.75,7,
18000040,757762,,6.4,,,7.5,8.25,,6.5,,
18000039,767632,,3.8,2.8,,6.5,7.25,N1,7.5,7.5,
18000036,766407,,7,4.4,,7,7.5,N1,7.25,9,
18000037,696568,,5.8,,,6.25,6.75,,5.25,,
18000038,696069,,7,3.8,,7.5,7.5,N1,4.5,9,
18000041,696569,5.5,8,4.2,7.25,5.75,,N1,,,7.5
18000042,696070,7.5,8.2,5.4,7,7.5,,N1,,,5.25
18000043,696553,,6.6,4,,6.5,6.25,N1,5.5,7,
18000044,757791,,5.8,3.6,,5.75,6.25,N1,6.25,7.25,
18000049,696072,6.5,8.2,5.2,7.75,7.5,,N1,,,8
18000048,767630,,7.6,5.2,,8.5,9.75,N1,9.5,9.5,
18000051,696074,,3.2,2.8,,6.75,7,N1,7,8.75,
18000045,757792,,5.6,3,,5.5,7.75,N1,6.25,7,
18000050,696073,,4.6,2.2,,6.25,7.5,N1,7,9,
18000047,696554,,5,4,,5.75,6.5,N1,4.75,8,
18000046,696071,,5,3.8,,5.5,5.75,N1,4,7.5,
18000052,696555,,7.4,3,,7.5,8,N1,7.75,8.25,
18000053,696075,,3.2,3,,6.5,6.25,N1,5.5,7.25,
18000054,696076,,7.2,3.4,,6.75,7.5,N1,8.5,7.5,
18000056,696077,,7.2,5,,5.75,7,N1,7,8.25,
18000055,696570,,5.2,4,,7,8,N1,7,8.25,
18000061,758235,,5.8,2,,6.75,5.5,N1,4.25,8.25,
18000062,696556,,5.6,4.6,,8,8.5,N1,8.25,9,
18000060,696078,,6.4,,,6,8,,7.75,,
