Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
19000008,342763,,7,8.4,,9.25,9.5,N1,8.5,9,
19000003,339249,,5.6,2.8,,6.75,6.25,N1,4.25,7.75,
19000009,342641,,6.4,5.4,,6,6.75,N1,5.5,7.5,
19000002,342639,6.75,9.2,8.2,9.25,8.25,,N1,,,9.25
19000007,339250,,5.2,,,8,8.75,,5.75,9.5,
19000001,480363,4,8.4,7.8,5.75,8.5,,N1,,,8.75
19000004,341419,,9,8.6,,9.75,9.25,N1,7.5,9.5,
19000006,342675,,8.2,9,,9.5,9.5,N1,9,8.75,
19000005,342640,,7.8,8.4,,9.5,10,N1,9.5,9.5,
19000010,342676,,6.2,7.2,,8.5,5.75,N1,6,8.75,
19000011,342761,,8.8,9.4,,9.75,8,N1,9,9,
19000012,339251,,7.4,8,,8.5,7.75,N1,6.5,9.5,
19000014,480364,,7.8,8.4,,9.5,6.5,N1,3.5,9,
19000013,341420,,8.8,8.6,,9.75,8.5,N1,8.25,8,
19000019,342764,,7,4.2,,9.5,9.25,N1,9.75,8.25,
19000017,342642,,8.4,9,,9.5,8,N1,7.75,9.25,
19000016,342760,,6,4,,9,7.75,N1,6,8.5,
19000018,337948,7.75,9,9.4,9.75,8.75,,N1,,,9.75
19000015,337947,7.75,8.8,7,6,8,,N1,,,6.75
19000020,339252,,6.2,8.8,,9.5,7.5,N1,8.25,8.5,
19000021,342643,,5.8,5.8,,9,9.75,N1,9.5,8.5,
19000022,342762,,8.4,7.4,,9.5,8.5,N1,7.5,9.25,
19000023,342765,,8.6,9.2,,9.5,9.25,N1,8,9.25,
19000026,480366,,6.2,6.8,,9.25,8.75,N1,4.25,8.75,
19000028,480368,7.25,9,7.8,9,8.75,,N1,,,8.5
19000024,337952,8.25,9.4,7.8,9.75,8.75,,N1,,,5
19000027,480367,6.75,8.6,7.8,5.5,9.25,,N1,,,9
19000025,342644,,4.6,3.6,,8,7.25,N1,5.25,6.5,
19000029,342645,,8,8.2,,9.5,9.5,N1,9.75,9.75,
19000030,480369,,8,9,,9.75,9.25,N1,7.25,9.75,
19000031,480370,,8.8,9,,9.75,7,N1,8,8.25,
19000032,339253,,8.2,8.6,,9.75,8,N1,8.5,9,
19000033,342646,,6.2,7.6,,9.5,10,N1,9.25,9.25,
19000034,337949,5.25,9,9.2,4.25,8.5,,N1,,,8.75
19000035,337953,6.5,8.2,8,5.25,7.75,,N1,,,9
19000039,480365,,8,9,,9,7.75,N1,6.25,8.5,
19000037,341421,6.75,7.8,7.8,8.25,7.5,,N1,,,8.25
19000041,339255,,9,9.6,,9.75,8,N1,7.25,10,
19000040,337944,4.25,9.2,7.8,10,7.25,,N1,,,8.25
19000038,342647,5.75,7.8,5,9,7.25,,N1,,,8.75
19000036,339254,,4.6,3,,6.75,6.25,N1,4,7,
19000042,339256,,8.6,9.4,,9,8,N7,8.75,8.75,
19000043,339257,,6.6,4.6,,8,7.75,N1,5.75,8.5,
19000044,342648,,8.6,9.2,,9.75,8.25,N1,7.75,8.5,
19000045,337945,5,8.8,8,9.5,9,,N1,,,8.25
19000046,341422,,7.6,8.2,,9.5,9,N1,9,8.75,
19000048,480371,,8.2,7.8,,9.75,8.25,N1,8.75,8.75,
19000050,336707,,6.2,4,,7.5,7.5,N1,5.75,8.5,
19000051,336708,,5.8,3.8,,7.5,7.75,N1,8.25,8,
19000052,336709,,7.4,8.6,,9.5,7,N1,5.5,9,
19000047,342767,,6.8,5.2,,7.75,7.75,N1,6,8,
19000053,342766,,6.2,7.4,,9.5,9.75,N1,8.75,9.5,
19000049,336706,,7.6,7.6,,9.5,8.25,N1,6.75,8.75,
19000054,339258,,8.2,8.4,,9.5,10,N1,9.25,9.5,
19000055,336710,,7.8,8.6,,9.5,8.25,N1,8.75,9,
19000056,480373,7,9,8.8,8.25,9,,N1,,,8.75
19000057,337946,8.5,8.6,6.6,9.25,8.75,,N1,,,4
19000058,339259,7.5,8,9.2,4.5,8.5,,N1,,,8.75
19000059,336711,7.5,7.8,,7.25,8.5,,,,,8.25
19000064,337950,6,8.2,8.8,9.5,9.5,,N1,,,8.25
19000061,339260,,9.2,9,,9.75,9.75,N1,9.75,9,
19000062,341423,,5.6,6.8,,6.75,8.5,N1,6,9,
19000060,480374,9.25,9.4,8.8,10,7.5,,N1,,,6.75
19000065,337954,8.25,8.4,8.8,9.25,8,,N1,,,4.5
19000063,336712,6.5,9,6,8.5,8,,N1,,,9
19000066,480375,5,8.8,9,5,9.25,,N1,,,8.75
19000067,336713,9.5,9,7.2,10,8.75,,N1,,,4.5
19000068,480360,,8,7.4,,9.25,9.5,N1,7,7.75,
19000069,480361,,8.4,9.8,,9.75,8.75,N1,7,8.5,
19000070,480362,,8,10,,8.25,8,N1,7,8.75,
19000074,338440,6.75,8.8,8.6,3.5,7.75,,N1,,,8.5
19000073,336715,,6.2,3.6,,6.5,6.25,N1,3.5,7,
19000072,337951,8,8.4,,7.25,7.5,,,,,8.25
19000075,338441,6,8.6,8,8.25,7.5,,N1,,,8.25
19000071,336714,,8.8,9.4,,9.5,9.5,N1,8.5,9.25,
19000078,336716,7.25,8.6,6.6,8.5,8,,N1,,,8.75
19000077,339746,6.75,7.6,6.8,7,8.25,,N1,,,7.75
19000076,343174,,7.6,6.6,,8,6.5,N1,5.25,8.75,
19000079,338444,6.75,8.8,8.4,4.5,7.75,,N1,,,7.75
19000080,338449,7.25,8.6,7.8,10,6.5,,N1,,,9.25
19000082,338442,6.5,8.6,5.2,8.75,7.5,,N1,,,7.25
19000085,336718,7,9,9.4,6,8,,N1,,,9.25
19000083,338445,7.5,8.6,6.2,9,8.75,,N1,,,9.25
19000087,339747,,8.2,,,9.5,9.5,,9.5,9.5,
19000081,336717,5.75,3.4,6,2.5,6,,N1,,,3.75
19000088,343177,,8.2,8.8,,9,9.75,N1,9.75,9.5,
19000084,338450,6.25,9.4,7,9.75,8.5,,N1,,,9.5
19000089,336719,6.75,8.4,9.2,9,8.75,,N1,,,2.25
19000086,341836,,5.8,7,,7,8,N1,7,9,
19000090,339748,,8.4,9.4,,9.5,8.75,N1,8,7.75,
19000091,480372,,7.8,9.6,,9.75,7.75,N1,8,8.5,
19000092,338446,6,8,9.2,5.25,8.25,,N1,,,8.25
19000094,338451,6.25,8.6,5.2,9.75,7.75,,N1,,,8
19000096,343178,,7.2,8,,7.75,6.5,N1,7.5,8.25,
19000093,336720,,6,3.8,,5.5,5,N1,5.5,5.75,
19000097,336721,,5,8.6,,8.5,8.5,N1,8.75,9.5,
