Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
21000003,713300,6.25,8.6,7.6,8.25,8.75,,N1,,,7.25
21000004,677769,,9.2,9.2,,9,9,N1,9,9.25,
21000001,677101,6,8.2,7,8.25,8,,N1,,,8
21000007,677655,7.5,8.4,8.4,8.5,9,,N1,,,8.75
21000006,674418,,5.6,,,7.75,6.25,,5.75,,
21000008,713328,6.75,8.4,4.8,7,8.75,,N1,,,5.5
21000002,677932,5,9.2,5.8,10,7.75,,N1,,,9
21000009,679280,6.75,9,8.2,7.75,7.25,,N1,,,9.25
21000005,679281,7,8.2,6.2,8.75,6.75,,N1,,,8.25
21000012,677774,,7.6,5.8,,8.5,9.25,N1,8,9.75,
21000017,713350,8,8.2,5.6,9.25,8.25,,N1,,,5.75
21000010,677763,,5.6,,,7.5,8,,8.25,,
21000019,679048,,4.4,,,7.25,7.5,,3.5,,
21000016,677764,,8.4,6,,8.75,6.25,N1,7.75,8,
21000011,679046,6.5,8.4,8.2,7.75,9.5,,N1,,,5.5
21000014,674419,,8.2,7.4,,9.5,9.5,N1,8.5,9.5,
21000015,679047,6.25,7.4,7.2,3.5,8,,N1,,,6.5
21000018,713351,,7.2,8,,9,8.5,N1,8,9.5,
21000013,677656,4,8.6,4,8.75,7,,N1,,,9.25
21000020,679282,7.25,8.8,8.2,6.5,8.25,,N1,,,9
21000021,677765,,4.4,,,5.75,5.75,,7.5,,
21000022,677657,6.5,7.4,4.4,7.25,9.25,,N1,,,7.5
21000023,679049,5.5,8.8,7.2,3.25,9,,N1,,,5.75
21000024,713371,7.25,8,7.6,8.75,8.75,,N1,,,7
21000025,677775,,6.6,6.8,,8.75,8.75,N1,9.75,9,
21000026,677933,7.5,8.4,7,8.25,8.5,,N1,,,7
21000028,677770,,8.4,5.8,,8.5,9.25,N1,8.75,9.5,
21000027,679050,,6.4,,,7.75,6.25,,7.25,,
21000029,713372,8.25,8.4,7.4,7.75,8.25,,N1,,,6.75
21000030,677658,5.75,7.6,4.2,7.75,8,,N1,,,7.5
21000031,679051,5.5,8,5,8.25,7.5,,N1,,,8.25
21000032,679283,7.75,8.6,8.2,8.75,8.5,,N1,,,9
21000033,677659,8,7.6,5.6,9,8.5,,N1,,,8.75
21000034,674420,6.25,8,8.6,7.75,8.25,,N1,,,8.75
21000035,677776,,8.4,6.2,,8.25,6,N1,7.25,8.25,
21000039,677771,,2,,,5.5,6,,4.75,,
21000038,674421,8.25,8,7,6.5,9.25,,N1,,,8.25
21000037,713725,6.25,6.2,5.8,6.25,6.75,,N1,,,8.25
21000036,713724,,7,,,7.75,7.5,,8.5,,
21000040,713747,,4.6,,,6.75,6.75,,8,,
21000042,677668,7,9.2,7.8,9,9,,N1,,,9
21000041,677660,6.25,6,6.8,6.25,9.5,,N1,,,5
21000043,677772,,5.8,,,8.5,6.5,,6.5,,
21000044,713748,5.5,6.6,3.4,7.25,9.25,,N1,,,6.75
21000045,713749,,6.2,,,8.75,7.75,,8.25,,
21000046,677773,,6.6,7.8,,8.25,6.75,N1,6.75,8.5,
21000050,677767,,5.4,,,6.75,6.75,,5.25,,
21000048,677934,,7.8,6.2,,8.5,7,N1,7,9.5,
21000047,677777,,7.8,8,,8.75,8,N1,7,9.5,
21000049,677766,,6,,,8,7.75,,8.25,,
21000051,677768,,7,6.4,,9,7.75,N1,7.5,9.75,
21000052,679052,,6.6,,,7.75,7.25,,8.75,,
21000053,677661,3.5,8.2,,6.75,5.75,,,,,5.5
21000054,679053,,6.4,,,7.25,7.5,,8.25,,
21000055,677662,6.75,7,4.8,7,7.75,,N1,,,3.75
21000056,679054,4.75,8.8,4.6,8,9,,N1,,,7.25
21000057,679064,,5.8,4.8,,9.25,7.25,N1,8,8.75,
21000058,712832,,6.4,8.2,,7.75,,N1,,,
21000062,679065,,5.6,,,9,7.25,,7.5,,
21000061,677669,7.25,6.8,5.2,7.75,9.25,,N1,,,8.25
21000059,674422,9,8.2,6.2,8.5,9,,N1,,,7
21000060,677935,,4.6,4.4,,8.5,7,N1,5.75,8.75,
21000064,679055,8.5,8.2,6.8,6,7.75,,N1,,,8
21000063,677673,6,7.4,7.4,4.5,9,,N1,,,7.25
21000066,677663,7,8.4,7.8,4.5,7.75,,N1,,,8.75
21000065,712849,,7.4,,,7,7.25,,7.5,,
21000067,679066,,5.6,6.8,,8,7,N1,6.75,8.75,
21000070,677674,7,7.2,7,6.5,8.25,,N1,,,4.75
21000068,677670,6.5,8.2,8.4,8.25,8,,N1,,,7.5
21000071,712925,8.5,8.6,6.6,9,8,,N1,,,7
21000073,712926,,7.2,8.6,,9,8,N1,6.5,9,
21000072,675338,,8,7.2,,8.75,8.75,N1,8.75,9.75,
21000075,677675,7,8.4,8.8,8.75,8.5,,N1,,,8.5
21000077,713280,6.5,8.4,4.4,7,8.25,,N1,,,6.75
21000074,677664,8.75,8.4,6.4,8.75,9,,N1,,,7.5
21000069,679067,,7.2,7.4,,8.25,8,N1,8.25,9.25,
21000076,677676,7.5,8,8.6,8,8.5,,N1,,,7
21000078,677665,5,6.4,4,4.25,8.25,,N1,,,4.5
21000079,679068,,5.4,,,8.75,7,,7.75,,
21000080,677671,,7.6,,4.5,,,,,,5.25
21000083,677936,,8.2,7.8,,8.5,6.25,N1,7.25,8.75,
21000081,675339,,5.8,,,8.75,6.75,,8.5,,
21000085,677672,7,7.6,5.4,7.75,8,,N1,,,7.5
21000084,677666,6.25,8.6,8.8,6.5,7.5,,N1,,,7.75
21000082,713281,7.25,7.4,4.2,6.75,8.5,,N1,,,6.5
21000087,677667,5,4.6,4.8,5.25,8.5,,N1,,,5.5
21000086,675340,,6.6,7.2,,9,9.25,N1,9.25,9.25,
21000089,678009,7.25,8.2,4.8,8,8,,N1,,,7.5
21000090,679069,,5.6,,,6,7.5,,5.5,,
21000091,679772,6.75,7.8,7.8,5.25,6.75,,N1,,,4
21000092,712850,,4.2,,,8,6.25,,5.5,,
21000097,679774,6.25,8.4,4.2,5,8.5,,N1,,,8.25
21000093,679070,,4,,,6.75,8,,6.5,,
21000094,678010,5.5,7.4,,3,8.5,,,,,3.25
21000099,679056,,5.6,3.2,,8.25,7.25,N1,7,9,
21000096,678011,6,7.8,7.6,3.5,8.75,,N1,,,5.5
21000095,679773,8,8.6,6.2,9.75,8.75,,N1,,,7.25
21000098,678012,7.5,8.2,5.6,8.25,9,,N1,,,7.5
21000100,679071,,5.6,,,7,6.75,,7,,
21000101,712876,6.75,7.8,3,8.25,8,,N1,,,6.5
21000102,678013,4.75,8.6,5.8,4,7.75,,N1,,,8.25
21000103,679057,,6.2,,7.75,,,,,,5.25
21000105,712895,6.75,8.8,6,9.5,8.5,,N1,,,8.75
21000110,679059,6.25,9.2,4.8,9,7.75,,N1,,,8.75
21000104,679775,6,8.8,5.2,8.25,9,,N1,,,8.5
21000109,679072,,5.2,,,6.5,6.75,,6.75,,
21000108,712897,7.75,8.8,5.8,8.25,8,,N1,,,9
21000107,679058,,4.2,,,6.75,6.5,,6,,
21000111,712898,,3.4,,,5.5,5.5,,6,,
21000112,679080,,5.6,,,6.75,6.75,,8,,
21000106,712896,,5.4,,,8.5,6,,5.5,,
21000113,677937,,6.8,5.6,,9.5,9.75,N1,9.5,9.75,
21000114,679060,,6.6,6.6,,9,7,N1,7.75,9.5,
21000115,679081,,7,4.6,,7.75,8.25,N1,8.5,10,
21000116,679776,6.25,8.8,4.6,8.25,7.75,,N1,,,7.25
21000118,675341,7.25,8.6,6.4,7.75,7.75,,N1,,,8.5
21000117,679061,,7,,,6.75,6.5,,7.5,,
21000119,677677,7,8.4,7,7.5,8,,N1,,,9
21000122,712927,6.75,8.4,8.6,5.25,6.5,,N1,,,9.25
