Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
22000004,751886,7.5,8.6,7.8,9.75,7.25,,N1,,,9
22000008,751900,7.5,8.2,7,9,4.75,,N1,,,8.5
22000002,751440,9.25,7.8,7.4,9,8,,N1,,,7.75
22000005,751441,7.25,9.2,8.4,6.5,7,,N1,,,9.5
22000003,778386,6,7.8,7,9,8,,N1,,,7
22000007,772943,,6,4.8,,8,9.5,N1,8.75,8.75,
22000001,778385,8.25,8.8,7.6,8.25,6.75,,N1,,,8.25
22000009,751888,8,7.2,6,5.25,6.5,,N1,,,4.75
22000006,751887,6,9.2,7,9.5,7.75,,N1,,,8.75
22000011,752355,,6.2,6.6,,6.5,7.25,N1,9,7.25,
22000010,751442,,7.8,7.8,,8.75,8,N1,6.75,9.25,
22000014,751944,,7.4,7.6,,8.75,6.75,N1,8,9.5,
22000018,751444,,7,4.2,,9.25,8.75,N1,9.5,8.75,
22000013,751443,6.75,8.2,9.6,6.5,7.5,,N1,,,5.75
22000015,772957,,6,7.4,,9.25,8.5,N1,7.75,8.25,
22000017,752356,,5.2,3.2,,9,9,N1,9,7.75,
22000019,751889,6.75,7.6,6,5.75,7,,N1,,,7.5
22000016,751902,6.5,8.2,8.6,5.75,6.5,,N1,,,8.75
22000012,751901,8.25,8.4,7,8,7.5,,N1,,,3.5
22000021,751890,6.75,8.2,6.4,7.25,7.25,,N1,,,8
22000020,772965,8,8.6,8.6,9.25,7.5,,N1,,,7.75
22000022,751945,7.25,7.4,6.8,6,7.75,,N1,,,5
22000027,751946,,7.4,9.4,,9.5,8,N1,6.75,9.25,
22000024,751903,,7,6.8,,8.5,8.5,N1,8.25,9,
22000025,751445,6,8.6,7.4,8.5,6.75,,N1,,,7.5
22000028,751904,8.75,7.6,6.8,8.75,7,,N1,,,5
22000029,751446,7.5,8,7.2,7.5,6.5,,N1,,,4.75
22000023,751891,7.5,8.8,,9.5,7,,,,,7.75
22000031,752352,,8.2,8.4,,8.75,7.75,N1,5.5,8.5,
22000030,772975,8,9.2,9,9,7.75,,N1,,,6.75
22000026,751892,8.75,8.2,9.4,6.75,9,,N1,,,6.25
22000032,751905,8.5,8,6.2,8.5,7.75,,N1,,,4.75
22000036,751906,,7.2,9.2,,7.5,8.75,N1,7.75,9.25,
22000037,751962,8,8.8,8.8,7.25,8.25,,N1,,,8.25
22000033,751447,7.25,7.8,6.2,7,6.25,,N1,,,7.25
22000041,751448,,7.6,9.2,,8.25,6.75,N1,6.25,6.75,
22000035,751947,,7.2,9.2,,8.25,7.5,N1,6.75,7.5,
22000039,751948,,7.2,6.2,,9,9.5,N1,9.75,9.75,
22000034,752357,,5,5.8,,7.25,8.75,N1,7.25,7.75,
22000040,751907,8,7.8,8,7.5,6,,N1,,,8.25
22000038,751968,9,8,9.2,8,7,,N1,,,5.75
22000042,751963,4.75,8.4,7.2,8.75,8.5,,N1,,,6.75
22000043,751949,7,8.4,9.2,8.25,8.5,,N1,,,6.75
22000045,751449,6.75,8.2,6.4,8,6.75,,N1,,,8
22000049,751450,6.5,8.2,6.2,8.5,6.5,,N1,,,8.25
22000050,751910,,6.4,5.4,,7.75,6.25,N1,6.5,8.5,
22000044,751908,,7.4,9.6,,7.25,8.25,N1,8,9,
22000048,751951,7.25,9,8.4,10,4.75,,N1,,,9.25
22000046,751950,5.75,8.6,6.2,9.25,7.25,,N1,,,9
22000052,751969,8.75,7.2,7.8,9.5,6.5,,N1,,,5.25
22000051,752353,,6.6,7.2,,9,7.25,N1,7.5,9,
22000047,751909,,6.6,5,,8.75,7.5,N1,8,8.25,
22000053,751451,6.25,9,5.8,9,5.5,,N1,,,9.25
22000054,751970,5.25,9.6,6,7.75,8,,N1,,,8.75
22000055,752354,,8,8.8,,8.5,9,N1,9.25,9.5,
22000056,751911,7.5,8.4,7.8,8,8,,N1,,,5.75
22000057,752358,,7.8,6,,8.5,8.25,N1,9.75,8.25,
22000058,751452,,7,8.8,,8,7.5,N1,7.75,8,
22000060,751912,,9.2,9.6,,8.25,8,N1,7,9.5,
22000061,751453,,7.8,5.4,,8.5,7.75,N1,7.5,8.5,
22000063,773046,6.5,8.6,8.6,6,6.5,,N1,,,8.75
22000062,751964,6.5,7.4,8,6.25,6.75,,N1,,,6
22000059,773037,,7.2,8.8,,7.25,7.75,N1,8.25,7.5,
22000064,751913,7,8.8,8.8,7.5,6.5,,N1,,,8.75
22000065,752359,,8.4,9.4,,7.5,7.5,N1,6,7,
22000066,773047,6.5,8.8,6.2,8.75,6,,N1,,,9
22000067,773393,,5.8,8,,9,7,N1,5.75,6.75,
22000068,751914,,7.6,8,,8.75,8,N1,8.25,9.5,
22000071,773395,,8.2,9,,8.25,8.25,N1,7,8.25,
22000070,751965,7.5,7.6,8.8,9.25,7.75,,N1,,,6.75
22000069,773394,7,8.8,,6.25,4.5,,,,,7
22000072,751454,7.75,8.2,8.8,5.75,7.5,,N1,,,6.25
22000075,751967,6.75,9.2,3.6,9.75,6.25,,N1,,,9.25
22000074,751966,6.75,7.8,8.6,6.5,8.25,,N1,,,8
22000073,773396,3.5,7.8,3.4,8.5,5.25,,N1,,,7.25
22000076,751455,7.25,7.8,3.2,9,3.75,,N1,,,8.5
22000077,778352,7,8.6,7.4,7.5,7,,N1,,,6.25
22000079,751975,5.75,8.4,5,7.25,6.5,,N1,,,7.5
22000078,751971,6.75,7.4,7.6,5.5,6.5,,N1,,,5.5
22000081,752360,,6.8,8,,8.75,8.25,N1,8.5,9,
22000082,751972,9,9,7.8,9.75,7.5,,N1,,,5.25
22000085,778369,7.5,9,8.6,8.25,8.25,,N1,,,7.75
22000080,751456,,6.8,6.2,,8.5,8.25,N1,8.25,9,
22000083,778368,7.75,8.6,9.6,7.5,7.5,,N1,,,9
22000087,751973,8.5,7.8,,7.75,6,,,,,8.25
22000086,752752,,5.2,3.8,,8.5,8.5,N1,9.5,8.75,
22000084,751457,7.25,9.2,5.6,9.75,6.75,,N1,,,9.5
22000088,751458,,6.2,2.6,,7.75,9.25,N1,9,8.5,
22000089,751952,4.5,7.8,5.6,7.5,6,,N1,,,8
22000090,752361,,7.2,7,,8.5,7,N1,7.75,8.25,
22000091,778384,7.5,8.4,7,8.25,6.5,,N1,,,9
22000092,751915,6.5,8.4,8.2,7.75,6.25,,N1,,,8.5
22000094,751460,7,8.6,7.4,9.5,6.75,,N1,,,8.25
22000093,751459,8.25,8,,7.75,6,,,,,9.75
22000095,751953,7.25,8.6,3.6,7.25,6.5,,N1,,,7.5
