Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
23000001,775180,,6.8,,,6,8.25,,8,,
23000002,774179,,7.4,10,,8,8.5,N1,8.75,8.5,
23000006,774180,6.5,8.8,8,6.25,8,,N1,,,8.75
23000005,791986,,4.6,,,6.5,8.5,,8.5,,
23000008,774275,6.5,8,5.8,8.75,7.75,,N1,,,9
23000009,775181,,7.4,8.6,,8,8,N1,7,9,
23000007,773730,4.75,9.2,6.4,8.25,8,,N1,,,8.5
23000003,773729,5.25,7.6,4.8,6.75,6.25,,N3,,,7.75
23000004,774274,7.25,6.8,9.4,7.25,6.25,,N1,,,6
23000010,774181,,7.6,10,,8.75,7.5,N1,7.5,8.75,
23000016,775183,,6.2,,,6.25,7.75,,7.5,,
23000015,773732,,8.2,9.6,,9.25,8,N1,7.25,8.75,
23000014,774182,,7.2,7,,9,6.5,N1,7.75,9.25,
23000018,774183,,8.4,6.2,,6.75,8,N2,4.75,6.75,
23000013,775182,,5.8,,,7,7,,8.25,,
23000012,792004,,3.4,,,5.5,4.5,,3.5,,
23000017,776425,8.25,9,9.8,9.5,9,,N1,,,9.5
23000011,773731,,5.8,7.4,,9.5,9.25,N1,8.75,8,
23000019,792018,,7,7.2,,8.5,9.25,N1,8.75,9,
23000020,773733,7,9,8.6,9,8,,N1,,,9
23000021,774276,,8.4,9.6,,8.25,8.5,N1,7,8.25,
23000022,774184,,7.4,7.2,,9,8.25,N4,7.5,8.75,
23000023,773734,6.5,8.6,7.8,9,6.75,,N1,,,4
23000025,776426,5.5,7.8,6.4,8.75,7.75,,N1,,,7.5
23000027,776430,6,8.8,8.6,4,7.75,,N1,,,8.25
23000030,774186,,6,6.2,,8,8.75,N1,9,8.5,
23000029,775520,,8,8.4,,9,7.5,N1,8.25,9,
23000024,776422,5.75,8,,8.25,7.25,,,,,7.25
23000028,773735,6.75,8.8,6,8,5.25,,N1,,,8
23000026,774185,,6.6,8.6,,8,6.5,N1,6.75,8.5,
23000031,773736,7.5,8.2,8.6,8.5,7,,N1,,,6.25
23000032,775521,,7.6,8.6,,9,8.5,N1,7.75,9.75,
23000033,776427,7.5,8.2,7.4,9.25,7.5,,N1,,,9.25
23000034,774187,5.25,7,7.6,4.75,6.5,,N1,,,7
23000036,792373,,7.8,9.2,,8.75,8.25,N1,7.25,9.75,
23000040,776423,8.25,7.4,8,7.75,8.5,,N1,,,6.5
23000037,792374,,5.6,6.2,,8.75,8.75,N1,8.25,9.25,
23000039,773738,,5,,,8.5,5,,8.25,7.75,
23000038,774188,6.5,8,8.4,9.25,7.5,,N1,,,7.5
23000035,773737,,8.2,9.6,,8.75,8,N1,7.75,9,
23000041,776428,6.75,7.2,8.6,6.75,7.75,,N1,,,9
23000042,774189,,8.2,8.8,,8.25,8.25,N4,8.5,9,
23000043,773739,,6.8,8.6,,8.5,7,N1,7.75,8.5,
23000044,776431,5,7.4,5.8,7.5,7.75,,N1,,,7
23000045,774662,,7.2,9.2,,8.75,7,N1,6,8.5,
23000047,773740,,6,7.4,,9,9.25,N1,8.75,9,
23000049,774191,,7.8,9.2,,9.25,8.75,N4,7.5,9.25,
23000046,774190,,7.8,9.2,,9,9.5,N1,9.5,9.25,
23000048,774663,5,8,8.6,9.5,7.25,,N1,,,8.25
23000051,774192,,7.8,9.2,,9.25,7.25,N1,9.5,8.25,
23000052,773742,,7.6,7,,8,7.75,N1,6,8,
23000050,773741,6.25,7.8,9.2,5.5,6.75,,N1,,,8
23000053,773743,5.25,7.8,6.8,9,7,,N1,,,8
23000054,773744,,6.2,5.6,,8.5,9,N1,9.75,9.25,
23000055,773745,,8,8.2,,9,7.25,N3,9.25,9.25,
23000056,776424,5.25,8.4,9.4,6.25,8.25,,N1,,,7.25
23000057,775567,,7.4,6.4,,8.25,9,N1,7.75,8.25,
23000058,774193,,7.8,8.6,,8.75,7.25,N3,6.25,9.5,
23000059,776429,5.75,7,4.6,9,7.5,,N1,,,7.5
23000060,773746,5.25,8.8,9,7.75,8.25,,N1,,,8.25
23000061,792454,,5.8,6.2,,9,9.5,N1,9.5,8.5,
23000062,774698,,8,9.2,,8.75,8.75,N3,7.5,9.25,
