Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
24000005,792252,,8,8.4,,9.5,10,N1,9.25,8.75,
24000008,798257,8,8.6,6,8.75,8.75,,N1,,,3
24000006,792148,,8,7.8,,9.25,6.75,N1,6.5,8.25,
24000001,798256,6.75,8.4,6.4,8.25,8.5,,N1,,,8.5
24000003,791188,7.75,7.8,8.8,7.25,9,,N1,,,7.5
24000004,792249,,7.6,8.8,,9.25,9,N1,8.25,9,
24000002,792147,,8,9.6,,8.75,8.5,N1,8.25,9.25,
24000012,802643,,4.6,3.6,,8.75,9,N1,7.25,8.25,
24000010,792150,,8.2,9.6,,9,9,N1,8.75,9,
24000014,792250,,8.2,6.4,,9,6.75,N1,6.25,8.25,
24000015,792253,,8.6,9.6,,9.25,8,N1,7.5,8.5,
24000016,798258,8.75,8.2,,7.25,9,,,,,6.5
24000017,792153,,6,5.8,,8.5,8,N1,9,8,
24000007,792256,,4.2,2.4,,8.25,6.75,N1,6.75,7.75,
24000020,800829,7.25,7.8,8.2,9,8.75,,N1,,,6.25
24000019,792251,,8,3,,7.25,6.5,N1,5,7.5,
24000021,792254,,8,9.4,,9.5,9.5,N1,8.25,8.25,
24000022,792154,,7.6,6.2,,9.5,8.75,N1,8.25,8,
24000009,792149,,6.6,,,9,7.5,,8.25,8.5,
24000023,798259,5,7.8,,8,8.25,,,,,7.5
24000024,804424,,8.4,7,,9.25,9,N1,9.25,9.25,
24000011,792151,,6.2,4.8,,7.25,7.75,N1,5.25,7.25,
24000025,804425,7.5,8.8,9.4,6.5,8.5,,N1,,,8.5
24000026,792486,,6.6,5.8,,8.75,5.75,N1,7.75,8,
24000027,791165,6.25,8.6,9,8.25,9.5,,N1,,,3.5
24000028,792255,,8,8.2,,8.75,7.75,N1,7.5,7.75,
24000029,791189,8.25,8.6,8,9.25,8.25,,N1,,,7.75
24000030,791166,7.75,8.8,8.8,9,8,,N1,,,7.75
24000031,804484,7,8.4,8.2,9,7.5,,N1,,,7.75
24000033,791190,6.75,8,9.4,9.25,8.75,,N1,,,6.75
24000034,800830,5,7.8,8.4,6.25,8.75,,N1,,,5.5
24000035,791191,7.25,8,7.4,8.5,8.5,,N1,,,7.75
