Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
25000003,791157,,8,8.6,,9,7.5,N1,7,8.75,
25000006,790253,7.75,8.4,8.8,7.5,8.25,,N1,,,7.75
25000004,785502,7.5,8.2,9.6,8,8.25,,N1,,,9.25
25000005,823784,,6.6,6.4,,9,8.25,N2,7.25,9.5,
25000001,791162,,7.6,9.8,,8.5,9.25,N1,9.25,9,
25000007,786800,7.25,7.8,7.4,8,9,,N1,,,7
25000002,785447,6.5,8.2,6.6,8.25,8,,N1,,,8.5
25000008,791153,,8,9,,8.5,9.75,N1,8.25,9.25,
25000009,790254,6.5,7.8,7,8,7.5,,N3,,,7.25
25000010,791154,,8.4,9,,9,8.75,N1,7.75,9.25,
25000011,786801,,6,4.8,,8.5,6.75,N1,7.75,9,
25000017,790256,8.25,8.2,8.2,8.5,9,,N1,,,8
25000014,791163,,8,9.6,,9,8.75,N1,7.5,8.75,
25000012,791155,,7.4,5.8,,7.25,7.5,N1,8.25,8.75,
25000013,790255,,8.6,8,,9.5,8.75,N1,8.5,10,
25000015,786856,6.5,7.6,8,4,7,,N1,,,7.75
25000016,786860,7.25,8.8,9.2,8,8.25,,N1,,,7.75
25000018,819386,,8.2,8,,9,8.5,N4,8,9.25,
25000019,791156,,8.2,7.8,,9,8.5,N2,6.5,8.25,
25000020,791158,,8.4,9,,8.75,9.75,N1,9.75,9.75,
25000023,819408,,8,9,,9,9.25,N1,9,9.5,
25000021,790257,,4.6,6.4,,9,6.75,N1,7,8.5,
25000022,786854,7.25,8.2,9.6,5.75,9.25,,N1,,,6
25000028,786857,7.25,9,8.2,9.25,8,,N1,,,9
25000024,784632,,8.4,7.6,,9.25,9.5,N1,9.5,9.5,
25000029,790259,,7.4,4.6,,7.25,6.5,N1,5.25,8.25,
25000026,786802,,6.2,8.4,,7.5,6.75,N1,8.25,6.75,
25000025,790258,,8.6,9.2,,8.5,7.5,N3,7.25,8.25,
25000027,791159,,7.4,8.4,,9.5,9.5,N1,8.25,9.25,
25000030,791160,,5,2.8,,7.5,7.75,N1,6.5,8.25,
25000035,786855,6.25,6.8,3.6,6.75,8,,N1,,,4.25
25000031,786861,7,8.6,8.2,5.5,8.5,,N1,,,7.75
25000038,786858,4.75,8,3.2,7,7.25,,N1,,,7.75
25000032,819429,,8.2,9.8,,9.5,9.5,N1,9.25,9.75,
25000033,790260,8.25,8,8.2,8.25,9,,N1,,,6.75
