Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
26000001,818590,5.75,7.6,8.2,7.75,8,,N1,,,7.75
26000017,813499,,8,8.4,,7.5,8,N1,8,9,
26000007,814274,8.75,9.2,9.6,8.25,8,,N1,,,8.5
26000010,813858,,8,9.8,,9,7.75,N1,9,8.75,
26000009,834333,,3.8,,,7,6,,4.5,,
26000013,813497,,,,,8.25,9.75,,9.25,,
26000002,813857,,6,,,7.75,6.5,,6.75,,
26000006,813495,,,,,7.5,7.75,,8.5,,
26000005,814291,6,7.8,4,6.75,8,,N1,,,6.75
26000004,818591,,8.6,9,,8.75,8.25,N1,7.75,7.5,
26000003,834332,,6.6,,,7.25,6.5,,4.75,,
26000016,813057,,8.2,9.8,,8.75,9,N1,7.75,9.25,
26000015,813498,,,,,7.75,7.75,,8.5,,
26000008,813502,,8.2,9,,8.75,8.25,N1,7.25,8.5,
26000011,813496,,7.4,8.4,,9,8.75,N5,9.25,9.5,
26000014,818592,,8.2,9.2,,8.75,7.5,N1,7.75,9.75,
26000018,813503,,8.4,8.8,,9,8.25,N1,8.75,10,
26000012,834334,8,8.4,9.4,6.75,7.5,,N1,,,8
26000019,813859,8.5,9,9,10,8.5,,N1,,,9.25
26000020,818593,,7,6,,7.75,6.25,N1,4.25,,
26000024,814295,7.5,8.6,8,7.5,6.75,,N1,,,8.5
26000022,813860,,7,,,8.25,7,,6.75,8.25,
26000023,813500,,,,,7,6,,3.75,,
26000021,813076,,7.8,7.2,,9,,N1,,,
26000026,813861,7.5,8,8.8,9,8,,N1,,,8.75
26000027,834335,,8.8,8.8,,9,8.25,N1,8.5,8.75,
26000025,818594,9.5,8.4,8.8,9,8,,N1,,,5.75
26000029,818595,,8.6,,8,,,,,,8.5
26000028,813077,,7.8,8.8,,8.5,8.5,N1,7.75,9,
26000030,814292,7.25,7.6,8.4,7.75,9,,N1,,,7.75
26000031,813862,5.75,8,8.4,4.75,8.75,,N1,,,5.75
26000033,813494,,7.4,,,7.5,7.5,,6,,
26000034,818596,,7.8,7.8,,9,9.5,N1,9,9.5,
26000032,813078,,7.8,8,,9.25,7.25,N1,7,8.5,
26000035,813863,6.5,8.4,7.2,9.25,8.75,,N1,,,8.75
26000037,813504,,8.6,8.8,,8.75,8.25,N1,6.5,8.5,
26000036,813501,,7.6,8.6,,9,8.5,N1,9.5,8,
26000039,813864,,8.2,9.2,,9.5,9.25,N1,8.5,9.75,
26000038,818597,,6.8,6.6,,9.5,,N1,,,
26000042,818598,6.75,8,9.2,7,7.75,,N1,,,3.75
26000041,814293,8.5,8.6,,9,8,,,,,5
26000044,814275,6,7.8,8.6,7.75,9.25,,N1,,,5.25
26000040,813079,7,8,8.4,6,8,,N1,,,8.5
26000043,813865,,7.4,,,7.5,7.75,,7.25,,
26000046,813531,,8.2,7,,9,8,N1,8.5,9.25,
26000045,813080,,7.8,7.6,,9.75,5.25,N1,5.75,8.25,
26000047,818599,,6,5.4,,8.5,7,N1,6,7.25,
26000048,813866,,7.4,,,8.5,9,,8,,
26000049,813081,,7.8,9.2,,9.5,8.5,N1,9,9.5,
26000050,834336,,8,9.8,,8.75,7.75,N1,8,9.25,
26000052,814294,,7.4,,8.5,,,,,,8.25
26000051,818600,,3.6,,,6,7.75,,4.5,,
26000055,818601,7.5,8.6,,6.75,,,,,,5
26000054,836063,,6.4,,,8.5,7.75,,5.5,,
26000056,814221,8.75,8.8,8,9.25,8.5,,N1,,,7
26000058,838630,7,8.2,,4,9,,,,,6
26000059,814223,,6.8,7.4,,8.5,8.75,N1,7.25,8.75,
26000057,814222,,7,8.6,,8.25,9,N4,7.5,8.25,
26000062,833030,,6.8,6.8,,7,7,N1,4.75,,
26000061,814224,,3.4,,,6.75,6.25,,4,,
26000060,818602,,7,7.6,,9,8.25,N1,9,8.75,
26000063,814296,8.75,9.4,8.4,9.75,7,,N1,,,4.75
26000065,814225,6.25,8.6,9,7,7.75,,N1,,,5
26000064,812505,8.25,9.4,9,8.25,7.75,,N1,,,8.75
26000067,833031,7.5,8.4,9.2,7,8,,N1,,,9
26000069,814226,,,,,5,4,,4.25,,
26000066,812506,,7.2,5,,9,9.5,N1,9.75,9.5,
26000068,813082,,8.2,9,,8.75,8.75,N1,6.75,9.75,
26000071,833032,,6.6,8.8,,9.5,7.75,N1,8.25,9,
26000070,812507,8.25,8.8,9,7.75,8.25,,N1,,,8.5
26000072,813532,,7.6,8.4,,9.25,9,N1,8,9.5,
26000077,814228,,8.2,8.6,,9.5,5.75,N1,4.75,7.75,
26000076,814299,8.5,7.6,5.8,7.5,8,,N1,,,3.25
26000075,812509,,7.2,6.6,,9.25,7.5,N1,7.25,8.75,
26000078,812510,,7,8,,7.75,7.5,N1,7.25,9.75,
26000074,814227,,7.8,7.6,,8.25,9,N1,7.75,9.5,
26000073,812508,5.75,7.8,7,4.75,8.25,,N1,,,7
26000079,836560,,,,,7.75,7.5,,7,,
26000080,813535,,8.2,5.4,,8.75,9,N1,9.5,9.75,
26000081,812511,,8.4,8.6,,8.25,6.75,N1,9,9,
26000082,814229,9.25,8.2,5.8,9.75,8.25,,N1,,,6.25
26000084,812512,6.5,8,8,6.25,7.25,,N1,,,6.75
26000085,836562,,6,,,7.5,7,,3.5,,
26000083,813536,,8.6,9.2,,9,9,N1,9,9.5,
26000087,812513,,6.2,8,,8.5,7.5,N1,9.5,9.75,
26000088,836921,7,7.8,8.8,7,8,,N1,,,7.5
26000086,814230,,6.8,,,6.75,8.5,,6,,
26000089,812514,7.5,8.2,9,7.25,7.75,,N1,,,8.25
26000091,836922,,4.6,,,2.5,7,,4.75,,
26000090,814231,,8,,,9,,,8.75,,
26000092,838575,,,,,6,6.5,,4.25,,
26000095,836923,,,,,7.25,9.25,,9.5,,
26000093,812515,7.75,8.8,6.8,9.5,8.25,,N1,,,4.5
26000094,814232,,5.8,,,4.75,5.5,,5,,
26000096,813537,,6.8,,,7.25,7.75,,7.75,,
26000097,812516,7,7.8,8.6,6.5,9.25,,N1,,,8.25
26000102,812517,,8.4,9.2,,9,9,N1,6.75,10,
26000099,813533,,8.4,8.8,,7.5,9,N1,9,9,
26000098,814233,,2,,,0.75,,,2.5,,
26000101,814300,8,8.8,9.2,7.75,8.25,,N1,,,8.5
26000103,814234,4.5,8,8.6,3.5,8,,N1,,,8.25
26000105,813541,,7.2,6.2,,8.25,9.5,N1,9.25,8,
26000104,813538,,8.8,9.2,,9.5,8.75,N1,9.25,8.25,
26000107,814235,6.5,8.8,8,9,7.75,,N1,,,7.75
26000106,814297,7.5,8.2,7.4,6.25,8.5,,N1,,,6.5
26000110,814236,,6.8,,,5,6.75,,5.5,,
26000108,836104,,,,,8,,,,,
26000109,813534,,7.8,,,5.5,6.25,,4.75,,
26000111,813539,,8.8,10,,9.25,9.5,N1,10,9.5,
26000112,814301,7,9,6.8,9.5,8.25,,N1,,,8.75
