Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
27000005,625434,6.25,7,7.8,4,8,,N1,,,5.25
27000009,630481,,7.2,6.2,,8.5,8.5,N1,8.75,9.75,
27000007,625435,6,7.6,4,4,8,,N1,,,3.5
27000003,625433,6.75,7.8,6,7,8.5,,N1,,,7.25
27000002,624535,,9,8.8,,9.25,9.75,N1,8.75,9.75,
27000006,630417,6,8.2,5.8,7.25,9,,N1,,,8
27000001,630480,,6.2,3.8,,9,9.75,N1,9.75,8.5,
27000004,633784,8,7.8,4,7.75,8.5,,N1,,,3.75
27000008,624536,,6,7.8,,9.5,9,N1,9.5,9,
27000010,624539,,2.4,4,,9.25,6.75,N1,6.75,7.75,
27000015,624538,,6,5.4,,8.5,8.25,N1,6.5,9.75,
27000011,630418,,6.8,3.4,,8.25,6.5,N1,6,8.5,
27000019,625430,6.75,7.8,4.8,8.5,8.25,,N1,,,8.75
27000018,630419,,6.2,5.2,,8.75,9,N1,8.75,9.5,
27000017,630482,,7,3.4,,9.25,10,N1,8,9.25,
27000013,620288,5,8.2,4.8,6.5,8.25,,N1,,,7
27000014,619855,6,7.6,7.6,5,8.25,,N1,,,8.25
27000012,633873,6,7,3.4,6.25,8.25,,N1,,,6
27000016,624540,,7.2,5,,9.5,9.75,N1,8.5,9,
27000020,633874,7,8.2,5.4,7.5,9.25,,N1,,,6.75
27000022,625431,5.75,6.4,3.6,4,9,,N1,,,4
27000021,624537,,4,5.4,,9.25,8.75,N1,7.5,8.25,
27000024,624541,,6.2,4,,8.5,7,N1,8.5,8.75,
27000029,624542,,6.2,5.8,,8.75,9.75,N1,9,8.5,
27000023,630420,,7,4.4,,8.25,6.5,N1,8.5,8,
27000026,633875,6,7.4,6.4,5.75,8.5,,N1,,,4.75
27000027,620209,7.75,7.6,,6.5,,,,,,5.5
27000028,630421,,6.2,5.4,,9.25,9,N1,8.5,7.25,
27000025,620244,,,,,8.5,,,9.25,9.75,
27000030,620210,,6,5.6,,8,7.75,N1,5.75,8.75,
27000031,633785,7.25,8.8,8.8,8.25,9.25,,N1,,,5
27000032,630422,,7.4,6,,7.75,7.75,N1,5.25,8.5,
27000033,620211,,5.8,5.8,,9.25,9.5,N1,8.75,8.25,
27000034,630423,,6.2,5.6,,9.5,9.5,N1,9.25,9.5,
27000039,630428,,7.8,9,,8.75,9.5,N1,9.75,9.75,
27000037,630426,,6,4.8,,8.25,9.25,N1,8,9,
27000036,630425,,6,4.6,,8.75,7.75,N1,7,8,
27000035,630424,7,8.2,7.6,9.25,9,,N1,,,8.25
27000038,630427,6.25,7.2,5,6.5,8.25,,N1,,,7.75
27000040,622026,,6.6,7.6,,5.5,8,N1,10,9,
27000041,624543,,6.8,5.2,,8.5,8,N1,8.5,9.75,
27000042,630483,6.75,8,5.6,7.25,8.75,,N1,,,6.5
27000043,630429,5.75,7.6,5.4,8,9,,N1,,,7
27000044,624546,,5.8,5,,9.5,7.5,N1,7.25,8.5,
27000047,630430,7.25,7.4,4.8,5.75,7,,N1,,,6
27000046,630484,6.25,7.6,5.4,6.5,8.75,,N1,,,6.5
27000051,622052,,8.8,,9.5,,,,,,9.25
27000050,630485,,6.4,6,,9.25,10,N1,9.75,9.25,
27000045,624553,,6.4,6.6,,9.5,7.5,N1,7.75,8.75,
27000048,622051,6.75,7.2,6,7,8,,N1,,,4.5
27000049,625464,7,6.8,6.4,6.75,8,,N1,,,6.5
27000052,625432,8,8.4,6.4,9,8.5,,N1,,,8.5
27000053,624544,,6,3.4,,9.25,9,N1,8.75,8,
27000054,630486,6.75,8.4,6,7.75,9.25,,N1,,,8.5
27000055,624547,,7.8,8.4,,9.5,7.25,N1,7.25,9.25,
27000057,624554,,4.8,4.2,,9,7.5,N1,6.5,7,
27000059,624545,,6.8,5.6,,9,8.25,N1,7.25,8.75,
27000060,630432,7,7.2,3.8,7.25,8.5,,N1,,,7
27000061,624548,,7.2,5.6,,9.5,9.75,N1,9.75,9.25,
27000058,630487,,7.8,7.4,,9.25,8,N1,9.25,9.25,
27000056,630431,6.75,7.8,3.2,7.5,7.75,,N1,,,9.25
27000062,630488,6.5,8.2,5.4,7.75,8.25,,N1,,,8.25
27000064,633786,6.25,6.6,3.8,7.75,8.25,,N1,,,8
27000063,622421,7.25,8,3,5.75,8.25,,N1,,,7
27000065,624555,,7.2,3.2,,9.25,7.75,N1,7.25,9,
27000066,630489,4.5,7,5.4,7,9,,N1,,,6.5
27000067,624559,,5,4,,8.5,7.75,N1,9.25,8.5,
27000068,630876,6,7.8,4.8,8.5,7.75,,N1,,,7.5
27000069,622444,7.25,8.2,6.2,8.5,8.75,,N1,,,8.25
27000070,630490,7,7,5.2,8,7,,N1,,,8.5
27000071,624549,,5.4,6.2,,8.75,9.75,N1,9.25,8.75,
27000074,633789,5,5.4,3.6,3.5,6.5,,N1,,,4.25
27000073,624550,,5.2,4.6,,7.25,7.25,N1,8,9,
27000072,630877,,3.2,5,,8.75,8.75,N1,9,8.25,
27000075,630491,,4.4,3.6,,8.5,6.75,N1,6.5,9,
27000077,624551,,6.2,3.4,,8.25,7.25,N1,8,8.5,
27000076,630878,8,8.8,9.2,8.75,8.75,,N1,,,9
27000078,624560,,6.2,2.6,,8.75,7.25,N1,6,7.25,
27000080,630492,,6,4.8,,9,8,N1,7.25,8.5,
27000079,624552,,6,3.2,,8.75,6.5,N1,8,9,
27000081,630879,,7.4,9,,9.25,9.75,N1,9.5,9,
27000083,630494,6.5,8.6,5,8.25,8.5,,N1,,,8
27000085,630496,6,6.2,4.8,6,7.75,,N1,,,7.25
27000084,630495,8.25,8.4,7.6,8.5,8.5,,N1,,,6
27000082,630493,,7,6.8,,9,9.5,N1,9.75,9.5,
27000086,633787,,7,,6.5,,,,,,7
27000087,621999,4.5,3.8,4.2,4.25,,,N1,,,3.25
27000088,633788,5.5,7.2,4.2,5,8.25,,N1,,,6.75
27000089,630880,,6.6,3.8,,9.5,9.75,N1,9.25,8.5,
27000090,622492,,5.8,2.8,,9.25,9.5,N1,10,8.5,
27000091,630497,6,7.4,3.6,3.5,9,,N1,,,4.5
27000093,630881,,7.2,4,,9,9.25,N1,8.25,9,
27000092,633792,6.5,8.2,5,8.25,8.75,,N1,,,8
27000094,624564,,7,1.8,,2.5,7.75,N1,7.25,7,
27000096,622855,,8,4.8,,9,9.25,N1,9,8.25,
27000098,624561,,6.4,3,,9,8.75,N1,7.25,8.75,
