Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
28000002,415926,,6.6,8.2,,8.5,8.75,N1,9.5,9.5,
28000005,415719,,7.8,7.8,,9,7.25,N1,6.75,8.5,
28000008,415721,5.75,7.6,8.8,5.75,8.25,,N1,,,8
28000006,445296,4.75,8,5,8,6.75,,N1,,,8.25
28000007,415720,,7.8,8.4,,8.75,8,N1,7,8,
28000004,415932,,8.2,8,,8.5,8.75,N1,7.5,8.5,
28000009,415722,,7.4,6.8,,8.25,5,N1,5.75,8.5,
28000001,417504,4.5,7.8,7.6,5.25,8,,N1,,,3.5
28000003,417509,4.75,6.8,5,6.75,7,,N1,,,5.25
28000013,417505,6.5,8.2,6.2,9.25,7.25,,N1,,,8.25
28000012,415927,,3.8,4.2,,8,7.5,N1,5.5,7,
28000017,412555,3.75,8.8,8,5.75,8,,N1,,,8.25
28000018,415725,,6.4,5,,8,6,N1,6.5,7.75,
28000019,415928,,7.4,8.6,,9,7.5,N1,7.25,9.75,
28000011,417501,7.75,7.6,6.4,7.75,8.25,,N1,,,5
28000010,415723,,8.2,9.2,,9,6.75,N1,6,9,
28000014,415724,,7.2,6.4,,9.25,8,N1,5.5,7.5,
28000015,417510,5,9,9,5.25,7.75,,N1,,,8
28000016,440616,,8.4,8.6,,8.75,8,N1,7.5,9,
28000020,417502,4.25,7.8,6,4.25,7,,N1,,,9
28000021,415933,,8.2,6.6,,7.75,4.5,N1,4.5,7.25,
28000022,415726,5.5,6,5.8,3.25,6.75,,N1,,,5.25
28000026,415727,,2.8,2.6,,7.5,6.75,N1,6,6.5,
28000027,415929,,7.4,9.2,,8.75,6.75,N1,7.25,7.75,
28000024,440624,,6.8,5.8,,8.5,5.75,N1,5,7.75,
28000028,415934,,5,2.4,,8,4.75,N1,4.25,7,
28000029,417503,5.5,8.8,8,8.75,8.25,,N1,,,7.75
28000023,417511,6.5,7.2,8.6,8.75,7.5,,N1,,,5
28000025,412556,6.5,7,4.4,8.25,8,,N1,,,7.5
28000030,417506,5.5,8.2,8,7.5,8.75,,N1,,,5
28000031,440633,,6.8,5.6,,8.25,5.75,N1,6,7.75,
28000032,440634,,7.6,6.2,,8.75,6.25,N1,5,7.5,
28000034,415935,,6.8,,,7.5,7.5,,5.25,7.75,
28000033,415930,,6.8,5.6,,7,7.5,N1,5.5,7.25,
28000038,415936,,7.2,6.6,,9,8.25,N1,6,8.5,
28000036,415925,,7.4,7.8,,8.5,7.5,N1,5.25,7.25,
28000037,415931,,7.8,5.2,,8.25,5,N1,5.5,7.75,
28000035,415728,,8.2,8.6,,8.75,6.5,N1,5.5,8.75,
28000039,415729,,5.8,5.4,,8.75,9.75,N1,9.75,8.5,
28000040,440643,,7.4,8,,8.75,7.25,N1,6,8.75,
28000041,440652,,7.6,7.4,,8.5,6.25,N1,6,8.5,
28000042,416845,,7.2,8.2,,8.5,7,N1,7,8,
28000043,415730,,8.4,7.6,,8.75,6.5,N1,9.75,8,
28000044,416846,,8.6,8.8,,9,8.75,N1,8.25,9,
28000046,417512,8.5,7.2,7.4,6.75,7.5,,N1,,,4.25
28000049,440660,,6.4,6.2,,8.5,6.5,N1,4.75,6.75,
28000048,415937,,6.8,,,7.5,6.75,,6,7.25,
28000047,415731,6.25,8.4,5,10,8.5,,N1,,,8.75
28000045,413404,,8.2,7.2,,8.5,6.75,N1,6.25,7.75,
28000050,416847,,7.8,7.4,,9,6.5,N1,6,6.75,
28000051,417507,6.75,8.4,6.2,10,7.25,,N1,,,7.5
28000053,415732,4.75,5.4,6.6,4.25,7.75,,N1,,,3.75
28000052,440661,,7.6,8.4,,8.5,6.25,N1,5.5,8,
28000054,415733,8,8,5.8,6.5,7,,N1,,,2.5
28000055,417459,,5.6,8,,5.25,7,N1,9,8.25,
28000056,417460,,7.2,5,,8.5,6.75,N1,6.25,9.25,
28000062,417463,,6.4,5.6,,8,6.5,N1,3.5,5.75,
28000060,416848,,4,3,,6.5,5.75,N1,5.25,8.25,
28000061,414645,,6.8,6.2,,9.25,5.75,N1,7.5,8.5,
28000058,417462,7.75,7.8,4.4,9.75,7.75,,N1,,,8.75
28000059,414644,,8.4,6.6,,8.5,4.75,N1,3.75,8.25,
