Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
29000014,833613,,8.4,9,,9.75,9.25,N1,9.25,9.75,
29000017,839645,,7.8,9,,9,7.25,N1,6.75,7,
29000002,839225,8.5,9.2,6.2,9,5.25,,N1,,,3.25
29000007,839269,,6,9.2,,7.75,7,N1,6.5,8,
29000009,833607,,6.8,2.8,,7.25,7.25,N1,6.5,8.25,
29000005,839267,,8,7.6,,9.5,5.5,N1,4.75,8,
29000003,833612,,7.8,,,8.75,9,,9,,
29000011,839270,,8.2,9.6,,9.5,9.25,N1,9.5,9.75,
29000016,944252,,7,6.2,,5.25,8,N1,8.5,8.5,
29000019,944253,,7.2,4.8,,7.75,8,N1,7,7.75,
29000010,833629,,5.2,8.2,,9,6.75,N1,6.5,9.75,
29000006,839268,,5.8,7.8,,8.75,6.75,N1,5.25,7.5,
29000004,839266,,7.4,9.2,,9,8,N1,7.5,10,
29000008,839643,,8.2,8,,9.25,7.25,N1,7,8,
29000001,839224,5.5,8.2,8.6,4,6.75,,N1,,,6.75
29000012,839644,5.25,8.6,9,5.75,8.5,,N1,,,8.5
29000015,839271,6.25,7,8.6,5,7,,N1,,,5.75
29000020,839272,,8.2,8.8,,8.5,7.25,N1,6.75,8.75,
29000022,833631,,7.8,8.2,,8.75,6,N1,6.5,9,
29000018,833630,6.25,7.2,9.2,5,8.75,,N1,,,5.75
29000013,833633,,8.4,8.8,,9,8.5,N1,9,9.25,
29000021,939105,6.75,8.2,9,3.75,8.5,,N1,,,6
29000023,839226,4.25,7.4,8.2,4.25,7.75,,N1,,,7.5
29000025,940759,6.75,7.8,8.6,3.75,8.75,,N1,,,6.25
29000024,833608,,8.4,8.8,,9.25,7,N1,7.5,7.75,
29000026,940760,,7.8,8.6,,9,6.75,N1,3.75,6.75,
29000031,833611,,5.8,2.6,,7.75,7.5,N1,8.25,7.75,
29000032,839273,5.5,9,6.6,9,7,,N1,,,8.5
29000029,833610,,7,8,,9.25,8.5,N1,9.75,9,
29000030,833632,,6.2,4.6,,8.5,7.75,N1,7.25,8.25,
29000027,833609,,6.2,8,,9,6.25,N1,6.5,8.25,
29000028,839646,,6.8,8.4,,8.75,7.75,N1,7.75,7.25,
29000033,940831,,7,4.6,,9,7.5,N1,7.5,9.25,
