Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
30000001,421194,,6.6,5.8,,8,7.25,N1,7.25,8,
30000006,420027,,7,6.2,,8.25,7.5,N1,6.75,9.25,
30000003,420022,,6.2,8,,8.75,8.25,N1,5.75,9.75,
30000002,423420,,7.2,6,,8,8,N1,6,8.75,
30000007,658629,,3.4,,,6.75,7.25,,6,,
30000005,421195,3.75,5.2,6.2,4.5,7.5,,N1,,,4.25
30000010,421196,,6,7,,9,9.75,N1,9,9.5,
30000014,423421,,5.4,,,6.25,6.5,,7,,
30000011,419167,8,7,5.2,9.75,8,,N1,,,3.5
30000012,425048,,5.8,5.6,,6.75,8.75,N1,7,8.5,
30000016,425049,,6.6,4.4,,9,7.5,N1,7.75,10,
30000017,658654,,6.6,9,,9.25,9.5,N1,8.25,9.25,
30000008,425047,,6.2,5,,9.25,9.5,N1,8.25,9.25,
30000019,421197,,7,5.2,,8.5,9.5,N1,8,9,
30000020,425050,,5.4,6.6,,8.5,9,N1,8,9,
30000018,419171,6.25,7.6,5,8.25,7.75,,N1,,,7.75
30000004,425046,,8.4,6.6,,9.25,8.25,N1,7.5,9,
30000009,420028,,7.6,8.4,,7.75,9,N1,8.25,9,
30000021,420026,,5,5.4,,6,7.5,N1,5.75,7.75,
30000013,420025,,7.2,5.6,,8.25,8.75,N1,8,9.5,
30000022,423422,,6.8,8.4,,9.5,8.25,N1,7.75,9.25,
30000024,425051,9.5,7.4,5.4,8.5,8.5,,N1,,,4.5
30000026,420024,,4.6,5.4,,8,8.75,N1,7.25,8.75,
30000028,425052,6.25,6.4,5.8,7.5,7.5,,N1,,,6.25
30000029,419172,6.5,7.6,3.2,8.75,7.75,,N1,,,7.25
30000027,421199,,7.2,9.2,,9,9.25,N1,8.75,9.25,
30000030,657348,,3,4.4,,8.75,6.75,N1,6,6.75,
30000031,657349,,3.8,,,7.75,7,,6,,
30000032,421200,,6.4,4.6,,9,7.25,N1,6.25,8.25,
30000034,423423,,7.6,5.6,,8.5,9.25,N1,6.5,8.75,
30000033,657350,6.25,8.2,4.2,7.5,8,,N1,,,7.5
30000037,420897,,6.2,5,,8.75,8.75,N1,6.25,8.25,
30000035,419168,7.5,7.6,7.8,7.5,8.5,,N1,,,7.75
30000038,423424,,5,4.2,,8,7.5,N1,3.75,8.5,
30000039,420029,,7,7.4,,9.25,9.25,N1,8,9.5,
30000041,657707,,2.8,,,4.5,5.25,,7.25,,
30000040,425053,,5,,,7,7.75,,7,,
30000036,421201,,6.2,5.6,,7,7.5,N1,5,9,
30000015,420023,,5.6,6.8,,7.25,7,N1,6.25,7.5,
30000042,421202,8.5,8,4.4,9.75,7.75,,N1,,,3
30000043,657708,6.25,7.6,4.8,6,7.75,,N1,,,7.25
30000045,420030,,3.4,4.2,,8,7.25,N1,5,9.5,
30000047,423920,,6.4,,,8,7.75,,5.75,,
30000048,421204,,7,8,,8.75,9.25,N1,8.5,9.75,
30000044,425054,,3.6,3.6,,7.5,7,N1,5.25,5.75,
30000051,421206,,5.6,5.2,,9,8.75,N1,9,8.75,
30000050,421205,,6.4,5.4,,9.25,9.25,N1,8,9.5,
30000049,425055,,6.6,5.2,,6.75,8.75,N1,7.75,9,
