Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
31000002,959604,,5.4,6.4,,3.25,4.75,N1,6.25,5.5,
31000005,937994,,7,5.4,,6.75,7,N1,7,8,
31000008,955153,9.25,7.2,6.2,8,8.25,,N1,,,8.5
31000004,943127,,8,6.8,,5,6,N1,6.25,4,
31000001,937997,,5.2,4.6,,7.5,6.5,N1,6,8,
31000003,955151,,4.8,6,,5.75,5,N1,4.5,6.5,
31000009,943128,,6,5.6,,7.25,7.75,N1,6.75,7,
31000006,955152,5.75,8,5.8,4.5,,,N1,,,8
31000007,944047,,6.2,5.6,,6.75,7.25,N1,7.75,8.5,
31000012,954404,8,8.6,7.4,4,6.25,,N1,,,8.25
31000019,954456,,5.8,,6.5,,,,,,3.5
31000015,955156,,6.4,6.4,,6.25,6.5,N1,6.25,6,
31000014,943123,,5,5.8,,7,5.25,N1,6.5,6.75,
31000013,955155,,6.4,6.2,,7.25,6.5,N1,7.25,7.75,
31000017,962229,6.25,8.4,6.4,6.25,4,,N1,,,7.25
31000010,955154,,4.8,5.6,,7.5,7.5,N1,7.5,8.5,
31000018,955157,,4.2,6,,5.25,5.5,N1,5.5,7.75,
31000011,954403,,5.2,6.4,,7,7.25,N1,6.5,8.5,
31000016,954455,,6.2,6,,5,7.75,N1,5,6,
31000020,962224,8.25,7,,7.5,7.5,,,,,6.75
31000021,955158,,6.8,6.4,,7.75,7.75,N1,7.25,7.25,
31000023,943124,,4.4,5.2,,6,5.75,N1,5,6.75,
31000024,955159,,6,6.2,,7.5,8.5,N1,6.25,9.25,
31000028,956124,,3.4,5.8,,5,6.75,N1,5,7.75,
31000026,955160,,5.6,8.2,,8,8,N1,8.75,8,
31000025,937995,,5.2,5,,5,3,N1,5,6,
31000022,962230,7.5,8,7.2,7.5,8,,N1,,,6.25
31000027,943129,,5.8,6.4,,5.25,5.25,N1,6,5.75,
31000029,943125,,6,5.4,,6.25,6,N1,4.25,5.25,
31000030,960378,7.5,8.8,8.6,6.5,7.75,,N1,,,8.25
31000031,937996,,5.4,6.2,,7.5,6.75,N1,7,8.25,
31000032,943126,,3.6,6.4,,6,6.75,N1,5.25,6.5,
31000036,947464,,5.4,5.6,,5,5.5,N1,5.25,7.25,
31000034,962225,6.5,8.6,,9.25,,,,,,8.75
31000038,943130,,6.4,4.8,,6.25,6.5,N1,7,6.75,
31000037,948222,,4.8,5.2,,4,4.25,N1,3.75,4.25,
31000040,960380,,5.6,5.8,,6.5,6.25,N1,4.5,7,
31000039,943132,,7.6,6.2,,6.75,5.75,N1,7.25,8.75,
31000035,943131,,4.4,6.2,,6.25,5.75,N1,4,7,
31000033,960379,,5.6,6,,6.75,7.75,N1,5.75,8.75,
31000041,948223,,6.2,6.2,,6,7,N1,6.5,7.5,
31000042,956203,,,,,5,8.5,,4.25,,
31000044,962231,8.25,8,6.4,9.25,7.25,,N1,,,5.5
31000043,960381,,5.8,6,,7,6.25,N1,7,8.75,
31000047,943133,,7.6,,,8.25,8.25,,9.75,,
31000045,948224,7.75,8.8,6.6,7.75,6.75,,N1,,,6.75
31000049,948225,,5,5.6,,6,6.75,N1,6.25,7.25,
31000046,960382,7.25,7.2,8.2,6.5,7,,N1,,,7.75
31000048,943134,,5.6,6.4,,6.25,6.5,N1,5.75,6.75,
31000050,960383,,7,5,,6.25,3.75,N1,5.75,5.75,
31000051,943135,,5.4,5.4,,4.5,5.75,N1,6.5,7.25,
31000052,957875,,,,,6.75,,,,,
31000053,948226,,5.2,5.6,,7,6.5,N1,5.5,8,
31000054,950158,,5,7.4,,7.25,5.5,N1,6.5,8,
31000056,960384,,4.8,5.6,,6.25,5.75,N1,4,6.5,
31000057,943136,,2,4.6,,5.25,4.25,N1,5,5.25,
31000061,943974,,7,4.4,,6.75,7.75,N1,5,7.25,
31000059,950159,,6.8,5.6,,6.25,5.75,N1,5.25,6.25,
31000058,948228,,5.4,7,,6.25,7,N1,8.25,8.25,
31000060,960385,,5.2,4.8,,6.75,6.75,N1,7,8,
31000055,948227,,7.6,6,,7,7.25,N1,5,7.25,
31000062,948229,,6.2,4.8,,5,3.5,N1,5,7.25,
31000063,943137,,5.6,5.2,,7,8.25,N1,7.25,7.5,
31000064,960386,,6.8,6.4,,7.25,6.25,N1,6.5,8.5,
31000065,946630,,4.8,5.8,,6.75,5.25,N1,5.75,7.5,
31000067,946631,,4.4,5,,5.75,4.25,N1,6,8.5,
31000069,943138,,6.4,6.2,,7.5,8.75,N1,7,8.5,
31000068,962234,8,6.8,5.6,6,7.5,,N1,,,5.75
31000066,947478,,,,,6.5,4.75,,5,7.75,
31000072,948230,,6.8,6.2,,5,7.5,N1,6.5,6.5,
31000073,960387,,6,5.6,,6,6,N1,6.5,8.5,
31000070,946632,,5.8,5.8,,6,7.25,N1,5.5,7,
31000071,963095,,5,6.2,,6,6.5,N1,5.75,7.75,
31000075,946634,,5.4,5.8,,7,7,N1,6.5,7.75,
31000074,946633,,5.2,4.8,,5.75,7.25,N1,6.25,7,
31000076,948231,,6,5.8,,5,7.75,N1,7.5,8.5,
31000078,962232,7.5,7.6,6.8,7.5,6,,N1,,,7
31000080,962227,,6.4,,5.75,,,,,,6
31000079,946635,,5.4,6,,5.5,4.75,N1,5.25,7,
31000077,962226,8.25,7.6,6,7.75,5.25,,N1,,,6.25
31000081,948232,,4.8,5.8,,6.25,5.5,N1,4.25,5.25,
31000083,962233,6.25,6.6,,6.25,,,,,,4.5
31000084,946636,,7,5.8,,4.5,7,N1,7.5,7.75,
31000085,952721,,6.2,5,,5.5,4.5,N1,5.5,7.75,
31000082,960388,,4.6,5.2,,5.75,8.25,N1,4.75,7.75,
31000086,948233,,4.8,4.6,,5,5,N1,4.5,4.75,
31000087,946637,,4.4,5,,5,4.5,N1,6.75,6.25,
31000088,960389,,5.6,5.2,,7.25,7.5,N1,8.5,9,
31000089,952722,,6.4,5.2,,5,5.5,N1,5.75,7.5,
31000092,946639,,6.6,4.8,,6,7.5,N1,6.25,8,
31000094,961381,,6,4.4,,6.75,7.5,N1,5.75,6.25,
31000090,960390,,4.4,5.4,,4,5.5,N1,4.25,6.25,
31000093,960391,,6,5.2,,6.25,6.5,N1,6.75,7,
31000091,948234,,5.2,5.6,,5,6.25,N1,6,8,
31000095,948235,,6.8,5.2,,5.75,7.25,N1,5.75,8.75,
31000096,961382,6.75,5.8,,3,,,,,,
31000097,946645,,5,4.8,,4.25,6,N1,5.5,8,
31000098,962228,7.5,7.8,5.6,7,5.75,,N1,,,7.5
31000099,960392,,4.4,5.8,,5.5,6.75,N1,4.75,7.75,
31000105,946646,,6.4,6,,7,6.75,N1,7.75,9,
31000101,946640,,7.8,5,,7.75,8.75,N1,8,9.25,
31000104,948237,,6.8,4.4,,6.5,8.25,N1,7.75,8.25,
31000102,963058,,5.8,5.8,,4.25,6,N1,6.25,7,
31000100,948236,,4.4,5.2,,6,6,N1,5,6.5,
31000107,946642,,4,4.8,,5,5.5,N1,4,7.75,
31000106,950160,,6,,,7,7,,,8.25,
31000103,946641,,4.8,4.8,,5,6.75,N1,6,7.25,
31000108,948238,,7.2,5.4,,5.25,7.25,N1,5.25,8.25,
31000109,942248,,6.2,4.6,,6.75,6.25,N1,7.25,7.5,
31000110,948239,,5.8,5.6,,7.25,9.25,N1,7.75,8.5,
31000111,946638,,5.4,6.6,,6.75,7.25,N1,6,8.25,
31000114,948240,8.25,7.4,6.4,7.75,7,,N1,,,3.25
31000112,946643,,7.2,5.6,,8,8.25,N1,6.25,7.25,
31000116,962235,5.25,6.4,8.2,7,7.25,,N1,,,5.75
31000118,946644,,6.8,5,,7.5,5.25,N1,5.75,8,
31000119,948241,,6.2,6,,7.5,7.75,N1,6.75,8.5,
31000113,946647,,6.4,7,,7.75,8.25,N1,7.75,8.75,
31000115,960393,,6.2,5.4,,6.75,7.25,N1,6,7.5,
31000121,951780,,7.2,6.6,,7.25,6.25,N1,6.75,6.5,
31000120,946648,,4.8,5,,6,4.25,N1,5,4.75,
31000122,960394,,6.8,6.6,,6.25,6.25,N1,4.25,7.25,
31000124,962244,7.5,8,6.2,8.75,8,,N1,,,8.25
31000127,948243,,6.8,5.8,,4,6.75,N1,3,6.5,
31000123,948242,,6.6,5.4,,7,7.75,N1,7.75,8.5,
31000125,951781,,5.2,6.2,,7.5,8.75,N1,6.75,9.25,
31000129,951782,,5.2,5.6,,5.5,5.5,N1,4.5,7,
31000128,944063,,7.2,5.4,,6.25,6.25,N1,6.25,8.75,
31000126,963057,,7.2,6,,6.5,6.5,N1,6.25,7.75,
31000130,950153,,5.8,6.2,,6.25,6.25,N1,5.25,7,
31000131,948244,7,8.2,5.8,9.25,6.5,,N1,,,8.5
31000132,951783,,5.8,5.6,,5,5.5,N1,4.5,6.5,
31000133,951786,,3.4,6,,7.25,6.25,N1,5.5,7.25,
31000135,948245,,6,5.8,,7,6.75,N1,3,6.25,
31000134,951784,,7.4,6.6,,8.25,7,N1,6,7.5,
31000136,962236,8.25,6.6,4.4,9,7.75,,N1,,,7.5
