Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
32000004,854576,,2.6,3.8,,2.25,4,N1,2.75,4,
32000009,856337,6.75,7,4.4,7.5,6,,N1,,,8.25
32000008,854582,,6.4,8,,6.5,8,N1,7.5,8.5,
32000001,854574,,7,4.6,,7.5,6.5,N1,7,8.75,
32000006,854577,,5.6,8,,8.25,8.75,N1,7.75,8,
32000002,854567,,4.8,3.2,,6.75,6,N1,5,5.75,
32000005,854568,,4.4,4.8,,5.75,6.5,N1,5,6.5,
32000007,854578,,6.2,2.4,,5.5,7.5,N1,4.5,7.5,
32000003,854575,,2.2,3,,4.5,5.75,N1,5.75,6.75,
32000011,858552,,4.4,4.4,,4.5,6.25,N1,6.25,7.75,
32000010,859788,6.25,8.2,6.2,7.75,6.75,,N1,,,8.75
32000013,859847,7.25,7.4,4,6,7.75,,N1,,,4.75
32000015,854570,,1.4,3.2,,5.25,3.5,N1,4.5,4.75,
32000012,854569,,4.8,,,4.5,7.5,,4.75,,
32000018,859790,,5,4.2,,8.5,9.75,N1,9.5,8.75,
32000019,860221,5.5,7,4.2,8.25,6.25,,N1,,,6.25
32000014,859789,,6.2,3,,6,6.5,N1,5.75,6.5,
32000016,860220,4,7.2,5,7.5,7.5,,N1,,,5.5
32000017,854579,,4.4,3.6,,5.25,5.5,N1,4.5,7.5,
32000020,854571,,2.2,,,5.75,7.75,,6.75,,
32000021,854580,,4.8,2.8,,7.5,8.75,N1,8.25,8.75,
32000022,856338,4.75,7,5.4,7,7.75,,N1,,,7.5
32000025,856339,,8,4.8,,8.75,7.75,N1,6.5,8.5,
32000029,854572,,5.2,6,,8.75,9.5,N1,9.75,8.5,
32000023,860222,,7.8,7.6,,9,9.75,N4,9,8.75,
32000024,859844,8.75,7.8,4.4,9,7.5,,N1,,,6.25
32000027,860254,,2.4,2.8,,3.75,3,N1,5.25,4.5,
32000026,859791,6.5,6.6,6,7.5,7.5,,N1,,,4
32000028,856340,7.75,8,2.6,8,5,,N1,,,4
32000030,854581,,4.8,5,,6.25,7.5,N1,7.25,7.75,
32000031,859861,5.75,6.6,,6.75,,,,,,7
32000032,861920,,3.4,,,5,5.75,,3.5,,
32000033,854573,,5.2,7.4,,7.75,6.25,N1,4.25,6.5,
32000034,879172,6.5,8.4,4.2,9,6,,N1,,,8.5
32000039,856341,,8.4,,6.25,,,,,,8.5
32000035,879173,,,,,8.25,9.25,,9.5,,
32000038,854620,,4.4,7.6,,8.5,7,N1,6.5,6.5,
32000036,859792,5.75,6.8,6,7,6.75,,N1,,,5
32000037,873939,,4.8,3.2,,4.75,6.5,N1,6,7.75,
32000040,854621,,7,6.8,,8.75,6.25,N1,4.5,7.5,
32000041,854622,,7.4,7.4,,9,8.75,N1,8.75,10,
32000043,854623,,3.6,5.2,,7,7,N1,5,6.25,
32000042,854634,,5.2,2.6,,5.25,6.25,N1,6.75,7,
32000044,861561,,3.2,2.2,,7.5,7.25,N1,6.5,7.75,
32000045,854617,,4.4,3,,5.75,7.75,N1,6.5,9.25,
32000046,854624,,6.2,9.6,,8.5,7.25,N1,8,9,
32000047,854625,,6.6,4.8,,8.25,7.5,N1,4.75,6.75,
32000049,854627,,6.4,5.4,,7,7.5,N1,6.5,8.5,
32000048,854626,,6,3.4,,3,5.25,N1,5,5.5,
32000050,854628,,5.4,,,4.75,5.75,,6.5,,
32000051,859793,6.5,7.4,8.4,4,5,,N1,,,7
32000052,856342,,5.8,6.2,,7.75,5.75,N1,6.75,7.75,
32000053,856790,5.75,8.2,9,9.25,8.5,,N1,,,7.25
32000054,874021,,7,7.2,,7.5,7.5,N1,7.25,7,
32000055,854618,,7,4.2,,5.5,5.75,N1,7.75,7.25,
32000056,861562,,4,6.2,,6.5,6.75,N1,6,7.75,
32000057,854629,,6,6,,6.5,6.75,N1,6.75,7.5,
32000060,856343,6.5,7.2,6.8,4.5,7.25,,N1,,,8
32000062,859862,5,8.4,5.8,9,5.5,,N1,,,8.75
32000059,854631,,5.4,,,5,8,,6.25,,
32000058,854630,,5.2,2.6,,6,7.75,N1,4.25,7,
32000064,859845,7,8.4,9.2,3,6,,N1,,,7.5
32000061,858454,,6.8,7.8,,5.75,6,N1,6,8.25,
32000063,854619,,,,,8.25,7,,5.5,8.25,
32000065,854632,,2.8,7,,7,8,N1,6.25,8.5,
32000066,854633,,3.2,1.8,,4.75,3.25,N1,5.25,6.75,
32000067,854641,,5.8,4.4,,7,8.5,N1,5,7.5,
32000068,858455,,2.2,2.4,,3,5.5,N1,4.75,5.75,
32000070,859794,,3,3.4,,4.75,6.75,N1,6,8,
32000069,880907,,,,,7.25,8,,9,,
32000071,854635,,5.2,7.6,,7.75,7,N1,8.5,9,
32000072,854636,,5,3.6,,5.25,4.75,N1,5,5.75,
32000073,859846,,8.2,,7.5,,,,,,8
32000074,856344,4.75,8.6,4.4,7.5,5.5,,N1,,,8
32000076,854646,,7.2,3.4,,6.25,8,N1,5.5,7,
32000075,859795,7.25,8.6,4.2,6.75,6.25,,N1,,,3.75
32000077,854642,,4.2,,,5.25,6.5,,6,,
32000078,873986,,3.8,5.2,,6.25,5.25,N1,5,7.75,
32000079,856345,,4,,,4.5,7.25,,5,,
32000081,859817,,3.2,2.8,,4,5.25,N1,5,5.75,
32000080,854637,,3.4,5,,6,8,N1,6.25,8.25,
32000083,854643,,5.8,,,4.75,6,,5,,
32000082,854638,,4,4.2,,5.5,6.5,N1,4.25,6.25,
32000085,854644,,,,,8,10,,9.75,9,
32000084,880962,,5.4,,,6.5,8.75,,6.5,,
32000087,873987,5.25,8.4,4.8,9.25,5.5,,N1,,,8.75
32000086,859818,,5.8,2.2,,5,5.25,N1,6.25,6.25,
32000088,856346,8.5,8.6,6.6,8.75,7.25,,N1,,,6
32000089,855023,,3.6,,,5,5.75,,4.75,,
32000091,854647,,5.4,3.6,,6,7.5,N1,6.25,7.25,
32000090,854639,,6.6,7.4,,6.5,5.25,N1,7,6.75,
32000092,854645,,5.6,3.2,,7.5,7.5,N1,5.75,8,
32000093,855070,,2.4,,,2,3,,3.5,,
32000095,855071,,6.2,2,,7.5,8.5,N1,9,8.75,
32000098,854653,,6.4,3.8,,5.75,6,N1,8.75,8.75,
32000094,854640,,4.8,4.2,,7.25,7.25,N1,5,7.5,
32000096,856293,,4,6,,6,6,N1,4.75,7.75,
32000097,856294,,3.6,2,,4,4,N1,4.25,6.5,
32000099,855072,,4.6,,,5.25,7.5,,5.5,,
32000100,854654,,8,8.2,,8.5,10,N1,9.75,9.75,
32000101,856347,5.75,8.4,3.8,7.25,6.5,,N1,,,7.75
32000102,854648,,4,5.4,,6.25,6,N1,5.5,6,
32000103,873935,,6,5,,7.25,8.75,N1,8.5,8.5,
32000104,861494,5.25,7.8,3.8,7.25,5.75,,N1,,,8
32000105,861486,6,6.6,2.2,7.75,4,,N1,,,3.25
32000107,854655,,4.2,4,,5.5,5.75,N1,5.25,8,
32000106,856295,,5,7.4,,6.25,6.75,N1,6.25,7.5,
32000108,861489,5.25,7.2,4.4,6.25,6.25,,N1,,,5.25
32000110,859819,5.75,5.8,3.4,6.5,7.25,,N1,,,7
32000109,856740,,3.2,2.4,,5.5,5.75,N1,4.75,6.25,
32000111,854649,,3,3.8,,2.5,4.75,N1,6.25,4,
32000112,854656,,6.6,5.6,,8,9.75,N1,9.75,8.5,
32000114,854658,,4.6,2.6,,3.75,2.75,N1,5.25,4.5,
32000113,854657,,4,3,,2.25,4.25,N1,6.75,7.25,
32000115,856348,,5.6,3.4,,6.25,6.5,N1,4.75,7.25,
32000116,854650,,6.2,1.8,,6.25,5.25,N1,6,6.75,
32000118,859820,5.5,7.6,3.4,7.25,4.25,,N1,,,6.25
32000117,861490,5.5,7,3,3,5.5,,N1,,,7.75
32000119,856349,,6,3.6,,7.25,6.75,N1,6.75,8.25,
32000121,861487,5.25,7.6,5.2,6.25,7.5,,N1,,,7.5
32000122,854651,,4,3.8,,8.5,7.25,N1,7.5,8.75,
32000120,854659,,6,3.8,,6.5,6.5,N1,5.5,8,
32000124,856350,,4.2,,,6.75,7,,6,,
32000125,858456,8.25,8.2,6.4,9,7.75,,N1,,,8.25
32000123,856291,,7.8,6.6,,8.25,7,N1,6.5,9.25,
32000126,854652,,5.6,3.4,,5.5,6.25,N1,5,6.25,
32000127,856351,5.5,7.6,3.8,7.75,5.75,,N1,,,5.75
32000128,861491,4.75,4.2,4.4,4.5,6.5,,N1,,,4
32000129,861563,,7.8,8.2,,8.5,8,N1,8,8.25,
32000130,859821,7,8.4,8.8,7,7.75,,N1,,,8.25
32000132,856292,,7.8,5.6,,7.25,9,N1,7.75,8.75,
32000134,859822,5,6.4,6.4,5.25,6.75,,N1,,,5.25
32000131,858508,5.5,7.4,5.8,7.25,6.25,,N1,,,7.75
32000133,858553,,4.2,3.8,,6.5,5.5,N1,6.75,8.25,
