Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
33000005,998581,6.25,7.4,4.4,4.25,7.5,,N1,,,8.5
33000006,998582,3.5,6.8,2.8,6.5,6.5,,N1,,,7.75
33000001,998578,,4.6,3,,6,7.75,N1,6,8.25,
33000002,998579,,5.2,2,,8.25,7.25,N1,7,7,
33000004,996856,6,8.6,6.8,7,7.5,,N1,,,8.25
33000008,996857,7,7.4,8.8,7.5,9.25,,N1,,,8.75
33000007,1002041,5.5,6.8,2.8,5,6.25,,N1,,,5.25
33000009,1002119,,6.2,5,,7,8,N1,5.25,6.5,
33000003,998580,,4.4,3,,7,7.5,N1,4.5,8.25,
33000018,998619,7,8.2,2.4,7.5,6.5,,N1,,,6.5
33000010,998583,,5.4,3.4,,7.75,8.5,N1,9,8.75,
33000012,996858,6.5,8.4,3.8,7.75,7,,N1,,,8.5
33000017,1011399,5.25,8,6.2,6.5,7,,N1,,,8.25
33000015,1000311,6.75,7,4.2,6.5,7,,N1,,,7.5
33000016,1002043,6,8.4,5.4,8,6.5,,N1,,,8.25
33000011,1002044,6.25,7.4,9,7.5,7.25,,N1,,,7.75
33000019,1000312,6,7.4,7.6,5.75,7.25,,N1,,,8.25
33000014,1009789,,6,,,6,7,,6.75,,
33000013,998618,,7.4,5.8,,7,8.5,N1,6.5,8,
33000020,1002042,8,8.8,6.8,4,7.75,,N1,,,8.25
33000021,998620,6.25,7,5.4,3.75,7.5,,N1,,,8.25
33000022,1002120,,,,,8.25,9.25,,8,,
33000025,996859,,3,3,,7.5,7.5,N1,4.25,6.75,
33000024,1000313,6,7,4.6,6.75,6,,N1,,,4.25
33000029,996860,,4.8,3.6,,8,8,N1,6.5,8.25,
33000026,1011410,7.75,8.2,8.8,8.25,7.5,,N1,,,8.5
33000028,1000314,6,8,2.8,7,6.25,,N1,,,8.5
33000023,1011409,,6.2,3.8,,7.75,7.75,N1,6.75,8.5,
33000027,1002121,,3.8,3,,7.25,8.75,N1,6.25,9,
33000030,1011415,6.25,7.6,8.2,4.5,7.5,,N1,,,7.5
33000031,1011416,,5,2.6,,6,7.75,N1,6,8.5,
33000032,1000355,5.25,6.2,5.2,4,7.25,,N1,,,7
33000033,996861,7.75,8.2,6.4,7.5,7,,N1,,,7.25
33000034,1002122,,5.4,1.8,,7.5,9,N1,7.5,6.25,
33000037,996862,5.5,6.4,4.4,8,6.25,,N1,,,8.25
33000035,1002123,,8.8,7.4,,8.75,7,N1,7,9,
