Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
34000001,1034243,,6.6,5.2,,8,6,N1,6.5,7.5,
34000004,1051309,6.75,7.4,5,8.5,8,,N1,,,8.75
34000009,1051311,,4.6,4.8,,6.5,8,N1,7,8,
34000008,1049095,,7.6,7.4,,9,9,N1,8.75,9.5,
34000007,1051306,5.75,8,7.4,7.25,5.75,,N1,,,5
34000003,1051305,,6.4,6.8,,8.5,8.25,N1,8.25,9.75,
34000006,1051310,,7,5.4,,6.5,8,N1,7.25,8.75,
34000005,1046265,7.25,9.2,5.4,9.75,6.25,,N1,,,8.75
34000002,1049090,,6.8,5.2,,6.5,8.25,N1,8.5,8,
34000010,1034244,,6,3.6,,8,7.5,N1,6.75,7.5,
34000018,1056489,7.5,8.8,8,9,8,,N1,,,8
34000013,1037015,4.5,7.2,8.4,5.75,6,,N1,,,5
34000019,1051374,,5.4,5.2,,5.25,7,N1,6.75,7.5,
34000012,1051307,5,6.8,5.6,6.5,6.5,,N1,,,6.5
34000011,1034183,,4.4,3.8,,7,5.25,N1,4.5,7.75,
34000014,1051312,5.25,7.4,4.8,7.25,6.25,,N1,,,8
34000017,1051313,7.5,6.4,5,8,7.25,,N1,,,5.25
34000015,1051308,6.75,6.6,5.4,7.25,7,,N1,,,6
34000016,1034245,,7.6,5.2,,7,6.5,N1,6.25,8.25,
34000020,1051314,5.75,8.4,5.6,7.5,5.5,,N1,,,8.25
34000022,1051315,5.25,7.2,6.2,4,5.25,,N1,,,4
34000027,1051377,5.5,6.8,7,6.25,8,,N1,,,7.25
34000023,1056487,5.5,7,3.4,6.5,6,,N1,,,7
34000021,1051375,5.5,7.2,4.2,8.75,5.75,,N1,,,7.5
34000025,1051316,,6.4,3.6,,6.5,7,N1,7,6.75,
34000028,1051317,,7.6,7.8,,8.5,7.25,N1,6,8.75,
34000024,1051376,,5.6,4.4,,6.75,7,N1,7,8.5,
34000030,1051318,7.25,8.8,6.4,9,7,,N1,,,8.25
34000026,1034246,,4.2,3.2,,6,5.5,N1,3.75,8,
34000029,1051378,4.25,7.8,9.2,6.25,6,,N1,,,8.5
34000031,1034184,,7.6,7.6,,8.75,8,N1,7.25,9.25,
34000033,1046283,5.75,8.6,6.2,6,6.25,,N1,,,6.75
34000034,1051379,6,8.2,5.6,7.75,5.5,,N1,,,8.25
34000035,1056488,4.5,8.4,8.4,4.25,5.25,,N1,,,8
34000039,1051321,6.5,8,5,7.25,6.5,,N1,,,7.5
34000038,1046284,5.25,7.4,6.4,5,3.5,,N1,,,5
34000032,1051319,6.5,7.6,6.2,8.75,6.75,,N1,,,7.75
34000040,1037016,7,8.4,5.4,7.75,5.5,,N1,,,7.75
34000037,1051380,6,7,5,7.25,6.75,,N1,,,6.5
34000041,1056490,5,7.8,5.8,4.25,5.5,,N1,,,6.5
34000036,1051320,,4.4,5.8,,5.5,6.75,N1,5.5,7.75,
34000042,1051381,,7.6,7.8,,8.5,7.75,N1,7.5,7.75,
34000043,1034242,,5.2,4.6,,7,6.25,N1,7,8,
34000045,1052997,,5.8,6,,5.75,7.75,N1,4.75,7.25,
34000047,1052998,3.5,7.8,9.2,6.75,8,,N1,,,8.25
34000044,1056491,6.25,7.6,8.2,5,8.75,,N1,,,5
34000051,1037017,,6.4,7.2,,7.5,8.25,N1,9,9,
34000050,1052999,,6.8,7.2,,7,8.5,N1,8,9.25,
34000049,1051322,,6.8,7,,6.25,5,N1,6,7,
34000046,1056492,7.5,7.6,6.6,7.5,8.25,,N1,,,6.25
34000052,1051323,7,8.4,6,9,7.25,,N1,,,7.75
34000048,1034185,,7.2,4.6,,6,5.75,N1,4.5,7.5,
34000053,1049086,,6,3.6,,5.75,7.25,N1,6.75,8,
34000054,1053000,6,9,4,9,5.75,,N1,,,8.75
34000055,1037047,,5.4,3.2,,5.75,7,N1,5,7.25,
34000058,1037048,,5,2.8,,6.25,8.25,N1,6.75,8,
34000060,1034247,,5.4,4.4,,4.5,7.25,N1,5.25,7.5,
34000059,1053001,5.5,8,5.4,4,4.25,,N1,,,8
34000056,1051324,5.25,8.4,4.2,7.5,4.5,,N1,,,8.75
34000061,1034248,,7.2,4.4,,5,6.5,N1,5.25,6.75,
34000057,1034254,,4.2,3.6,,5,6,N1,7.25,7,
34000062,1056493,6.25,8,6.4,8,5.75,,N1,,,8.25
34000063,1053002,5.25,7.2,4.4,7.75,6,,N1,,,6.75
34000064,1034255,,6,3.8,,5.83,6.5,N1,5.75,8,
34000065,1049071,,6.2,4,,6,5.25,N1,5.25,7.5,
34000066,1051325,5.5,6.2,3,5,7.25,,N1,,,5.5
34000067,1056494,6,8,5.6,9,5.75,,N1,,,8.5
34000073,1034253,,6.6,4,,6.5,6.25,N1,7.5,8.25,
34000068,1056495,6,5.6,6.4,6.25,6.25,,N1,,,5.5
34000069,1037049,5.75,8.2,4.8,8,7,,N1,,,8.25
34000070,1051326,8.75,8.8,7.2,9.25,7.25,,N1,,,7.25
34000072,1034252,,5.4,5.2,,6,6,N1,5.25,6.5,
34000071,1053003,4.25,8.6,5,7,6.25,,N1,,,8
34000074,1056496,6.75,7.2,7.2,6.75,7.75,,N1,,,7.5
34000075,1051327,,7,3.2,,6.5,5.75,N1,6.5,7.5,
34000076,1053004,5.5,8.2,5.2,8,5.5,,N1,,,8.25
34000077,1034249,,5.6,2.6,,4.5,5,N1,6,6.5,
34000081,1034250,,6.2,4.2,,6.25,7.75,N1,6.75,7.5,
34000083,1051329,6.5,8,5,8.5,7.5,,N1,,,8.25
34000080,1046285,,7.8,5,,7.75,9,N1,8.25,9.75,
34000078,1051328,,7.2,,,5.75,7,,5.75,6.75,
34000079,1053005,,8,7,,7.75,7,N1,7.75,8.25,
34000082,1034251,,7.4,4.6,,2.5,6.5,N1,7.75,7.75,
34000084,1053006,,6.8,5,,6,7.5,N1,7.75,9,
34000085,1058190,7,8.4,5.4,8.5,8,,N1,,,8.75
34000086,1051330,9.25,8.2,7.6,9.25,8,,N1,,,6.5
34000087,1053007,5.75,8.2,6,9.25,6.75,,N1,,,8.5
34000088,1058191,3.75,7.8,4.6,7.5,5.75,,N1,,,8.5
34000090,1038688,,5.6,4.6,,7.25,7.25,N1,5.5,7.5,
34000092,1058192,6,8,7,8,7.5,,N1,,,8
34000091,1051331,4,7.4,4.8,7.75,6,,N1,,,8
34000089,1034256,,5.4,4,,4.75,5,N1,6.75,7.5,
34000094,1051332,,6.4,3.8,,7.75,6,N1,5.5,8.25,
34000093,1058193,6,6.4,5.4,6.25,6,,N1,,,5.75
34000095,1058194,5.5,7.2,4.6,6.5,5.75,,N1,,,6.75
34000096,1053008,,7.6,5.8,,8,7,N1,6.5,8.25,
34000097,1034257,,5.6,5.6,,5.25,4.5,N1,5.75,7,
34000098,1051333,6.5,8.2,5.2,9.25,7,,N1,,,8.5
34000099,1053009,5.25,8.8,5.6,8.75,5.2,,N1,,,8.5
34000101,1034258,,5.8,5.4,,7,8.25,N1,7.25,9.25,
34000100,1038689,3.25,8.8,3.6,8.5,6.5,,N1,,,7.25
34000102,1053010,4.75,7.8,8,6,4.75,,N1,,,8
34000103,1051334,,6,5.8,,8.5,7,N1,8.25,9.5,
34000104,1038690,,5.6,4,,7.75,8.5,N1,9.25,9.25,
34000106,1034259,,3.4,4,,6.25,5.75,N1,7.25,7.25,
34000105,1053011,6.75,6.4,4.6,6.5,7,,N1,,,6.5
34000107,1058200,6.75,8.4,8,7.5,5.25,,N1,,,8
34000109,1058198,4.5,8.6,2.2,7,5.5,,N1,,,5.25
34000115,1051337,,6.8,3,,6.5,5.5,N1,6,7.5,
34000113,1049072,,4.6,3.2,,4.25,4.5,N1,6.25,7.25,
34000110,1053012,5,8.8,5.6,8,5.75,,N1,,,8.75
34000108,1051335,5.5,7,3.6,5,7.5,,N1,,,6.25
34000112,1038691,,2.8,2.6,,3.67,4.25,N1,4.75,5.5,
34000116,1058195,5.5,8.6,6.4,9,6.5,,N1,,,7.25
34000114,1034260,,7,7.6,,8.5,8.75,N1,7.75,8.25,
34000111,1051336,6,8.8,6.2,9,7.25,,N1,,,7.5
34000117,1058196,5.75,5.6,4,3,3,,N1,,,3.75
34000118,1053013,5.25,7.2,3.6,8.5,4,,N1,,,7.75
34000124,1038720,,6.2,2.4,,5,6.5,N1,4.5,6.75,
34000119,1051338,5.5,8.4,3.8,9.5,4,,N1,,,8.75
34000123,1051339,6.75,8.8,7.8,9,7,,N1,,,8.75
34000126,1053014,,5.4,4.8,,6,6,N1,5.5,8.25,
34000121,1058197,5.75,7.8,6.6,9.5,6.5,,N1,,,9.25
34000122,1046286,,8.4,5.2,,5.5,5.75,N1,5.25,6.75,
34000120,1038719,,5.4,3.4,,3.5,6,N1,5.25,6.25,
34000125,1034261,,6.4,3.8,,6,7,N1,5.5,6.75,
34000127,1058201,6.25,8.4,5.6,8.75,5.75,,N1,,,8.5
34000128,1051340,4.75,8.2,5,7.25,5.5,,N1,,,7.75
34000129,1035944,,6,2.6,,5.5,6.5,N1,6.25,6.25,
34000130,1053015,,5.6,3.4,,4.25,5,N1,5,7,
34000132,1035945,,6.2,2.8,,5.25,7,N1,5,8,
34000135,1053016,5,6.2,4.4,6.25,5.25,,N1,,,7
34000133,1053020,,5.8,1.4,,5,6.5,N1,5,7.25,
34000131,1053019,4.5,5.4,4,5.5,5.75,,N1,,,3
34000136,1053021,,5,3.4,,7.5,7.5,N1,8,9.5,
34000134,1058199,6.75,7.2,5.4,7.5,6,,N1,,,7
34000137,1038721,,6.8,6,,7.5,7.25,N1,7,8.5,
34000138,1053017,4,6.8,3,5.75,5.5,,N1,,,6.75
34000139,1053022,,3.6,3.4,,5,5.75,N1,4.75,6.5,
34000140,1038722,,6.8,6.4,,7,7.25,N1,7,8.5,
34000142,1035942,,7.8,7.2,,7.5,8.25,N1,5.5,8.5,
34000141,1053018,6,8.8,6.6,9.5,7,,N1,,,8
34000143,1058207,4.5,6.4,3.4,6.5,4.5,,N1,,,8
34000144,1053023,6,8,5.2,7.5,6.5,,N1,,,8
34000146,1038723,5.5,8.6,4.4,6.5,5.5,,N1,,,8
34000145,1035943,,3.6,3.6,,6,5.25,N1,5.25,8,
34000147,1053024,,5.8,3,,6,6,N1,7.75,8,
34000148,1035946,,5.6,4.8,,7.25,6.75,N1,6,8.75,
34000149,1053025,,6.6,6.4,,8.5,8.5,N1,8.25,9,
34000152,1053026,,4.2,4.6,,7.75,8.75,N1,7,8.75,
34000150,1058202,6,8.4,7,9,7,,N1,,,8.5
34000151,1053058,,4.8,4.8,,5,7.25,N1,5.5,7.75,
34000153,1035951,,5.4,6,,5.25,7.25,N1,6.25,8.75,
34000157,1053060,7.25,8,5.8,7.75,7.5,,N1,,,7
34000154,1035952,,4.2,5.6,,6.5,7,N1,7.5,8.75,
34000155,1058208,7,8,6.4,8.75,6.75,,N1,,,7
34000156,1053059,6.25,7,7.6,6.25,7.5,,N1,,,7
34000159,1038755,,6.2,5.4,,7.25,4.75,N1,6,7.75,
