Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
35000003,869062,5.25,7.4,6.8,6.75,6,,N1,,,5.5
35000008,913965,,6.6,,,5.25,4.75,,5.25,,
35000001,869061,,3.4,,,7,5.5,,4.5,,
35000004,869221,,5.8,8.4,,8,7.75,N1,6,9,
35000006,869063,6.5,6.6,7.4,5.25,8,,N1,,,3.75
35000007,913964,5,8.4,4.4,8.75,7.25,,N1,,,8.25
35000002,869153,4.25,7,5.2,8,6.5,,N1,,,7.25
35000005,879458,,6,5.2,,6.25,5.75,N1,3.5,5.5,
35000009,857083,7,6.8,5.2,5.75,8.5,,N1,,,5.25
35000011,879459,7.5,8,8.2,9.5,8,,N1,,,8
35000014,869216,,5.2,5,,5.75,6,N1,4.25,6.5,
35000017,865629,4,7.8,6,8,5.5,,N1,,,7.5
35000010,869064,,5.8,4.6,,8.25,5.75,N1,5.5,6.5,
35000016,867528,5.75,7.8,4.8,7.25,5.75,,N1,,,8.5
35000015,879460,,4,,,4.5,3.25,,4,,
35000018,869066,5.25,4.4,4.2,3.25,5,,N1,,,3.25
35000019,865630,,7.6,4.8,,4.5,6,N1,5.75,7.75,
35000013,869065,,5.4,,,6.75,7.75,,6,,
35000012,865628,,7.8,8,,8.5,7.5,N1,7.5,8.25,
35000020,914066,5.25,7,5,4.5,7.25,,N1,,,6.5
35000025,914068,3.75,8,4.6,6.5,5,,N1,,,7.25
35000026,869218,,6.2,4.4,,8.5,5.5,N1,5.25,6.75,
35000021,869217,,5.8,,,7,6.25,,6.5,,
35000028,869067,,7.8,6.8,,9,7,N1,7.75,9.75,
35000024,914067,,5.6,,,4,5,,5.75,,
35000022,869151,5.25,8.2,5.2,8.75,5.5,,N1,,,8.25
35000023,865631,,7.4,5.6,,7.25,6.75,N1,5.25,7,
35000027,865632,4.25,7.8,5.4,7,8.25,,N1,,,6.5
35000029,865633,4.75,7.6,5.4,7.25,7.5,,N1,,,7.75
35000031,869068,6.25,8.6,5.6,8.75,7.5,,N1,,,7.75
35000030,869152,6,7,7.2,7,8.75,,N1,,,8.5
35000032,865634,,7.4,7.2,,9,7,N1,7,8,
35000033,915769,6.25,7.4,6.4,8.25,6.5,,N1,,,6.25
35000039,869070,,7.4,5,,8.25,7.5,N1,5.5,7.25,
35000034,869154,5.5,7.4,4.8,6,6.75,,N1,,,7.5
35000037,865636,3.75,6.8,4.4,7.75,6.5,,N1,,,7.75
35000036,869069,4.5,7.2,4,7,7.25,,N1,,,8
35000038,915827,,6,,,7.5,7.25,,6.25,,
35000035,865635,6.25,7.8,6.2,7.5,5.5,,N1,,,7.5
35000041,869155,5.5,8,7,7.5,6.75,,N1,,,8
35000040,929707,,4.2,,,2.5,4.25,,2.75,,
35000042,865637,6.5,5.8,3.8,6.25,8.5,,N1,,,4.25
35000043,869219,,5,,,7.5,6,,5.25,,
35000044,869071,5,7.8,5.8,7.25,7.5,,N1,,,7
35000045,917527,,4.4,5,,7,6.75,N1,7.5,7.75,
35000046,865638,4,8,3,7.75,8.25,,N1,,,8
35000048,879461,,7.6,7.6,,9.25,7.5,N1,7.25,9,
35000047,869072,8,8,6.2,8.25,8.25,,N1,,,5.75
35000050,869159,4.25,6,6,3.75,5.5,,N1,,,4
35000049,865639,,7.8,7.8,,9,8.25,N1,7,9,
35000051,869220,,8,6.4,,8.25,7,N1,6.5,8.5,
35000052,879462,,5.6,6.4,,5.5,7,N1,4.75,5.75,
35000053,869223,,6.2,5.2,,7.75,6.5,N1,4.75,7.25,
35000055,869161,4.25,7,5,7.25,6.08,,N1,,,7.25
35000054,865640,6,8.2,4.8,9,7.5,,N1,,,8.25
35000059,869073,4,8,3.8,8,6,,N1,,,7.75
35000060,869224,,5.6,6.4,,8.75,10,N1,7,9.75,
35000063,869074,,4.8,,,8,6.25,,6,,
35000057,908726,5.25,8.4,4,8.5,6.5,,N1,,,7.5
35000056,929700,,4,5,,6,5.75,N1,4.75,7.25,
35000062,869225,,6.2,3.8,,6.5,7,N1,6.5,8,
35000061,869222,,5.2,4,,8,7,N1,6.25,7,
35000058,879463,5.5,7.4,8.2,5.75,7.25,,N1,,,6.75
35000064,929701,,6.2,4,,8.5,8.75,N1,6.25,8.75,
35000065,865641,,7.4,5.2,,9.25,7.75,N1,8,9,
35000066,869156,6.75,6.8,4.8,6.5,7.75,,N1,,,5.5
35000067,869075,3.5,7.4,4,7.5,6.25,,N1,,,8.25
35000071,865642,4.75,7,4.4,6.5,6.75,,N1,,,6
35000068,908777,5.5,7.4,4,5,6.25,,N1,,,5
35000073,869228,,7.8,3,,8.25,5.75,N1,8.25,8.25,
35000074,879464,,4.2,,,6.25,5.5,,3.5,,
35000072,912203,,4.8,,,8.25,6,,4,,
35000069,869157,4.25,7.4,3.6,6.5,5,,N1,,,5.75
35000070,869076,7.25,8,6,9.5,6.8,,N1,,,7.75
35000075,869077,8.5,8.8,8.4,9,4.75,,N1,,,7
35000076,865643,5.75,8.2,4.8,8.5,7.25,,N1,,,8.25
35000077,929737,,4.6,,,6.75,6.5,,4.75,,
35000083,869079,5.75,8.6,6.6,9,6.75,,N1,,,8.25
35000079,869226,,3.2,5.6,,9,8.75,N1,9,7.25,
35000078,879498,7.5,8.6,7.6,9.5,8.75,,N1,,,8
35000081,869158,6.25,8.4,5.4,9.5,8.25,,N1,,,8.5
35000082,865644,4.25,8.2,5,7.5,7.25,,N1,,,8
35000080,869078,3.75,8.6,4.4,8.75,6.5,,N1,,,8.25
35000084,912310,6.25,7.8,7.6,8,6.5,,N1,,,5
35000085,869160,5.75,8.4,8,7.75,7.25,,N1,,,7.75
35000086,879499,5.25,8.4,3,8,6.5,,N1,,,7.5
35000087,865645,4.75,8.2,3.8,6.25,5.75,,N1,,,7.5
35000089,869229,,8.4,8.4,,8.75,7,N1,5.75,8.5,
35000088,869080,,3,,,6.5,5.5,,4,,
