Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
36000007,931696,,6.2,6.6,,7.5,9,N1,7.5,7.75,
36000005,921630,5.25,7.8,8.8,5.75,9,,N1,,,6
36000003,921629,4.75,9.2,6.2,9,5,,N1,,,9.75
36000006,921634,8.5,8.6,7.2,8.5,6.5,,N1,,,5.25
36000001,928653,,8.4,8.6,,9.5,8,N1,8.5,9.5,
36000002,930500,6.5,8.2,9.4,4,7.75,,N1,,,7.5
36000009,931710,,5.6,4.8,,7,7.75,N1,6.25,8.25,
36000004,919850,4.75,8.6,6,9.25,7,,N1,,,9
36000008,931701,,4,2.6,,5.75,7.25,N1,5,6.75,
36000011,931711,,6.2,7.2,,7.75,7.25,N1,5.25,7.5,
36000010,919851,6,7.6,9.4,6.75,5.75,,N1,,,8.5
36000012,931702,,5.4,4,,7.75,9,N1,6.25,7.5,
36000017,931703,,5.4,3.8,,7.75,5.75,N1,7.5,7.75,
36000015,931697,,6.4,5.4,,6.75,7,N1,7.75,8.5,
36000013,925165,,7,8.2,,7.25,6.5,N1,5.75,7,
36000018,925243,8.5,8.2,6.4,8.5,6.5,,N1,,,5
36000019,921632,8.25,7.6,9.2,5.5,8.25,,N1,,,8
36000016,921635,8,9,7.6,8.5,7.5,,N1,,,9
36000014,921631,7.5,8.4,9.8,9.25,8.75,,N1,,,7.75
36000021,931704,,7.4,7.4,,8,7.5,N1,7.5,8.25,
36000020,919852,7.75,7.4,7,6.5,7.5,,N1,,,6.25
36000022,931705,,8.8,8.8,,8.75,7.25,N1,8.25,9.25,
36000027,928654,5.25,8.4,8.6,4.25,6.75,,N1,,,9
36000026,925224,,6.6,4.6,,7.5,7,N1,6.5,7.25,
36000023,919853,6.25,8,8.8,8.75,9,,N1,,,8.5
36000024,931706,,3,2.4,,6.25,6.5,N1,4.25,7.25,
36000028,919854,8,7.6,8.2,7,6.5,,N1,,,5.75
