Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
37000001,493853,5.75,8.2,6.4,8.25,7.25,,N1,,,8.5
37000008,492968,6.75,7.6,,6.75,7.5,,,,,7
37000007,493415,8,8.2,7.4,9,6.25,,N1,,,5.25
37000009,492969,7.5,8.6,9.2,6.5,7.75,,N1,,,8.25
37000002,492966,,7.2,,,8.5,6,,5,8,
37000005,492967,,7,7.2,,8.25,8,N1,8.5,9,
37000003,505179,,7,4.4,,8,6.25,N1,9,6.75,
37000004,495088,,5.2,5.4,,6.75,6,N1,6.75,6,
37000006,504362,6.75,8,6.2,9.5,6.25,,N1,,,8.25
37000010,492970,7,8.8,9.8,9.25,7.5,,N1,,,5.5
37000013,492972,5.75,8.4,8.4,7.25,8.75,,N1,,,7.25
37000014,493854,4,9,8.4,3.5,5.75,,N1,,,8.25
37000011,493416,,,4.6,,7,8.25,N1,7.25,,
37000012,492971,,5.8,9.2,,9,9.75,N1,9.75,9.75,
37000016,499082,,6,6.4,,6,,N1,,,
37000017,499083,8.5,8.8,7.2,8.75,7.25,,N1,,,5.25
37000015,492973,,7.8,8.8,,8.75,7.5,N1,6.25,8.25,
37000018,493855,8.75,8.2,,9.25,8.5,,,,,6.5
37000020,499084,,7,9,,8,6.25,N1,7.25,8.75,
37000021,492974,6.25,8.4,9.2,9,7,,N1,,,8.25
37000022,499085,,4.8,9,,5,,N1,,,
37000023,493856,,,,,7.25,8.25,,8.25,,
37000024,499086,,,,,6.75,8.75,,8.75,,
37000026,504387,7.75,8.2,10,8.25,8.25,,N1,,,9.25
37000025,499087,6.5,6.4,9.4,7.25,7.5,,N1,,,6.5
37000027,493798,8.25,8.4,5,9.25,6,,N1,,,3.5
37000029,504853,,7,,,7,9,,9,,
37000028,492975,7,8.4,9,6.5,7.25,,N1,,,8.5
37000030,499092,,,,,4.5,5.75,,5,,
37000031,493857,,3.4,5,,5.25,4,N1,4.75,7.75,
37000032,504855,,3.4,3.6,,5.5,5.25,N1,4.25,7.25,
37000034,498659,,3.6,,,6.5,7,,6,,
37000033,498658,7.25,7.8,,8.75,,,,,,8
37000038,498660,,3.8,2.4,,5.75,5.25,N1,5.75,7.25,
37000036,493858,7,6.6,,7,8.5,,,,,4.75
