Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
39000007,914351,,4.8,3.6,,6,6.5,N1,5.75,5.5,
39000002,914349,,7,4.6,,7,7.75,N1,9,9.25,
39000009,896358,,6.4,4,,7,8.5,N1,7,8.25,
39000006,891121,6.25,8.2,5.2,3.25,4.25,,N1,,,7.5
39000003,891120,,6.2,4.6,,6.5,7.5,N1,8.25,8.5,
39000008,891122,,7,4.6,,6.25,8,N1,6.25,7.75,
39000005,914350,,5,4,,6,6,N1,6.25,7.75,
39000004,901474,,7.4,5.8,,6.75,8.75,N1,8.25,8.5,
39000001,900600,,5.2,4,,4.75,5.25,N1,6.5,6.75,
39000011,891123,6.5,8,5.4,5,7.5,,N1,,,4
39000010,914352,,6.2,7.6,,7.75,6,N1,6.25,7.5,
39000017,896359,,6,3.4,,6,6.75,N1,5.75,8,
39000019,896360,,1.4,2,,3,3.5,N1,3.5,5,
39000018,914355,,7.8,5.6,,8,6.5,N1,5.5,8,
39000014,901476,,7.8,5.4,,5.5,6.5,N1,6.25,7.25,
39000013,914353,,6,5,,6.25,5,N1,6.5,6,
39000015,901475,,5,3,,5.5,7.75,N1,5,7.25,
39000012,892863,6.75,7.6,8.4,9.25,9,,N1,,,5.75
39000016,914354,,5.4,5.2,,7.25,8,N1,8,8.75,
39000020,881217,,4,5.2,,3.75,5.25,N1,3.5,7.25,
39000021,891124,,6,4.4,,4.5,7.25,N1,5.75,7.25,
39000026,914358,,5.2,3.8,,4.75,6.5,N1,5,8,
39000029,881218,,6.8,2.4,,5.25,8,N1,7.25,7.25,
39000030,914359,,8.4,7,,5.75,7.75,N1,8.25,8.25,
39000025,896362,,4.2,3.2,,6.25,8.25,N1,8.25,9.25,
39000028,901481,,2.4,4.2,,4.5,7,N1,6,6,
39000022,914356,,2.6,5,,4.25,6.5,N1,6,6.75,
39000024,914357,,3.8,2.6,,6.5,6,N1,4.5,7.5,
39000027,896363,,6.8,3.4,,5.25,6.25,N1,6.5,8.75,
39000023,896361,,4.4,2.4,,4.25,5.75,N1,4.25,5.5,
39000031,891125,,5.8,4.6,,5.25,8.25,N1,5,8.5,
39000032,914360,6,8,5.2,5.5,4,,N1,,,7.5
39000035,914361,5.5,7.6,6,8,8.5,,N1,,,6.5
39000036,897128,,6,3.2,,5.75,7,N1,6,6.5,
39000033,896364,,8,6.2,,8,7.5,N1,7.75,8.75,
39000034,881219,8.25,6,5.4,4.5,6,,N1,,,6.5
39000038,897986,,5.8,3.6,,8,7,N1,6.5,7.25,
39000039,891126,,7.6,4.8,,7.25,8.5,N1,6.75,9.5,
39000040,901480,,6.8,5.4,,6.25,7.75,N1,6.25,6.75,
39000037,901479,,4,3.4,,6,7.25,N1,6.75,9,
39000041,897129,,7.4,4.6,,7,4.75,N1,7,7,
39000042,891127,,3,2.2,,7,5.75,N1,5.25,6,
39000043,901477,,6.6,3.8,,4,8.25,N1,5.5,7.25,
39000044,914362,,7.4,3.6,,6.5,7.25,N1,6,6.5,
39000045,892837,6.25,8.8,5.6,4.25,6.5,,N1,,,5.75
39000050,897987,,4.4,5.2,,6.5,7,N1,6,7.75,
39000048,881220,,7,4.4,,7.5,8.5,N1,8.5,8.75,
39000052,914364,,6.6,4.4,,6.5,7,N1,7,7,
39000049,914363,7.5,9,9.2,9.25,8.5,,N1,,,8
39000051,892838,,7,3.4,,8,8.75,N1,7.25,8.5,
39000046,892868,8,7,3.6,5.75,6.25,,N1,,,5.75
39000047,892869,8.5,8.8,6.2,9.5,7.75,,N1,,,5.5
39000053,897988,,6.2,4,,7.25,7.5,N1,7.5,6.25,
39000054,892839,7.75,7.6,3.4,7,6,,N1,,,3.75
39000055,881221,,4.4,2.2,,7,6,N1,7.5,7.5,
39000059,901478,,6.4,5.6,,8.25,8.5,N1,8.25,8.5,
39000060,892841,,3.8,4.4,,4,8,N1,6.75,7.75,
39000056,914365,,4.2,3.6,,4.75,7,N1,5,6.75,
39000058,892870,6.5,8.2,9.2,7.25,8.5,,N1,,,8.75
39000062,901519,,5.2,3.2,,5.5,5,N1,5.5,6.75,
39000057,892840,,5,2.6,,6.5,6.75,N1,7,6.75,
39000061,892871,8,8,4.4,7.75,7.5,,N1,,,7
39000063,914366,,4,5.4,,4.25,6.25,N1,3.5,4.75,
39000065,892842,,2.8,2.4,,5.75,7.5,N1,4.5,6,
39000064,897989,,6.4,4.2,,6.75,7.5,N1,8,8.75,
39000066,914367,,4.4,3.4,,5.25,6.25,N1,7.25,9.25,
39000068,892843,,6.8,6.2,,8.25,8.25,N1,8.5,9.25,
39000072,914368,,7,6.2,,8.25,8,N1,7,8,
39000071,901524,,7.8,8.4,,8.5,7,N1,6.5,9,
39000069,897990,,6,3.2,,5,6.75,N1,4,7,
39000067,901523,,7.2,8,,6.75,8.75,N1,9.5,9.25,
39000070,892844,,5.8,2.2,,5.75,6,N1,7.5,7,
39000073,897991,,6.8,8.4,,7.75,8,N1,7.25,7.5,
39000074,901520,,4.8,3.4,,6,7.75,N1,6.5,9,
39000075,914369,,4.4,2.6,,6.25,6.75,N1,4.25,7,
39000076,881247,,6,5.4,,5.5,7.25,N1,7.25,8.75,
39000077,897992,,5.6,3.8,,5.75,7.25,N1,4.75,7.75,
39000080,881248,7.5,7.2,7.8,5,6.25,,N1,,,8
