Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
40000006,900948,,7.8,8,,8.5,8.25,N1,7.25,9.75,
40000003,901001,,6.6,3,,7,6.5,N1,6,8.75,
40000009,900941,,2.4,5.6,,6.5,7.5,N1,4.5,9,
40000005,900939,,4.4,4.4,,7.25,8.5,N1,7,8.75,
40000007,1025229,,3.8,4.6,,5.25,7,N1,6.25,7.25,
40000008,900940,,6.8,4.6,,7.25,6,N1,6.25,8.5,
40000004,899187,,7,4.4,,6,6.75,N1,5.75,8.75,
40000002,900947,,6.4,6,,7.75,6.25,N1,6.5,8.5,
40000001,1024401,5.25,4.4,3.8,4.75,6.5,,N1,,,4.5
40000011,1026070,,4.2,5,,7.5,6,N1,6.25,7.75,
40000010,895803,6.5,8.4,7.8,8.25,6.25,,N1,,,8.5
40000012,899188,,6.6,3.8,,5.5,4.25,N1,5,6.25,
40000014,900942,,7,3.4,,8,8.5,N1,8.25,,
40000015,1026071,,4.4,4.2,,7.5,5,N1,6.75,8.25,
40000018,900944,,5.6,4,,5,5,N1,4.75,8,
40000016,901002,6.75,6.8,7.4,6.5,8,,N1,,,6.25
40000019,895804,5.25,7.8,7.8,3.5,9.25,,N1,,,5.75
40000017,900943,,6.8,4.8,,6.5,7,N1,7,9,
40000013,900937,,4.8,3.6,,5.75,5.75,N1,4.25,6.25,
40000020,899189,,2.4,3.6,,7.25,6,N1,3.75,7.25,
40000021,902731,5.75,5.2,4.4,3.5,7,,N1,,,6.5
40000022,895794,5,6,4.6,6.5,8,,N1,,,6.75
40000026,900945,,6.4,4,,7.75,7.5,N1,7.5,8,
40000027,900949,,3,3.6,,5.75,4.75,N1,5,8.25,
40000028,895805,6,7.6,3.8,7,6.75,,N1,,,8
40000030,1027803,,4,2.6,,4.25,6.5,N1,4.75,6,
40000029,902732,8.25,8.8,9,7.75,7.5,,N1,,,8.25
40000023,902742,6.5,8.8,6.4,7.5,8.5,,N1,,,8.75
40000025,1026979,,5.8,4.4,,7,8.25,N1,9.25,9.25,
40000024,899190,,5.2,4,,5.25,6.75,N1,6.5,8,
40000032,895795,5,8.8,1.6,7.25,7,,N1,,,8
40000031,900938,,5.8,4.8,,7,7,N1,7.5,8.75,
40000033,900946,,2.4,2.8,,6.25,6.25,N1,6.75,7.75,
40000036,899191,,7,4.6,,6.5,8,N1,7.25,7.75,
40000034,1027804,,4.2,3.4,,5.25,4,N1,5.25,6,
40000041,1028659,,4.8,4.4,,6.75,6.5,N1,4.5,9,
40000037,902733,6.25,5.6,4.2,4.75,7.75,,N1,,,3.5
40000040,899192,,2.4,3.6,,3,4.75,N1,3.75,4.25,
40000038,895796,6.5,7.4,4,5.5,6.25,,N1,,,7.25
40000035,1027805,,6,4.4,,8.5,5.75,N1,5.5,8.5,
40000039,900954,,2.8,3.2,,7.25,6.75,N1,5,7.5,
40000042,1028660,,4.4,2.8,,6.75,6.25,N1,5.75,8.5,
40000043,1028661,6.25,7,6.6,6.75,7.75,,N1,,,6.25
40000044,899193,,4.8,2.8,,6.25,5.25,N1,5.5,8.25,
40000045,895797,5.5,7.6,6,6.75,7.25,,N1,,,5.75
40000047,899195,,4.6,3,,7.25,7.25,N1,4.75,8.25,
40000049,895798,5,6,6.6,7.25,7.75,,N1,,,2.5
40000048,899196,,5.4,4.2,,7.25,8.5,N1,7.25,8.25,
40000052,895800,6,6.2,4.2,5.75,7.5,,N1,,,3.75
40000046,899194,,4.6,3.4,,6.75,4.5,N1,4.25,6.5,
40000054,899197,,3,3,,3.75,4,N1,4.25,5,
40000051,900950,,3.6,3.2,,7.25,5.75,N1,4,7.25,
40000053,900955,,5.4,3.8,,7,6,N1,6.75,7.75,
40000050,895799,5,7.2,6,4.75,8.75,,N1,,,5.5
40000055,1020311,6.75,6.6,3.6,4.25,7,,N1,,,4
40000056,895801,8.25,8.2,5.6,8,7.75,,N1,,,7.5
40000057,901003,,3.2,2.8,,7.75,7,N1,6.25,8,
40000060,900951,,6.6,3.6,,4.5,7,N1,4.75,8.5,
40000061,901004,7,8.6,5,8.25,5.75,,N1,,,8.75
40000058,899198,,5.2,2.6,,5.5,6.5,N1,5.75,8.5,
40000059,1021367,,5,,3.25,,,,,,3
40000062,902743,,3.2,3.4,,5.25,6.25,N1,5.25,6.75,
40000065,901005,,6.4,,5.75,,,,,,5
40000063,899199,,3,3.4,,6.5,5.75,N1,7.25,8,
40000066,1022427,5.75,5.8,5.2,5.75,9.25,,N1,,,5
40000064,900952,,4.2,3.2,,9.5,5,N1,6.25,7.25,
40000067,1022428,,3.4,4.6,,5.5,5.75,N1,4.75,5,
40000068,899200,,4.8,4,,6.5,6,N1,3,6.5,
40000069,900956,,3,3.6,,5.5,5.5,N1,4.75,9.25,
40000071,900957,,6.2,3.6,,7.5,7.25,N1,4.75,8.25,
40000072,895802,7,7.8,5.2,7.75,7.75,,N1,,,8.25
40000070,900953,,6.8,5.2,,8,7.5,N1,6.25,9.5,
40000074,900958,,3,3,,7,6.25,N1,4.75,6.5,
40000073,901006,,8.6,5,,6,8.25,N1,5.5,9,
40000079,895818,4,5,2.6,4.5,6.5,,N1,,,4.5
40000075,900964,,1.8,3.8,,2,5.5,N1,4.25,6.25,
40000080,902745,4.25,6,2.8,4,5,,N1,,,4
40000077,902744,,3,,,3.5,5.5,,5.25,,
40000078,900959,,3.4,3,,4,7,N1,5.75,7.75,
40000081,900965,,5,4.2,,4.75,6,N1,6,6.25,
40000082,895806,7,7.6,7.2,7.25,7.75,,N1,,,7.5
40000083,895810,5,5.4,4.4,4.25,6.75,,N1,,,3.75
40000084,899201,,5,3.2,,5.5,5.75,N1,5.75,7,
40000085,902746,,6.6,4.6,,7.25,8.25,N1,6.25,9,
40000088,902747,,,,,7.75,8.5,,9,,
40000087,901007,,5.4,3,,5.75,7,N1,5.5,7.75,
40000086,900960,,6.8,4,,9,9.25,N1,8.5,10,
40000089,895819,7,9,6.6,9,8.5,,N1,,,9.5
40000090,1024400,6.5,7.6,5,7.5,6.5,,N1,,,7.5
40000091,895807,5.75,7.6,5,7.5,7.25,,N1,,,6.75
40000093,899202,,3,3.4,,4,7,N1,3.75,6.75,
40000094,899203,,3,2.6,,4.75,7,N1,4.75,8,
40000092,895811,6.25,6.8,5,5.25,6.5,,N1,,,5.75
40000096,895808,5,6.8,2.6,4.25,5.75,,N1,,,3.25
40000095,902649,5.25,7.2,4.4,6,6.5,,N1,,,4.75
40000099,900961,,6.4,3.8,,7.75,6.5,N1,6.75,9,
