Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
41000002,1032683,7,7.8,2.6,8.25,7,,N1,,,8
41000001,1020389,,4.4,4.2,,5.75,6.25,N1,7.25,7.5,
41000004,743588,,6.8,5.2,,6.5,6.75,N1,6,8.25,
41000005,1025552,,,,,8,9.25,,9.75,,
41000008,743622,,3.4,,,4,4.5,,5.25,,
41000007,1020382,6.75,7.4,5,7.25,8,,N1,,,7.5
41000009,1025553,,4,5.6,,8.5,8.25,N1,7.75,7.5,
41000003,1020381,,1.4,3.8,,4.5,4.5,N1,4.75,6.75,
41000006,1020390,6,8.8,7.8,5.5,7,,N1,,,8.25
41000013,1024650,,3,3,,3.5,4.25,N1,4.75,6.25,
41000017,1020391,,2.6,0.8,,4.25,5.75,N1,5,6.75,
41000014,1025555,,3.8,3.8,,6.5,4.75,N1,6,7.25,
41000018,1025556,,3,3.2,,5.75,6.25,N1,5.5,7.5,
41000016,743671,,4.2,2.6,,3.75,5.5,N1,4.5,6.75,
41000011,1020383,,4.4,3.6,,4.25,6.5,N1,6,7.5,
41000012,1032684,6.75,8.2,7.6,5.5,7.25,,N1,,,8
41000015,1020384,,2.2,1.8,,3.75,4.25,N1,4.25,6,
41000010,1025554,,4.4,,,5,3.5,,4.25,,
41000019,1020385,,6.4,2.6,,7.5,6.5,N1,5.75,7.75,
41000020,1024651,,2.4,4,,7,5.75,N1,3.5,4.75,
41000022,1025557,,3,,,4.75,5,,3.75,,
41000024,1024652,,6.2,5.2,,8,6.75,N1,5,7.5,
41000021,1020392,,3.4,2.6,,6,6,N1,4,8.5,
41000029,1026425,,3.4,,,6.25,5.75,,5.75,,
41000025,1025558,,3,3.4,,4.75,6.5,N1,4.75,6.75,
41000028,743202,,2,,,2,6,,4,,
41000023,1020386,,2.8,1.8,,4,5.5,N1,4.5,7,
41000027,1020387,,4.6,4.4,,6.5,6,N1,5.5,9,
41000026,743201,,,,,5,7.75,,6.25,,
41000030,1026426,,7.6,5.6,,8,7.25,N1,8.75,9.25,
41000031,1020393,,4,3.4,,5,5.5,N1,5.25,6.5,
41000038,1020395,7,8.4,2.6,7.75,6.75,,N1,,,8.25
41000035,1026427,,3.6,2.4,,7,5.75,N1,6,6.5,
41000039,743598,,5.8,2,,6.75,7.5,N1,4.75,7.75,
41000036,1024653,,5.8,4,,6.5,6,N1,6.75,8.5,
