Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
42000009,252593,6,4.8,3.4,3,6.25,,N1,,,5.5
42000004,252592,7.75,8.2,8.6,8.75,8.25,,N1,,,6.75
42000007,249237,,5.8,5.4,,6.75,7.5,N1,7.25,8.25,
42000005,249234,,6.6,7.4,,7.25,8,N1,7.5,8.25,
42000008,253868,8,6.8,8,4.75,6.75,,N1,,,5.75
42000006,252568,,4.8,4.6,,8,9.25,N1,6.75,8.5,
42000003,253435,,4.8,4,,5.75,6.5,N1,5.25,6.75,
42000002,252567,,7,7.6,,8,8,N1,7,8.25,
42000001,252591,,8,8.6,,8.25,8,N1,7.5,9.25,
42000010,252569,6.5,6.8,4.2,6.75,7.25,,N1,,,5.75
42000011,252594,7,8.2,7,8.5,6.25,,N1,,,7.25
42000015,252595,5,5.4,3.4,4.5,5,,N1,,,6
42000014,253470,4.5,6.8,6.8,4.75,7,,N1,,,7.25
42000018,252570,6,7.8,7,5,7.5,,N1,,,7.5
42000012,295293,6.25,8.4,7.6,8.75,6.25,,N1,,,8.5
42000019,252597,,7.4,8.4,,4,8.75,N1,6.25,7.25,
42000016,249235,,7.4,8.2,,8,8.25,N1,7,8.25,
42000017,252596,,6.2,6.8,,7.25,7.5,N1,6.75,8.5,
42000013,292294,,7,4,,8.5,8.75,N4,7.25,7,
42000020,253436,,4.8,3.4,,6,7.5,N1,6.25,7,
42000021,295336,7.5,8,7.2,7,6.5,,N1,,,6.25
42000022,252571,,6.8,7.8,,7.75,8.25,N1,8.5,9,
42000023,249240,,6.4,6,,5.5,7.25,N1,5.75,8.5,
42000025,252598,,5.6,6.4,,6.75,6.75,N1,6.25,8,
42000028,253437,5.75,6.2,8.2,3,6.25,,N1,,,5.25
42000027,252599,,5.6,6.8,,6.5,6.75,N1,6,6.25,
42000029,291860,,6,3.2,,7,5.75,N1,5,7.75,
42000026,252572,,5.4,3.8,,6.75,5.75,N1,6.5,8,
42000024,253472,4.5,7.8,6.4,8,7.25,,N1,,,8
42000030,252573,7.25,8.8,9,5.75,7.75,,N1,,,7.5
42000031,253438,7.25,8.2,6.8,9.5,8.25,,N1,,,7.5
42000032,253866,7.5,8.2,7.4,8.5,7.5,,N1,,,7.25
42000034,252574,,5.4,3.4,,6.25,7,N1,6.75,8.75,
42000033,253473,6.5,7.6,9,7.75,8.5,,N1,,,7.75
42000036,253474,6.75,8.6,7.6,5.25,6.75,,N1,,,8
42000035,252600,,8.4,8.8,,8.25,7.75,N1,8.5,8.75,
