Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
43000009,610219,,7.6,7.2,,8.75,9,N1,9.25,9.25,
43000006,604736,,,,,7,5.75,,5.25,,
43000003,609805,,8.4,8.4,2.5,,,N1,,,8.25
43000005,608491,7.25,7.2,7.2,5.5,7.25,,N1,,,8.25
43000007,608492,4.75,8.2,7.4,3.75,7,,N1,,,8
43000008,609806,5,6.6,7.6,5.25,7,,N1,,,5.25
43000001,604734,,5,4.4,,6.5,6.5,N1,5,7.75,
43000002,608163,,4.4,4,,6.5,6,N1,4.25,7.75,
43000004,604735,,5.8,9.4,,6,8.25,N1,7.5,9.25,
43000010,604771,,8,6.8,,,,N1,,,8
43000011,604741,,4.8,6.2,,6,7.75,N1,6.25,8.25,
43000012,608493,6.75,7.4,8,5.5,6.75,,N1,,,7.25
43000016,610220,,7.4,6.6,,8.5,9,N1,9,9.75,
43000017,604738,,6,1.8,,6.75,6.5,N1,5,6.5,
43000014,608494,,5,5.2,,5.25,6.25,N1,3.75,6.75,
43000013,609811,7.25,7.2,7.2,7.25,6.5,,N1,,,5.25
43000019,604739,,4.8,5.2,,6.25,6,N1,5,7.25,
43000018,609812,7,6.8,5.2,8,6.5,,N1,,,4.25
43000015,604737,,5.2,,,6.25,7.25,,8,,
43000020,608495,8,8,6.2,7,5.75,,N1,,,6.25
43000021,610221,,5.2,4.4,,6.5,8.5,N1,6.75,7.5,
43000022,609807,5.25,7.4,5,6.25,7.25,,N1,,,7.25
43000023,608496,3.5,6.6,3.8,6,6.75,,N1,,,4.75
43000024,604740,,6,4,,7.25,7.75,N1,9.5,8.5,
43000025,608497,,7,5.2,,7.25,7.75,N1,6.75,8.5,
43000028,609803,5.75,6.4,3.6,7.25,5.5,,N1,,,4.25
43000027,608498,,6.8,5,,7.75,8.5,N1,7.25,9,
43000030,610223,6.5,7.6,6.6,6.25,7,,N1,,,6.75
43000026,610222,,6.8,6.6,,7.5,9.5,N1,7.25,8.75,
43000031,608499,,7.8,8,,8,9.25,N1,8.25,9.75,
43000032,604742,,4.4,3.4,,6.5,6.5,N1,5,7.75,
43000033,610224,,6.6,6.8,,7.5,7.5,N1,6.75,8.25,
43000034,608500,,4.2,4.8,,6.75,5.75,N1,5,8,
43000035,631188,,7.4,7.6,,7,8,N1,7,8.75,
43000038,604743,,4.8,4.6,,5.25,6.75,N1,4,8,
43000036,609813,8,7.8,6.4,7.25,7.5,,N1,,,6.75
43000039,608501,,4.6,3,,6.25,8.25,N1,6.25,7.5,
43000040,609808,,6.8,,7,,,,,,7.25
43000037,631189,,7.8,8,3.5,,,N1,,,8.5
43000041,609814,7.25,6.8,9.4,4,8.25,,N1,,,5.25
43000042,631190,,7,4.6,,7,6.25,N1,6,8.75,
43000043,608502,6.75,7.4,6.6,5.5,7.75,,N1,,,5.5
43000044,610225,,5.4,5,,7,8,N1,7.5,8.5,
43000045,604775,,7.2,4.6,,7.5,7.5,N1,6.75,9.25,
43000049,604744,,5.4,5.4,,7.25,5.25,N1,6.5,8,
43000048,609809,5.5,7.2,8.6,4.25,6.25,,N1,,,7.75
43000051,609804,5,8.2,8,3.5,4.5,,N1,,,7.5
43000047,608503,,6.4,5.6,,7,6,N1,5.75,9,
43000050,626636,6.75,6.4,7.6,4.25,5.75,,N1,,,7
43000052,608504,,6.4,5.8,,7.75,9,N1,9,9,
43000053,604772,,5.8,5,,6.5,7.5,N1,6,8.5,
43000054,604813,6.25,7,7.2,4.25,7,,N1,,,6.25
43000055,604745,,6.2,5.4,,7,7.25,N1,7,8.5,
43000056,626649,,,,,3.75,5,,6.75,,
43000057,609810,5,6.8,4.8,5,6.75,,N1,,,7.5
43000059,608593,,4.4,4.2,,6.75,8.5,N1,7.75,8.25,
43000060,609852,6.25,7.2,3,4.75,6.5,,N1,,,4.25
43000061,631191,,7,4.6,,7.5,7.5,N1,8,9.5,
43000063,626621,,7,,8,,,,,,6.5
43000058,604773,,,,,7.5,8,,8.25,,
43000062,608594,6.5,8,5.6,7.25,6.75,,N1,,,7.25
43000065,609815,,7.2,6.6,,,,N1,,,6.75
43000064,610265,,6.6,4.6,,8,7.75,N1,7.25,9.25,
43000067,609848,4.25,5.4,2.4,2.75,6.25,,N1,,,5.25
43000066,608595,,5.8,4.2,,5.75,4.75,N1,5.5,6.25,
43000068,631192,,,,,7.5,10,,9.75,,
43000071,608596,,,,,6.25,7.25,,6.25,,
43000070,604776,,5.4,7.2,,8.25,8.25,N1,9,9.25,
43000072,604747,,6.2,,,7.5,,,7.25,,
43000073,604774,,7.6,5.6,,7.5,9.5,N1,8.5,9.25,
43000074,631193,6.5,8.8,,7.75,8,,,,,7.75
43000069,604746,,5.2,6,,5.75,7.25,N1,5.75,6.5,
43000075,609845,6.25,6.2,5.2,5,6.25,,N1,,,5.5
43000077,608597,5.5,5.6,7.6,3.75,7,,N1,,,3.75
43000076,604777,,5.8,4.6,,6.25,7.75,N1,7.25,8.25,
43000078,604778,,6.6,7.2,,7.25,7.5,N1,6.5,9,
43000079,631233,,4.2,3.2,,7.75,4.75,N1,5.5,8.25,
43000080,608598,5.5,7.8,8.8,5.5,6.5,,N1,,,7.75
43000082,631234,6.25,7,5.6,6.25,8.25,,N1,,,6.25
43000083,609846,6,6.2,5,4,6.75,,N1,,,6.25
43000084,604748,,6.2,4.6,,5.75,6.75,N1,8,7.25,
43000081,609853,7.5,6.8,5.8,7.25,7.5,,N1,,,7.75
43000085,608922,,7.2,5.6,,6.25,8.25,N1,6.25,8.5,
43000086,610266,,4.8,4.4,,6.75,7.25,N1,6.25,7.5,
43000087,604779,,6,4.4,,8,8,N1,6.75,8,
43000088,608923,6.5,7.6,4.6,8.25,5.75,,N1,,,6.25
43000090,609849,6.25,8.8,4,8,6.75,,N1,,,7.75
43000089,626637,7.5,8.2,4.8,5.25,6.5,,N1,,,6.5
43000091,608924,6,8.4,6,5.5,5.5,,N1,,,6.75
43000095,604814,,6.4,4.8,,6.5,8.25,N1,7.75,9.25,
43000094,604788,,6.8,7,,6.25,8.5,N1,8.5,8.75,
43000092,604781,,6.8,5.4,,7.25,8,N1,5.75,9.5,
43000096,608925,,6.4,4,,7,6.25,N1,6,7.5,
43000093,604782,,,,,6.5,8.25,,7.25,,
43000097,604783,,6.8,6.2,,8.25,8.75,N1,8.75,8.25,
43000098,631235,,7.4,6.2,,8,8,N1,7.25,9,
43000100,604780,,6.4,7.4,,7,8,N1,7.5,9.25,
43000099,604815,7,5.4,,5.5,,,,,,
43000101,604789,,6.2,5.2,,8,8,N1,5.75,9.75,
43000102,626626,,,,,3,6.75,,6.25,,
43000104,608926,,5.2,4,,5.75,5.25,N1,3.75,6,
43000103,609847,5.25,6.8,5.4,3.75,6,,N1,,,6
43000106,610267,6.25,6,4,6,7.75,,N1,,,4.75
43000105,604784,,6.4,6,,5.75,8,N1,8,8,
43000107,609854,6,8.2,4.4,6.25,8,,N1,,,6.75
43000108,604785,,5.4,7,,7.75,7.75,N1,7.25,8.75,
43000111,624384,5.75,8.4,3.4,8,6,,N1,,,6.5
43000110,626640,,,,,5.25,6,,4.25,,
43000109,608927,,,,,3.75,7.5,,7.25,,
43000112,608928,,4.4,6,,6.25,8.25,N1,7.75,9,
43000113,610268,,6.2,5,,8,8.75,N1,9,8.75,
43000114,609850,6.5,8,,7.75,7,,,,,8.25
43000115,609851,6.5,7.2,6.4,5,7,,N1,,,6.25
43000117,624385,5.25,5.8,7.2,4.25,4,,N1,,,6.5
43000116,604816,,6.4,6.8,,8.25,7.5,N1,6.75,7,
43000120,626631,,,,,7.5,8.25,,8.75,,
43000118,608929,6.5,6.8,4.2,7.25,6.25,,N1,,,7
43000122,604786,,7,5.4,,6.25,8,N1,5.5,8.25,
43000119,610269,,7.6,5.6,,6,7,N1,6.75,9,
43000123,604787,,6.8,5.4,,7.5,7.75,N1,7.25,8.75,
43000124,608930,,,,,8.25,9.5,,8.5,,
43000125,610270,,7.2,6.6,,7.5,8.5,N1,8.75,9.5,
43000127,608931,,8.2,9.2,,8.75,,N1,,,
43000126,624386,7.75,6.6,5.4,6.25,8.5,,N1,,,6.25
43000128,610271,,5.2,5,,8,8,N1,7.5,7,
43000130,604817,,4.8,2.8,,6.25,7,N1,4,6.75,
43000131,624387,,5,4.4,,8,7.75,N1,7,7.75,
43000132,608932,,,,,5.25,6.75,,6.5,,
43000129,609858,7.25,8.6,4,9.25,6.25,,N1,,,8.75
43000133,609859,,7.6,,8,,,,,,8
43000134,624388,7,6.8,4,6.25,6.25,,N1,,,3.5
43000135,609860,5.75,7.4,3.2,5.75,6,,N1,,,6
43000136,608933,,6.2,5.8,,7.5,6.75,N1,6.5,8.5,
43000137,624389,,6.2,,,6.75,,,6.25,,
43000140,604790,,6.6,6,,8.5,8.75,N1,7,9.25,
43000141,604824,,6.4,3.4,,7.25,7.5,N1,6.25,8.5,
43000139,626633,,6.2,6.6,,7.5,6.75,N1,7.5,7.25,
43000142,608934,8.5,7.8,6,7.25,6.75,,N1,,,7.5
43000143,624390,7,6.6,3,4.75,6,,N1,,,4.5
43000144,624391,,,,,8.25,9.25,,8.75,,
43000145,608935,5.75,6.8,6.2,6.5,5,,N1,,,7.75
43000146,604818,7.25,6.8,5.2,6,4.75,,N1,,,7.25
43000147,610272,,4.2,4.2,,5,7.5,N1,4.75,7.75,
43000148,604825,,5.6,4.6,,5,7.25,N1,5.25,6.5,
43000149,608936,,,,,5,7.75,,5.75,,
43000150,604819,,5.4,6.8,,7,9.25,N1,7.75,9.5,
43000151,610273,,6.4,4.8,,6.75,8.25,N1,9,8.5,
43000153,604820,,7,6.4,,7.5,8.25,N1,6.75,9.25,
43000152,604791,,7,4.8,,6,9,N1,7.75,8.25,
43000154,608937,6.25,7.2,3.2,5.25,5,,N1,,,6
43000155,604826,,8.2,7.4,,7,7.75,N1,8.5,8.75,
43000156,604821,7.5,8.8,4.8,9.25,6,,N1,,,8
43000157,608938,,5.4,3.2,,6,,N1,7.25,,
43000158,604792,,5.6,3,,4.75,7.5,N1,6.25,7.25,
43000159,604827,,,,,5,6.75,,6,,
43000160,608939,,4.8,4.8,,8.5,8.75,N1,8,8.25,
43000161,605152,,6,4.6,,5.5,6.25,N1,5.5,6,
43000163,604828,,,,,6,9.25,,8.5,,
43000162,609855,6.25,6.8,4.4,7.75,6,,N1,,,6
43000164,605153,,7.8,6.6,,8,8.25,N1,7,8.25,
43000165,608940,,5,4.4,,6,7.25,N1,6.5,6,
43000167,608941,6.75,7.6,6.4,4.5,8.5,,N1,,,7.5
43000166,610274,,4.4,3.8,,7.5,8.5,N1,5.5,8,
43000168,609862,7.5,8,8.2,7.25,8.5,,N1,,,8.25
43000169,608942,,3.8,4,,7.25,8.5,N1,5.25,7.75,
43000170,609861,7.5,7.2,2.8,5.25,8.5,,N1,,,5.75
43000171,626652,,,,,3.25,3,,4.75,,
43000172,608943,,4.4,4.4,,6.25,7.25,N1,6.25,7.75,
43000173,604822,,5.4,6.2,,6.25,7,N1,6.25,8.5,
43000174,605155,,7,4.6,,9.25,9.75,N1,10,8.75,
43000175,608944,7.25,6.4,6.6,5.25,7.5,,N1,,,5.75
43000176,626623,,,,,4.25,8.5,,6.75,,
43000177,604829,,6.4,6.4,,8.75,5,N1,6,6.5,
43000178,608945,,4.2,4.2,,6.5,6.75,N1,5.75,7.25,
43000179,609863,8.25,7.6,4.4,6,7.25,,N1,,,5
43000180,605156,,4.6,5.6,,6.25,7.5,N1,4.75,7.25,
43000182,609856,6.5,8.4,6.6,8,6,,N1,,,7.5
43000181,608946,8,7.4,7.8,5.25,6.25,,N1,,,8.75
43000183,608947,,6.4,4.4,,8,8,N1,5.5,8,
43000185,604823,,4.2,3.6,,6.75,6,N1,3.75,7.75,
43000184,610275,7.75,6.4,5.2,6.75,6,,N1,,,4.5
43000186,608948,5.75,7.8,7.2,3.25,7.5,,N1,,,7
43000187,608949,,7.2,6,,8.25,7.75,N1,7.5,9,
43000188,610276,,5,3.2,,6.25,7,N1,6,7.75,
43000189,605151,,7.2,4.6,,8,7.75,N1,8,8.25,
43000190,609024,,,,,8,9.75,,10,,
43000192,609025,,4.4,3.8,,6,7.5,N1,6,7.25,
43000191,610277,,6.4,5,,7,7,N1,6.5,8,
43000195,610226,,8,7.4,5,,,N1,,,7.75
43000193,605154,,5.2,4.8,,7,7.25,N1,5.5,9.25,
43000194,609857,5,7.8,4.4,6.5,6.75,,N1,,,7
43000197,610234,7.75,7.8,6,6.75,5.5,,N1,,,8.5
43000196,609026,4.75,5.8,4.2,4.75,6.75,,N1,,,5.75
43000198,610227,6.25,7.8,6.4,5.25,5.75,,N1,,,6.5
43000199,609027,8,8.6,5.4,8.75,6.75,,N1,,,6.5
43000200,626629,,8,8.4,4.25,,,N1,,,7.5
43000201,610228,8.25,7.8,5.2,6,7,,N1,,,7.25
43000202,610229,7,7.6,8,4.75,5.75,,N1,,,6.5
43000204,605157,,,,,6.5,8.25,,9,,
43000203,609028,,,,,6.25,7.5,,8,,
