Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
44000004,291290,,5.2,5.8,,7.25,8.25,N1,8.5,9,
44000009,319099,,7.2,7.6,,8.25,8.5,N1,7.5,9,
44000003,319098,7.5,7.8,9.4,5.5,5.5,,N1,,,6.5
44000002,319518,7.75,8,7.2,7.5,7.75,,N1,,,7.75
44000008,291257,5.5,6.8,6,7.25,7.5,,N1,,,7.25
44000006,291291,6.75,6.4,7.2,6.75,8,,N1,,,7
44000007,319520,7,7.8,5.8,4.75,8.25,,N1,,,7.75
44000001,318612,,5.2,6.4,,6.5,9.25,N1,8.25,9,
44000005,318613,6.25,8.4,9.4,7.75,7.25,,N1,,,7
44000010,318614,,8,6,,8.25,8,N1,7.75,8.75,
44000013,291293,,8,6.4,,8.5,7.75,N1,7.75,9.5,
44000014,319519,7.25,7,6.8,7,6.25,,N1,,,6.25
44000018,318616,6.25,7,7.2,7,7,,N1,,,6.25
44000017,304233,,4.8,,,8.25,9.25,,7.75,,
44000016,291294,,4.8,,,6.75,7,,6.5,,
44000012,320385,,7.6,6.8,,6.75,7.5,N1,5.5,7.25,
44000019,291295,,5.4,,,6.75,7.75,,6.25,,
44000015,318615,8.5,9,9,9,8.5,,N1,,,8
44000011,291292,,6.8,7.8,,8,8,N1,8.75,9.25,
44000020,319100,6.25,7.2,8,6.5,6.75,,N1,,,8.25
44000021,318617,,7.8,8,,8.5,6.75,N1,6.5,8,
44000026,291259,6.25,7.4,5.4,6.75,7.5,,N1,,,8.25
44000022,291258,7,7,8.8,7.75,7,,N1,,,6
44000028,318619,7,7.8,8.8,9,6.75,,N1,,,7.75
44000029,320388,,7.6,8.6,,9,8.75,N1,7,8.25,
44000027,291297,,6.2,8.6,,8,7.5,N1,8.25,8.5,
44000023,318618,,6,,,5.5,6,,4.25,,
44000025,291296,5.5,7.6,8.4,7.75,7.75,,N1,,,7
44000030,291298,4.75,8,5.6,6.5,7.25,,N1,,,3
44000024,319521,7.25,7.8,8.8,8,8.75,,N1,,,7.25
44000031,318620,,8.8,8.2,,8.5,8.75,N1,7.5,8.75,
44000032,291299,,5.8,,,7,7.25,,7.5,,
44000033,310572,8,7.8,8.4,8,8.25,,N1,,,7
44000037,310574,,5.8,,,7.25,6,,5.75,,
44000040,320387,,7,7.2,,7.75,8.5,N1,8.5,9,
44000034,310573,6.25,6.8,7,6.75,7.5,,N1,,,8.75
44000035,318621,8.25,7.8,9.2,7.75,7.75,,N1,,,8.75
44000036,319522,3.5,6.6,4.4,3.75,6.25,,N1,,,3.25
44000039,320386,,7.4,7.4,,8.75,8,N1,8,9.5,
44000038,291300,5.75,8,6.6,7.25,7.5,,N1,,,6.5
44000041,319523,8,9.2,9.4,6.5,7.75,,N1,,,6.75
44000042,310575,,5.4,6.6,,5.75,6.75,N1,6,8,
44000043,319101,7,7.4,6.6,7.5,7.5,,N1,,,6.75
44000044,291260,5.25,6.8,6.4,7.5,7.5,,N1,,,6.25
44000047,319102,,7.6,8.4,,7.75,7,N1,9,9,
44000048,310577,,5.4,6.2,,6.5,8.5,N1,6.5,8.5,
44000050,291272,6.75,8.4,6.6,8.25,8.25,,N1,,,8.75
44000045,318622,,6.6,,,7,8,,7.25,,
44000049,320384,,8.6,9.2,,8.25,8.5,N1,8,9.5,
44000046,310576,5,8.2,9,7.25,6,,N1,,,4.75
44000051,291301,,5.6,,,7,6.25,,5.75,,
44000052,304328,,5.2,,,7.75,7,,5.5,,
44000053,318623,,7.4,9,,8.5,7.5,N1,7.75,8,
44000054,291302,,7,7.8,,8.5,9,N1,9.25,9,
44000056,320389,,6.8,,,6.75,7.5,,6.25,,
44000055,291273,6.25,7.2,9,5.75,7.5,,N1,,,6.25
44000058,318624,8,8.2,7.2,9.25,7.5,,N1,,,6.25
44000057,320815,,7,8,,8.5,9.5,N1,7.75,8.75,
44000061,320390,,6.8,,,6,5,,5.25,,
44000060,291303,,6,7,,8,8.75,N1,7.5,9.25,
44000059,291261,7.25,7.8,8.2,7.75,7.75,,N1,,,5.5
44000062,310964,5.5,8,4.6,8,6.5,,N1,,,8.5
44000063,291304,,6.4,6.6,,7.25,7.5,N1,7.75,9,
44000064,310965,6.5,7.4,,6.5,6,,,,,7.25
44000066,318625,,6.2,,,5.5,6.75,,6,,
44000065,291305,,7.8,8.2,,8.25,9.5,N1,7.75,9.75,
44000067,291267,7.75,7.8,8.4,7.75,5.75,,N1,,,6.75
44000068,320814,,7.4,,,7.5,9,,8,,
44000071,291268,7,8.6,8.4,8.5,8,,N1,,,7.5
44000070,310966,,6.6,5.8,,7.75,9.25,N1,9,9,
44000069,291306,,7,6.6,,7.75,7,N1,7,8.5,
44000073,319103,,6.4,6.4,,6.5,7.25,N1,5.5,9,
44000072,291307,,4.6,,,7.5,8,,4.75,,
44000074,291269,9,8.2,8.4,9.5,7,,N1,,,6.75
44000075,318626,,7.4,,,8,9.75,,8.5,8.25,
44000077,291308,4,5,6.4,3,7.5,,N1,,,3.5
44000076,320816,,7.4,8.6,,8.25,8.75,N4,9,8.75,
44000078,320817,,8.8,,,8.25,8.75,,9.5,8.25,
44000081,291262,7.5,7.4,7.6,7.5,5.25,,N1,,,7.75
44000080,319104,,7,5.8,,7.5,7.5,N1,6.75,8.5,
44000079,318627,,8,,,7.25,8.5,,6.75,,
44000082,291309,,7.4,,,4,9.5,,8.25,,
44000084,310967,6.25,8,5.8,7.5,7.25,,N1,,,4.75
44000083,291263,5.25,8.2,8,7.25,7.75,,N1,,,4
44000085,291274,7.75,7.8,7.8,8.25,8.75,,N1,,,7.5
44000086,303828,,7.6,8.2,,8.25,8.5,N1,8.5,8.5,
44000087,310968,,6,,,7.75,6.75,,4.75,,
44000088,318628,,6,,,6.75,7.75,,6,,
44000089,320819,,6.4,8.8,,6.5,8.75,N1,7.75,9.25,
44000090,319105,,7,6.2,,6.75,7.5,N1,6.75,9.25,
44000091,291275,6.75,7.2,7.6,7,7.75,,N1,,,7.75
44000094,291310,7.5,7.6,8,9,7.25,,N1,,,8.25
44000092,320825,,7.2,8.2,,8.75,8.5,N1,8.25,9,
44000093,303854,,5,,,7,6.5,,4.5,,
44000095,320820,,7,,,7.5,8.5,,7.25,,
44000096,319106,,6.4,7,,7.25,8,N1,6.75,,
44000097,291311,,6.6,8.4,,8.25,8.75,N1,7.75,8.5,
44000098,320821,,6.8,6,,8,6.5,N1,6.25,7.75,
44000099,318629,,4.4,,,7,7,,6.75,,
44000100,291264,8.25,7.4,,8.5,9,,,,,6.5
44000101,291265,7,7.2,,7.5,5.25,,,,,5.5
