Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
45000007,303912,,3.8,3,,5.25,7,N1,2.75,6.25,
45000002,303911,,4.4,1.6,,3.75,7.5,N1,3.75,7,
45000006,325327,,5.2,3.8,,6,7.5,N1,7,8.75,
45000008,325328,,4,2.6,,5.75,5,N1,5.25,6.5,
45000004,308252,6,6.8,3.8,3.75,6.75,,N1,,,4
45000003,325289,5.25,6.6,4.8,3.25,7.25,,N1,,,3.5
45000009,303936,,2.8,3.8,,5,7.5,N1,3.25,6.25,
45000001,303934,,6.2,2.8,,4.75,7.75,N1,7.25,8,
45000005,303935,,6.8,4,,6.5,7.25,N1,7.5,9.25,
45000010,303947,,6.4,4.6,,5,7.75,N1,5.5,8,
45000011,325360,,6.6,3.4,,4.25,7.25,N1,4.75,8.5,
45000016,303914,,6,3.6,,7.25,7,N1,5.75,8,
45000012,303913,,5.4,3.4,,5.75,6.75,N1,5.75,6.75,
45000015,303971,6.5,7.2,4.6,6.5,6.25,,N1,,,8.25
45000019,303950,,5.8,3.2,,5.25,5.5,N1,4,6,
45000013,303937,,7.6,3,,3.75,8,N1,7,8,
45000014,303948,,7.2,4.6,,6.75,7,N1,6.5,9.25,
45000018,303949,,7.4,5.4,,6,7.75,N1,6.5,9.25,
45000017,303938,,5,3.6,,7,7,N1,6.25,8,
45000020,303972,,7.2,3.8,,4.25,8,N1,7.25,8.5,
45000021,303939,,5,3,,5.25,4.75,N1,4,6.75,
45000027,325761,8.25,7.6,5.4,6.25,7.5,,N1,,,8
45000022,303945,,6,3.6,,5.75,7.25,N1,4,7.5,
45000024,324481,,4.8,3.2,,5.75,6.5,N1,4,8.5,
45000025,303940,,5.4,2.6,,3.75,6,N1,3.75,8.5,
45000029,303941,,2.6,4.2,,4.25,5.5,N1,4,6.75,
45000026,303951,,5.4,3.6,,7.75,7.75,N1,6.25,7.75,
45000023,303946,,3.6,2.6,,4,7,N1,5,7,
45000028,303973,,5.8,4.2,,7.25,8.25,N1,7.25,7.5,
45000030,303955,,7.4,4.2,,7.25,6.5,N1,6.25,9.25,
45000031,303952,,6.4,4.2,,5.5,6.75,N1,4.5,8.25,
45000033,303942,,3.6,3,,4.25,5.5,N1,4.75,7,
45000032,303959,,6.6,3.6,,6.75,7.25,N1,6.75,9,
45000035,303961,,6.6,5.8,,6.5,7,N1,6,9.5,
45000034,303956,,3.6,2.2,,6.75,5.75,N1,4.75,9,
45000038,325804,,5.2,3.4,,5.75,7,N1,7.5,8.5,
45000036,303957,,4.4,4,,5,6.75,N1,5.75,8.25,
45000037,303943,6,7,4.6,5.5,7.25,,N1,,,5
45000040,303953,,5,2.6,,7,5.75,N1,5.25,8.25,
45000039,303962,7.75,5.2,3.2,5.25,7.25,,N1,,,5.75
45000041,303944,,5.4,2.2,,4.5,6.5,N1,6,7.75,
45000042,326155,,3.4,2.6,,5.5,5.5,N1,3.5,6.75,
45000043,303915,,4,2.8,,4,5.25,N1,3.75,8.75,
45000044,326156,,7.2,4.2,,6.75,8.5,N1,8.25,9,
45000048,303917,,6,3.2,,6,6.25,N1,6.25,7.75,
