Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
46000002,511756,,6,,,7,8.25,,7.75,,
46000007,521011,,2.2,,,3.25,5,,2.5,,
46000004,521010,,6.2,6.2,,6.5,9,N1,7.25,9.75,
46000001,511755,6.75,7.8,5.2,7.25,6.5,,N1,,,6.25
46000003,515515,,5.6,5,,7.25,8.25,N1,6.5,9,
46000011,519652,,7.8,9.4,,9,8.5,N1,9,9.25,
46000005,519651,,6.8,3.6,,5.75,8,N1,7,9.25,
46000012,521013,,7.2,6.4,,7.75,8.5,N1,8,9,
46000014,521014,,3.6,5.2,,5.5,7,N1,5.5,6.75,
46000010,521310,5.5,6.8,5,5.75,6,,N1,,,3.25
46000006,511757,,6.8,8.2,,7,8.5,N1,8.5,9.5,
46000008,521309,6.25,6.4,6.6,5,6.75,,N1,,,6.5
46000009,521012,,6.4,3.8,,8,7.5,N1,6.5,8,
46000013,521311,6,7,6.6,8.75,6.5,,N1,,,8.5
46000015,519653,,7,7.2,,7,9,N1,8.5,9.5,
46000020,515513,,6.6,5.8,,7,9.25,N1,9,8.75,
46000016,515066,6,7.6,6,5.5,6.5,,N1,,,6.5
46000022,515096,,4.4,,,3.75,5.75,,4.5,,
46000017,521313,7,8.8,8.2,9,6.25,,N1,,,8.5
46000018,516268,6.25,8.2,8.4,7.75,8.25,,N1,,,7.5
46000021,518548,5.25,7.8,7.4,4.75,7.5,,N1,,,6.75
46000019,521314,4.25,7.8,4.4,5.25,7.5,,N1,,,7
46000023,519654,,4,3,,5.25,6.75,N1,4.75,6.25,
46000024,515097,,2.4,,,5.5,5.5,,4.25,,
46000025,521315,7.75,7.4,8.8,7.25,6.75,,N1,,,6.25
46000026,516269,4.25,6.4,6,8.25,6.75,,N1,,,6.5
46000028,515510,,6.8,,,6.5,8.5,,9,,
46000027,521316,7.25,8.6,9.2,6.75,6.75,,N1,,,7.75
46000029,515514,,5.4,4.6,,6.25,8.75,N1,6.75,8.25,
46000031,521317,4.75,7.8,5.8,6,6,,N1,,,7.5
