Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
47000002,513425,7,8,8.4,6.75,6.75,,N1,,,7.75
47000003,509710,6.5,7,8,4.25,7.75,,N1,,,4.75
47000006,523502,5,7,8.2,6,7,,N1,,,7.25
47000004,514766,,7.4,5.4,,5.25,8.25,N1,6.25,8,
47000005,513426,,5.2,6,,7.75,6.25,N1,6.75,8.25,
47000001,525641,,7.2,7.2,,7,7.5,N1,8.25,9,
47000007,509711,8,9,6.2,9.25,6.5,,N1,,,7.25
47000008,513427,5,6.8,5.6,6.75,7.25,,N1,,,6.75
47000009,509856,,5.4,7.6,,8.25,8.5,N1,8.25,9,
47000010,513428,6.75,6.8,6,7.5,7.75,,N1,,,4
47000011,526912,7.5,7.2,9.2,8,9,,N1,,,8
47000012,514767,4.75,8,8.6,5.5,8,,N1,,,7.25
47000013,513429,,5.4,7.6,,7,6.75,N1,6.5,8.5,
47000014,509275,7.25,7.2,5.8,6,7.25,,N1,,,6.5
47000018,513431,,8.2,8.8,,8.75,8.75,N1,9,9.75,
47000017,509861,,7.6,6.4,,8.25,6.25,N1,6.5,8.5,
47000020,509276,6.5,7.8,6.6,7,7.25,,N1,,,8.5
47000015,509712,7,7.6,7,4.25,7.25,,N1,,,4.5
47000021,514768,6.75,7.8,5.6,6.5,5.75,,N1,,,8.25
47000022,509714,6.5,6.6,6.6,6.5,8.5,,N1,,,7.25
47000023,513432,,6.4,4.8,,6.25,5.75,N1,6,7.25,
47000025,514769,,7.2,6.8,,8.25,9.25,N1,9.75,9.75,
47000027,509858,,7.4,6.2,,7.25,8.5,N1,8.25,9,
47000026,509857,,6.6,8.2,,7,7,N1,6.25,8,
47000029,514770,,5.6,4.8,,7.25,7.25,N1,5.5,8.25,
47000028,513433,6,7.2,5.2,7.75,6.25,,N1,,,6.75
47000031,513434,,6.8,9.4,,7.25,7.5,N1,6.25,8.75,
47000032,509713,5.25,6.4,7.6,4.5,9,,N1,,,2.75
47000019,525642,,4.2,4.6,,6,7,N1,5.25,7.75,
47000016,513430,,5.4,,,5.25,5.5,,4,,
47000024,509277,6.5,7.4,6.8,6.5,7.75,,N1,,,8
47000030,509708,7.5,7.4,8.6,7,7.25,,N1,,,5.75
47000033,514771,,7.8,8.8,,7,7.75,N1,7.25,9,
47000036,513435,5.75,8.4,7.6,8.25,7,,N1,,,4.75
47000035,509859,,6.4,4.8,,8,8.25,N1,7.75,8.5,
47000037,514772,7.25,8.6,6.2,8.5,7,,N1,,,9
47000034,509715,7.5,8.4,7.8,8.5,8,,N1,,,9.25
47000040,509709,7.25,7.4,6.4,6.75,6,,N1,,,5.75
47000042,509278,,7.2,8.2,,7.75,9.25,N1,9,9.25,
47000041,513437,6.75,7.2,6.4,7.5,7,,N1,,,7.75
47000038,509855,,4.6,6.2,,8,8.75,N1,8,7.75,
47000039,513436,,6.2,5.6,,8.75,9.25,N1,9.5,9.25,
47000043,509716,6,8.8,6.6,7,7.75,,N1,,,8
47000044,509860,,3.4,,,4.5,4.75,,4.5,,
47000045,514773,5,5.2,6.8,4,6.75,,N1,,,5.5
47000046,513438,7.25,8.4,9.6,6.75,7,,N1,,,8
47000047,509717,7.75,7.8,7.8,7.25,4.75,,N1,,,3.75
47000049,514774,6.25,7.8,5.4,5,7.25,,N1,,,5
47000048,509279,5.25,7,8.4,7,6.25,,N1,,,3.25
47000050,509719,7.25,7.6,8.2,6.5,6.5,,N1,,,8.5
47000052,524865,,8.6,7.6,,7.75,7,N1,8.5,8.25,
47000055,509720,6.75,7.8,6.6,4.75,6.25,,N1,,,6.5
47000053,509281,6,8.2,7.8,6.75,6.25,,N1,,,8
47000051,509280,6,8.4,4.6,7.5,6.5,,N1,,,7.5
47000054,514775,,8,8,,6.5,7.5,N1,5.5,7.75,
47000056,513439,7,8.6,7.4,6.25,7.5,,N1,,,8
47000057,514776,6,7.4,7.8,6.5,7.25,,N1,,,9
47000058,509282,,6.4,8.2,,5.5,7.5,N1,7.5,7.5,
47000059,509721,4.75,8.2,5.2,6.25,6.75,,N1,,,7.5
47000060,513440,4.75,6.8,5.6,7.5,6.5,,N1,,,8.25
47000061,514777,,6.4,9.4,,6.75,6.75,N1,5.25,7.75,
47000064,509283,,7.6,9.8,,7.75,7.25,N1,8,8.5,
47000062,510209,,8.4,9.4,,8.5,8.5,N1,7.75,8.5,
47000063,509722,6.5,8.2,6.8,8,6.5,,N1,,,3
47000066,509284,6.25,7.2,5.8,6.25,8.25,,N1,,,4.25
47000065,513441,5.5,7.4,6.6,6.75,7.25,,N1,,,7.75
47000069,513442,,7.6,8.4,,7.5,7.75,N1,8.5,9,
47000067,509718,7,6.6,6.6,6.25,7.75,,N1,,,5.5
47000068,509723,4,8.2,8.8,6.25,8.75,,N1,,,5
47000070,510210,,5,8.6,,6.75,7.5,N1,9.25,9,
