Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
48000010,329942,,5,,,4,7.5,,4.25,,
48000007,332426,,4.6,,,4.5,7,,5.5,,
48000011,323312,,6.6,6.4,,8,6.75,N1,6.75,8.25,
48000008,68548,,3.8,,,7.25,6.75,,5.25,,
48000002,334996,,6.2,,,6.75,6.5,,6.5,,
48000001,334196,,4.8,,,8,9,,8.5,,
48000006,336244,,6.2,,,5.5,7.75,,7,,
48000004,363608,,5,3,,4.75,6,N1,4,7.25,
48000005,351775,4.25,6.6,7,3.75,8.25,,N1,,,5.75
48000009,332858,5,6.4,3.8,4,7.5,,N1,,,5.75
48000003,325921,4.25,6.4,5.4,6.5,5.75,,N1,,,8.25
48000013,329157,5,6.4,7.2,3.25,6.75,,N1,,,4.25
48000012,363609,,8,4.8,,7.25,7.5,N1,7.25,9,
48000017,335234,,3.6,,,3,7.25,,6.5,,
48000018,361228,7,7.4,8,5.75,7,,N1,,,7
48000014,351850,7.75,7.6,6.6,6.25,6,,N1,,,7.5
48000019,351363,,5.2,3.4,,8.25,6.25,N1,7.5,7.5,
48000015,359537,,7,8.6,,8.25,8,N1,7.75,9,
48000016,326684,,7.2,6.8,,8,8.5,N1,8.5,9.25,
48000020,70232,,2.8,,,5.25,6,,5.25,,
48000021,351364,,7.8,5.8,,6.25,7.25,N1,6,7.5,
48000023,351776,,3.4,,,4.25,4.25,,4.5,,
48000022,362318,,3,,,4.5,5.75,,5.75,,
48000024,352221,,7.4,5.6,,8.25,7,N1,6.75,9,
48000025,324553,,6.8,5.6,,7.5,7.75,N1,8.5,8.5,
48000026,331625,,6.6,7.8,,7.5,6.5,N1,6.5,7.25,
48000027,331698,,5.6,4,,7.5,7,N1,7.75,9.5,
48000029,325392,,7.2,9,,7.5,7.5,N1,8.75,9.5,
48000028,332117,5.25,6.8,3.4,7,7,,N1,,,7.75
48000031,358223,7,8,8.4,8.75,7.75,,N1,,,8.75
48000030,322173,6,8.2,7.6,5.75,5.25,,N3,,,6.25
48000032,73969,,6.6,6,,7.25,5.25,N1,5.75,,
48000033,73568,,4,,,4,6,,4.75,,
48000034,328469,6.75,7.6,6.4,7.75,6.75,,N1,,,7
48000035,326685,,6,,,5.5,7.25,,7.75,,
48000036,317141,,7.8,8.6,,7.75,8.5,N1,6,8.75,
48000037,351777,,6.2,4.4,,8,8.25,N1,5.75,9,
48000038,351851,8.25,6.8,6.6,8,7,,N1,,,6.75
48000039,357710,,5.4,3.8,,6.25,7.25,N1,6,7.25,
48000041,326360,5.5,8,7.6,3.5,7.25,,N1,,,4.25
48000040,69552,,5.8,4.4,,6.75,7.25,N1,6.25,7,
48000042,346567,,6.6,5.6,,8,6,N1,5.5,8.25,
48000043,358755,,6,,5.25,,,,,,6
48000045,346581,7.5,7.6,9.2,9,5.5,,N1,,,5.25
48000044,346568,,7.4,4.2,,6,5.25,N1,5.25,7.75,
48000046,70370,,3,,,4.5,6.25,,6.25,,
48000047,359010,6.25,7.4,4.4,6.75,8,,N1,,,7.5
48000048,332898,3.75,5.6,5.6,5.25,5.5,,N1,,,7
48000049,325437,,6,8.6,,4.75,6.75,N1,6,7.75,
48000051,351553,7,8,9.4,7.25,6.5,,N1,,,9
48000050,358190,,5.8,5.4,,8.75,6.5,N1,7.5,8.5,
48000052,350210,,4.8,2.6,,7.5,5.75,N1,6.25,8,
48000053,331953,,7,8.6,,8.75,7.5,N1,6,8.25,
48000054,330400,,7,3.6,,7.5,7.25,N1,8.25,8.75,
48000055,332118,,8.2,7.8,,9,8,N1,7,8.75,
48000056,350150,,4.8,4,,6.75,7,N1,5.75,8,
48000057,330401,5.5,7.4,5.8,4.5,8,,N1,,,5.25
48000059,335235,,8,8.8,,7.75,9.25,N1,9.25,8.5,
48000061,331808,6,8,9.6,9.5,6.25,,N1,,,8.25
48000058,358242,,6.2,4.8,,5.75,8,N1,7,8.25,
48000060,351365,,8,7,,8.25,8.5,N1,7.5,9,
48000063,73973,,4.8,,,5,5.75,,6.25,,
48000062,322174,6.5,8,8.6,6.25,6.5,,N1,,,9.5
48000064,332348,,5.8,,,3.5,7,,5.75,,
48000065,325393,7.25,7.6,7.2,5,7,,N1,,,4.75
48000066,332859,7.25,7.6,5.4,8,8.5,,N1,,,7.75
48000068,362063,,2.4,,,2,6.25,,4.25,,
48000067,73569,,7,6,,6.5,8,N1,5.75,7.25,
48000069,332431,,2.4,,,4.5,5.75,,5.75,,
48000070,352224,,8.2,8.6,,8.25,7.5,N1,8.25,9.25,
48000071,336248,,6.8,5.8,,8,8,N1,8.5,8.25,
48000072,355542,,6.2,3,,7.25,6.5,N1,7.75,7.25,
48000075,352225,,6.8,6.8,,8.25,6.5,N1,6.5,8.5,
48000074,74828,,3.4,,,2.25,5,,4.75,,
48000073,332860,5,5.8,6.4,5.5,7.75,,N1,,,5.5
48000076,329169,7.25,7.4,7.4,7.5,6.75,,N1,,,4.75
48000077,333434,,7.8,,,8.25,8.75,,8.5,9.5,
48000078,325394,5.25,8,9.4,5,6.5,,N1,,,7.25
48000079,332432,,3.4,,,5.75,7,,4,,
48000080,354939,6.75,5.2,9.2,4.75,6,,N1,,,5.25
48000081,334997,,4,,,5.5,6,,4.5,,
48000091,350862,,6.6,5.8,,8,7.25,N1,6.75,7.75,
48000086,323313,,7.2,7.2,,8,,N1,,,
48000085,69210,,5.8,5.8,,8,10,N1,9.5,7.5,
48000089,325395,6.75,8.6,8.2,6,6.25,,N1,,,7.5
48000090,73570,,5.6,3.8,,7.75,7.25,N1,6,8.75,
48000087,329943,,4.4,,,6.25,8,,7.25,,
48000092,346570,,7.6,9.4,,8.75,8.75,N1,8.5,9,
48000093,352226,,7.8,8.6,,8.5,8.5,N1,7.75,9.25,
48000094,359105,,4.4,4.2,,5.25,6.25,N1,7,7.5,
48000095,346602,,5.4,,,6,7.75,,8,,
48000082,359483,,5.4,2.4,,7.25,5.75,N1,3.25,6.25,
48000097,69553,,3.8,,,4.25,9,,8,,
48000088,357758,,8,5.8,,8.75,9,N1,7,8.25,
48000096,363341,6.75,7.8,8.2,5.75,8.75,,N1,,,7.5
48000098,346603,4.5,7.8,7.6,7.25,8.25,,N1,,,5.25
48000099,72497,,5.8,8.8,,8.75,8.25,N1,6.25,7.75,
48000100,68552,,7.8,7.6,,8,7.25,N1,7.75,9,
48000084,325445,,6.2,8.4,,6.75,6.25,N1,5,6.5,
48000083,334197,,5.2,,,5,7.75,,6.25,,
48000101,336012,5.5,7.2,4.4,7.5,8,,N1,,,7.75
48000103,69315,3.25,6.6,7.8,4.5,7,,N1,,,3.75
48000104,329170,3.5,8.4,5,3,4.5,,N1,,,6.75
48000105,360707,,6.2,2.4,,4.5,6.75,N1,6.75,8,
48000106,331799,,4.2,2.4,,7,6.25,N1,8,8.75,
48000108,355543,,5.8,6,,8.5,9.25,N1,9.5,7.25,
48000111,359011,,8,8.4,,8.75,6.75,N1,8.5,8.75,
48000112,323314,6.5,7.4,8.2,6.25,7.25,,N1,,,5.75
48000114,328505,,7.8,4.6,,8.5,8.25,N1,6.75,9.25,
48000115,325433,,5.4,,,4.75,6.5,,5.25,,
48000117,359538,4.5,6,5.6,6,7,,N1,,,5.5
48000118,359539,,6,4.2,,4.75,5.5,N1,6.25,8.25,
48000119,323315,5.25,6.4,4.8,5.25,7,,N1,,,3.75
48000120,325396,,7.2,8.4,,8,8.25,N1,7.25,8.5,
48000102,331491,,6.4,,,4.75,5.25,,4.25,,
48000121,330308,,6.2,6.8,,5,8.25,N1,6.5,8.75,
48000123,325460,5.25,8.6,8,5.5,8.5,,N1,,,6.75
48000124,323819,5,7.8,5,6.25,6.5,,N1,,,8.5
48000125,329714,7.5,8.2,8.8,9,7.25,,N1,,,6.75
48000127,72938,4.25,6.8,5.2,2.75,7.75,,N1,,,3.5
48000128,362051,,5.4,2.8,,8.5,6.25,N1,4.25,7.5,
48000107,354374,5.25,5.8,2.4,4.25,6,,N1,,,3.75
48000109,331146,6.25,7.4,8.2,7.75,7.75,,N1,,,5.75
48000110,333876,6,7.8,6,7.75,6.25,,N1,,,5.75
48000113,68553,,5.6,,,6.25,8.5,,7.25,,
48000116,336245,,4.6,,,4,6,,6.75,,
48000129,334844,,6.8,3.6,,8.25,7.75,N1,6,8,
48000130,331300,,3.2,,,4.75,7.5,,6.75,,
48000131,346547,,,,,6,,,,,
48000132,351778,,5.8,,,4.75,6.25,,7,,
48000136,358243,,6.6,,,5.25,8.75,,7.5,,
48000134,354582,6.75,7.2,7.2,6.25,5.25,,N1,,,7
48000135,362930,,5.8,4.8,,6.5,7.5,N1,7,8,
48000140,336249,,3.2,,,4.25,5,,7.25,,
48000141,332861,5.5,7.2,8.8,8,6.5,,N1,,,6.75
48000142,353491,,4.8,,,7,6.75,,5.5,,
48000122,359012,,6.4,8.4,,8,7.5,N1,8,8.5,
48000126,357759,,7.2,4.8,,6.5,7.75,N1,6,8.75,
48000146,354713,7,7.6,6.4,7.25,8,,N1,,,7.5
48000149,354714,7,7.4,7.4,8,7.25,,N1,,,8
48000137,362319,,2.8,,,3.25,6.25,,4.25,,
48000138,334845,5.25,8,8.4,6.75,6,,N1,,,8.25
48000145,329162,5.75,8.4,8.8,4.5,5.75,,N1,,,7.5
48000143,325434,,4,,,3.25,4.5,,5,,
48000144,323316,7.75,8,6.8,9,7.5,,N1,,,8.25
48000139,318893,,7.4,5.4,,8,7.25,N1,8.25,9.5,
48000147,329171,7,7.4,6.6,5,8.25,,N1,,,6.75
48000148,329823,,6,6.6,,7,7.5,N1,6.75,9,
48000133,328506,,5.8,5.4,,8.25,7.25,N1,6.75,9.25,
48000150,332439,,6.4,7.8,,7.75,8,N1,7.5,8.25,
48000158,331954,,7.4,,,5.75,6.5,,3.5,,
48000157,358192,,5.2,4,,5.75,6.75,N1,6.25,7.25,
48000152,334198,,7,,,3.25,7.75,,7.5,,
48000154,334998,,2.2,,,3.5,3.5,,4,,
48000155,358191,,5.4,,,6.5,7.5,,6.25,,
48000151,73974,,5.2,,,7.25,6.25,,6,,
48000159,352227,,8,6,,9,8.75,N1,7.75,9.5,
