Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
49000005,571759,,5.6,4.2,,5,6.5,N1,4.5,7.75,
49000013,571761,4.75,5,2.8,3,5,,N1,,,3.5
49000014,566660,7.5,6.8,6.4,6.75,7,,N1,,,5
49000015,572932,,6.6,4,,7.25,6,N1,6.25,7.5,
49000008,572943,,7,4,,6.5,8.75,N1,8,8.5,
49000007,570442,5.25,5.4,2.4,4.25,5,,N1,,,4
49000006,572931,,3.4,,,4.5,5.25,,3,,
49000009,571760,4.5,5.6,3.2,3.25,7,,N1,,,3.5
49000002,571758,5,4.2,3.8,3,6,,N1,,,3.25
49000004,572942,,3.6,4.2,,7,7.75,N1,5.5,7.75,
49000012,570443,5.25,6.8,3.8,4.5,7.5,,N1,,,2.25
49000011,574318,4.75,6.8,3.4,5.75,6.5,,N1,,,6
49000003,572938,,3.8,3.2,,6.5,7.25,N1,6.5,8.25,
49000010,566659,,4.2,3,,6.75,6,N1,4.25,6.5,
49000001,571757,7,5.6,5.2,5.5,6.5,,N1,,,4.25
49000019,572944,,5.8,5.2,,5,6.75,N1,7.5,7.5,
49000016,574316,6.25,7,4.4,6.75,7.5,,N1,,,6.25
49000017,572939,,7,2.4,,5.25,6.75,N1,6.25,7,
49000023,570444,6.75,7.4,6.2,5.75,8,,N1,,,3.75
49000024,574320,6.5,7.8,4.2,7,7.75,,N1,,,6.75
49000018,574319,6.5,6.2,3.8,5.25,6,,N1,,,4.5
49000020,573434,5.5,7.8,5.6,7.75,6.75,,N1,,,8
49000030,574317,5.75,6,4.4,6.5,4.67,,N1,,,2.5
49000028,572945,,5.6,2.6,,4.5,6.25,N1,6.5,7,
49000025,572933,,6.8,8,,8.25,9.25,N1,6.5,8.75,
49000027,570445,,5.4,2.2,,5.5,8.5,N1,8,8.75,
49000022,566691,6.25,7.4,6.6,6.75,8,,N1,,,6.5
49000021,571762,,5,3.6,,5.75,6.25,N1,4.5,7.75,
49000026,574642,5.75,7,8.2,7,5.75,,N1,,,7.25
49000031,570446,,5,3.2,,6.25,6.25,N1,5.25,7,
49000029,566707,5.25,7.8,5.8,8,6.5,,N1,,,8.5
49000034,572934,,7,5.2,,7,8.5,N1,7.25,8.75,
49000035,572940,,6.6,6.4,,8,8.75,N1,7.75,9.5,
49000033,571763,7,8,4.8,8.25,8.25,,N1,,,7.25
49000032,574640,5,4.6,4.4,4,4,,N1,,,3.5
49000038,572935,,4.4,2.6,,5.75,4.75,N1,4,7.25,
49000041,572936,,5.6,5.4,,6.75,9,N1,9,8.75,
49000036,573265,,6.4,4.6,,7,6.25,N1,5.75,8.75,
49000045,572539,6.5,7.8,5.6,4.5,6.5,,N1,,,5.25
49000046,570448,6.5,6.6,3.8,5.25,6.75,,N1,,,5.5
49000037,566720,,4.6,3.4,,5.75,7,N1,6.5,7.25,
49000040,573435,5,6.6,5.4,3.5,5.5,,N1,,,6
49000044,570447,,5,3.6,,5.75,6,N1,5.25,7,
49000042,572937,,3.8,1.8,,6.5,7.5,N1,5.5,7,
49000039,572941,,4.6,3.6,,5.5,6,N1,5.5,6.75,
49000047,572540,,5.2,3.8,,6.25,6.5,N1,6.75,8,
49000043,572538,5.5,8.2,4.6,9,6,,N1,,,6.25
49000049,574641,6.5,7.8,5.6,6,7.5,,N1,,,6.75
49000050,570449,5.5,6.4,4,6.75,6.25,,N1,,,6.25
49000048,573272,,4.6,4.4,,5,6,N1,4.25,7.25,
49000051,573756,,5.2,2.8,,6.75,5.25,N1,6.25,7.5,
49000052,573273,,4.8,3,,7,8.5,N1,7.25,9,
49000061,572542,4.5,8.2,4.2,6.25,5.5,,N1,,,5.25
49000058,572541,8.25,8,8,8.75,7,,N1,,,7.5
49000055,567159,,5.8,4,,6,5,N1,4,7,
49000053,567119,,5,4.2,,6,8.75,N1,6.75,7.75,
49000057,573274,,5,1.8,,5.5,5.25,N1,4.25,8.25,
49000060,573267,,3,,,5.25,6.5,,5,,
49000056,570450,8,6.4,2,7.25,3.67,,N1,,,2.25
49000054,573266,,6.8,3.6,,6.5,7,N1,5.75,8.25,
49000062,573436,7,7.4,8.4,6.5,7.25,,N1,,,6.75
49000063,566279,,6.4,4,,7.25,6.5,N1,6,8.5,
49000059,573757,,5,1.6,,6,8.25,N1,5.75,8.25,
49000064,573268,,6.6,4.2,,7.08,7.25,N1,5.75,8.5,
49000065,572543,,6.2,4,,4.25,8,N1,8.25,8.5,
49000066,573437,7.75,8.4,7,8,7.75,,N1,,,8.5
49000067,566295,,5,3.4,,5.25,7,N1,4.25,5.25,
49000068,570451,4.5,6.8,3.2,6.25,5.5,,N1,,,6.25
49000070,573269,,6,6.6,,7.5,9,N1,8.75,9.25,
49000069,572544,6.75,8,8,6.25,6.75,,N1,,,6.75
49000077,573754,,3,3.4,,5.25,6.75,N1,4.5,6.75,
49000072,570452,,5.2,4.4,,6,8.5,N1,7.5,8.75,
49000071,566296,6,7.4,6,6.25,7.5,,N1,,,5.25
49000076,571195,4.5,4.2,2.8,2.75,5,,N1,,,3
49000078,573270,,5,3.4,,5,6.75,N1,4,8.5,
49000074,573753,,5.2,4.4,,5,6.5,N1,4.25,6.25,
49000075,567120,,6.6,4.8,,6.25,7.75,N1,7,9,
49000082,570453,4.25,6.4,4.2,3.75,6.25,,N1,,,4.5
49000073,573752,,3.8,2.8,,5,7.25,N1,7.25,7.25,
49000080,567138,,5.6,3.8,,5.5,6.5,N1,5.5,7.5,
49000079,573755,,4.4,3,,6.25,6.5,N1,5.25,7.5,
49000084,573758,,6,4,,5.5,7.5,N1,6.75,6.75,
49000081,573271,,5.8,2.4,,5.17,5.5,N1,7,7.25,
49000083,567139,,6.6,5.4,,8,8.75,N1,7,9.5,
49000085,573763,,5.8,3.4,,7.5,6.5,N1,5,7.75,
49000087,570454,,4.2,2.2,,4.25,6.5,N1,4,6,
49000086,573843,,2.6,2.8,,2.5,3.25,N1,6.25,5.25,
49000088,573759,,6.6,4.4,,6.25,7.75,N1,6.5,8,
