Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
50000009,380916,8.25,8.4,5.6,9.5,7.75,,N1,,,7.75
50000006,380945,,6.6,5.4,,7.5,7.5,N1,7.75,9.5,
50000003,381769,6,6.4,4.2,4,7.25,,N1,,,2.5
50000013,379693,6.75,7,3.4,7.5,7.5,,N1,,,6.5
50000002,379689,6,7.6,5,6.75,7.25,,N1,,,5.25
50000004,379690,,7,4,,8,7.5,N1,7.5,8,
50000011,379692,7,8,6,6.75,7.5,,N1,,,6.75
50000007,379691,,6.8,5.4,,7.25,7,N1,7,9,
50000001,380915,,6.8,4.4,,5.75,7,N1,3.75,7.25,
50000012,382173,7.25,7.4,7.6,7.25,9.25,,N1,,,8
50000014,382177,6.75,7.2,2.4,5.5,7,,N1,,,6
50000008,380946,,6.4,,,7.5,7.5,,7,,
50000015,380917,8,7.2,7,8.5,7.5,,N1,,,8.75
50000010,382172,7.5,7.4,5.2,7.5,8,,N1,,,7
50000005,380944,,6.2,4.4,,8.5,8,N1,8,9.5,
50000021,379695,,7,4.8,,7.75,6.25,N1,6,8.5,
50000017,379694,,6.2,3.8,,7.5,6,N1,6.75,7.5,
50000020,380919,5.25,7.4,5.4,7.25,8.25,,N1,,,7.5
50000018,380918,,4.4,,,6.25,6.5,,4.75,,
50000016,381770,,6.2,,,7.75,7.75,,6.5,,
50000022,382174,7.25,8.4,5.8,8.75,8.5,,N1,,,9
50000024,381771,8.25,8.2,6.8,8.25,8.25,,N1,,,8.5
50000019,380947,,6.6,5.6,,8.25,7,N1,6.5,9,
50000023,379696,,6.4,4.8,,7,6.25,N1,5,7,
50000025,381309,,5.4,4.6,,6,7,N1,7.25,8,
50000027,381308,,7.2,5.6,,7.75,7.5,N1,7.5,9.25,
50000031,381773,5.25,6.8,4.8,4.25,8,,N1,,,7
50000029,381772,6.25,7.6,6.4,7,8.5,,N1,,,7.25
50000026,380920,,6.6,5.2,,8.25,6.5,N1,8.75,9,
50000028,379697,,7.2,6.4,,7.5,7.75,N1,6.75,9,
50000030,379698,6.5,6.4,5.4,7,7.5,,N1,,,6
50000032,380921,6.5,8.6,6,8.75,9.25,,N1,,,8.25
50000034,382175,9.5,8.4,6.2,9.25,8,,N1,,,7.75
50000033,381310,,7.2,4.2,,7.75,6.75,N1,5.75,8.75,
50000035,379699,,4.8,5.8,,8.5,9,N1,8,9.5,
50000036,380922,6.5,7,8,5,8,,N1,,,6.5
50000038,381311,,6,3.8,,7.5,6.25,N1,6.25,8,
50000037,380022,,3.8,2.6,,5.5,4.5,N1,4.75,5.75,
50000040,382176,5,6.2,4.2,6,7,,N1,,,4.75
50000039,381774,6.5,8.4,8.8,7.5,8.5,,N1,,,8.5
50000041,371797,7.75,9,6.8,9.25,8.5,,N1,,,8.25
50000046,377103,,5.8,4.2,,5.5,5.75,N1,5.5,7.75,
50000045,380949,,4.4,4.4,,5.75,5.25,N1,3.75,6.25,
50000043,380948,,4.6,4,,5.75,6.5,N1,5.75,8,
50000044,380023,,5.8,4,,7.75,7.25,N1,5.5,8,
50000047,381775,,6.8,4.4,,7.5,6.75,N1,6.25,8.75,
50000042,380923,5.5,7.2,4.2,7,8.75,,N1,,,6
50000048,381316,,6.4,6,,8.25,8.5,N1,8.25,9.25,
50000049,380965,,7.4,7.4,,6.75,7,N1,7.75,9.25,
50000050,380024,6,7.6,6.8,8.75,8,,N1,,,8.25
50000051,380966,5.75,5.6,4,4.25,7.75,,N1,,,3.5
50000052,377104,,7.2,4.6,,7.25,8.25,N1,8,9,
50000053,377105,6,6.6,4.6,5.75,6.75,,N1,,,6.25
50000057,380968,,4.6,3.8,,7,6,N1,6.75,8,
50000054,380967,,6.8,4,,7.75,7.75,N1,7.75,8.75,
50000056,381312,,5.2,4,,5.75,4.75,N1,5.25,8,
50000055,380025,8,8.4,4.4,8.25,9.25,,N1,,,8.25
50000059,372211,,5.8,5.6,,8.5,8.75,N1,6.25,7.25,
50000060,382181,6,7.6,5.4,6.75,8.5,,N1,,,5.25
50000061,380969,7.25,7.4,5.2,7.5,8.5,,N1,,,7.25
50000064,380027,6.25,5.8,5.2,5,5.75,,N1,,,4.25
50000058,380026,8,7.8,5.6,6.75,8.75,,N1,,,5.75
50000062,382178,6,7,5.2,6.25,8.25,,N1,,,6.75
50000065,381318,,5.8,4.2,,6.75,7.25,N1,6,8.5,
50000066,380971,,6.2,2.6,,5,7,N1,6,7.25,
50000063,380970,,6.8,5.6,,6.5,7.75,N1,7.75,8,
50000067,380028,5,8,4.2,7.75,7.5,,N1,,,8
50000068,381317,,5.4,2,,5.5,6.75,N1,4.5,6,
50000069,380972,,5.2,3.8,,7.5,5.5,N1,4,6.25,
50000070,380029,3.25,4.2,5.4,5,7,,N1,,,3
50000071,380973,,7.2,5.2,,8.25,8.5,N1,7.5,8.75,
50000072,376881,6.5,8.2,7,5.25,8,,N1,,,8
50000083,381319,,6.4,4.6,,8.5,7,N1,7.25,8,
50000081,380063,7,7.4,5.6,8,7.5,,N1,,,8
50000080,371849,6,6.8,3.6,4.5,6.5,,N1,,,5
50000082,370728,,6.4,4.2,,7.83,7.25,N1,5.75,9.25,
50000078,370727,6.75,8,6.8,6.25,8.25,,N7,,,7
50000074,377106,,5.8,3.8,,7.75,6.25,N1,7,8.5,
