Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
51000015,18390,,6.6,8,,9,6.5,N1,6.25,8,
51000001,17076,7.75,7.8,7.6,8.75,7.5,,N1,,,6.5
51000014,17112,,6.2,8,,7.75,8.5,N1,7,8.75,
51000004,18388,,6.4,4.2,,8.5,7.75,N1,8,7.25,
51000009,18002,,7.4,9,,8.5,7.5,N1,6.75,8.25,
51000010,17111,,6.2,,,7.75,8,,6,,
51000008,17065,6.75,7.8,7.6,6.75,9,,N1,,,8
51000012,2270,,6.4,,,8.25,6.25,,5.75,,
51000003,17064,5.5,7.2,7.2,6.25,6.5,,N1,,,9.25
51000005,17110,,6.8,6.6,,8.75,8,N1,8.25,8.5,
51000013,18386,,6.6,7,,8.75,6,N1,7,8.5,
51000011,18003,,6.6,6.8,,9,8.5,N1,6.5,8.25,
51000007,17072,5,7.2,7.8,4.75,8,,N1,,,6.25
51000002,18001,5.25,8.6,7.6,4,6.5,,N1,,,8.75
51000006,17071,5.75,7.8,6.8,8.25,8.25,,N1,,,6.75
51000016,17066,5.5,7.6,8,7,8,,N1,,,5.75
51000018,17077,6,8.2,6.8,3,9,,N1,,,5.5
51000024,17113,,6.8,8,,9,6,N1,7.75,9.75,
51000020,17067,6,8,5.6,8,9.25,,N1,,,8
51000027,17068,5.25,7.4,6.2,6.5,6.5,,N1,,,7
51000031,18006,5.75,7.6,8,5.5,8.5,,N1,,,7.75
51000023,18004,,8,8.6,,7.75,6.75,N1,6.5,8,
51000017,17073,4.5,7.8,7.4,4.5,8.5,,N1,,,6
51000021,2371,,6.6,6.6,,6.75,8.25,N1,8,9.75,
51000029,18391,,7,8.8,,6.75,8.5,N1,7,7.75,
51000026,18005,5,8,5,7.75,8.5,,N1,,,7.75
51000025,17078,6.25,6.8,6,6.75,9.25,,N1,,,7.75
51000019,18862,5.75,6.8,8.4,5,7.75,,N1,,,7.5
51000022,17074,5.75,8,8.4,4.5,9.25,,N1,,,8.5
51000030,17114,,3.6,6.4,,4.75,6.5,N1,8.25,8,
51000032,17079,6.5,7.6,8.2,7.25,7,,N1,,,8.25
51000033,18387,,8,9,,9.5,9.25,N1,8.25,9.5,
51000035,17069,6,5.8,7.6,3.5,9,,N1,,,5
51000034,17115,5.25,7.8,6.8,5.25,7,,N1,,,7
51000036,18007,6.5,8,7.6,6,8.75,,N1,,,7.75
51000037,18389,,7.8,8.2,,7.5,7,N1,7.25,8.25,
51000044,17070,6,7.6,8.2,7.5,8,,N1,,,7.75
51000038,17116,,8,7.8,,8.5,7.25,N1,7,9.25,
51000048,18393,,4.8,7.2,,7.5,6.75,N1,4.25,8,
51000042,18863,5.75,6.2,8.8,4.75,7.5,,N1,,,7.5
51000043,17117,,5.6,5.8,,8,8.25,N1,6.25,8.5,
51000041,18392,,6.2,5.4,,8.75,10,N1,7.5,8.25,
51000049,2391,6,8.2,7.4,8.25,7.75,,N1,,,5.75
51000039,18008,,3,,,6.75,6,,6.25,,
51000046,17118,,7.8,7,,8.75,9.25,N1,9,8.75,
51000047,17075,6.5,7.8,8.8,4.75,6.5,,N1,,,7.25
51000045,2323,,4.6,,,7.75,7.5,,6.25,,
51000040,17080,7.5,8.2,5.6,7.25,6.75,,N1,,,1.5
51000050,17119,7.5,7.2,6.2,6.25,6.75,,N1,,,2.5
51000051,18009,,8,8.4,,9.5,7.75,N1,7.25,7.5,
51000052,18864,,6.6,6.6,,9.25,8.75,N1,8.25,9.25,
51000053,2419,,6.8,7.6,,9,7.25,N1,6.25,8.25,
51000055,18396,,3,3.8,,5.75,7,N1,5.75,7,
51000062,17087,4,7.8,5.6,4.25,8.25,,N1,,,6
51000060,17140,6,8.2,7.2,7,9,,N1,,,9
51000059,18011,,6.6,,,8.5,7.5,,7,,
51000054,17120,6,8.4,7.6,6.25,8.5,,N1,,,6.75
51000056,18010,,7.8,7.4,,9,8.5,N1,7.75,8.75,
51000064,18394,,7.2,7.6,,8,7,N1,6,8,
51000065,18397,,6.8,8,,7.75,7.5,N1,8,9,
51000061,2111,,4,,,7.5,8,,5.25,,
51000057,17086,7.25,7.6,7.8,4.75,8.5,,N1,,,8
51000058,17121,,5.4,6.8,,7.25,7.5,N1,7,7.25,
51000063,17122,6,8,6.6,7.75,7.25,,N1,,,8
51000068,2199,7.5,7.8,8.6,8.25,8.75,,N1,,,8.5
51000066,17081,5,8.8,8.2,4.5,7,,N1,,,8.25
51000067,18012,,2.4,2.6,,4.5,3.5,N1,3.5,6,
51000069,17082,7.75,8.8,8.8,9,7.5,,N1,,,8.75
51000070,17123,,8.8,7.2,,9.75,8.75,N1,9.5,8.5,
51000071,18013,,3.6,8.4,,5.5,7.25,N1,6.75,8.5,
51000072,18398,,8,6.6,,8.75,8.25,N1,7.5,8.25,
51000073,2299,,5.8,8.4,,8.5,8.75,N1,9.25,9,
51000078,17124,7.5,7.8,7,6.25,9,,N1,,,6.75
51000074,2300,6.5,7.4,8.2,5.25,9,,N1,,,7
51000080,18400,,7,7.8,,8.25,8,N1,7,8,
51000083,17125,,5,4.2,,8.5,9.75,N1,9.5,7.75,
51000081,18435,,7.4,5.4,,9.25,9.25,N1,8.75,8.25,
51000077,17088,7.25,6.8,5.4,6.25,8.5,,N1,,,5.75
51000084,18395,,7,6.4,,8,7.5,N1,6.25,9.25,
51000076,18014,,6.2,,,8,8,,7.5,,
51000079,17083,6.25,6.6,5.4,6,9,,N1,,,6
51000075,18399,,6.6,5.8,,9,7.75,N1,5.75,8.25,
