Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
52000014,393737,,6,4,,7.75,7.25,N1,7,9,
52000013,372521,6.75,8.2,7.8,6.75,8.25,,N1,,,6.5
52000004,393729,,7.2,8.6,,8.5,7.75,N1,8,9,
52000011,395310,5,8.6,7.6,8.25,7,,N1,,,8
52000007,396159,,6.8,8.8,,8,7.5,N1,6.25,9,
52000015,395315,6.25,7.6,6.6,6,7.75,,N1,,,5
52000005,396158,,8,5.8,,7.75,9,N1,6.75,9,
52000003,389123,,5.6,9.2,,7.5,6.75,N1,6.75,8,
52000001,372519,6,6.6,6.6,6.25,7.5,,N1,,,7
52000002,393736,,8,5.8,,7.75,7.75,N1,7.25,8.5,
52000006,395313,7.25,5.4,4.2,6.75,8.5,,N1,,,5.5
52000008,395314,5.5,7.4,5.8,5.75,6.75,,N1,,,6.5
52000009,372520,,7.4,7.8,,6.25,7.25,N1,6.5,8,
52000010,396160,,6.8,6,,8.25,5.25,N1,5.25,6.75,
52000012,396161,,6.8,9.4,,6.75,8,N1,7.75,9.25,
52000017,372522,,7.2,7.8,,7.5,7.25,N1,7.75,9.25,
52000016,395316,6.5,7.4,6.8,4.75,7.75,,N1,,,6.75
52000018,395320,6.75,7.2,5.2,6.25,7.75,,N1,,,6.25
52000019,393730,,6.8,5.4,,7,8.25,N1,7.5,9.5,
52000020,393732,,6.2,4.8,,8,5.75,N1,5.75,7,
52000023,391866,,6.6,8.6,,8,6.75,N1,7.5,8.75,
52000028,395311,7.75,8.2,6,9.75,8.5,,N1,,,7.5
52000021,372523,,7.2,7.8,,8.25,6.75,N1,7.25,8.75,
52000031,396990,6.5,6.4,6.8,4.5,8.75,,N1,,,6.25
52000024,395317,7.5,6.4,4,5.75,6.75,,N1,,,6.5
52000030,395321,6.5,8,7.6,7.75,8.25,,N1,,,7.75
52000026,391867,5.5,5.8,4.4,3.75,6.75,,N1,,,4
52000022,391865,6.5,8.4,7,6.5,8.5,,N1,,,7.5
52000025,372524,,6,3.2,,6.25,7.25,N1,5.75,7.75,
52000027,396989,6,8.2,7.8,5.75,6.25,,N1,,,6.75
52000032,393733,,3.2,7,,8,7.5,N1,3.75,7.5,
52000029,372525,5.75,5.8,4.6,5.5,7.75,,N1,,,5.25
52000033,372526,,5.4,6.2,,7,6.5,N1,7,8.75,
52000034,395312,6.75,8.4,8.2,7.5,7.5,,N1,,,7.25
52000035,395318,6.75,8.6,8.6,6,7,,N1,,,7
52000036,391893,,7.6,7,,7.75,8.25,N1,7.25,8.5,
52000039,396991,,6.8,7.8,,8.5,8,N1,7.25,9.5,
52000037,372527,6.75,6.6,6.8,7.75,7.5,,N1,,,5.5
52000038,391894,5,5.4,6,4.25,6.25,,N1,,,5.25
52000048,391010,,7.2,6.2,,8.5,8,N1,7,8.5,
52000041,372528,6.75,7.8,6,8.25,8,,N1,,,7.25
52000040,393734,,5.6,4.6,,6,5.5,N1,5,7.75,
52000046,393735,,7.2,7.4,,7.75,8,N1,6.5,8.5,
52000042,391912,,6.2,5.8,,8,7.5,N1,5.75,8.5,
52000043,396992,,5.6,3.4,,7,7.25,N1,7,8,
52000049,393740,,4.4,5.6,,6.75,6.25,N1,6.25,9,
52000045,372529,6.5,7.2,5.6,5.25,7.75,,N1,,,4.25
52000047,395319,6.75,7.8,8,7.25,7.25,,N1,,,8.25
52000044,393731,,7.2,6,,7.75,8.25,N1,8,9.75,
