Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
53000007,92358,,6.6,4.6,,7,8.5,N1,8.75,9.25,
53000009,89638,5.5,7.6,7,7,8.75,,N1,,,6.5
53000005,89637,6.5,6,4.4,6.25,7.25,,N1,,,4.5
53000012,89627,6.75,7.4,6,6.75,8.5,,N1,,,6.75
53000002,92316,,1.8,3.2,,6,5.25,N1,4,7,
53000006,92357,8.25,7.2,6.4,7.5,8,,N1,,,6.5
53000004,89632,5.5,7.2,5.2,8.25,8,,N1,,,8.75
53000003,92317,5.5,8.6,8.6,6,9.25,,N1,,,6.75
53000015,89639,6.5,6.4,5.4,5.5,6.75,,N1,,,4.25
53000001,90911,,6.2,6.2,,8,8,N1,5.5,9,
53000013,90904,,5.8,3,,8.5,7.25,N1,7.25,7.25,
53000010,90499,6.75,7,6.8,5.5,8,,N1,,,6.5
53000014,90500,,6.4,4.8,,8.5,7.5,N1,7.25,7.75,
53000008,90912,,7,4.4,,6.5,5.75,N1,5,6.25,
53000011,95304,,4.8,4.6,,7.5,7.25,N1,7.75,8.25,
53000016,90913,,5.2,5.6,,7.5,7.5,N1,7.75,8.5,
53000021,89641,4.5,7.2,6,7.75,5.25,,N1,,,7.75
53000020,89633,6.5,7,4.4,7.5,8.5,,N1,,,6
53000023,89629,5,6,5,5.25,8,,N1,,,5.75
53000019,89628,6,7.8,4,7.75,6.5,,N1,,,8.75
53000022,90502,7.75,8,5.4,7.5,7.75,,N1,,,4.75
53000017,89640,6.75,8,5.8,5.75,8.5,,N1,,,5.75
53000018,90501,4.5,6.2,6.8,7.25,7.5,,N1,,,6.75
53000027,89064,7,6.6,6,6.75,8.5,,N1,,,3.5
53000024,89634,6.25,7.6,6,8.5,8,,N1,,,5
53000029,89630,6.25,7.2,5.4,7.5,6.5,,N1,,,6.25
53000026,89642,6.25,6.4,4.4,6.25,7.75,,N1,,,4.75
53000030,90907,,6.8,6,,6.5,8.25,N1,6.75,8.75,
53000032,89635,7,8,6.4,7.5,6.5,,N1,,,7.75
53000025,89994,,6,5.4,,8,6.75,N1,6.5,9,
53000031,90914,,4.2,4.4,,7.75,4.5,N1,4.5,7.25,
53000028,89995,,6.2,3.6,,8.75,6.5,N1,9.25,9,
53000033,89996,,6.2,5.2,,8,7.5,N1,6,8.75,
53000036,89997,6.5,7,5.4,6.75,7.5,,N1,,,6.5
53000034,90692,6.5,7.6,5.6,7.5,7.75,,N1,,,7.25
53000038,89631,7.5,6.4,5.8,7.5,7.25,,N1,,,4.75
53000037,90835,,8.2,8.8,,8.75,8.25,N1,9,9.5,
53000035,90905,,7.4,6.4,,9,8.75,N1,9,9.25,
53000039,89636,6.5,8.6,6.8,7.25,7.25,,N1,,,7.25
53000043,90915,,4.2,3.2,,7,7.75,N1,6,7.5,
53000044,89998,6.25,8.2,6.2,7.75,8.5,,N1,,,6.5
53000041,89506,5.5,6.8,5.6,5.75,7.5,,N1,,,6.25
53000047,89508,6,6.4,5.6,7,8.75,,N1,,,6.25
53000049,90836,,7.2,4,,9.25,8,N1,8.75,9,
