Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
54000004,558190,8,7.4,3.6,4.5,6.25,,N1,,,3.75
54000014,561538,,4.6,3.4,,7,6.5,N1,6.75,8.25,
54000012,562859,,4.6,6.6,,6.75,6.25,N1,7.75,8.5,
54000015,552539,6.5,7,4.8,3.75,6.75,,N1,,,3
54000006,561536,,,,,7.25,7,,6.25,,
54000009,561537,,7.6,6.8,,8.25,9,N1,8,9.75,
54000011,558191,8,7.6,7.4,8.5,7.5,,N1,,,4
54000002,562857,,5.8,4.4,,7.25,7.25,N1,6.5,8.5,
54000013,561476,,2.4,2,,6.75,6.25,N1,6,6,
54000003,553453,5,7.6,2.4,7.5,6.5,,N1,,,7
54000001,561535,,6.6,5.8,,8.25,8.25,N1,8.75,9.25,
54000010,562858,4.75,6.8,4.4,5.25,6.25,,N1,,,3.5
54000005,561154,,6.8,4.4,,6.5,7.75,N1,5.5,8.75,
54000007,557692,,5.2,3.6,,6.5,6,N1,6.25,7.5,
54000008,557693,7.75,7,2.6,5.5,6.75,,N1,,,4.5
54000016,557694,,6,5.4,,6.75,6,N1,7.75,8.25,
54000017,561539,,7.4,4.4,,8,6.25,N1,8.75,8.75,
54000021,558193,7.25,7.8,5.4,5.75,8.5,,N1,,,5
54000022,562860,6.25,8,5,6.75,6.25,,N1,,,8.25
54000020,561477,,4,4.2,,6.5,4.75,N1,4.5,5.75,
54000018,558192,6.75,8,6.8,7.75,9,,N1,,,6.25
54000019,558187,6.75,6.8,5,7.75,8.5,,N1,,,6
54000023,551363,,4.2,3.2,,6.25,5,N1,4.75,7.5,
54000025,562861,,5.8,4.8,,6.5,7.25,N1,6.75,7,
54000027,561541,,5.2,3.4,,7.25,6.5,N1,6,6.5,
54000028,562862,6,7.6,4.8,6.25,6.5,,N1,,,4.75
54000031,558188,7,7.8,4.6,7.5,6.25,,N1,,,9
54000026,561478,,6.4,6.4,,7.25,8.75,N1,8,9.5,
54000024,561540,,5,4.4,,5.25,6.5,N1,6,6,
54000032,557695,5,8.4,4,7.75,6.5,,N1,,,7.25
54000029,558982,,8,6,,8,9,N1,9,9.75,
54000033,558194,5.75,8.4,7.2,7.75,8,,N1,,,7
54000035,562863,,7.4,4,,8.25,7.75,N1,8.25,7.5,
54000034,558195,5.25,7.2,3.6,6.5,7.25,,N1,,,7
54000036,561479,,7.2,5,,5.83,7.75,N1,7.5,9,
54000038,558199,8.5,8.2,5,8.75,6,,N1,,,6.25
54000039,561543,,,,,7.25,8.75,,9.75,,
54000037,559041,,7.2,5.4,,8,6,N1,6.75,8.5,
54000041,553381,,,,,7.5,8.75,,8.25,,
54000042,558200,3.75,5,3.4,4.75,6.75,,N1,,,3.75
54000040,562864,,3.2,,,6,4.75,,4.5,,
54000047,561556,,7,5.6,,6.5,7.75,N1,7.75,9.25,
54000046,561550,,6.2,6.2,,7,8.75,N1,7.75,9.5,
