Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
55000007,543501,,5.4,2.6,,6.5,7,N1,5,7.5,
55000003,523788,,8,7.8,,8,7.5,N1,7.5,8.75,
55000009,546945,,4.6,3,,8,5.75,N1,5.25,7.75,
55000002,538666,,4.4,4.4,,6.25,5.75,N1,6.5,9,
55000008,525900,,5.6,2.4,,7,6,N1,4.75,8,
55000005,544807,,7.2,8.6,,8,9,N1,7,8.5,
55000004,543128,5.5,6.2,6.6,2.75,7.5,,N1,,,2.25
55000010,528515,,5.8,3.4,,8.25,7.25,N1,6.25,8.5,
55000011,545726,,7.4,5.2,,7.75,7.5,N1,5.75,8.5,
55000015,544808,,5.6,4.8,,8.25,8.5,N1,5.75,9,
55000014,535984,,6.2,4.6,,7.5,8,N1,6.25,9.25,
55000012,544364,5.75,6.8,4,4.25,7.25,,N1,,,3.5
55000001,528252,,4.8,4.6,,7.25,8.25,N1,7.25,9.75,
55000013,538667,,4,,,7.5,4.5,,5.75,,
55000006,548934,,3.4,3.2,,5.25,6.25,N1,6.25,7.75,
55000017,544976,,3.6,2.8,,5.75,6.25,N1,4.75,8.25,
55000016,538025,,4.6,4.2,,5.5,6.25,N1,7.25,8.5,
55000030,542913,,3.6,,,6,5,,3,,
55000019,548063,7.25,9.2,7.4,9.25,7.25,,N1,,,8.5
55000027,543301,4,7.6,5,8.75,7,,N1,,,7.5
55000028,546191,,6.4,6.6,,7.5,5.75,N1,6,7.25,
55000024,547022,,6.8,6.8,,7.5,8.75,N1,6.5,9,
55000031,524083,,6.4,5.6,,8,9.25,N1,8.25,9,
55000020,536008,6.5,7,7,4.5,7.75,,N1,,,7.25
55000025,528516,,7.6,3.4,,8.25,7.25,N1,5.5,8.75,
55000023,544098,,5.2,3,,6,5.75,N1,6.25,7.75,
55000029,524275,,5.4,3.8,,7,9,N1,7.25,9,
55000018,547441,7,8.6,6.2,8.25,7.25,,N1,,,5
55000021,544419,,7.4,6.4,,8,8,N1,6,8.25,
55000032,539534,9.25,8.8,8,7.25,9.5,,N1,,,4.75
55000022,544695,,5.8,4.2,,7.25,7.75,N1,8,8.75,
55000026,528517,,6.4,3.2,,6.75,7,N1,6.5,8.25,
55000033,527455,,3,2.4,,3.5,5.25,N1,4.75,8.5,
55000035,539174,7.75,8,4.8,4.5,8,,N1,,,5.75
55000034,542714,5,4.6,,3.75,,,,,,
55000036,548058,7,7.2,6.8,8,8.75,,N1,,,5
55000037,539175,9,8.4,,9,,,,,,
55000041,547023,7,7.2,8.2,7.75,6.25,,N1,,,7.5
55000038,544196,,3.4,2.8,,6.25,7.5,N1,6,8,
55000046,539152,,5.6,9.8,,7.5,7.5,N1,7.75,8.75,
55000049,548368,,7.8,7,,8.5,8.25,N1,7,8.75,
55000044,539151,,,,,6.5,9.25,,9.5,,
55000045,544167,6,7.6,7,9.25,7.75,,N1,,,6.25
55000040,548778,,7.6,7,,,,N1,,,7.25
55000042,543416,,4.4,3.6,,8.75,7.25,N1,8.5,9.5,
55000047,522614,,5.8,5,,7,7.5,N1,7,8.5,
55000043,539150,,6.2,5,,6,7.5,N1,6,8.75,
55000051,546192,4.5,7,5.8,7.75,5.75,,N1,,,2.25
55000048,543186,,4.8,4.6,,7.5,6.25,N1,8.25,8.5,
55000050,546468,,6.8,5.4,,6.75,7.5,N1,6.75,8.5,
55000052,544565,4.75,8.2,9,8.25,5.5,,N1,,,3
55000054,527468,,5.4,4.8,,7.5,7.5,N1,6,7.5,
55000053,544129,5.5,6.6,6.2,8,6.75,,N1,,,7.25
55000061,522824,5.5,8,5,8,5.75,,N1,,,7.25
55000055,526824,,8,5,,8,8,N1,7.5,8,
55000056,539108,,7.6,3.8,,7.25,6.75,N1,6,6.5,
55000064,538739,6.25,7.8,3,8.5,5.75,,N1,,,6.75
55000059,544977,,4.6,4,,7.25,5.5,N1,4.75,7.25,
55000060,546585,8,7.8,8.8,7,7.25,,N1,,,7.75
55000063,527036,,7.4,4,,6,7.25,N1,6,8,
55000062,527209,5.75,6,4.4,4.25,7,,N1,,,7.5
55000066,548140,,5.2,8.6,,5.25,8.25,N1,6.5,9.75,
55000068,543194,,6.8,6.4,,7.75,5.5,N1,4.75,7.75,
55000069,526597,7.5,8.6,7.4,7,6.5,,N1,,,7.25
55000057,545497,,4.8,5.4,,4.25,7.75,N1,6.25,8,
55000039,522117,6.5,8.6,4.8,8.75,6.75,,N1,,,8.75
55000071,549137,8.25,8.2,6.2,8.25,8.5,,N1,,,5.25
55000067,546946,,4.2,,,6,6,,4.5,,
55000070,525976,,4.2,4.2,,7.5,7,N1,8,8.5,
55000065,544714,,5.4,4.6,,4.5,8.75,N1,7.5,8.5,
55000077,544725,6.5,8.6,5,5.75,7.75,,N1,,,8.25
55000073,526105,4.75,8,6.4,6.25,6.75,,N1,,,8.25
55000079,548935,,6.4,5.4,,8,9,N1,9.25,8.5,
55000076,525502,7,6.6,4.8,7,7.75,,N1,,,5.25
55000074,544978,,7.2,5,,8,7.5,N1,8.5,9,
55000075,549047,,3.4,4.4,,5.25,7.5,N1,8.5,8,
55000078,545910,,,,,6.25,5.75,,5,,
55000080,543129,5.75,8.8,8.2,6.75,7.75,,N1,,,9.5
55000081,549171,7.5,8.8,8.4,8.25,5.25,,N1,,,7.25
55000058,546305,,2.8,,,5,5.5,,4.75,,
55000082,538894,,6.8,8.2,,8,6.75,N1,5.5,7.25,
55000083,543417,6.5,7.6,6.6,6,7.5,,N1,,,5.5
55000084,524084,3.75,8,8.8,3.75,7.75,,N1,,,7.75
55000086,549172,8,7.6,4.2,7,6.75,,N1,,,4.75
55000087,543195,,3.8,3.8,,7.25,6.25,N1,5.25,8.5,
55000090,545685,,5.2,,,5.75,7.5,,5,,
55000089,542918,,6,3.6,,7,8.25,N1,9,9.5,
55000072,544715,,6,6.8,,6.75,8.5,N1,8.5,8.75,
55000091,526825,8.5,8.8,5.6,9.75,8.75,,N1,,,7.25
55000094,547024,,7.8,6.2,,8.75,8,N1,6.25,8.5,
55000092,548574,,6.8,8.6,,9.5,8.5,N1,8,9.25,
55000093,547656,5.25,7.2,5,6.25,7.5,,N1,,,8
55000097,527037,,6.2,3.2,,6.75,6,N1,3.5,7.5,
55000095,547310,,5.6,8.2,,8.5,7.25,N1,9.5,8.5,
55000096,547321,,5.2,4.2,,6,5.5,N1,5.5,8,
55000099,525114,6.25,7.4,5.8,5.25,7,,N1,,,5.75
55000098,544716,,5.6,4.6,,7.75,8.75,N1,8,8,
55000100,543761,6.75,8,5.2,7.75,7.75,,N1,,,7
55000085,523036,,5.8,3.4,,7,7.5,N1,8.5,9,
55000101,542914,,7.8,4.6,,7.75,7,N1,7.5,9,
55000102,538726,6.75,7.2,4.4,8,6.25,,N1,,,7.5
55000103,544099,,6.6,4.6,,6,6.75,N1,5.5,6.5,
55000088,542473,,3.4,3.4,,5,7,N1,6.25,7.75,
55000106,546947,,5.8,,,5.25,8.25,,6.5,,
55000109,538690,,5.4,4.2,,7.25,6.75,N1,6.25,7.25,
55000105,548936,8,7.6,5.6,7,7.25,,N1,,,8
55000108,549173,9,9,8.6,7.5,6.25,,N1,,,6.5
55000104,544979,,5.2,6.6,,8,7,N1,6.75,7.75,
55000107,528518,,7.4,3.8,,8.75,9.75,N1,8.75,9.5,
55000112,547446,5.5,5,,2.75,6.25,,,,,3
55000113,548781,5.25,8.2,3.6,5,6.25,,N1,,,7.5
55000110,542451,7,8.6,6.2,9,7,,N3,,,7.5
55000114,524085,6.5,3.4,6.4,4.25,5,,N1,,,4.5
55000115,541587,8,7.4,,7.25,,,,,,1.25
55000117,523794,,4.4,5,,6.5,7,N1,4.25,8.25,
55000116,544197,,5.8,3.6,,8.25,6.75,N1,7.5,8.5,
55000119,527448,,5.6,2.8,,4.5,4.75,N1,5,6.75,
55000118,525974,,4.2,2.6,,6.75,6.5,N1,3.25,6.75,
55000120,538668,6.75,8,7.8,5.25,5.75,,N1,,,8.75
55000121,538669,6.25,7.2,4.2,6.75,7.75,,N1,,,4.75
55000122,523886,,5.8,3.8,,5.5,7.25,N1,7.75,8.5,
55000123,542919,,4.2,3.8,,8,7.25,N1,6.75,7.75,
55000111,538691,,5.8,4.8,,6,6.25,N1,5.25,8.75,
55000124,536009,,,,,4,6,,5,,
55000126,545844,,7.2,10,,9,8,N1,8.75,8.25,
55000127,548007,7.25,6.4,6,7.25,7.5,,N1,,,4.75
55000128,542920,,4.6,,,5,4.5,,5,,
55000131,535985,,4.8,3.2,,6.75,5.5,N1,5.75,7.25,
55000129,542708,6,8.6,9.2,4.5,6.5,,N1,,,8.5
55000132,548818,,6.6,3.8,,7.25,6.75,N1,7.25,7,
55000133,535986,7.25,7,7.4,6.5,5.75,,N1,,,7
55000135,526826,6.25,8.4,5,8.25,6.75,,N1,,,8
55000136,522382,,6.8,5.4,,7.25,9,N1,7.25,8.25,
55000125,528253,8.5,8.2,6.2,8.5,9,,N1,,,8.75
55000137,547440,5.75,6,3.2,5.5,5.5,,N1,,,4.25
55000138,539535,5.25,6.8,4.4,6.25,6,,N1,,,6.5
55000139,549174,7.5,8.8,8.6,8,8.25,,N1,,,9
55000134,548009,5.5,7.6,4,7.75,6.75,,N1,,,5.5
55000140,544420,,7.6,8.6,,8.5,6.5,N1,6.75,8.5,
55000142,538499,5.75,6,3.2,5.25,6.75,,N1,,,6.5
55000141,542927,,6,6.4,,9.5,9.25,N1,7.5,9,
55000143,545498,,7.2,4.8,,7.75,8.5,N1,8,9.5,
55000146,542921,,6.4,,,6.75,7.25,,7.25,,
55000145,548409,6.25,8.4,5.4,7.5,8.5,,N1,,,7
55000147,525977,,5.2,2.4,,6.5,7,N1,6.25,8.25,
55000148,526336,5.25,5.4,4,5,7.25,,N1,,,2.5
55000152,544696,,4,3,,5.75,6.25,N1,4,6.75,
55000149,525895,,5.4,3.6,,7.25,5.75,N1,4.75,6.5,
55000153,539176,6,8,3.2,8.25,8.5,,N1,,,7.75
55000150,549228,8.25,8.6,,9.5,,,,,,
55000154,523882,,5.6,4.4,,6.75,8,N1,7.75,8.5,
55000151,542709,6.75,8.4,8.2,8.75,8,,N1,,,6.75
55000144,539190,7.25,7.6,7.8,7,5,,N1,,,8
55000155,544100,,6,4.6,,6.5,6.5,N1,5.25,7.5,
55000158,544115,4.25,7.8,8.8,4.5,6.75,,N1,,,7
55000159,544198,,7,4.8,,7,8.75,N1,8,9.25,
55000156,546193,,7.2,7.2,,8,7.75,N1,8,9,
55000157,526827,3.25,8.2,5.4,7.25,6,,N1,,,6
55000160,522615,,6.4,4.6,,7.5,7.5,N1,6.5,8.75,
55000161,542915,,3.8,,,7,7.5,,5.25,,
55000162,542441,7.75,7.6,4.8,8.5,9,,N1,,,5.5
55000163,538492,8.25,8,5.6,8,9,,N1,,,6.5
55000164,546431,,6.4,4.4,,5,7.75,N1,5.5,8.25,
55000166,546306,,5.8,4.4,,7.75,7.25,N1,8.5,8.5,
55000169,549229,7.5,8.2,6.8,7.75,7,,N1,,,8.25
55000167,523446,,5,4,,6.5,6.5,N1,6.25,7.25,
55000165,523883,,4,3.4,,7,7.5,N1,7.25,9,
55000168,542928,,6.2,3.8,,7.5,7.75,N1,7.25,9,
55000170,523760,8,8,,8,,,,,,
55000171,525955,,6.8,4.8,,6,9.25,N1,8,9.25,
55000173,543631,,7.6,3.4,,7.75,8.5,N1,7,8.5,
55000174,543418,,4.8,2.8,,8,7.5,N1,7,9,
55000176,548010,7.25,7.8,,7.25,,,,,,
55000172,542710,3.75,8.4,6.8,7.5,7,,N1,,,8
55000177,544421,,8.4,8.8,,9.25,8.75,N1,9.5,9.25,
55000179,549175,6.25,8.4,8.4,7,9.5,,N1,,,8.5
55000180,542711,4.75,8.8,8.2,4.5,5.25,,N1,,,8.75
55000181,538026,6,6.2,4.4,6,7.5,,N1,,,3.25
55000178,547876,,4.6,,,5.75,6.5,,5.5,,
55000182,544199,,4.8,3,,4.25,6.75,N1,4.25,7.75,
55000184,548008,8,7.4,,5.75,,,,,,
55000191,538740,,5.2,4.6,,6.5,7,N1,5.5,7.75,
55000188,548417,6.25,7.8,5,7.75,5.75,,N1,,,7.5
55000186,544823,,3.6,2.6,,7.5,8.25,N1,8.25,7.5,
55000185,539086,,,,,3.75,5.5,,4.75,,
55000189,523783,5.5,7,5.2,8.25,6.75,,N1,,,8.5
55000187,522383,,6.4,8.6,,9.5,7,N1,9.25,8.75,
55000183,542445,8,7.6,9,7.5,8.25,,N1,,,5.5
55000193,546361,5.75,6.6,4.2,5.75,7.25,,N1,,,6.25
55000194,545686,4.5,7,4.4,5.25,6.25,,N1,,,5.75
55000195,544146,,7.8,5.2,,7.25,7,N1,7.75,8.75,
55000196,526828,,4.8,4.4,,5.25,7.5,N1,7,8.75,
55000197,543196,,3.8,4.6,,5.5,4.5,N1,5.5,7,
55000192,543913,,4,7,,7.25,8.25,N1,6.5,8,
55000198,525978,,4.6,4.2,,7.5,7.5,N1,7.75,9,
55000190,528519,,4.4,1.8,,6.75,6.25,N1,6.5,8.5,
55000199,526410,,7,7.8,,7.75,6.75,N1,7,8.25,
55000201,539130,7.75,8.4,,8.75,,,,,,
55000202,543419,,7.2,4,,7,9.75,N1,9.75,9,
55000205,523749,7.25,6.8,4.6,7.75,6,,N1,,,4.5
55000200,526181,,4.8,4.4,,7.5,7.25,N1,4.25,7,
55000206,545653,8.25,8.2,7.8,8,9,,N1,,,8.5
55000204,546465,,7.8,5.4,,8.5,8,N1,8,9.25,
55000208,547878,,4.4,4,,8,9.25,N1,8.5,8.25,
55000209,544051,,7.6,,,7.75,7.25,,8.25,,
55000210,543197,,7,5.8,,7.25,6,N1,7,8.75,
55000212,527469,4.75,6.6,3,3.75,6.75,,N1,,,4.25
55000211,546466,,6.8,6.4,,8.25,8.5,N1,8.75,9.25,
55000213,545727,,8.2,6.6,,8,7,N1,6.75,8.25,
55000215,526305,,5,3,,6,5.5,N3,6,6.5,
55000217,526625,,5.8,,,5.5,6.5,,7.25,,
55000216,538746,,6.6,,,8.75,8.75,,6.75,9.25,
55000220,523336,,5.2,3.2,,7.75,6,N1,6,7,
55000175,545733,,7.8,8,,8.5,9,N1,9,8.5,
55000222,525894,,7.2,4.8,,9,9.5,N1,7,9.25,
55000224,526626,,6.6,,,7.5,9.25,,8,8.25,
55000226,547322,,5.8,5.4,,6.5,6.25,N1,6.25,8.5,
55000225,544809,,4.2,3.6,,6,8.5,N1,6,8.75,
55000227,523750,6.25,6.4,4.2,7,6.75,,N1,,,5.25
55000229,542706,8.25,7.4,8,9,7.5,,N1,,,4.75
55000228,528520,,8.2,,,7.5,6.75,,7,,
55000231,544864,,6.8,5.4,,7.25,7.25,N1,8,8,
55000207,544589,7.75,7.8,7.6,6.5,8.75,,N1,,,7.5
55000230,545845,,6.6,9,,7.5,7.75,N1,7.75,8.5,
55000232,524276,,5.6,3.4,,8.25,7.5,N1,7,8,
55000219,523784,7.75,7.8,9.2,5.75,6.75,,N1,,,6.25
55000218,542446,5.5,7.2,4.4,4.25,7.5,,N1,,,7.25
55000234,543420,,7.8,7.6,,8.5,9,N1,9.25,9.5,
55000233,544422,6.5,8.8,8.6,7,6,,N1,,,8.25
55000236,544590,6,8,6.4,6.5,8,,N1,,,7.75
55000235,523037,6.5,7.6,4.6,8.75,7,,N1,,,8.25
55000238,538670,,7,,5.5,,,,,,5.5
55000240,523761,6.5,8.8,,8.25,,,,,,
55000242,546307,,4,3.8,,8.25,8,N1,6.5,8,
55000241,548361,,5.2,6,,7.25,7,N1,8,8.75,
55000244,546586,5.5,6.8,4,4.25,6.75,,N1,,,4.75
55000243,524277,7.75,8.6,4.6,9.25,7.25,,N1,,,6.25
55000245,544980,7.25,8.2,8.8,6.25,7.75,,N1,,,8.75
55000239,549176,6.25,8.8,9,6,6,,N1,,,9
