Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
56000007,584485,,7.2,8,,8.25,6.5,N1,6.25,8.75,
56000012,584904,6.75,7.8,6.2,7.75,7.5,,N1,,,7
56000010,584932,,6.6,5.8,,7,8.5,N1,6.75,8.25,
56000013,584933,,4.6,3.8,,7.25,6.5,N1,6.5,7.5,
56000003,584453,6.25,7.2,6.4,5,6.75,,N1,,,6.25
56000001,584907,6.5,8.8,7.4,8.25,5.75,,N1,,,8
56000008,584916,6,7.2,5,6.5,4.75,,N1,,,5
56000004,584914,7,7.4,4.2,8.5,6.5,,N1,,,4
56000011,584454,5.25,7.6,5.4,6.75,6.75,,N1,,,6.75
56000014,584455,,6.4,3.8,,7,8,N1,6,8,
56000005,584915,7.25,7.4,5.4,7.75,5.5,,N1,,,7
56000015,584486,,8,5,,7.75,7,N1,8,9.75,
56000006,609130,5.75,7.6,3.8,4.75,4.75,,N1,,,3.75
56000002,584484,6.75,8.4,8.6,8.75,5.5,,N1,,,5
56000009,584942,6.5,8.6,6,8.5,7.75,,N1,,,8.5
56000016,584908,6.5,8,4.2,7.5,6.25,,N1,,,8.25
56000017,584917,6.25,7.8,4.4,6.5,6.75,,N1,,,6
56000021,612629,,,,,6,7.25,,7.5,,
56000024,612631,,6.6,5,,5.75,6.75,N1,4.75,6.75,
56000023,584457,7.25,7.6,6,6.75,6.75,,N1,,,5.75
56000031,584906,6,7.2,6,5.25,8.25,,N1,,,4.25
56000018,584909,5.75,6.6,6.8,7,6,,N1,,,5.5
56000025,584910,7.5,8.8,8.4,8.5,8.5,,N1,,,8.25
56000019,584456,6.5,8.4,7.8,8,8,,N1,,,7.75
56000026,584911,8.25,8.2,,9.25,8,,,,,6.25
56000022,584905,5.75,7.8,8,4.25,7,,N1,,,4.25
56000020,584935,,7.2,5.8,,6.25,6.5,N1,5.75,9,
56000027,584912,7,8.2,8.2,5,8,,N1,,,7.75
56000029,584943,5.5,8,4.2,7.75,6.5,,N1,,,6
56000030,584913,5.5,6.8,5.4,8,6.5,,N1,,,7.75
56000032,584487,7,7.8,7.8,8,8.5,,N1,,,7.75
56000033,584459,7.25,7.2,6.6,8.25,6.75,,N1,,,6
56000028,584458,5,7.8,7.4,8,7.75,,N1,,,6.75
56000034,584946,6,7,3.4,6.75,6,,N1,,,5
56000044,584489,6,6.8,5.2,7,7.75,,N1,,,7
56000041,584461,7.5,8.6,4.8,5.75,7.75,,N1,,,5
56000035,607801,,7.6,5.2,,7,9,N1,7.5,8.75,
56000047,584950,6,8.2,5.2,7,7,,N1,,,6
56000037,584934,,8,3.8,,6.75,8.25,N1,7.5,8.5,
56000046,584462,6.5,7.4,6,5.5,6.5,,N1,,,7
56000045,584944,,7.2,3.8,,6.75,7.5,N1,6.5,8.5,
56000038,612632,,7.8,7.4,,7.25,7.5,N1,6.5,8.25,
56000042,584949,7.25,7.2,6.2,7,5.5,,N1,,,6.75
