Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
57000002,400196,,,,,6.25,8,,7.25,,
57000008,363890,,7,,,5.25,7.75,,5.25,,
57000006,390262,6.25,7.2,8.2,5.25,6.25,,N1,,,8.5
57000001,363888,,,,,6.5,8.75,,9,9.75,
57000007,386780,7.5,7.2,9.2,8,7.5,,N1,,,8.5
57000004,363889,,5,,,6,7,,7.75,,
57000003,386255,,,,,5,9.75,,9.25,,
57000005,390258,6.25,7.2,6.4,5,7.5,,N1,,,7.75
57000009,390747,5.25,7.6,6.8,9,5.75,,N1,,,9
57000010,386256,,7.2,2.2,,7.75,7.75,N1,7.25,9.25,
57000012,386257,,6.8,6,,6.5,7.25,N1,8.5,8.5,
57000011,400197,,5,,,6.5,8,,7.75,,
57000014,401137,,6.8,5.4,,7.25,9,N1,9,8,
57000018,386781,7.25,6.8,6.6,5.5,5.25,,N1,,,6.75
57000017,369082,5.75,7.8,5,5.75,7,,N1,,,7.5
57000015,386258,,6.4,7.4,,5.75,8,N1,7.5,8.25,
57000020,390749,,8.6,8.2,,8,9.5,N1,9.25,9.75,
57000013,390263,7.25,7.2,5.6,5.5,6.25,,N1,,,6.75
57000019,386259,,5.4,3.6,,5,5.25,N1,6,9.5,
57000016,390748,,5.2,,,4.5,6.25,,5,,
57000021,369083,,,,,7.75,10,,9.25,,
57000022,369084,7.5,6.6,6.6,8,7.5,,N1,,,6.25
57000025,386783,7.75,7.6,7,8.25,6.25,,N1,,,8.25
57000023,386248,,6.4,,,5.75,8.25,,6.75,,
57000028,386785,7.75,7.6,7.4,9,7.75,,N1,,,7.25
57000027,390259,7.5,8.4,,8.5,6.5,,,,,6.5
57000024,386782,7.5,7,6.8,6.75,6.25,,N1,,,6.5
57000029,386249,,4.6,,,6.75,5.75,,4.5,,
57000026,386784,6.5,8.2,7.4,7.5,7.25,,N1,,,6.75
57000030,386786,8,8.2,9,8.25,6.75,,N1,,,8.75
57000031,384310,6.75,7.2,6.2,5.5,5.25,,N1,,,4.5
57000032,386250,,8,8,,7.75,8.25,N1,7.75,9.75,
57000033,386787,4.25,5.4,2.4,4,5,,N1,,,4.5
57000034,386251,,7,,,4.75,7,,6,,
57000036,390260,5.25,6,5.4,4.5,5,,N1,,,4
57000035,384311,5.5,7,6.8,5.25,7.25,,N1,,,5.25
57000040,386252,,5.6,7.6,,6.25,6.75,N1,6.75,8.25,
57000038,367286,,8,8.2,7.75,,,N1,,,7.75
57000039,386788,6.5,7.6,5.8,5.75,6.75,,N1,,,5
57000041,367802,,,,,6,6.75,,5.5,8.5,
57000042,390751,,4.8,,,6,7.25,,7.5,,
57000037,390750,,8.6,,7.75,,,,,,7.75
57000043,390261,7.5,8,8.6,8.5,7.75,,N1,,,8.25
57000044,367803,8.25,7.8,,7.25,,,,,,
57000047,386789,,8.4,8.6,,,,N1,,,8.75
