Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
58000002,806110,,3.4,,,5.75,5.25,,5.5,,
58000006,1050991,5.5,8.2,5.8,7.75,9,,N1,,,5.25
58000001,808592,5.25,8,6.4,7.5,7.25,,N1,,,8.25
58000007,1050973,7.5,7.6,5,8,8.5,,N1,,,4.5
58000003,806111,7.25,7.6,5,7.25,9,,N1,,,6.5
58000005,808593,,3.6,4.8,,8,8.5,N1,6,9.25,
58000004,806112,7,7.2,4.6,5.75,9,,N1,,,7.5
58000008,1035853,,6.6,,,8.5,6.75,,6,,
58000009,1050994,8.75,8.8,4.8,8.25,8.25,,N1,,,6.5
58000014,808595,,6.6,3.8,,7.75,7.5,N1,6,7.75,
58000013,1050993,4.75,7.2,4.8,5.75,7,,N1,,,3.75
58000015,1050975,6.5,7,3.4,6.5,7.5,,N1,,,4.5
58000012,811737,,5.8,3,,9,8.75,N1,6,8,
58000016,1035854,,6,6.2,,9,8.5,N1,8,9.25,
58000017,811735,,3.8,,,7.5,6.25,,5.25,,
58000010,808594,,5,4,,7.25,6.5,N1,6,7.25,
58000011,1050974,8.25,8,9.2,9,8.25,,N1,,,7
58000019,808596,6.25,6.4,6.8,5.75,8.5,,N1,,,4
58000018,806113,5.75,6.8,4.4,3.75,8.5,,N1,,,5
58000020,1050992,4.75,5.2,3.4,6,6.5,,N1,,,6
58000027,1050976,7,6.8,5.2,6,8.5,,N1,,,6.5
58000025,1035856,,4,,,7.5,6,,4.25,,
58000021,1035855,,5,,,9,7.75,,6,,
58000024,808597,,5.4,3.4,,8,8,N1,5.75,9,
58000022,806114,5.5,8.2,5.2,8,7.5,,N1,,,7.75
58000029,1039218,,3.6,6,,5.75,7.25,N1,5,6.25,
58000023,811738,,5,4.2,,9,7.75,N1,6.75,8.25,
58000028,811739,,2.8,,,5.5,5,,4,,
58000026,811736,,6,6.4,,9,9,N1,9,9,
58000030,808598,,3.6,2.4,,7.75,7.5,N1,6.75,7.75,
58000031,811740,,4.8,5.8,,7,7.5,N1,6,5.5,
58000033,1039219,,5.6,3.2,,8.25,8.75,N1,6.25,9,
58000032,811741,,6.8,4.4,,7,8.25,N1,8.5,9,
58000034,806115,7.25,6,3,4.75,7.5,,N1,,,4.75
58000035,808599,,4,2.2,,8.25,9,N1,8.25,8.25,
58000037,1039221,,5,,,8,5.25,,3.25,,
58000038,806116,,6.6,4.2,,8.25,7.5,N1,6,9,
58000040,811752,,3.4,3.6,,6.5,5,N1,5.75,6.75,
58000039,808600,,5.4,4.6,,6.5,8,N1,6.75,8.75,
58000036,1039220,,6.2,3.2,,8.75,8.25,N1,5.5,7,
58000041,1050977,8.5,6.6,4.6,7.5,9,,N1,,,7
58000043,1050978,5.75,5.8,3.8,5.25,8.75,,N1,,,4
58000042,806117,,5.4,,,7.25,7.5,,6.5,,
58000044,811746,,3.8,,,5.5,5,,4.5,,
58000045,1049619,,5,,,7.5,7,,6.25,,
58000048,808601,,5,6.4,,7,8,N1,6,8,
