Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
59000005,101575,,7.6,8.2,,9.25,8,N1,7.75,9,
59000003,107384,4.5,8.8,4.4,8.5,9,,N1,,,8.25
59000006,108265,6.25,7.4,8.8,6,8.5,,N1,,,6.25
59000002,101089,4.5,8.4,5.8,8.5,8.25,,N1,,,8.25
59000001,106970,,6.6,6.4,,7.75,6.25,N1,6.75,9,
59000004,107009,,7.8,5.6,,9.5,8.25,N1,8,9.25,
59000009,107476,7.75,8.4,7,8.75,9.25,,N1,,,3.75
59000008,107385,7.5,8.2,7.2,5.75,8.25,,N1,,,8
59000007,106971,,7.4,8.4,,8.75,8.25,N1,7.75,8.5,
59000012,107386,,7.8,8,,9.25,8,N1,9.25,9,
59000011,107803,5.5,7.2,7.2,6.75,9.25,,N1,,,7.5
59000010,107802,6.25,7.8,8.8,8.5,9,,N1,,,6
59000014,108268,7.25,8.8,8.2,8.25,9.5,,N1,,,6.25
59000013,108266,7.5,9.4,9,9,7.5,,N1,,,9.25
59000015,98686,9.25,8.8,8,9.5,8.75,,N1,,,9.25
59000018,108269,8.75,8.2,7.2,8.75,8.75,,N1,,,6.25
59000019,100682,9.25,8.2,8.4,9,9.25,,N1,,,6.5
59000017,107804,8.5,8.2,9.6,9.5,9,,N1,,,6.75
59000016,107387,6.75,7.2,8.6,7,8.75,,N1,,,7.5
59000020,107388,6.5,8,8.6,8.5,9.5,,N1,,,6
59000021,107805,6.5,8.8,9.6,5.75,8.25,,N1,,,8.25
59000024,99089,8.5,8.2,7.4,8.5,8.5,,N1,,,5
59000027,108267,6,7.6,9.2,6.25,7.25,,N1,,,7.25
59000029,106973,,6.2,8.2,,9,7.75,N1,7.25,8.5,
59000025,107389,8.75,8.4,8.2,9.25,8.75,,N1,,,5.5
59000023,106972,,7.4,7.6,,9.5,8.25,N1,8.75,8.75,
59000028,107390,,3.8,8.2,,8,,N1,,,
59000026,107010,,7,8.8,,8.5,6.5,N1,6.25,8.25,
59000022,108270,6.75,8.8,9.6,7,9,,N1,,,7.25
59000030,108271,6.5,8.4,7.8,7,8,,N1,,,7.25
59000031,99484,7,8.2,9.2,9.5,8.75,,N1,,,7
59000032,99485,,,,,8,7.5,,8.75,,
59000033,106974,,6.4,7,,9.25,9.25,N1,9.25,9.25,
59000037,107011,,8.8,8.8,,9.75,9.25,N1,10,9.5,
59000036,99487,,6.4,8.6,,8.75,7.25,N1,,,
59000034,107391,7.75,8.2,9,7,8,,N1,,,8.75
59000035,99486,,7.6,7.6,,,,N1,,,8
59000039,99557,7.5,7.6,9,7.75,9,,N1,,,8.5
59000040,108274,6.25,8.2,9.2,5.75,9.25,,N1,,,8.5
59000038,107838,5.75,8.2,8.2,7.75,9,,N1,,,8
59000041,106965,,8.4,,,9,,,9.5,,
59000042,107839,6.75,8.6,8,7.5,8.25,,N1,,,8.75
59000043,108239,7,7.8,9.2,8.25,7.75,,N1,,,8.5
59000046,107840,6.75,7.4,5.4,6.75,8.5,,N1,,,7
59000045,107392,6.75,6.8,,8.5,9.25,,,,,7.75
59000047,99943,8.75,7.8,8.6,9.75,9,,N1,,,6
59000044,99558,,5.6,5.2,,8.5,6.75,N1,6.25,7.75,
