Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
60000004,370102,6.25,7.8,8,6.25,7.25,,N1,,,6.75
60000003,370499,7.25,7.2,6.4,5.5,8.5,,N1,,,6
60000002,369579,8,7.6,6.8,8.5,7.25,,N1,,,5.5
60000007,370453,8.25,7.8,8.6,8.5,8,,N1,,,7.25
60000009,369580,6.5,6.6,9.4,5,8,,N1,,,4.75
60000006,370496,8,6,6.8,7.5,8,,N1,,,6.25
60000012,370454,8.25,8.4,8.2,8.25,7.25,,N1,,,5.75
60000005,407606,5.5,8.6,6,8.5,8.5,,N1,,,8
60000013,369581,9.25,8.2,7.4,9.75,7,,N1,,,6.5
60000014,370498,6.25,7.2,7.2,7.25,8.25,,N1,,,7
60000011,370500,7,7.8,7.2,8.25,8,,N1,,,7.5
60000016,370501,7.25,6.6,6.2,4.5,8.25,,N1,,,3.5
60000017,369582,8.5,8,5.6,8.75,7,,N1,,,6
60000018,407662,7.5,7,6.4,7.25,8,,N1,,,7.25
60000019,369606,7.25,7.8,6.6,6,8.25,,N1,,,6
60000020,370456,6.25,6.8,7.2,5.75,7,,N1,,,6.75
60000010,370497,5,6,5.4,6.75,7.75,,N1,,,4
60000021,370504,8.75,8,8,5.25,7.75,,N1,,,4.25
60000022,408056,5,7.8,7.6,5.25,8,,N1,,,5.5
60000008,370503,4.5,7.2,4.6,3.5,7,,N1,,,5.5
60000023,369607,6.75,7.2,5,6.25,5.75,,N1,,,3.25
60000001,407209,6.25,7.4,7.8,6.25,6.75,,N1,,,7.5
60000025,370505,6.5,8.6,8.4,6.5,8.25,,N1,,,6.5
60000026,408104,5.75,8.4,6.8,4,7.25,,N1,,,6.5
60000027,408576,,8.4,8.8,,9.25,8,N1,7,7.25,
60000029,369661,,6,4.8,,8.5,8,N1,8,7.75,
60000030,370513,7.25,5.6,6.6,7.25,8.75,,N1,,,4.25
60000031,369609,6.5,6.8,5.6,3.5,7.75,,N1,,,4.25
60000032,370506,5.5,8.4,8,4.5,7,,N1,,,7.5
60000033,370457,6,7.4,4.2,8,7.75,,N1,,,7.5
60000034,409363,7.75,7.8,5.2,6.25,7,,N1,,,6.75
60000035,370507,6.25,8.2,8.2,5.25,8.75,,N1,,,8.75
60000028,369608,5.5,6.6,3.2,6.75,8.75,,N1,,,4.75
60000037,369610,4.75,7.6,7,5,7.5,,N1,,,3
60000036,370514,5.75,6.8,5.6,3,8.5,,N1,,,4.5
60000038,409364,8,7.6,6.4,7.75,7,,N1,,,7
60000024,370502,7,7.2,7.4,6.5,7,,N1,,,7.75
60000040,370515,6,7.2,5.4,7.5,7.75,,N1,,,6.75
60000041,369611,4.5,5.6,5.8,4.25,7.25,,N1,,,3
60000042,409435,6,8.4,6.2,8.25,6.5,,N1,,,6.5
60000044,370110,,5.4,4.2,,8.75,7.5,N1,4.25,8,
60000043,370509,7.25,8.4,6.6,8.5,8.75,,N1,,,6.5
60000045,369612,8.75,8.4,6,9.25,8,,N1,,,7
60000046,409436,,5,2.4,,6.25,6,N1,5.5,7,
60000047,370510,7,8.4,8.4,6,7.25,,N1,,,8
60000039,370508,6.25,6.6,7.2,6.5,7,,N1,,,7
60000048,370103,,6.6,4.2,,7.75,8.25,N1,5.75,7.75,
60000049,369613,9.25,9,6.6,10,8,,N1,,,8
60000051,406335,,7,4.2,,7.5,7.75,N1,8.5,8.25,
60000052,409830,,5.8,5.6,,8.25,7.75,N1,8,8.75,
60000054,370512,6.75,8.4,6,8.5,6.75,,N1,,,8.5
60000053,369614,5,8.2,7.4,5,8.25,,N1,,,6
60000057,369615,7,7.2,8.2,7,8.75,,N1,,,8.25
60000058,370516,6.75,8.2,8.2,4.25,8,,N1,,,7
60000050,370511,5.5,8,5.4,8.25,7.75,,N1,,,7.25
60000060,370517,5,9,5.6,9.25,8.5,,N1,,,9.25
60000061,369616,4.75,7.8,7.2,5.25,7.5,,N1,,,7.75
60000056,364028,,6,2,,6.5,7.5,N1,4.5,9,
60000055,409892,8.25,7.6,4.4,5.25,8.25,,N1,,,9
60000063,410262,7.5,7.6,8.2,7.5,7.25,,N1,,,6.5
60000065,369617,4.25,6.2,4.6,6.5,8.5,,N1,,,2.25
60000066,370518,5.5,6.4,6.8,4.5,6.5,,N1,,,6.75
60000067,370523,6.5,6.2,7.8,4.75,5.75,,N1,,,6.75
60000068,364029,,6.8,4,,7.75,7,N1,5.75,8,
60000070,370458,7.75,7.6,7.6,7.25,7.75,,N1,,,8.25
60000069,369618,7.25,8.8,8.2,8,7.5,,N1,,,8.5
60000071,370519,7.75,7,4.4,9,6,,N1,,,3.25
60000059,370104,,7.4,7.6,,9,6.25,N1,6.25,7.75,
60000072,370524,6.25,8,4.8,8.5,7.5,,N1,,,7
