Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
61000005,430386,8,8.2,6.2,8.5,5.75,,N1,,,5.75
61000006,430470,6.25,7,7.8,8.25,5.25,,N1,,,8
61000001,430883,,8,4,,6.75,8,N1,5.5,8,
61000002,464627,4,7.6,9.2,8,7,,N1,,,4.5
61000009,430884,,6.6,8,,9,9.25,N1,9.5,9.75,
61000007,426905,,7.4,8.8,,7.75,6.5,N1,6.25,8.75,
61000008,425681,6.25,7.4,9.8,7,6.5,,N1,,,7.5
61000003,430385,8.5,7.4,5.4,7.25,5.25,,N1,,,3.5
61000004,425680,7.75,9.2,8.8,9.25,6.75,,N1,,,9.25
61000011,430885,,6,8.4,,7.5,7.75,N1,6,8.75,
61000012,425682,,7.6,8.6,,9,7.25,N1,7.5,8.25,
61000010,426909,,6.4,5.4,,8.5,9,N1,8.75,8.75,
61000013,430387,8.25,8.6,5.2,9,5.75,,N1,,,5.25
61000015,426931,5.75,5,4.4,5.5,5.25,,N1,,,4.5
61000017,430886,5.25,6.8,9,3.75,6.5,,N1,,,5
61000016,430388,6.5,8,9,5.75,6.5,,N1,,,7.75
61000014,430471,8.5,8.2,4.2,9,6.25,,N1,,,5
61000018,465045,,4.4,5.4,,7.25,9.25,N1,8.5,7.5,
61000019,430887,,4,2.6,,6.25,7,N1,4.5,6.5,
61000020,430389,9.75,8.6,8.8,9.75,6.75,,N6,,,6.25
61000021,430472,7.25,8.6,9,4.75,7.25,,N1,,,7.75
61000022,430888,5.5,8.8,4.2,9.25,6,,N1,,,9
61000023,430390,7.5,7.8,4.8,7.75,5,,N1,,,8.5
61000024,425683,7.5,7.6,9.4,5.75,7.25,,N1,,,8
61000025,430889,,8.2,8,,7.75,8.75,N1,8.5,9,
61000029,426906,,6.2,8.6,,7.5,6.75,N1,7.75,7.75,
61000027,430467,8.25,7.6,4.8,8.25,6.25,,N1,,,3.5
61000028,430465,7.25,8.2,6,8.25,8.5,,N1,,,8.25
61000026,430466,6.25,7.2,8.8,6,7.25,,N1,,,7
61000030,430473,6.25,6.8,9.6,4.5,5.5,,N1,,,7.75
61000032,430468,5.75,8.4,4,8.5,6.5,,N1,,,8.5
61000031,430890,7.75,7.4,7.4,4.25,4.5,,N1,,,7.25
61000033,465141,,7.8,8.6,,7.25,8.75,N1,7.75,8.5,
61000034,426903,,7.6,8.8,,8.75,8.5,N1,7.75,8.5,
61000035,425684,,2,4.2,,6.25,6.25,N1,6.25,7.75,
61000036,465984,9,8.8,4.8,9.25,5.5,,N1,,,4.5
61000038,430891,,6.4,8.6,,8,8.25,N1,9.75,9.75,
61000040,426932,7,6.8,5.6,5,7,,N1,,,6.75
61000037,430469,7,5.6,4.2,4.75,5,,N1,,,5
61000039,425685,,5.6,3.8,,6.75,7,N1,6.25,8.25,
61000042,430474,8.25,8,7,7,6.5,,N1,,,5.75
61000041,462463,,3.2,4.2,,6,5.75,N1,4.75,8,
61000043,425686,6,8.6,4.6,8.5,7,,N1,,,8.75
61000044,430815,6.25,8.2,8.4,6,8,,N1,,,7.25
61000045,430816,8.75,9.2,9,9.75,6.25,,N1,,,9.5
61000046,430817,8.75,8.2,7.2,9,6.75,,N1,,,5.5
61000047,430811,7.25,7.4,5.6,7.5,7.25,,N1,,,6
61000048,426907,,3.4,4.2,,4.5,5.75,N1,4.5,8,
61000049,430892,,7.6,8.6,,8.5,8.75,N1,8,8.5,
61000050,463806,,6.6,5,,6.25,9,N1,9.5,9.75,
61000052,426908,,5.8,4.8,,6.25,7,N1,6.25,8,
61000051,426904,,7.6,2.8,,6.25,6.25,N1,6.5,8.5,
61000053,426089,,5.2,4.6,,8.5,7.75,N1,7.25,9.25,
61000054,430893,,5.4,4.6,,7.5,8,N1,6,8.75,
61000056,463279,4.75,6.8,8.8,3.5,7.5,,N1,,,4.5
61000055,430818,8.25,7.6,6.2,7.5,5.75,,N1,,,3.5
61000057,430812,6.5,7.8,7.6,8,8,,N1,,,3
61000058,430822,8.5,7.6,7.6,6.25,9,,N1,,,7
61000059,462464,9,8.2,4.4,8.75,7.5,,N1,,,5
61000060,430813,6.5,8.4,9.4,8.5,6.5,,N1,,,5
61000061,430819,8.25,7.6,4.6,7.5,7.5,,N1,,,4.25
61000064,464248,4.5,8.2,4,2.5,5,,N1,,,9
61000063,426910,,8,7.4,,9.25,7,N1,6.5,8.5,
61000062,430823,7.5,7.4,5.2,6,8.5,,N1,,,6.25
61000068,430820,8,8.2,4.2,6.75,7,,N1,,,8.25
61000066,426090,,6.6,6.4,,4.5,6,N1,5.25,7.25,
61000065,430824,6.25,7.6,4.8,6.25,7.75,,N1,,,6.75
61000067,426091,,6.6,5.2,,9.25,9,N1,9.5,10,
61000069,426092,6.75,7.8,3.6,5,5.5,,N1,,,7
61000070,430894,,4.6,3.4,,4.75,8,N1,5.25,8,
61000071,426093,,7.6,6.4,,6.75,7,N1,6.25,7.5,
61000073,430895,,4.8,2.2,,6.5,5.25,N1,3.75,5.25,
61000072,426937,,4.2,3.6,,6.25,6.75,N1,5,6.75,
61000074,430814,6.25,6,4.6,4,8.25,,N1,,,4
61000075,430821,8.5,6.4,4.4,5,7,,N1,,,5.25
61000076,430825,6.75,5.4,3.6,5,7,,N1,,,4.5
61000077,426911,,8.4,4.2,,9,7.25,N1,9.75,7.5,
61000078,430896,,3.2,3.8,,5,6.5,N1,5.25,6.75,
61000079,426935,,6.4,5.6,,8.5,8,N1,8.25,9.25,
61000081,426933,7.5,5.6,4.8,6,8.5,,N1,,,6.75
61000080,426938,,6.2,5,,5.75,8.5,N1,6.75,9.5,
61000083,430826,8,8.2,6.4,7.5,5.5,,N1,,,2.75
61000082,466442,,7.6,7.2,,8.5,7.5,N1,7.5,6.5,
61000084,426912,,8.4,8,,9.25,9.5,N1,9,9.75,
61000085,426939,,3.4,3,,6,6,N1,5,7.5,
61000086,430897,,7.4,5.8,,7.5,8.75,N1,7.5,9.25,
61000088,462913,,4,2.8,,5.75,6.75,N1,7.75,7.5,
61000087,426094,,5.6,7.6,,7,6.5,N1,7,8,
61000089,466816,7,6.6,6,6.5,6.75,,N1,,,5
61000091,430898,5.75,8.4,7.6,4.75,5.75,,N1,,,7.75
61000090,431257,5.25,8.2,8.4,7.25,4.25,,N1,,,5.75
61000094,430899,,4.2,4.2,,5.25,5,N1,6.25,6.75,
61000092,426913,,6.2,3,,6,8,N1,4.75,9,
61000093,430908,2.75,5.8,6.6,2.75,5.5,,N1,,,2.5
61000097,430911,7.75,8.2,4.6,7.75,7.5,,N1,,,5
61000095,426095,6.25,7.8,7.8,5.75,6,,N1,,,7.5
61000098,430912,8.5,9.2,5.8,10,6.5,,N1,,,4.75
61000096,463805,,3,4.2,,6.5,6.75,N1,5.75,6.75,
61000100,430913,7.25,7,4.4,4.25,5,,N1,,,7.5
61000101,426934,,3.6,3.6,,5.75,5.25,N1,6,7.25,
61000099,430900,5.25,5.8,4.4,4.5,6.25,,N1,,,4.75
61000104,430909,6,8.4,3.8,8.75,6.25,,N1,,,7.75
61000102,430901,,3.8,3.8,,5.75,5.75,N1,4.25,8,
61000103,426096,,7.4,6,,5,7.75,N1,6,8.5,
61000108,426979,6.75,7.2,4.2,7.25,6,,N1,,,2.75
61000105,426936,,4.4,2.6,,5.5,4,N1,5.5,7,
61000106,431258,5.5,8.2,7.6,4.5,7,,N1,,,8
61000107,430902,,4.6,3.8,,4,6.25,N1,4.25,6,
61000111,430903,5.75,8.2,8.6,5.75,6.5,,N1,,,8.5
61000110,430914,8.75,7.8,6.8,7.5,6.75,,N1,,,6.25
61000109,426947,,6.6,3.2,,7.5,7.5,N1,5.75,8.5,
61000113,426946,,6.8,5.2,,7.5,6.25,N1,7.75,7.5,
61000112,430910,8,8.8,7.6,9.5,7,,N1,,,6.25
61000114,464249,,7,7,,8.75,6.75,N1,4.75,6.75,
61000115,430904,8.75,8.2,5.2,9,6,,N1,,,5
61000117,430915,6.5,6.6,3.8,7.25,6.75,,N1,,,6
61000116,426940,,2.8,4.4,,6,8,N1,7.75,8.25,
61000118,430916,8.25,8.6,,10,7.5,,,,,9.5
61000119,426097,6.75,7.6,3.8,6.25,8.75,,N1,,,6.25
61000120,430905,8.75,8.8,6.4,9.75,7,,N1,,,5.75
61000121,430917,7.75,8.8,8.2,7.75,7.5,,N1,,,7.75
61000122,426941,,8.6,7.6,,7.75,6.75,N1,6.5,8.5,
61000123,430906,,8.2,9,,8,7.75,N1,6.75,9.5,
61000124,426948,,4.4,6,,7.75,8,N1,8.25,8.25,
61000125,464628,,4.2,3.8,,6.75,6.5,N1,5,7,
61000126,426949,,3.8,4.6,,7,7.5,N1,4.5,9,
61000127,426098,,8.2,8,,7,7.75,N1,7,8.5,
61000131,426943,,5.2,3.6,,6,6,N1,4.5,8,
61000130,430918,7,8.6,8.6,7.75,7.75,,N1,,,8.5
61000128,430907,,3.4,4.6,,6.5,7.75,N1,8,6.25,
61000129,426942,,5.6,4.2,,7.17,7.5,N1,5.5,9,
61000133,465471,2.75,8,4,7.75,5.75,,N1,,,7.75
61000132,430919,6.5,8.2,5.4,8.25,7,,N1,,,8.5
61000136,426950,,4.8,5,,5,5.5,N1,3.75,7.5,
61000134,431259,7,7.8,9,8.75,7.5,,N1,,,8
61000135,431260,8.25,6.4,7,6.5,7.25,,N1,,,5
61000137,431265,8.25,7.8,4.2,8.75,7,,N1,,,4
61000138,431266,7.75,7.8,5.2,9,6.25,,N1,,,5.25
61000140,431273,5.75,7.8,6.2,4.75,6,,N1,,,6.75
61000139,431272,8.25,7.6,6.4,8.75,7.5,,N1,,,7
61000141,465518,8.25,7.2,5,8.75,5.5,,N1,,,7.25
61000142,426099,,7.6,8.8,,8.75,8.5,N1,7.5,8.5,
61000143,431323,,6,4.6,,7.25,7.75,N1,4.75,8.25,
61000146,426944,,5.4,3.4,,5.25,4.25,N1,5,7.25,
61000147,431325,4.25,8.2,5.2,8.5,5,,N1,,,9
61000144,431324,,7,4.6,,5.25,7.5,N1,8.25,8.5,
61000145,431267,6.25,8.6,6.8,9,6,,N1,,,9
61000148,431268,7,8.2,6.6,9,7.5,,N1,,,8.5
61000149,431261,4.75,5.6,5,3.5,7,,N1,,,3.5
61000150,431262,7.75,8.4,8.6,6,6.25,,N1,,,8.5
61000151,425598,5,7.8,5.2,7.5,6.5,,N1,,,7.25
61000153,462854,6,7.6,7.6,5.25,5.25,,N1,,,7.25
61000152,431269,9,8.4,4.2,7.75,5.75,,N1,,,4.75
61000156,426100,7.25,8.2,9.6,3.75,5.25,,N1,,,8.5
61000157,431326,,4.4,4.8,,6,5.75,N1,4.25,8.25,
61000154,426980,,6.8,9.2,,6.75,8,N1,7.75,9.25,
61000155,431270,6.75,8.4,8.4,5.5,6.25,,N1,,,8
61000158,466817,,6.2,5.4,,7.5,7.5,N1,6.5,7.5,
61000159,466818,6.5,8.2,7.6,4.25,7.75,,N1,,,8.25
61000160,431263,8.25,7.8,9.4,8,6.5,,N1,,,9
61000161,462855,5.75,7.4,9.2,4.25,7.75,,N1,,,8.25
61000162,431271,7.75,8,7,8.75,6.75,,N1,,,7.25
61000163,463305,9,8.4,7.4,9.25,6.5,,N1,,,7.25
61000165,426945,,7,5.8,,7.5,8,N1,7.75,9.25,
61000168,465574,,8.4,7.6,,8.75,7.75,N1,5.75,8.75,
61000166,426101,6,6.4,7.8,6,8.5,,N1,,,4.75
61000167,431264,4.5,8.2,6.2,9,7.5,,N1,,,9
61000164,465573,,6.2,4,,6.25,8.5,N1,7.75,8.75,
61000169,426102,,5.2,2.2,,6.5,6.25,N1,6.75,7.5,
61000170,431327,5.5,8.6,7.8,4.25,6.25,,N1,,,8.5
61000171,425601,5.5,8,6,5.5,6.25,,N1,,,8.25
61000172,425599,5.5,8,8.2,7.75,7.25,,N1,,,4.5
61000173,425600,6.5,8.2,9.8,6.25,7.5,,N1,,,7.75
61000174,426103,,4,4,,5.5,7,N1,5.75,6.5,
61000175,431328,,4.4,8,,7.75,8,N1,7.75,8.5,
61000179,425603,6.75,8.4,7.8,7,6.25,,N1,,,8.25
61000177,425602,9,8.8,3.4,8.75,5,,N1,,,3
61000181,425604,6.75,8.2,5.8,8,7.75,,N1,,,7.25
61000178,431329,,7.4,7.2,,8.5,8,N1,9,7.75,
61000176,426990,,8,8.2,,8,6.25,N1,6.75,8.75,
61000180,426981,,5.6,4.4,,5.5,6.25,N1,5.5,8,
