Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
62000008,434332,,4.6,3.2,,6.5,7,N1,6.25,8,
62000001,433935,3.75,6.4,7.6,6.5,6.75,,N1,,,4
62000009,429183,,5.6,3.4,,7,7.25,N1,7.25,8,
62000003,433491,,7.2,4.6,,8.25,7.75,N1,5.75,8,
62000007,433493,,8,7.2,,9.25,7.5,N1,6.5,9.5,
62000002,433480,,2,,,5.5,4.25,,4.75,,
62000006,433482,,6.2,5,,8.5,9.5,N1,9.75,9.25,
62000005,433492,,7,4.4,,6.25,8.5,N1,8.25,7.5,
62000004,433481,,3.4,3.8,,5,6.25,N1,7,6.5,
62000010,434396,,5.4,,,6,,,,,
62000011,433483,,5.6,3,,7.75,6.5,N1,7,9,
62000015,434833,3.75,8,4.4,7.75,7.5,,N1,,,7.25
62000014,433484,,3.8,5.6,,6.25,8.5,N1,7.75,8.25,
62000012,433936,7,7.4,7,6.25,7.75,,N1,,,7.5
62000013,434397,,3.8,5.6,,7,5,N1,6,5.75,
62000017,434333,5.25,8,7,7.5,6,,N1,,,7
62000016,433937,5.5,7.8,9.4,4.5,5.25,,N1,,,7.5
62000018,434398,,5.6,4.2,,6.5,9,N1,6.5,7.75,
62000019,433485,,5.6,4.8,,6,8,N1,6.75,7,
62000020,433938,4.5,6.6,4.6,7.5,6.25,,N1,,,7.5
62000021,430506,,4,2.6,,5.5,6,N1,4,7.5,
62000022,433486,,4,4,,8,7,N1,6.5,8,
62000025,433494,,5,6.4,,6.75,8.5,N1,7.75,6.75,
62000026,433487,,4.8,6.8,,8.75,8,N1,5.75,9,
62000028,433489,,4.8,3,,8.25,8,N1,5.25,7.75,
62000027,430557,,3.8,6.6,,7,7.75,N1,8,7.75,
62000023,434334,3.5,6.6,4.6,5.75,6.75,,N1,,,4.25
62000029,433940,5,7.2,3,7.25,7.25,,N1,,,7.5
62000024,433939,6.25,8.4,4,6,6.5,,N1,,,6.5
62000030,434335,5.75,8.4,5.2,9.5,7.25,,N1,,,8.5
62000031,431029,4.25,6.4,4.8,6.5,6.75,,N1,,,6.25
62000032,433495,,5.2,3.8,,6.75,7.75,N1,5.5,8.5,
62000033,433488,,5.6,6.4,,6.25,8.5,N1,6,7.5,
62000034,434399,,4.2,3.8,,6.75,8.25,N1,6.25,8.75,
62000037,434836,6,7.2,7.6,8,8,,N1,,,2.5
62000035,433490,,5.2,2.4,,6.75,5.75,N1,5.75,7.75,
62000040,433497,,4.8,4.2,,6.75,7.75,N1,7.25,8,
62000039,431879,7.75,8.4,8.8,7.25,9.25,,N1,,,5.75
62000041,429226,7,8.2,4.8,8.25,8,,N1,,,7.5
62000036,433496,,4.4,3,,7.25,9.25,N1,9,7.75,
62000038,434336,,4,4.8,,3.75,8,N1,6.25,7.5,
62000042,433500,,7.6,7.6,,6.75,7.5,N1,5,8.5,
62000044,430118,,6.4,,,7.5,7.75,,6,,
62000043,433506,,6.6,5,,7,8.25,N1,7.25,9.25,
62000046,434400,,4,,,8,6.5,,5.5,,
62000045,433501,,6.2,4.6,,7,8.25,N1,5.5,8.25,
62000049,434837,5.5,8,2.6,7.25,6,,N1,,,6.75
62000052,430933,4,8,4.4,8.75,8,,N1,,,7.5
62000047,430119,,6.2,,,8.25,7.25,,7,,
62000048,430120,,5,,,5.5,6.75,,7,,
62000050,433498,,3.2,,,6.5,7.5,,4.75,,
62000051,430932,,4.8,,,6.5,6,,5.5,,
62000053,434834,7.5,9.2,6.6,9.5,8,,N1,,,9.5
62000054,433499,,4.2,4.4,,8,9,N1,7,8.25,
62000056,433507,,6.4,3.4,,5.75,9.25,N1,8,8.5,
62000055,433502,,3.6,4.4,,7.25,9,N1,7.5,8,
62000057,431461,,6.4,,,6,6.75,,6.25,,
62000058,433503,,5.6,,,7,7.25,,8,,
62000059,431462,,,,,3.75,5.75,,4.5,,
62000061,433508,,3.8,5,,5.75,7.5,N1,6,8,
62000062,434401,,6,5.8,,9.25,9.25,N1,8.25,9.25,
62000060,433504,,5,4.2,,8.25,9.25,N1,8.25,8.5,
62000064,433509,,4.2,1.4,,5.75,7,N1,4.25,6.25,
62000063,433505,,,,,3.75,5.75,,4.75,,
62000065,425306,,,,,7.25,9,,9,,
62000068,425307,,,,,5.75,8.25,,8,,
62000067,433515,,5.6,,,6,6.75,,6,,
62000069,433516,,4.6,,,5.5,7.25,,6.25,,
62000070,425308,,,,,5,5,,2.75,,
62000071,434402,6,6.8,4.4,8.25,4.25,,N1,,,5.5
62000074,429681,,4.6,,,5,,,6.5,,
62000072,433517,,2.6,,,5.5,4,,4,,
62000075,433510,,4,,,6,6.5,,3.75,,
62000076,434337,,3.8,,,5.25,3.5,,4,,
62000073,425309,,3.6,,,5,4.5,,4.5,,
62000077,433511,,7,,,6.75,8.25,,6.75,,
62000078,433865,,7.6,7.8,,8.5,6.75,N1,6.5,8.25,
62000079,434403,,5.4,,,5.5,5.75,,6,,
62000080,433941,4.25,7.6,4.4,6.25,7.5,,N1,,,8
62000081,433518,,,,,5.75,8,,7.25,,
62000082,430063,,6.8,,,6.5,,,8,,
62000083,434404,,7.2,,,6.75,,,7.25,,
62000085,434338,,3.4,,,5.75,5.25,,4.75,,
62000084,433519,,4.4,,,6.5,6,,6,,
62000086,430561,,3.8,,,5,4.75,,4.25,,
62000088,430562,,5.4,,,7.75,7,,6.5,,
62000087,433512,,3.6,2.6,,5,5.75,N1,3.25,6.5,
62000089,433513,,,,,4,4.75,,5.25,,
62000090,430563,,3.8,,,5,6,,4,,
62000091,433514,,5.6,,,5.5,6.5,,5.75,,
62000092,434835,5,8.2,4.8,8.25,7,,N1,,,6
62000093,431033,,5,,,7,5.25,,4.25,,
62000094,434339,5.25,8,2.8,6.25,6.75,,N1,,,5.25
62000096,434838,6.75,8.2,8.8,5.5,7.25,,N1,,,7.75
62000097,433943,6.5,8.4,9,5.25,5.25,,N1,,,8.25
62000095,433942,4.25,7.6,4.6,7.5,7.25,,N1,,,3.25
62000099,434405,,4,8.6,,5.75,7.5,N1,7.25,8.75,
62000098,433866,,3.8,,,5,6.25,,4.75,,
62000102,433867,,4.4,3.4,,5.75,7.75,N1,7.5,9,
62000101,434843,4.25,7.4,6,4.5,8,,N1,,,3.5
62000100,431401,,3.4,3,,6.75,7.25,N1,5.75,7.25,
62000103,433874,,,,,5,6.5,,6,,
62000104,433944,,8.2,7.2,,,,N1,,,9
62000105,431882,,8.4,6.8,,8.5,9.5,N1,9.25,9.75,
62000107,434340,5,8.2,7.2,7.5,7,,N1,,,8.5
62000106,433868,,6,,,6,4.5,,2.75,,
62000108,425721,6.25,7.4,5.8,6,6.75,,N1,,,8
62000109,434866,4.75,5,2.8,4.25,6.5,,N1,,,4.5
62000111,425722,,3.4,,,7.5,,,4.75,,
62000110,433878,,4.6,3,,8.25,9.75,N1,8.75,7.75,
62000113,433945,5.5,6.6,3.6,8,4,,N1,,,6.25
62000112,434406,,,,,6,6.75,,5,,
62000114,434839,4.25,7.4,3.8,8,7,,N1,,,3.5
62000115,434840,5.25,8,4.4,7.75,6,,N1,,,7.25
62000116,433946,3,8,5.8,8.75,6.5,,N1,,,7.25
62000117,433869,,6.4,7,,6.5,8.5,N1,7,8.75,
62000118,433947,3.5,6,3.6,5.75,5.75,,N1,,,7.5
62000119,433948,,5.6,5,,,,N1,,,2.75
62000120,433870,,4.4,3.2,,7,9.75,N1,8.75,7.5,
62000123,433875,,,,,5,6.25,,7.75,,
62000122,434407,5,8.2,9.2,5,8,,N1,,,5.25
62000121,433949,6.25,5.4,5,5.25,6.25,,N1,,,4.75
62000124,430058,,3.8,,,5,1.5,,2,,
62000125,434841,7.25,6.2,5.2,5.25,3.5,,N1,,,4
62000126,433876,,6,8.4,,8,6.75,N1,7,9.25,
62000127,434408,,,,,4.25,6,,5.25,,
62000128,433871,,,,,7,7.5,,8.75,,
62000130,433872,,4.2,4.8,,6,7,N1,5.25,6,
62000129,430113,,,,,7.5,6.5,,5.75,,
62000134,433950,,6.6,3.6,,,,N1,5.5,,
62000131,433877,,,,,5.5,5.75,,5,,
62000132,434341,,7.8,3.4,,6,8,N1,6.75,7.5,
62000133,433873,,4.8,3.2,,7.5,9,N1,8.75,7.75,
62000135,430930,,3.2,3,,5.75,6.5,N1,3.25,4.5,
62000136,434342,5.25,7.6,5.6,7,6.25,,N1,,,6.5
62000137,433879,,2.4,2.2,,6.25,6,N1,5.75,6.75,
62000138,433951,5.25,7.8,4,6.5,7.5,,N1,,,6.75
62000139,433883,,,,,5.25,6.5,,6,,
62000140,434409,,3.6,,,5,4,,4.5,,
62000141,433884,,4.2,2.6,,5.75,6.25,N1,4.75,7.5,
62000142,431395,,4.4,,,6.5,4,,5.5,,
62000143,433880,,4.8,3.4,,8.75,9,N1,9.5,8,
