Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
63000001,81312,,3,,,4.75,5.25,,2.5,,
63000002,120890,,8,,8.25,,,,,,7.75
63000007,120897,6.75,7.4,7.6,8.25,7,,N1,,,7.5
63000003,80368,6,8.4,6.2,6.75,7.75,,N1,,,7.5
63000005,81316,,4.4,4.8,,4.25,7.5,N1,8.25,8,
63000004,79564,5.5,8.8,7.8,6.25,6,,N1,,,7.25
63000008,81313,,5.6,7.6,,8,8,N1,7.25,8.75,
63000009,80873,7.75,8.2,8.4,7.75,8.5,,N1,,,7
63000006,80369,,4.8,,,6.5,8,,8.25,,
63000010,79565,7.5,8.6,6.4,8.25,7.5,,N1,,,8.25
63000015,80370,6.75,6.8,4.2,7.25,7.5,,N1,,,7.5
63000016,81317,,5.2,3.4,,6,6.5,N1,6.25,6.5,
63000017,79566,7.25,8.6,9.8,5.5,6.5,,N1,,,7.25
63000012,80874,,4,2.8,,5.25,7.25,N1,8.5,8,
63000014,81314,,6,6,,6.25,9.5,N1,7.5,5.75,
63000019,80371,,7.8,8.4,,7.75,7.25,N1,7,8.75,
63000018,119056,6.25,7.4,4.4,7.25,5.75,,N1,,,7.75
63000011,81310,,6,6.2,,9,5.75,N1,5,7.5,
63000020,80875,,5.6,2.6,,7.75,8,N1,7.75,8.5,
63000021,79567,7.75,8,,8,,,,,,
63000022,81291,5.75,8.4,7.4,8.5,6,,N1,,,8.5
63000029,79569,5.5,7.6,8,4.5,9,,N1,,,5.25
63000023,119460,8.25,8.6,5.4,7,7.25,,N1,,,8.25
63000024,80372,,4.4,3.4,,6.75,6.5,N1,6.25,6.5,
63000028,81315,,7,6,,8.75,9,N1,9,9.75,
63000027,80876,5.75,8,7,9,5.75,,N1,,,8
63000026,75153,,6.6,5,,7.75,9,N1,8.75,9,
63000025,79568,,3.4,,,4,4,,5.25,,
63000030,80877,6,8.4,8.8,6.5,7.5,,N1,,,7.75
63000031,119525,6.75,7,5.4,7,6.75,,N1,,,4
63000032,80373,5.75,8,8.6,4,8.75,,N1,,,5.75
63000034,81292,5.25,4.8,3.4,5.75,5.75,,N1,,,3.75
63000036,80374,4.5,9.4,3.4,8.5,6.5,,N1,,,8.25
63000033,79570,7.75,7.4,8.4,6.75,7,,N1,,,9
63000037,79571,,7.2,6.2,,8.5,8.25,N1,8.25,7.25,
63000035,80878,,6.8,2.6,,6.5,8,N1,8.25,6.5,
63000038,80879,,4.6,2.8,,6,5.5,N1,5.5,7.25,
63000041,79572,,7.6,,,5.75,,,9.5,,
63000040,80375,,6.6,8.2,,7.75,9,N1,9.25,8.5,
63000039,81290,4.5,5.6,3.6,5.25,6.25,,N1,,,3.75
63000042,119936,8.75,9,6.2,9,6.75,,N1,,,5.5
63000043,81293,5.75,8,5.6,6.5,5.75,,N1,,,7.5
63000044,80376,,5,5.8,,7.25,8.75,N1,8.25,8.25,
63000045,79573,,7.8,7.8,,7.75,7.75,N1,7.75,7.25,
63000048,80377,,,,,5.5,6.25,,6.75,,
63000047,80880,6.75,7.4,4,6.5,8,,N1,,,5.25
63000046,81311,,7,6,,5,6.5,N1,7.5,7.75,
63000049,78651,7.25,8.4,5,9,5.2,,N1,,,8
63000051,119998,,4.4,4.4,,5.5,5.75,N1,5.25,7.5,
63000052,78285,,4,2.6,,5.5,6.5,N1,6,6.25,
63000050,79574,,4.4,,,6,6.75,,5.5,,
63000053,80378,7.25,7.2,5.4,7.5,7.25,,N1,,,8.25
63000054,79575,,7.4,4.4,,8,8.25,N1,7.5,9.5,
63000055,78286,,6.2,4.4,,6.5,6.75,N1,6,6.75,
63000056,80379,,7.4,9.4,,8.25,7.5,N1,6,7.5,
63000057,78287,,4,,,5.75,7,,5,,
63000058,78616,,8,8.2,,9,8,N1,8.75,8.25,
63000059,78642,6.5,6.8,8.4,5.75,7.25,,N1,,,5.75
63000060,78643,7,8,6.2,8,4.5,,N1,,,7
63000061,78617,,3.8,3.8,,7.25,7.5,N1,7,7.5,
63000063,78618,,5.4,,,6.25,4.25,,5,,
63000062,78644,4.75,7.6,4.8,7.75,7,,N1,,,8.75
63000064,79576,,4.2,7,,7.75,6.25,N1,7,7.75,
63000065,81294,,7.4,,7,,,,,,8.75
63000066,81295,5.5,7.2,7.8,6,8.25,,N1,,,5.75
63000067,78645,5.25,7.6,6.2,7.75,7,,N1,,,8.25
63000068,78619,,,,,6.25,8,,7.75,,
63000069,76068,7.25,7.6,6.8,8.25,7.5,,N1,,,7.5
63000070,78646,6.5,8,4,6.5,7.25,,N1,,,7
63000071,80380,4,7.4,4.2,5.75,3.5,,N1,,,7.25
63000072,78647,4.75,5,5.8,4,5.5,,N1,,,7.25
63000073,79577,,4.6,1.8,,5.25,6.75,N1,5,7.25,
63000074,80881,4.75,8.4,9.2,6.5,6.75,,N1,,,7.75
63000076,117714,3.75,7,2.2,5.25,5.25,,N1,,,6.25
63000075,78621,,5.4,8.2,,7,6.25,N1,6.75,8,
63000077,117715,6.5,6,4.2,5.25,5.75,,N1,,,6.25
63000078,78648,5.25,5.8,6.6,4,6.5,,N1,,,6.25
63000079,80381,,6.2,5.6,,8.25,9,N1,9.25,9.25,
63000080,78652,7.75,7.6,8.8,7.5,9.5,,N1,,,7.5
63000081,79578,6.75,8.4,8.8,5.75,6.75,,N1,,,7.5
63000082,78641,4.75,8.6,4.8,8.25,5.5,,N1,,,8.25
63000083,78282,,4,,,7.5,7.5,,6.75,,
63000087,78283,,6.8,7.2,,8.25,7.25,N1,7.25,8.25,
63000084,78649,7.75,7.2,8.2,7.5,7.5,,N1,,,4.75
63000089,78623,,6.4,2.6,,7.25,8.5,N1,6.5,8.5,
63000085,78622,,6.6,2.8,,7,9.25,N1,8,7,
63000088,117781,,6.8,9,,9,7.25,N1,6.75,9.5,
63000086,117780,,6.4,4.2,,6.5,6.25,N1,6,6.75,
63000091,80382,,7.4,3.6,,5.75,8,N1,6.25,7.75,
63000090,78653,4,4.4,5.6,4.25,6.75,,N1,,,2.5
63000092,78284,,8.2,8.8,,7.75,7.75,N1,7.75,8.75,
63000093,79579,5,7,4.8,6,6.5,,N1,,,6.75
63000094,78620,,7,4.8,,7.25,8.5,N1,7,7.75,
63000097,75169,,,5,,6.75,8.5,N1,8.75,,
63000098,79580,,7.8,9,,8,8,N1,7,9.5,
63000095,78635,,7,2.2,,7,6.5,N1,8,7.5,
63000099,118585,,,2.6,,6.75,,N1,,,
