Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
64000002,1040601,,7.4,6.4,,6.5,8.5,N1,7.75,9.25,
64000005,1031255,,6.4,4.2,,7,6.5,N1,6.25,8.25,
64000003,1047413,,4.6,5,,7.75,5.75,N1,4.75,6,
64000008,1045701,,4,2.8,,5,6,N1,3.25,5.25,
64000009,1040603,,2.8,,,3.75,5,,4.5,,
64000006,1040602,,5.6,6.2,,7.5,5.25,N1,5.5,7,
64000001,1047493,6.25,6.2,6.2,5,7.75,,N1,,,6.25
64000007,1047409,,3.8,,,6.25,7.5,,6.5,,
64000004,1043966,5.25,7.8,5.4,6.75,5.75,,N1,,,6.75
64000010,1032290,,3.4,,,2.75,4.75,,5.25,,
64000011,1047410,,6.8,7.6,,8,9,N1,8.25,9.25,
64000012,1045702,,6.2,4.6,,7.25,6.5,N1,6.75,7.75,
64000013,1040604,7.75,7.2,8.4,8.5,8.5,,N1,,,7.75
64000015,1033162,,,,,5.5,5.75,,6.5,,
64000017,1033163,,4.8,,,5.5,7,,6.5,,
64000019,1040605,,4,,,5,7.75,,7.25,,
64000018,1043967,,,,,7.75,7.5,,6.75,,
64000014,1045703,,8.6,8.6,,,,N1,,,8
64000016,1045704,,6.2,4.6,,7.5,7,N1,6,7.25,
64000020,1047491,9,8.2,5.6,7.75,7,,N1,,,4.5
64000022,1043968,,6.8,6.8,,6.75,6.75,N1,7.5,8.75,
64000028,1040606,,2.6,,,5.25,6.75,,7,,
64000023,1032206,,2.8,,,3.25,6.5,,6,,
64000024,1045705,7.5,6.4,4.2,7,7.5,,N1,,,6
64000030,1043970,7.25,8.2,6.4,8.5,7.5,,N1,,,7.25
64000026,1043969,5.5,6.6,3.8,4.25,6.75,,N1,,,4.5
64000031,1040607,,7.8,,6.5,,,,,,7.5
64000032,1033176,6.75,8.4,5.8,8,8.5,,N1,,,5.75
64000033,1047412,,4.6,,,6.5,6.5,,6.25,,
64000035,1043971,,4.8,3,,5.5,5.5,N1,4.25,6.5,
64000036,1040608,,3.8,,,6,4.25,,4.75,,
64000037,1045706,,7.2,5.8,,6.5,8.5,N1,7.25,9.25,
64000041,1045707,6.5,6.4,6.4,7,7.5,,N1,,,7
64000040,1040609,,5.2,3,,8.5,6.75,N1,5.5,6.75,
64000021,1047407,,6,2.4,,8.25,6.75,N1,5.75,7.75,
64000042,1033184,,6.8,5.4,,7.5,8,N1,7.5,9.25,
64000027,1047411,,3.4,,,5.5,7.5,,6.75,,
64000025,1047408,,7.2,5.8,,8,6.5,N1,6.25,8.75,
64000029,1033168,3.25,5.2,3.6,3.75,5.5,,N1,,,2.75
64000038,1047492,6.25,7.6,3.4,7,8.5,,N1,,,5.25
64000043,1043973,,5,,,7,7,,5.75,,
64000045,1033185,,7,5.2,,8,6,N1,6,8.25,
64000044,1042227,4.75,7.6,4.2,4.25,7,,N1,,,5.5
64000034,1033177,,5.4,3.4,,6.5,5.5,N1,5.75,8,
64000046,1047432,,2.4,,,5,5.5,,3.75,,
64000047,1043974,6.5,8.6,3.8,8.25,6.5,,N1,,,8
64000049,1047490,5.5,6.8,8.2,6,8.5,,N1,,,5.5
64000051,1043975,,,,,5,7.25,,8,,
64000048,1042228,,2.8,,,6.5,5.5,,4.25,,
64000050,1047431,,7,4.2,,7.75,6,N1,6.25,8,
64000053,1042229,,4.6,3,,5,5.5,N1,4.75,6,
64000055,1043976,6,7,6,7.25,7,,N1,,,5.25
64000052,1033193,,4.8,3.4,,5,6.75,N1,6.5,7.25,
64000039,1043972,,7.2,5.6,,6.5,7.5,N1,7.25,8.5,
64000054,1045742,,3.2,2.6,,5.5,5.5,N1,4.5,7.75,
64000056,1047494,6.75,7.6,5.6,7,7.75,,N1,,,6
64000057,1042230,,3.2,,,5.75,3.5,,3.75,,
64000059,1043977,,4.6,3.8,,7.5,6.75,N1,4.5,7.75,
64000058,1032217,5,7.2,4.6,6.25,7,,N1,,,3.5
64000060,1042231,,6.6,4.6,,7.75,7.25,N1,8,8.75,
64000063,1042233,,5.2,3,,8.5,6.5,N1,5.5,6.75,
64000064,1043979,,4.8,4.4,,7.75,6.5,N1,4.25,7.25,
64000065,1042234,5.5,5,4.6,3.5,8,,N1,,,3.75
64000061,1043978,,,,,6,7.5,,5,,
64000062,1042232,5,8.2,3.8,7,5.5,,N1,,,9
64000066,1045743,6.5,8,4.8,8,6,,N1,,,8
64000067,1032237,,5.8,3.4,,6.25,5.75,N1,4,6.75,
64000068,1042235,,6.8,6,,7.75,7,N1,7.25,9.25,
64000070,1045744,,5.6,3.4,,7,5.25,N1,5.5,6.5,
64000074,1032247,,5,4.2,,7,7,N1,6.75,8.25,
64000071,1042236,,4.8,4,,7.25,6.75,N1,4.75,8,
64000075,1042237,,6.8,4.6,,7,6.75,N1,6.75,7.75,
64000072,1047434,,6.2,5.4,,6.75,7.25,N1,6,9,
64000073,1044013,,2.2,,,5.5,6.25,,6.25,,
64000076,1047495,6,7.6,5.8,6.75,6.75,,N1,,,6
64000077,1044014,,,,,7.75,8.5,,8.5,,
64000079,1047496,6.5,6.8,5.6,7.75,5.75,,N1,,,7
64000078,1032257,7.5,7.6,5.2,8.25,5.75,,N1,,,6
64000080,1045745,,5.2,4,,5.25,6.5,N1,5.5,6.25,
64000069,1047433,,7,6.4,,7,8.25,N1,8.75,9,
64000083,1032269,5,6.8,3.6,5.75,7.75,,N1,,,4.5
64000082,1047501,7.25,7.8,4.8,7.25,8,,N1,,,3.75
64000086,1047437,,6.6,4.4,,7.75,7.75,N1,7.5,8.25,
64000084,1045746,,5,4.2,,7.75,9.25,N1,5.5,8.5,
64000081,1042238,5,7.4,3.8,3.5,7,,N1,,,5.25
64000085,1044015,,6.6,4.8,,7.75,7.5,N1,6.75,7,
64000088,1042239,,5,,,7.25,7.5,,6.5,,
64000089,1032207,,8,4.4,,8.5,10,N1,9.75,9.75,
64000087,1047497,4.25,7.4,6.2,6,5.25,,N1,,,7
64000090,1044016,,8,6,,7.75,8.25,N1,7.5,8.5,
64000091,1032273,,3.8,2.6,,5.5,6.25,N1,4.75,8,
64000092,1042240,,5.8,5,,7.25,7,N1,5.75,7.5,
64000096,1042241,,7.2,,,7,6.5,,6.75,,
64000093,1044017,2.75,3,,2.5,5.5,,,,,2.75
64000094,1045747,5.5,5.6,6,6.5,7,,N1,,,3.5
64000095,1047436,,4.2,2.2,,7.25,7,N1,6,6.5,
64000097,1044018,,4.2,,,6.25,4.75,,4.75,,
64000098,1047438,,4.8,4,,7.75,7.25,N1,4.75,8.75,
64000099,1032280,,6,5.6,,6.75,8,N1,6.5,8.75,
64000100,1042275,,3.8,,,6.25,5.75,,5.5,,
64000101,1044019,,5.8,2.2,,6.75,6.25,N1,4.5,7.75,
64000103,1047435,,5.6,3.2,,7.5,6.5,N1,5,6.25,
64000102,1032281,,6.6,5.6,,8.25,7,N1,6.5,8.5,
64000105,1047502,8.25,7.6,,9.5,,,,,,4.5
64000106,1044020,,8,5.2,,8.25,8.25,N1,8.25,9,
64000104,1042276,,4.6,,,7.75,6.5,,6.75,,
64000110,1042277,,6.2,4,,5.25,4.75,N1,5.5,8.5,
64000107,1032287,,3.4,,,6.75,5.75,,3.75,,
64000109,1032289,,6.6,5,,6.5,6.25,N1,6,8.5,
64000108,1032288,,,,,8,7.75,,6.75,,
64000111,1042278,,3,,,5.75,4,,4.75,,
