Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Nga (Tiếng Nga - Mã: N2),Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,1095066,29.15,9.4,9.75,10.0,,,,,,,,,,,,
A01,1015453,29.4,9.6,10.0,,9.8,,,,,,,,,,,
A02,1021296,27.7,9.2,9.75,,,8.75,,,,,,,,,,
A07,1034208,28.8,8.8,,,,,10.0,10.0,,,,,,,,
A08,1034208,28.8,8.8,,,,,10.0,,10.0,,,,,,,
A09,1034208,28.8,8.8,,,,,,10.0,10.0,,,,,,,
B00,1023743,28.9,9.4,,10.0,,9.5,,,,,,,,,,
B03,1056902,27.45,9.2,,,,9.25,,,,9.0,,,,,,
B08,1062136,28.5,9.4,,,9.6,9.5,,,,,,,,,,
C00,1005323,29.5,,,,,,10.0,10.0,,9.5,,,,,,
C01,1021296,28.2,9.2,9.75,,,,,,,9.25,,,,,,
C02,1105878,28.45,9.2,,9.75,,,,,,9.5,,,,,,
C03,1007655,28.65,9.4,,,,,10.0,,,9.25,,,,,,
C04,1032899,28.45,9.2,,,,,,9.75,,9.5,,,,,,
C05,1043537,28.5,,9.0,10.0,,,,,,9.5,,,,,,
C06,1021296,27.75,,9.75,,,8.75,,,,9.25,,,,,,
C08,1077998,28.5,,,10.0,,9.75,,,,8.75,,,,,,
C14,1022324,28.75,9.0,,,,,,,10.0,9.75,,,,,,
C19,1016775,29.5,,,,,,10.0,,10.0,9.5,,,,,,
C20,1038990,29.5,,,,,,,9.75,10.0,9.75,,,,,,
D01,1017009,28.5,9.2,,,9.8,,,,,9.5,,,,,,
D02,1021622,24.55,7.6,,,,,,,,7.75,9.2,,,,,
D03,1017493,28.35,8.6,,,,,,,,9.75,,10.0,,,,
D04,1079918,27.9,9.0,,,,,,,,9.5,,,9.4,,,
D05,1023148,27.7,9.0,,,,,,,,9.5,,,,9.2,,
D06,1008999,28.1,8.6,,,,,,,,9.5,,,,,10.0,
D07,1041488,29.0,9.2,,10.0,9.8,,,,,,,,,,,
D08,1062136,28.5,9.4,,,9.6,9.5,,,,,,,,,,
D09,1034208,28.6,8.8,,,9.8,,10.0,,,,,,,,,
D10,1032899,28.75,9.2,,,9.8,,,9.75,,,,,,,,
D11,1077233,28.55,,9.75,,9.8,,,,,9.0,,,,,,
D12,1023661,28.6,,,9.75,9.6,,,,,9.25,,,,,,
D13,1015107,27.95,,,,9.2,9.5,,,,9.25,,,,,,
D14,1103814,29.75,,,,10.0,,10.0,,,9.75,,,,,,
D15,1103814,29.5,,,,10.0,,,9.75,,9.75,,,,,,
D16,1022527,25.85,8.0,,,,,,9.25,,,,,,8.6,,
D17,1021622,24.05,7.6,,,,,,7.25,,,9.2,,,,,
D18,1015776,28.0,8.4,,,,,,10.0,,,,,,,9.6,
D19,1017493,27.6,8.6,,,,,,9.0,,,,10.0,,,,
D20,1079918,27.65,9.0,,,,,,9.25,,,,,9.4,,,
D21,1023148,27.95,9.0,,9.75,,,,,,,,,,9.2,,
D23,1016913,26.45,9.6,,7.25,,,,,,,,,,,9.6,
D24,1020345,28.1,8.8,,9.5,,,,,,,,9.8,,,,
D25,1034411,25.95,8.0,,8.75,,,,,,,,,9.2,,,
D26,1023148,26.95,9.0,8.75,,,,,,,,,,,9.2,,
D28,1010328,27.65,8.8,9.25,,,,,,,,,,,,9.6,
D29,1021520,28.0,9.2,9.0,,,,,,,,,9.8,,,,
D30,1035430,26.2,8.8,8.0,,,,,,,,,,9.4,,,
D31,1023148,26.95,9.0,,,,8.75,,,,,,,,9.2,,
D33,1016913,26.95,9.6,,,,7.75,,,,,,,,,9.6,
D34,1022797,26.85,8.6,,,,8.25,,,,,,10.0,,,,
D35,1015032,25.55,8.2,,,,8.75,,,,,,,8.6,,,
D41,1016785,26.9,,,,,,,9.25,,9.25,,,,8.4,,
D42,1021622,24.2,,,,,,,7.25,,7.75,9.2,,,,,
D43,1015776,28.6,,,,,,,10.0,,9.0,,,,,9.6,
D44,1017493,28.75,,,,,,,9.0,,9.75,,10.0,,,,
D45,1079918,28.15,,,,,,,9.25,,9.5,,,9.4,,,
D54,1021520,27.55,,9.0,,,,,,,8.75,,9.8,,,,
D55,1035430,26.15,,8.0,,,,,,,8.75,,,9.4,,,
D61,1016785,27.15,,,,,,9.5,,,9.25,,,,8.4,,
D62,1021622,23.7,,,,,,6.75,,,7.75,9.2,,,,,
D63,1011750,28.55,,,,,,9.25,,,9.5,,,,,9.8,
D64,1017493,28.5,,,,,,8.75,,,9.75,,10.0,,,,
D65,1086792,28.2,,,,,,9.5,,,9.5,,,9.2,,,
D66,1103814,29.5,,,,10.0,,,,9.75,9.75,,,,,,
D68,1021622,25.2,,,,,,,,8.25,7.75,9.2,,,,,
D69,1009010,29.3,,,,,,,,10.0,9.5,,,,,9.8,
D70,1017493,29.5,,,,,,,,9.75,9.75,,10.0,,,,
D84,1009807,28.8,8.8,,,10.0,,,,10.0,,,,,,,
D85,1004394,26.7,8.2,,,,,,,9.5,,,,,9.0,,
D86,1021622,25.05,7.6,,,,,,,8.25,,9.2,,,,,
D87,1017493,28.35,8.6,,,,,,,9.75,,,10.0,,,,
D88,1009010,28.2,8.4,,,,,,,10.0,,,,,,9.8,
DD2,1063872,27.9,8.6,,,,,,,,9.5,,,,,,9.8
DH1,1013814,27.15,,,,,,,9.0,,8.75,,,,,,9.4
