Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,2037983,29.05,9.8,9.5,9.75,,,,,,,,,,,
A01,2038432,29.6,9.8,10.0,,9.8,,,,,,,,,,
A02,2038016,28.35,9.6,10.0,,,8.75,,,,,,,,,
A07,2037632,28.2,8.2,,,,,10.0,10.0,,,,,,,
A08,2045384,28.25,9.0,,,,,9.25,,10.0,,,,,,
A09,2001202,28.3,8.8,,,,,,9.75,9.75,,,,,,
B00,2038228,29.35,9.6,,10.0,,9.75,,,,,,,,,
B03,2086523,27.7,9.2,,,,10.0,,,,8.5,,,,,
B08,2005825,28.55,9.4,,,9.4,9.75,,,,,,,,,
C00,2037632,28.75,,,,,,10.0,10.0,,8.75,,,,,
C01,2038432,28.05,9.8,10.0,,,,,,,8.25,,,,,
C02,2037845,28.2,9.2,,10.0,,,,,,9.0,,,,,
C03,2049622,27.8,8.8,,,,,10.0,,,9.0,,,,,
C04,2002319,27.5,9.0,,,,,,9.25,,9.25,,,,,
C05,2037845,28.75,,9.75,10.0,,,,,,9.0,,,,,
C06,2023407,27.5,,9.25,,,10.0,,,,8.25,,,,,
C08,2038084,28.25,,,10.0,,9.5,,,,8.75,,,,,
C14,2002319,27.75,9.0,,,,,,,9.5,9.25,,,,,
C19,2033745,28.75,,,,,,9.75,,10.0,9.0,,,,,
C20,2074712,28.5,,,,,,,10.0,10.0,8.5,,,,,
D01,2023084,27.85,9.8,,,9.8,,,,,8.25,,,,,
D03,2004434,27.15,8.4,,,,,,,,8.75,10.0,,,,
D04,2051033,27.25,8.0,,,,,,,,9.25,,10.0,,,
D05,2037683,24.8,7.8,,,,,,,,8.0,,,9.0,,
D06,2004319,25.75,8.6,,,,,,,,7.75,,,,9.4,
D07,2037987,29.2,9.4,,10.0,9.8,,,,,,,,,,
D08,2005825,28.55,9.4,,,9.4,9.75,,,,,,,,,
D09,2019965,28.4,8.6,,,9.8,,10.0,,,,,,,,
D10,2004370,27.9,8.8,,,9.6,,,9.5,,,,,,,
D11,2038432,28.05,,10.0,,9.8,,,,,8.25,,,,,
D12,2037845,28.2,,,10.0,9.2,,,,,9.0,,,,,
D13,2025012,27.7,,,,9.2,9.5,,,,9.0,,,,,
D14,2049622,28.6,,,,9.6,,10.0,,,9.0,,,,,
D15,2000972,28.35,,,,9.6,,,9.75,,9.0,,,,,
D16,2004448,23.65,7.4,,,,,,8.25,,,,,8.0,,
D18,2005617,26.5,8.2,,,,,,8.5,,,,,,9.8,
D19,2004753,27.65,8.8,,,,,,9.25,,,9.6,,,,
D20,2023852,26.85,8.8,,,,,,8.25,,,,9.8,,,
D21,2051377,24.65,9.0,,9.25,,,,,,,,,6.4,,
D23,2075592,26.8,8.8,,8.0,,,,,,,,,,10.0,
D24,2005178,27.5,8.2,,9.5,,,,,,,9.8,,,,
D25,2051033,27.75,8.0,,9.75,,,,,,,,10.0,,,
D26,2037683,24.8,7.8,8.0,,,,,,,,,,9.0,,
D28,2004401,25.15,8.4,7.75,,,,,,,,,,,9.0,
D29,2004826,25.5,8.6,7.5,,,,,,,,9.4,,,,
D30,2010743,26.85,8.4,9.25,,,,,,,,,9.2,,,
D31,2037683,24.3,7.8,,,,7.5,,,,,,,9.0,,
D33,2075592,25.55,8.8,,,,6.75,,,,,,,,10.0,
D34,2005493,26.9,8.6,,,,8.5,,,,,9.8,,,,
D35,2051033,26.5,8.0,,,,8.5,,,,,,10.0,,,
D41,2004448,23.0,,,,,,,8.25,,6.75,,,8.0,,
D43,2005558,26.15,,,,,,,8.5,,8.25,,,,9.4,
D44,2004434,27.0,,,,,,,8.25,,8.75,10.0,,,,
D45,2005528,26.0,,,,,,,9.5,,8.5,,8.0,,,
D54,2004826,24.9,,7.5,,,,,,,8.0,9.4,,,,
D55,2043395,26.6,,8.5,,,,,,,8.5,,9.6,,,
D61,2065171,23.45,,,,,,8.5,,,8.75,,,6.2,,
D63,2002887,26.5,,,,,,8.75,,,7.75,,,,10.0,
D64,2005390,26.5,,,,,,9.0,,,8.5,9.0,,,,
D65,2059351,27.1,,,,,,9.5,,,8.0,,9.6,,,
D66,2040000,28.6,,,,9.6,,,,9.5,9.5,,,,,
D69,2005558,27.15,,,,,,,,9.5,8.25,,,,9.4,
D70,2004434,28.5,,,,,,,,9.75,8.75,10.0,,,,
D84,2050228,28.3,9.0,,,9.8,,,,9.5,,,,,,
D85,2004448,24.4,7.4,,,,,,,9.0,,,,8.0,,
D87,2004753,28.4,8.8,,,,,,,10.0,,9.6,,,,
D88,2017333,27.3,7.8,,,,,,,9.5,,,,,10.0,
DD2,2071500,25.85,8.2,,,,,,,,8.25,,,,,9.4
DH1,2009146,25.25,,,,,,,7.25,,8.0,,,,,10.0
