Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Nga (Tiếng Nga - Mã: N2),Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,3005012,29.15,9.4,9.75,10.0,,,,,,,,,,,,
A01,3015864,28.5,9.4,9.5,,9.6,,,,,,,,,,,
A02,3005012,28.4,9.4,9.75,,,9.25,,,,,,,,,,
A07,3023880,28.75,9.0,,,,,9.75,10.0,,,,,,,,
A08,3005236,28.55,8.8,,,,,10.0,,9.75,,,,,,,
A09,3022253,28.8,8.8,,,,,,10.0,10.0,,,,,,,
B00,3015805,29.55,9.8,,10.0,,9.75,,,,,,,,,,
B03,3003670,27.7,9.2,,,,9.25,,,,9.25,,,,,,
B08,3016037,27.9,8.8,,,9.6,9.5,,,,,,,,,,
C00,3007394,29.5,,,,,,10.0,10.0,,9.5,,,,,,
C01,3023848,28.2,9.2,10.0,,,,,,,9.0,,,,,,
C02,3007888,28.9,9.4,,10.0,,,,,,9.5,,,,,,
C03,3012851,28.25,9.0,,,,,9.75,,,9.5,,,,,,
C04,3023880,28.5,9.0,,,,,,10.0,,9.5,,,,,,
C05,3005012,28.75,,9.75,10.0,,,,,,9.0,,,,,,
C06,3005012,28.0,,9.75,,,9.25,,,,9.0,,,,,,
C08,3000989,28.25,,,10.0,,9.25,,,,9.0,,,,,,
C14,3000794,28.65,9.4,,,,,,,9.75,9.5,,,,,,
C19,3007394,29.5,,,,,,10.0,,10.0,9.5,,,,,,
C20,3003110,29.5,,,,,,,10.0,10.0,9.5,,,,,,
D01,3007888,28.7,9.4,,,9.8,,,,,9.5,,,,,,
D02,3017083,27.2,8.4,,,,,,,,9.0,9.8,,,,,
D03,3017029,27.9,8.4,,,,,,,,9.5,,10.0,,,,
D04,3016714,27.45,8.6,,,,,,,,9.25,,,9.6,,,
D05,3023021,22.55,7.2,,,,,,,,8.75,,,,6.6,,
D06,3016120,27.95,9.2,,,,,,,,8.75,,,,,10.0,
D07,3007888,29.2,9.4,,10.0,9.8,,,,,,,,,,,
D08,3016037,27.9,8.8,,,9.6,9.5,,,,,,,,,,
D09,3016732,27.95,8.6,,,9.6,,9.75,,,,,,,,,
D10,3022253,28.2,8.8,,,9.4,,,10.0,,,,,,,,
D11,3002687,28.3,,9.0,,9.8,,,,,9.5,,,,,,
D12,3007888,29.3,,,10.0,9.8,,,,,9.5,,,,,,
D13,3016828,28.35,,,,9.6,9.5,,,,9.25,,,,,,
D14,3023683,29.1,,,,9.6,,10.0,,,9.5,,,,,,
D15,3000089,29.05,,,,9.8,,,9.75,,9.5,,,,,,
D16,3023904,20.55,7.0,,,,,,6.75,,,,,,6.8,,
D17,3017083,26.2,8.4,,,,,,8.0,,,9.8,,,,,
D18,3016120,28.2,9.2,,,,,,9.0,,,,,,,10.0,
